from,to,weight
H,H,74666.66666666667
H,O,34421333333.333336
H,F,10920000.0
H,S,6533333.333333334
H,Cl,8120000.000000001
H,K,390133333.3333334
H,Fe,1050933333.3333334
H,Cu,2240000.0
H,Zn,1306666.6666666667
H,Ag,5600.0
H,Te,18.666666666666668
H,Pb,784000.0
O,H,34421333333.333336
O,O,49173333.333333336
O,F,3595800000.0
O,S,6454000000.0
O,Cl,4456333333.333334
O,K,128465333333.33334
O,V,737600000.0
O,Fe,346057333333.3334
O,Cu,1475200000.0
O,Zn,430266666.6666667
O,As,22128000.0
O,Ag,3688000.0
O,Sb,2458666.666666667
O,Te,6146.666666666667
O,Hg,1044933.3333333335
O,Pb,430266666.66666675
F,H,10920000.0
F,O,3595800000.0
F,F,7800.0
F,Cl,1131000.0
F,Ag,585.0
F,Pb,109200.0
S,H,6533333.333333334
S,O,6454000000.0
S,S,765333.3333333334
S,Cl,2706666.666666667
S,Mn,31033333.333333336
S,Fe,5780133333.333334
S,Ni,392000.0
S,Cu,14000000.0
S,Zn,3593333.3333333335
S,Ge,28000.0
S,As,462000.0
S,Se,933.3333333333335
S,Br,11200.0
S,Pd,280.0
S,Ag,57400.0
S,Cd,2100.0
S,In,3500.0
S,Sn,64400.0
S,Sb,63466.66666666668
S,Te,32.66666666666667
S,I,4200.0
S,Au,112.0
S,Hg,5950.000000000001
S,Tl,67433.33333333334
S,Pb,4312000.0
S,Bi,1269.3333333333335
Cl,H,8120000.000000001
Cl,O,4456333333.333334
Cl,F,1131000.0
Cl,S,2706666.666666667
Cl,Cl,17400.0
Cl,K,40406666.66666667
Cl,Cu,348000.00000000006
Cl,Zn,135333.33333333334
Cl,As,3480.0000000000005
Cl,Br,4640.0
Cl,Ag,1305.0
Cl,Sb,386.66666666666674
Cl,Te,1.9333333333333336
Cl,I,870.0000000000001
Cl,Hg,657.3333333333335
Cl,Pb,108266.66666666667
K,H,390133333.3333334
K,O,128465333333.33334
K,Cl,40406666.66666667
K,K,278666.6666666667
K,Cu,16720000.000000002
K,Ag,20900.0
K,Pb,3901333.3333333335
V,O,737600000.0
V,V,1600.0
V,As,2880.0
V,Ag,120.0
V,Hg,136.0
Mn,S,31033333.333333336
Mn,Mn,88666.66666666667
Mn,Fe,713133333.3333334
Mn,As,68400.00000000001
Mn,Ag,6650.0
Mn,Cd,1900.0
Mn,In,3166.666666666667
Mn,Sn,29133.333333333332
Mn,Sb,12666.66666666667
Mn,Pb,709333.3333333334
Fe,H,1050933333.3333335
Fe,O,346057333333.3334
Fe,S,5780133333.333334
Fe,Mn,713133333.3333334
Fe,Fe,16514666.666666668
Fe,Ni,63056000.00000001
Fe,Cu,315280000.00000006
Fe,Zn,157640000.0
Fe,As,6756000.000000001
Fe,Se,37533.333333333336
Fe,Ag,1238600.0000000002
Fe,Cd,112600.00000000001
Fe,In,375333.3333333334
Fe,Sn,5179600.0
Fe,Sb,1201066.6666666667
Fe,Te,1501.3333333333335
Fe,Hg,63806.66666666668
Fe,Tl,1276133.3333333335
Fe,Pb,42037333.333333336
Fe,Bi,12761.333333333336
Ni,S,392000.0
Ni,Fe,63056000.0
Ni,Ni,1120.0
Ni,Ag,84.0
Cu,H,2240000.0
Cu,O,1475200000.0
Cu,S,14000000.0
Cu,Cl,348000.0
Cu,K,16720000.0
Cu,Fe,315280000.0
Cu,Cu,50400.0
Cu,Zn,392000.0
Cu,Ge,1200.0
Cu,As,24480.0
Cu,Se,280.0
Cu,Ag,3780.0
Cu,Cd,120.0
Cu,In,200.0
Cu,Sn,1839.9999999999998
Cu,Sb,3040.0
Cu,Te,4.800000000000001
Cu,I,360.0
Cu,Au,9.600000000000001
Cu,Hg,408.0
Cu,Tl,3400.0
Cu,Pb,257600.0
Cu,Bi,95.20000000000002
Zn,H,1306666.6666666667
Zn,O,430266666.6666667
Zn,S,3593333.3333333335
Zn,Cl,135333.33333333334
Zn,Fe,157640000.0
Zn,Cu,392000.0
Zn,Zn,11200.0
Zn,As,8400.0
Zn,Ag,840.0
Zn,In,233.33333333333334
Zn,Sn,6440.0
Zn,Sb,933.3333333333335
Zn,Te,0.9333333333333333
Zn,Hg,158.66666666666669
Zn,Tl,2380.0
Zn,Pb,13066.666666666668
Ge,S,28000.0
Ge,Cu,1200.0
Ge,Ge,80.0
Ge,Ag,6.0
Ge,Te,0.02
Ge,Pb,280.0
As,O,22128000.0
As,S,462000.0
As,Cl,3480.0
As,V,2880.0
As,Mn,68400.0
As,Fe,6756000.0
As,Cu,24480.0
As,Zn,8400.0
As,As,1416.0
As,Se,1.2000000000000002
As,Ag,106.19999999999999
As,Cd,3.5999999999999996
As,Sb,115.20000000000002
As,Te,0.048
As,Hg,16.32
As,Tl,285.59999999999997
As,Pb,7728.0
Se,S,933.3333333333335
Se,Fe,37533.333333333336
Se,Cu,280.00000000000006
Se,As,1.2000000000000002
Se,Se,10.000000000000002
Se,Pd,0.01
Se,Ag,0.75
Se,Sb,0.2666666666666667
Se,Te,0.0006666666666666668
Se,Au,0.005333333333333334
Se,Tl,0.5666666666666668
Se,Pb,18.666666666666668
Se,Bi,0.017000000000000005
Br,S,11200.0
Br,Cl,4640.0
Br,Br,64.0
Br,Ag,4.8
Br,I,14.4
Br,Hg,2.72
Pd,S,280.0
Pd,Se,0.010000000000000002
Pd,Pd,1.8
Pd,Ag,0.135
Pd,Te,0.0006000000000000001
Pd,Pb,5.6000000000000005
Pd,Bi,0.0034000000000000002
Ag,H,5600.0
Ag,O,3688000.0
Ag,F,585.0
Ag,S,57400.0
Ag,Cl,1305.0
Ag,K,20900.0
Ag,V,120.0
Ag,Mn,6650.0
Ag,Fe,1238600.0
Ag,Ni,84.0
Ag,Cu,3780.0
Ag,Zn,840.0
Ag,Ge,6.0
Ag,As,106.2
Ag,Se,0.75
Ag,Br,4.8
Ag,Pd,0.135
Ag,Ag,216.0
Ag,Cd,0.44999999999999996
Ag,In,0.75
Ag,Sn,16.099999999999998
Ag,Sb,14.600000000000001
Ag,Te,0.027
Ag,I,2.25
Ag,Au,0.056
Ag,Hg,2.125
Ag,Tl,15.299999999999999
Ag,Pb,1050.0
Ag,Bi,0.323
Cd,S,2100.0
Cd,Mn,1900.0
Cd,Fe,112600.0
Cd,Cu,120.0
Cd,As,3.6
Cd,Ag,0.44999999999999996
Cd,Cd,6.0
Cd,In,0.5
Cd,Sb,0.8
Cd,Pb,56.0
In,S,3500.0
In,Mn,3166.666666666667
In,Fe,375333.3333333334
In,Cu,200.0
In,Zn,233.33333333333334
In,Ag,0.75
In,Cd,0.5
In,In,10.0
In,Sn,7.666666666666666
In,Sb,0.6666666666666667
In,Pb,46.66666666666667
Sn,S,64399.99999999999
Sn,Mn,29133.333333333332
Sn,Fe,5179600.0
Sn,Cu,1839.9999999999998
Sn,Zn,6440.0
Sn,Ag,16.099999999999998
Sn,In,7.666666666666666
Sn,Sn,214.66666666666666
Sb,O,2458666.666666667
Sb,S,63466.66666666668
Sb,Cl,386.6666666666667
Sb,Mn,12666.666666666668
Sb,Fe,1201066.6666666667
Sb,Cu,3040.0000000000005
Sb,Zn,933.3333333333335
Sb,As,115.20000000000002
Sb,Se,0.2666666666666667
Sb,Ag,14.600000000000001
Sb,Cd,0.8
Sb,In,0.6666666666666667
Sb,Sb,194.66666666666669
Sb,Te,0.010666666666666668
Sb,Au,0.032
Sb,Hg,1.3600000000000003
Sb,Tl,29.466666666666672
Sb,Pb,1418.6666666666667
Sb,Bi,0.18133333333333337
Te,H,18.666666666666668
Te,O,6146.666666666667
Te,S,32.66666666666667
Te,Cl,1.9333333333333333
Te,Fe,1501.3333333333335
Te,Cu,4.800000000000001
Te,Zn,0.9333333333333333
Te,Ge,0.02
Te,As,0.048
Te,Se,0.0006666666666666668
Te,Pd,0.0006000000000000001
Te,Ag,0.027
Te,Sb,0.010666666666666668
Te,Te,0.36000000000000004
Te,Au,0.00032
Te,Hg,0.002266666666666667
Te,Pb,0.7466666666666667
Te,Bi,0.0003400000000000001
I,S,4200.0
I,Cl,870.0
I,Cu,360.0
I,Br,14.399999999999999
