from,to,weight
H,H,315777.7777777778
H,Be,6533.333333333334
H,B,15555.555555555557
H,C,622222.2222222222
H,N,118222.22222222223
H,O,145573555555.55557
H,F,1365000.0000000002
H,Na,770933333.3333334
H,Mg,942355555.5555556
H,Al,3136544444.4444447
H,Si,4167333333.3333335
H,P,9800000.0
H,S,6261111.111111112
H,Cl,2255555.5555555555
H,K,227577777.7777778
H,Ca,3679666666.666667
H,Sc,17111.111111111113
H,Ti,25946666.66666667
H,V,1213333.3333333335
H,Cr,238000.00000000003
H,Mn,51722222.22222223
H,Fe,4378888888.888888
H,Co,350000.0
H,Ni,718666.6666666667
H,Cu,4526666.666666667
H,Zn,3212222.2222222225
H,Ga,14777.77777777778
H,As,568400.0000000001
H,Br,3733.3333333333335
H,Sr,1726666.666666667
H,Y,25666.666666666668
H,Mo,10266.666666666668
H,Cd,350.0
H,In,194.44444444444446
H,Sb,2177.777777777778
H,Te,2.3333333333333335
H,I,350.00000000000006
H,Cs,2333.3333333333335
H,Ba,2975000.0
H,La,182000.0
H,Ce,413777.7777777778
H,Nd,129111.11111111112
H,W,1944.4444444444446
H,Tl,661.1111111111111
H,Pb,533555.5555555556
H,Bi,92.55555555555556
H,Th,7466.666666666667
H,U,75600.00000000001
Li,Li,11.11111111111111
Li,O,5122222.222222222
Li,F,6500.0
Li,Na,262222.2222222222
Li,Mg,258888.88888888888
Li,Ca,461111.11111111107
Li,Fe,625555.5555555555
Li,As,20.0
Be,H,6533.333333333334
Be,Be,6.222222222222222
Be,O,2868444.4444444445
Be,Si,438666.6666666667
Be,Ca,193666.66666666666
Be,Ti,8648.888888888889
Be,Mn,1477.7777777777778
Be,As,11.200000000000001
Be,Sn,3.5777777777777775
B,H,15555.555555555555
B,B,44.44444444444444
B,O,20488888.888888888
B,F,16250.0
B,Na,262222.2222222222
B,Mg,517777.77777777775
B,Al,914444.4444444444
B,Si,4700000.0
B,P,11666.666666666666
B,Ca,1152777.7777777778
B,V,1333.3333333333333
B,Fe,625555.5555555555
B,As,80.0
B,Y,366.66666666666663
B,Mo,6.666666666666666
B,La,216.66666666666666
B,Ce,738.8888888888889
B,W,13.88888888888889
B,Th,53.33333333333333
C,H,622222.2222222222
C,C,444.44444444444446
C,O,204888888.8888889
C,Na,2622222.2222222225
C,S,38888.88888888889
C,Ca,9222222.222222222
C,Mn,211111.11111111112
C,Cu,13333.333333333334
C,Zn,7777.777777777778
C,As,800.0
N,H,118222.22222222222
N,N,84.44444444444444
N,O,38928888.88888889
N,Na,498222.2222222222
N,Mg,245944.44444444444
N,P,11083.333333333334
N,S,3694.4444444444443
N,Cl,6122.222222222222
N,K,661833.3333333333
N,V,1266.6666666666667
N,As,152.0
N,Br,50.666666666666664
N,Sb,2.111111111111111
N,I,4.75
N,U,28.5
O,H,145573555555.55557
O,Li,5122222.222222222
O,Be,2868444.4444444445
O,B,20488888.888888888
O,C,204888888.8888889
O,N,38928888.88888889
O,O,134970555.55555555
O,F,2846675000.0
O,Na,477493555555.55554
O,Mg,429652000000.0
O,Al,1327910500000.0002
O,Si,2022253333333.3335
O,P,4033750000.0000005
O,S,2240972222.2222223
O,Cl,1596852777.777778
O,K,160581666666.66666
O,Ca,1509262777777.778
O,Sc,5634444.444444445
O,Ti,21359666666.666668
O,V,676133333.3333334
O,Cr,78370000.0
O,Mn,19464444444.444447
O,Fe,1845639111111.111
O,Co,121652777.77777778
O,Ni,365726666.6666667
O,Cu,1982300000.0000002
O,Zn,1201161111.1111112
O,Ga,4866111.111111111
O,As,242947000.00000003
O,Br,1229333.3333333333
O,Rb,23050000.0
O,Sr,568566666.6666667
O,Y,42258333.33333334
O,Nb,5122222.222222222
O,Mo,4917333.333333333
O,Ag,38416.666666666664
O,Cd,153666.66666666666
O,In,64027.77777777778
O,Sn,1178111.111111111
O,Sb,1075666.6666666667
O,Te,1024.4444444444446
O,I,115250.00000000001
O,Cs,1536666.6666666667
O,Ba,1197319444.4444444
O,La,79906666.66666667
O,Ce,204376666.66666666
O,Nd,42514444.44444445
O,Ta,512222.22222222225
O,W,1600694.4444444445
O,Hg,87077.7777777778
O,Tl,217694.44444444444
O,Pb,236646666.6666667
O,Bi,39185.00000000001
O,Th,4917333.333333333
O,U,24894000.000000004
F,H,1365000.0
F,Li,6500.0
F,B,16250.0
F,O,2846675000.0
F,F,6175.0
F,Na,76700000.0
F,Mg,60580000.0
F,Al,133737500.0
F,Si,274950000.0
F,P,682500.0
F,Cl,141375.0
F,Ca,107900000.0
F,Ti,3614000.0
F,V,117000.0
F,Fe,73190000.0
F,Cu,58500.0
F,As,11115.0
F,Y,21450.0
F,Mo,390.0
F,Ba,138125.0
F,La,12675.0
F,Ce,43225.0
F,W,812.5
F,Th,3120.0
F,U,1755.0000000000002
Na,H,770933333.3333334
Na,Li,262222.22222222225
Na,B,262222.22222222225
Na,C,2622222.2222222225
Na,N,498222.22222222225
Na,O,477493555555.55554
Na,F,76700000.0
Na,Na,1035777.7777777778
Na,Mg,7942711111.111112
Na,Al,14027577777.777777
Na,Si,14789333333.333334
Na,P,68833333.33333333
Na,S,13766666.666666668
Na,Cl,26615555.555555556
Na,K,2192177777.7777777
Na,Ca,18499777777.77778
Na,Ti,364488888.8888889
Na,V,4720000.0
Na,Mn,161922222.22222224
Na,Fe,21406511111.11111
Na,Cu,16520000.0
Na,Zn,2753333.333333333
Na,As,1864400.0
Na,Y,432666.6666666667
Na,Nb,262222.22222222225
Na,Mo,62933.33333333333
Na,Sb,7866.666666666668
Na,La,511333.3333333333
Na,Ce,871888.8888888889
Na,Ta,26222.222222222223
Na,W,16388.88888888889
Na,Pb,550666.6666666667
Na,Th,125866.66666666666
Na,U,35400.0
Mg,H,942355555.5555556
Mg,Li,258888.8888888889
Mg,B,517777.7777777778
Mg,N,245944.44444444447
Mg,O,429652000000.0
Mg,F,60580000.00000001
Mg,Na,7942711111.111112
Mg,Mg,932000.0
Mg,Al,9587950000.0
Mg,Si,29202666666.666668
Mg,P,27183333.333333336
Mg,Cl,7507777.777777778
Mg,K,541077777.7777778
Mg,Ca,15041444444.444447
Mg,Ti,71971111.11111112
Mg,V,6213333.333333334
Mg,Mn,209052777.7777778
Mg,Fe,13117900000.0
Mg,Co,647222.2222222222
Mg,Cu,5436666.666666667
Mg,Zn,9061111.111111112
Mg,As,1677600.0000000002
Mg,Y,427166.6666666667
Mg,Mo,46600.0
Mg,La,504833.3333333334
Mg,Ce,1721611.1111111112
Mg,Nd,537194.4444444445
Mg,W,32361.111111111113
Mg,Pb,362444.4444444445
Mg,Bi,110.02777777777779
Mg,U,139800.00000000003
Al,H,3136544444.4444447
Al,B,914444.4444444445
Al,O,1327910500000.0002
Al,F,133737500.00000001
Al,Na,14027577777.77778
Al,Mg,9587950000.000002
Al,Al,2880500.0000000005
Al,Si,90255666666.66667
Al,P,48008333.333333336
Al,S,112019444.44444446
Al,Cl,13259444.444444446
Al,K,8600350000.0
Al,Ca,20872194444.444447
Al,Ti,762646666.6666667
Al,V,5486666.666666667
Al,Mn,217180555.55555555
Al,Fe,36038255555.55556
Al,Cu,43893333.333333336
Al,Zn,12802222.222222224
Al,As,5184900.000000001
Al,Sr,50751666.66666667
Al,Y,1508833.3333333335
Al,Sb,9144.444444444445
Al,Ba,58295833.33333334
Al,La,3566333.3333333335
Al,Ce,6081055.555555556
Al,Nd,1897472.2222222225
Al,Pb,2560444.4444444445
Al,U,370350.00000000006
Si,H,4167333333.333334
Si,Be,438666.6666666667
Si,B,4700000.000000001
Si,O,2022253333333.3335
Si,F,274950000.00000006
Si,Na,14789333333.333336
Si,Mg,29202666666.66667
Si,Al,90255666666.66667
Si,Si,4386666.666666667
Si,S,54833333.33333334
Si,Cl,68150000.0
Si,K,3274333333.333334
Si,Ca,39010000000.00001
Si,Ti,1742133333.3333335
Si,V,56400000.000000015
Si,Mn,2530166666.666667
Si,Fe,88203333333.33334
Si,Cu,28200000.000000007
Si,Zn,76766666.66666667
Si,As,7896000.000000002
Si,Y,10340000.000000002
Si,Mo,376000.00000000006
Si,Sn,360333.3333333334
Si,Sb,31333.33333333334
Si,La,12220000.000000002
Si,Ce,41673333.333333336
Si,Nd,6501666.666666668
Si,Pb,6580000.0
Si,Th,1504000.0000000002
P,H,9800000.0
P,B,11666.666666666668
P,N,11083.333333333334
P,O,4033750000.0000005
P,F,682500.0
P,Na,68833333.33333334
P,Mg,27183333.333333336
P,Al,48008333.333333336
P,P,8750.0
P,S,204166.6666666667
P,Cl,84583.33333333334
P,K,12191666.666666668
P,Ca,72625000.0
P,V,210000.0
P,Cr,59500.00000000001
P,Mn,554166.6666666667
P,Fe,65683333.333333336
P,Cu,175000.0
P,Zn,122500.0
P,As,15750.0
P,Mo,1400.0
P,W,2187.5
P,Pb,32666.666666666668
P,Bi,4.958333333333334
P,Th,5600.0
P,U,3150.0000000000005
S,H,6261111.111111112
S,C,38888.88888888889
S,N,3694.444444444445
S,O,2240972222.2222223
S,Na,13766666.666666668
S,Al,112019444.44444445
S,Si,54833333.333333336
S,P,204166.6666666667
S,S,38500.0
S,Cl,140972.22222222222
S,K,8127777.777777778
S,Ca,16138888.88888889
S,V,93333.33333333334
S,Mn,1293055.5555555557
S,Fe,251786111.1111111
S,Co,19444.444444444445
S,Ni,114333.33333333334
S,Cu,653333.3333333334
S,Zn,122500.0
S,Ga,3694.444444444445
S,Ge,583.3333333333334
S,As,69300.00000000001
S,Se,19.444444444444446
S,Sr,143888.8888888889
S,Ru,0.5833333333333334
S,Rh,0.3888888888888889
S,Pd,2.916666666666667
S,Ag,802.0833333333334
S,Cd,87.5
S,Sn,2683.3333333333335
S,Sb,2450.0000000000005
S,Te,0.5833333333333334
S,I,87.50000000000001
S,Cs,583.3333333333334
S,Ba,82638.88888888889
S,Os,0.5833333333333334
S,Ir,0.19444444444444445
S,Pt,3.8888888888888893
S,Hg,247.91666666666669
S,Tl,8429.166666666666
S,Pb,182388.8888888889
S,Bi,8.26388888888889
Cl,H,2255555.5555555555
Cl,N,6122.222222222223
Cl,O,1596852777.777778
Cl,F,141375.0
Cl,Na,26615555.555555556
Cl,Mg,7507777.777777778
Cl,Al,13259444.444444444
Cl,Si,68150000.0
Cl,P,84583.33333333333
Cl,S,140972.22222222222
Cl,Cl,3866.666666666667
Cl,K,8418055.555555556
Cl,Ca,40116666.666666664
Cl,Ti,447888.8888888889
Cl,V,48333.33333333333
Cl,Mn,306111.1111111111
Cl,Fe,22676388.888888888
Cl,Cu,77333.33333333333
Cl,Zn,11277.777777777777
Cl,As,6960.0
Cl,Br,193.33333333333334
Cl,Rb,7250.0
Cl,Mo,193.33333333333334
Cl,Ag,6.041666666666667
Cl,Cd,24.166666666666668
Cl,Sn,185.27777777777777
Cl,Sb,64.44444444444444
Cl,Te,0.08055555555555556
Cl,I,36.25
Cl,Cs,241.66666666666669
Cl,Ba,34236.11111111111
Cl,Hg,13.694444444444446
Cl,Pb,23683.333333333336
Cl,Bi,1.3694444444444445
K,H,227577777.7777778
K,N,661833.3333333334
K,O,160581666666.66666
K,Na,2192177777.7777777
K,Mg,541077777.7777778
K,Al,8600350000.0
K,Si,3274333333.3333335
K,P,12191666.666666666
K,S,8127777.777777778
K,Cl,8418055.555555556
K,K,348333.3333333333
K,Ca,1445583333.3333333
K,Ti,258231111.1111111
K,V,2786666.6666666665
K,Fe,3922233333.3333335
K,Cu,7663333.333333333
K,Zn,1625555.5555555555
K,As,627000.0
K,Br,27866.666666666668
K,Rb,1045000.0
K,Nb,232222.22222222222
K,Mo,13933.333333333334
K,Cd,1741.6666666666667
K,Sn,26705.555555555555
K,Sb,2322.222222222222
K,Cs,34833.333333333336
K,Ta,23222.222222222223
K,Pb,325111.1111111111
K,U,62700.00000000001
Ca,H,3679666666.6666675
Ca,Li,461111.1111111112
Ca,Be,193666.6666666667
Ca,B,1152777.777777778
Ca,C,9222222.222222224
Ca,O,1509262777777.778
Ca,F,107900000.00000001
Ca,Na,18499777777.77778
Ca,Mg,15041444444.444447
Ca,Al,20872194444.444447
Ca,Si,39010000000.00001
Ca,P,72625000.0
Ca,S,16138888.888888892
Ca,Cl,40116666.66666667
Ca,K,1445583333.3333335
Ca,Ca,3273888.8888888895
Ca,Ti,256377777.77777782
Ca,V,19366666.666666668
Ca,Mn,438055555.5555556
Ca,Fe,38940833333.333336
Ca,Co,2305555.555555556
Ca,Ni,5810000.000000001
Ca,Cu,38733333.333333336
Ca,Zn,16138888.88888889
Ca,As,5893000.000000001
Ca,Y,2282500.0
Ca,Mo,110666.66666666667
Ca,Sn,53027.77777777778
Ca,Sb,18444.44444444445
Ca,Te,23.055555555555557
Ca,Ba,9798611.111111112
Ca,La,899166.6666666667
Ca,Ce,6132777.777777779
Ca,W,57638.8888888889
Ca,Pb,1613888.888888889
Ca,Bi,195.97222222222226
Ca,Th,221333.33333333334
Ca,U,186750.00000000006
Sc,H,17111.111111111113
Sc,O,5634444.444444445
Sc,Sc,12.222222222222223
Sc,As,22.000000000000004
Ti,H,25946666.66666667
Ti,Be,8648.888888888889
Ti,O,21359666666.666668
Ti,F,3614000.0000000005
Ti,Na,364488888.88888896
Ti,Mg,71971111.11111112
Ti,Al,762646666.6666667
Ti,Si,1742133333.3333335
Ti,Cl,447888.88888888893
Ti,K,258231111.11111113
Ti,Ca,256377777.7777778
Ti,Ti,46333.333333333336
Ti,V,1112000.0
Ti,Mn,2934444.4444444445
Ti,Fe,1217331111.1111112
Ti,Cu,370666.6666666667
Ti,As,83400.00000000001
Ti,Nb,61777.77777777778
Ti,Sn,14208.888888888889
Ti,Sb,1235.5555555555557
Ti,Ba,1312777.777777778
Ti,La,120466.66666666667
Ti,Ce,205411.11111111112
Ti,Nd,128188.8888888889
Ti,Ta,6177.777777777778
Ti,Pb,43244.444444444445
V,H,1213333.3333333335
V,B,1333.3333333333335
V,N,1266.6666666666667
V,O,676133333.3333334
V,F,117000.0
V,Na,4720000.0
V,Mg,6213333.333333334
V,Al,5486666.666666667
V,Si,56400000.0
V,P,210000.0
V,S,93333.33333333334
V,Cl,48333.33333333334
V,K,2786666.666666667
V,Ca,19366666.666666668
V,Ti,1112000.0
V,V,1733.3333333333335
V,Mn,190000.0
V,Fe,7506666.666666667
V,Cu,28000.000000000004
V,Ge,100.0
V,As,3120.0000000000005
V,Rb,6000.0
V,Mo,240.0
V,Ag,5.0
V,Sn,306.6666666666667
V,Sb,40.00000000000001
V,Cs,200.0
V,Ba,28333.333333333336
V,W,166.66666666666669
V,Hg,5.666666666666668
V,Pb,3733.3333333333335
Cr,H,238000.00000000003
Cr,O,78370000.0
Cr,P,59500.00000000001
Cr,Cr,170.0
Cr,Mn,53833.333333333336
Cr,Cu,6800.000000000001
Cr,Zn,3966.666666666667
Cr,As,306.00000000000006
Cr,Mo,68.0
Cr,Pb,2380.0
Mn,H,51722222.22222223
Mn,Be,1477.7777777777778
Mn,C,211111.11111111112
Mn,O,19464444444.444447
Mn,Na,161922222.22222224
Mn,Mg,209052777.7777778
Mn,Al,217180555.55555555
Mn,Si,2530166666.666667
Mn,P,554166.6666666667
Mn,S,1293055.5555555557
Mn,Cl,306111.1111111111
Mn,Ca,438055555.5555556
Mn,Ti,2934444.4444444445
Mn,V,190000.00000000003
Mn,Cr,53833.333333333336
Mn,Mn,45916.66666666667
Mn,Fe,445708333.3333334
Mn,Cu,158333.33333333337
Mn,Zn,369444.44444444444
Mn,As,82650.00000000001
Mn,Sr,195277.7777777778
Mn,Ag,118.75
Mn,Sb,738.888888888889
Mn,Ba,224305.5555555556
Mn,La,41166.66666666667
Mn,Ce,140388.8888888889
Mn,Nd,43805.55555555556
Mn,Tl,897.2222222222223
Mn,Pb,59111.11111111112
Fe,H,4378888888.888888
Fe,Li,625555.5555555555
Fe,B,625555.5555555555
Fe,O,1845639111111.111
Fe,F,73190000.0
Fe,Na,21406511111.11111
Fe,Mg,13117900000.0
Fe,Al,36038255555.55556
Fe,Si,88203333333.33334
Fe,P,65683333.333333336
Fe,S,251786111.1111111
Fe,Cl,22676388.888888888
Fe,K,3922233333.3333335
Fe,Ca,38940833333.33333
Fe,Ti,1217331111.1111112
Fe,V,7506666.666666667
Fe,Mn,445708333.3333333
Fe,Fe,4785500.0
Fe,Co,9383333.333333332
Fe,Ni,15764000.0
Fe,Cu,60053333.333333336
Fe,Zn,35031111.11111111
Fe,Ge,46916.666666666664
Fe,As,8613900.0
Fe,Se,1563.888888888889
Fe,Sr,23145555.555555556
Fe,Y,1032166.6666666666
Fe,Mo,337799.99999999994
Fe,Ag,11729.166666666664
Fe,Sn,143877.77777777775
Fe,Sb,56300.0
Fe,Cs,93833.33333333333
Fe,Ba,39879166.66666667
Fe,La,3659500.0
Fe,Ce,6239916.666666667
Fe,Nd,1298027.7777777778
Fe,W,78194.44444444444
Fe,Hg,2658.6111111111113
Fe,Tl,132930.55555555556
Fe,Pb,7006222.222222222
Fe,Bi,1329.3055555555557
Fe,Th,300266.6666666666
Fe,U,168900.0
Co,H,350000.0
Co,O,121652777.77777778
Co,Mg,647222.2222222222
Co,S,19444.444444444445
Co,Ca,2305555.5555555555
Co,Fe,9383333.333333334
Co,Co,444.44444444444446
Co,Ni,7000.0
Co,Cu,1666.6666666666667
Co,As,800.0
Co,Sb,5.555555555555556
Co,Pb,388.8888888888889
Co,Bi,0.47222222222222227
Co,U,37.5
Ni,H,718666.6666666667
Ni,O,365726666.6666667
Ni,S,114333.33333333334
Ni,Ca,5810000.000000001
Ni,Fe,15764000.0
Ni,Co,7000.0
Ni,Ni,1960.0000000000002
Ni,Cu,5600.000000000001
Ni,As,3528.0000000000005
Ni,Se,2.3333333333333335
Ni,Ru,0.046666666666666676
Ni,Rh,0.046666666666666676
Ni,Pd,2.1
Ni,Sb,28.0
Ni,Pb,653.3333333333334
Ni,Bi,1.1900000000000002
Ni,U,378.00000000000006
Cu,H,4526666.666666667
Cu,C,13333.333333333334
