from,to,weight
S,S,1050000.0
S,Cu,10500000.0
S,Se,4375.0
S,Ag,39375.0
S,Sb,70000.0
S,Te,350.0
S,Au,4200.0
S,Tl,148750.0
S,Pb,3675000.0
S,Bi,2231.25
Fe,Fe,14075000.0
Fe,Cu,844500000.0
Fe,Te,14075.0
Fe,Au,56300.0
Fe,Pb,197050000.0
Cu,S,10500000.0
Cu,Fe,844500000.0
Cu,Cu,135000.0
Cu,Se,750.0
Cu,Ag,3375.0
Cu,Te,60.0
Cu,Au,540.0
Cu,Pb,630000.0
Se,S,4375.0
Se,Cu,750.0
Se,Se,62.5
Se,Ag,1.875
Se,Te,0.025
Se,Au,0.25
Ag,S,39375.0
Ag,Cu,3375.0
Ag,Se,1.875
Ag,Ag,262.5
Ag,Sb,11.25
Ag,Te,0.11249999999999999
Ag,Au,1.05
Ag,Hg,1.5937500000000002
Ag,Tl,31.875
Ag,Pb,525.0
Ag,Bi,0.15937500000000002
Sn,Sn,1150.0
Sn,Au,4.6000000000000005
Sb,S,70000.0
Sb,Ag,11.25
Sb,Sb,350.0
Sb,Te,0.2
Sb,Au,1.4000000000000001
Sb,Tl,85.0
Sb,Pb,2100.0
Sb,Bi,0.42500000000000004
Te,S,350.0
Te,Fe,14075.0
Te,Cu,60.0
Te,Se,0.025
Te,Ag,0.11249999999999999
Te,Sb,0.2
Te,Te,4.5
Te,Au,0.018000000000000002
Te,Tl,0.2125
Te,Pb,24.5
Te,Bi,0.00425
Au,S,4200.0
Au,Fe,56300.0
Au,Cu,540.0
Au,Se,0.25
Au,Ag,1.05
Au,Sn,4.6
Au,Sb,1.4000000000000001
Au,Te,0.018000000000000002
Au,Au,41.0
Au,Hg,0.17
Au,Tl,2.55
Au,Pb,140.0
Au,Bi,0.0425
Hg,Ag,1.59375
Hg,Au,0.17
Hg,Hg,42.5
Tl,S,148750.0
Tl,Ag,31.875
Tl,Sb,85.0
Tl,Te,0.2125
Tl,Au,2.55
Tl,Tl,637.5
Pb,S,3675000.0
Pb,Fe,197050000.0
Pb,Cu,630000.0
Pb,Ag,525.0
Pb,Sb,2100.0
Pb,Te,24.5
Pb,Au,140.0
Pb,Pb,35000.0
Pb,Bi,59.50000000000001
Bi,S,2231.25
Bi,Ag,0.159375
Bi,Sb,0.42500000000000004
Bi,Te,0.00425
Bi,Au,0.0425
Bi,Pb,59.5
Bi,Bi,10.625
S,S,1050000.0
Cu,S,10500000.0
Se,S,4375.0
Ag,S,39375.0
Sb,S,70000.0
Te,S,350.0
Au,S,4200.0
Tl,S,148750.0
Pb,S,3675000.0
Bi,S,2231.25
Fe,Fe,14075000.0
Cu,Fe,844500000.0
Te,Fe,14075.0
Au,Fe,56300.0
Pb,Fe,197050000.0
S,Cu,10500000.0
Fe,Cu,844500000.0
Cu,Cu,135000.0
Se,Cu,750.0
Ag,Cu,3375.0
Te,Cu,60.0
Au,Cu,540.0
Pb,Cu,630000.0
S,Se,4375.0
Cu,Se,750.0
Se,Se,62.5
Ag,Se,1.875
Te,Se,0.025
Au,Se,0.25
S,Ag,39375.0
Cu,Ag,3375.0
Se,Ag,1.875
Ag,Ag,262.5
Sb,Ag,11.25
Te,Ag,0.11249999999999999
Au,Ag,1.05
Hg,Ag,1.5937500000000002
Tl,Ag,31.875
Pb,Ag,525.0
Bi,Ag,0.15937500000000002
Sn,Sn,1150.0
Au,Sn,4.6000000000000005
S,Sb,70000.0
Ag,Sb,11.25
Sb,Sb,350.0
Te,Sb,0.2
Au,Sb,1.4000000000000001
Tl,Sb,85.0
Pb,Sb,2100.0
Bi,Sb,0.42500000000000004
S,Te,350.0
Fe,Te,14075.0
Cu,Te,60.0
Se,Te,0.025
Ag,Te,0.11249999999999999
Sb,Te,0.2
Te,Te,4.5
Au,Te,0.018000000000000002
Tl,Te,0.2125
Pb,Te,24.5
Bi,Te,0.00425
S,Au,4200.0
Fe,Au,56300.0
Cu,Au,540.0
Se,Au,0.25
Ag,Au,1.05
Sn,Au,4.6
Sb,Au,1.4000000000000001
Te,Au,0.018000000000000002
Au,Au,41.0
Hg,Au,0.17
Tl,Au,2.55
Pb,Au,140.0
Bi,Au,0.0425
Ag,Hg,1.59375
Au,Hg,0.17
Hg,Hg,42.5
S,Tl,148750.0
Ag,Tl,31.875
Sb,Tl,85.0
Te,Tl,0.2125
Au,Tl,2.55
Tl,Tl,637.5
S,Pb,3675000.0
Fe,Pb,197050000.0
Cu,Pb,630000.0
Ag,Pb,525.0
Sb,Pb,2100.0
Te,Pb,24.5
Au,Pb,140.0
Pb,Pb,35000.0
Bi,Pb,59.50000000000001
S,Bi,2231.25
Ag,Bi,0.159375
Sb,Bi,0.42500000000000004
Te,Bi,0.00425
Au,Bi,0.0425
Pb,Bi,59.5
Bi,Bi,10.625
