from,to,weight
H,H,28840.0
H,Li,28000.0
H,Be,1960.0
H,B,288400.0
H,C,392000.0
H,N,7980.0
H,O,13230700000.0
H,F,1638000.0
H,Na,171808000.0
H,Mg,202244000.0
H,Al,691320000.0
H,Si,3276840000.0
H,P,441000.0
H,S,441000.0
H,Cl,609000.0
H,K,32186000.0
H,Ca,546140000.0
H,Ti,3892000.0
H,V,67200.0
H,Cr,57120.0
H,Mn,2261000.0
H,Fe,157640000.0
H,Cu,33600.0
H,As,504.0
H,Rb,12600.0
H,Sr,466200.0
H,Y,18480.0
H,Zr,46200.0
H,Nb,5600.0
H,Sn,322.0
H,Cs,420.0
H,Ba,357000.0
H,La,10920.0
H,Ce,65170.0
H,Nd,5810.0
H,Ta,280.0
H,Pb,9800.0
H,Th,2688.0
H,U,378.0
Li,H,28000.0
Li,Li,20.0
Li,Be,5.6
Li,B,200.0
Li,O,9220000.0
Li,F,3510.0
Li,Na,188800.0
Li,Mg,46600.0
Li,Al,1316800.0
Li,Si,5076000.0
Li,Cl,290.0
Li,Ca,249000.0
Li,Fe,112600.0
Li,La,78.0
Li,Ce,133.0
Li,Nd,83.0
Li,Th,19.2
Be,H,1959.9999999999998
Be,Li,5.6
Be,Be,3.6399999999999997
Be,B,36.4
Be,O,1678039.9999999998
Be,F,491.4
Be,Na,6607.999999999999
Be,Mg,13047.999999999998
Be,Al,161307.99999999997
Be,Si,631679.9999999999
Be,Cl,81.19999999999999
Be,K,17555.999999999996
Be,Ca,81339.99999999999
Be,Mn,532.0
Be,Fe,47291.99999999999
Be,Rb,25.199999999999996
Be,Y,18.479999999999997
Be,Sn,0.6439999999999999
Be,Cs,2.5199999999999996
Be,Ba,118.99999999999999
Be,La,10.919999999999998
Be,Ce,55.85999999999999
Be,Nd,11.62
Be,Pb,3.9199999999999995
Be,Th,5.3759999999999994
Be,U,0.756
B,H,288400.0
B,Li,200.0
B,Be,36.4
B,B,301.0
B,C,2800.0
B,N,76.0
B,O,135995000.0
B,F,22230.0
B,Na,1557600.0
B,Mg,2306700.0
B,Al,7160100.0
B,Si,35814000.0
B,P,7350.0
B,S,3150.0
B,Cl,5655.0
B,K,459800.0
B,Ca,5021500.0
B,Ti,66720.0
B,V,720.0
B,Cr,510.0
B,Mn,31350.0
B,Fe,2927600.0
B,Ni,84.0
B,Cu,360.0
B,Zn,70.0
B,As,14.4
B,Rb,180.0
B,Sr,3700.0
B,Y,462.0
B,Zr,495.0
B,Nb,100.0
B,Mo,2.4
B,Sn,16.099999999999998
B,Sb,0.6000000000000001
B,Cs,18.0
B,Ba,6375.0
B,La,195.0
B,Ce,997.5
B,Nd,41.5
B,Ta,6.0
B,W,2.5
B,Pb,112.0
B,Th,28.799999999999997
B,U,2.7
