from,to,weight
H,H,546.8235294117646
H,Li,131.76470588235293
H,Be,36.89411764705882
H,B,197.6470588235294
H,C,9223.529411764704
H,O,252085647.05882353
H,F,63592.94117647059
H,Na,4819952.94117647
H,Mg,1842070.588235294
H,Al,14910823.529411763
H,Si,90107294.11764705
H,P,124517.64705882352
H,S,6917.64705882353
H,Cl,5731.764705882353
H,K,2822729.411764706
H,Ca,6288470.588235294
H,Sc,72.47058823529412
H,Ti,860818.8235294118
H,V,5138.823529411764
H,Mn,109529.41176470587
H,Fe,8716564.705882352
H,Cu,395.2941176470588
H,Zn,461.17647058823525
H,As,53.36470588235294
H,Se,0.16470588235294117
H,Sr,20720.0
H,Y,543.5294117647059
H,Zr,1630.5882352941176
H,Nb,1449.4117647058822
H,Mo,3.952941176470588
H,Ba,232400.0
H,La,256.94117647058823
H,Ce,2409.6470588235293
H,Gd,20.423529411764704
H,Dy,17.129411764705882
H,W,4.117647058823529
H,Pb,184.47058823529412
H,Th,63.24705882352941
H,U,133.41176470588235
Li,H,131.76470588235293
Li,Li,0.09411764705882353
Li,Be,0.13176470588235292
Li,O,43388.23529411764
Li,Mg,1096.4705882352941
Li,Al,3872.9411764705883
Li,Si,13270.588235294117
Li,P,49.411764705882355
Li,Ba,40.0
Be,H,36.89411764705882
Be,Li,0.13176470588235292
Be,Be,0.04611764705882353
Be,B,0.06588235294117646
Be,O,21260.235294117647
Be,F,7.708235294117646
Be,Si,3715.7647058823527
Be,P,34.588235294117645
Be,Cl,0.9552941176470587
Be,K,137.69411764705882
Be,Ca,546.8235294117646
Be,Y,0.21741176470588233
Be,Ba,19.599999999999998
Be,Pb,0.09223529411764705
B,H,197.6470588235294
B,Be,0.06588235294117646
B,B,0.3529411764705882
B,O,162705.88235294117
B,F,82.58823529411764
B,Na,2221.176470588235
B,Mg,1096.4705882352941
B,Si,99529.41176470587
B,P,24.705882352941178
B,Cl,13.647058823529411
B,K,1967.0588235294117
B,Ca,6835.2941176470595
B,Ti,784.9411764705882
B,V,2.8235294117647056
B,Mn,22.352941176470587
B,Fe,2649.4117647058824
B,Sr,8.705882352941176
B,Y,3.1058823529411765
B,Zr,3.8823529411764706
