from,to,weight
H,H,37000.0
H,Li,70000.0
H,Be,103600.0
H,B,25000.0
H,C,100000.0
H,O,17057000000.0
H,F,2340000.0
H,Na,212400000.0
H,Mg,69900000.0
H,Al,658400000.0
H,Si,5358000000.0
H,P,14700000.0
H,Cl,72500.0
H,K,62700000.0
H,Ca,850750000.0
H,Mn,6650000.0
H,Fe,309650000.0
H,Zn,105000.0
H,As,2700.0
H,Y,49500.0
H,Zr,247500.0
H,Sn,2300.0
H,Cs,1500.0
H,Ba,850000.0
H,La,19500.0
H,Ce,133000.0
H,Nd,41500.0
H,Yb,1600.0
H,Pb,7000.0
H,Th,9600.0
H,U,1350.0
Li,H,70000.0
Li,Li,85.71428571428572
Li,Be,240.0
Li,B,71.42857142857143
Li,O,39514285.71428572
Li,F,8357.142857142857
Li,Na,842857.142857143
Li,Al,2351428.5714285714
Li,Si,14100000.0
Li,P,37500.0
Li,K,597142.8571428572
Li,Ca,1778571.4285714286
Li,Ti,39714.28571428572
Li,Fe,402142.85714285716
Li,Zr,2357.1428571428573
Li,Cs,64.28571428571429
Li,Ba,3035.714285714286
Li,La,278.5714285714286
Li,Ce,475.0
Li,Nd,296.42857142857144
Li,Th,68.57142857142857
Be,H,103600.0
Be,Li,240.0
Be,Be,132.0
Be,B,130.0
Be,C,200.0
Be,O,60852000.0
Be,F,8190.0
Be,Na,755200.0
Be,Mg,419400.0
Be,Al,3209700.0
Be,Si,21996000.0
Be,P,34650.0
Be,S,1050.0
Be,Cl,435.0
Be,K,376200.0
Be,Ca,2448500.0
Be,Sc,44.0
Be,Ti,33360.0
Be,V,120.0
Be,Cr,306.0
Be,Mn,17100.0
Be,Fe,1407500.0
Be,Zn,420.0
Be,As,7.2
Be,Rb,90.0
Be,Sr,370.0
Be,Y,297.0
Be,Zr,495.0
Be,Sn,9.2
Be,Sb,0.4
Be,Cs,21.0
Be,Ba,2975.0
Be,La,78.0
Be,Ce,465.5
Be,Nd,166.0
Be,Yb,3.2
Be,Pb,28.0
Be,Th,19.2
Be,U,2.7
B,H,25000.0
