from,to,weight
H,H,7247058.823529412
H,N,6258823.529411765
H,O,3264964705882.353
H,Na,3887058823.529412
H,Mg,3837647058.8235292
H,Al,13555294117.647058
H,Si,46447058823.52941
H,P,1902352941.1764705
H,S,230588235.29411766
H,Cl,47764705.88235294
H,K,3442352941.1764708
H,Ca,13670588235.294117
H,V,98823529.41176471
H,Cr,16800000.0
H,Fe,102002352941.17648
H,Co,16470588.235294117
H,Ni,13835294.11764706
H,Cu,79058823.52941176
H,As,4150588.2352941176
H,Se,8235.29411764706
H,Mo,592941.1764705882
H,Te,329.4117647058824
H,Pb,11529411.764705881
H,Bi,61600.0
H,U,3112941.1764705884
C,C,70588.23529411765
C,O,32541176470.588234
C,F,13764705.88235294
C,Ca,1952941176.4705882
C,Bi,600.0
N,H,6258823.529411764
N,N,4470.588235294117
N,O,1030470588.235294
N,Na,52752941.176470585
N,S,782352.9411764705
N,Cl,324117.6470588235
N,K,46717647.058823526
N,Bi,38.0
O,H,3264964705882.353
O,C,32541176470.588234
O,N,1030470588.2352941
O,O,4501529411.764706
O,F,95182941176.47058
O,Na,6399764705882.354
O,Mg,1263682352941.1765
O,Al,4463564705882.353
O,Si,45883058823529.414
O,P,683364705882.3529
O,S,208805882352.9412
O,Cl,47184705882.35294
O,K,2267035294117.647
O,Ca,9003058823529.412
O,V,52065882352.94118
O,Cr,11064000000.0
O,Fe,36641364705882.35
O,Co,5423529411.764706
O,Ni,9111529411.764706
O,Cu,39049411764.70589
O,As,1757223529.4117649
O,Se,5423529.4117647065
O,Nb,2169411764.7058825
O,Mo,455576470.58823526
O,Sb,10847058.823529413
O,Te,379647.05882352946
O,Ta,433882352.9411765
O,W,67794117.64705883
O,Tl,46100000.0
O,Pb,4555764705.882353
O,Bi,38263000.00000001
O,U,1025047058.8235296
F,C,13764705.88235294
F,O,95182941176.47058
F,F,275294.1176470588
F,Na,1624235294.117647
F,Ca,2856176470.588235
F,Ta,137647.0588235294
F,Bi,2340.0
Na,H,3887058823.529412
Na,N,52752941.176470585
Na,O,6399764705882.353
Na,F,1624235294.117647
Na,Na,13882352.94117647
Na,S,2915294117.647059
Na,Cl,402588235.2941176
Na,K,58028235294.117645
Na,Cu,166588235.29411763
Na,Mo,3331764.705882353
Na,Ta,5552941.176470588
Na,Bi,118000.0
Mg,H,3837647058.8235292
Mg,O,1263682352941.1765
Mg,Mg,2741176.470588235
Mg,Fe,154328235294.11765
Mg,Co,68529411.76470588
Mg,As,4934117.647058823
Mg,Bi,23300.0
Al,H,13555294117.647058
Al,O,4463564705882.353
Al,Al,9682352.94117647
Al,P,10166470588.235294
Al,Bi,82300.0
Si,H,46447058823.52941
Si,O,45883058823529.414
Si,Si,99529411.76470588
Si,Fe,1867835294117.647
Si,Bi,846000.0
P,H,1902352941.1764705
P,O,683364705882.3529
P,Al,10166470588.235294
P,P,1482352.9411764704
P,Cl,17911764.70588235
P,Ca,5126470588.235293
P,Fe,27818823529.411762
P,Cu,14823529.411764706
P,As,222352.94117647057
P,Pb,3458823.5294117643
P,Bi,12600.0
P,U,1000588.2352941177
S,H,230588235.29411766
S,N,782352.9411764706
S,O,208805882352.9412
S,Na,2915294117.647059
S,S,5147058.823529412
S,Cl,29852941.17647059
S,K,1721176470.5882354
S,Mn,39117647.058823526
S,Fe,18545882352.941177
S,Ni,20752941.17647059
S,Cu,118588235.29411764
S,As,370588.2352941176
S,Se,24705.88235294118
S,Br,98823.5294117647
S,Pd,1852.9411764705883
S,Ag,98823.5294117647
S,Cd,12352.941176470587
S,In,20588.235294117647
S,Sn,284117.6470588235
S,Sb,148235.29411764708
S,Te,576.4705882352941
S,I,18529.41176470588
S,Ir,41.1764705882353
S,Pt,411.7647058823529
S,Au,494.11764705882354
S,Hg,3500.0
S,Tl,35000.0
S,Pb,42658823.52941176
S,Bi,43750.0
Cl,H,47764705.88235293
Cl,N,324117.6470588235
Cl,O,47184705882.352936
Cl,Na,402588235.29411757
Cl,P,17911764.70588235
Cl,S,29852941.176470585
Cl,Cl,187647.0588235294
Cl,K,356529411.76470584
Cl,Ca,707941176.4705881
Cl,Fe,1920823529.4117644
Cl,Cu,3070588.2352941176
Cl,As,61411.76470588234
Cl,Se,852.9411764705882
Cl,Cd,2558.8235294117644
Cl,Sn,39235.29411764705
Cl,Tl,14499.999999999998
