from,to,weight
H,H,3500.0
H,N,44333.333333333336
H,O,1613500000.0
H,F,341250.0
H,S,204166.6666666667
H,Cl,253750.00000000003
H,K,12191666.666666668
H,Cu,35000.0
H,As,2100.0
H,Br,8400.0
H,I,262.5
H,Hg,148.75000000000003
C,C,83.33333333333334
C,O,38416666.66666667
C,Cl,12083.333333333334
C,Br,200.00000000000003
C,I,37.50000000000001
C,Hg,7.083333333333335
N,H,44333.333333333336
N,N,31.666666666666668
N,O,14598333.333333334
N,S,2770.8333333333335
N,Cl,3443.75
N,K,165458.33333333334
N,As,28.5
N,Br,76.0
N,I,3.5625
N,Hg,1.3458333333333334
O,H,1613500000.0
O,C,38416666.66666667
O,N,14598333.333333334
O,O,2305000.0
O,F,112368750.0
O,S,67229166.66666667
O,Cl,222816666.6666667
O,K,4014541666.666667
O,Cu,34575000.0
O,As,691500.0
O,Br,5532000.0
O,Sb,38416.66666666667
O,I,345750.0
O,Hg,114289.58333333334
O,Pb,5378333.333333334
F,H,341250.0
F,O,112368750.0
F,F,243.75
F,Cu,14625.0
F,Br,585.0
S,H,204166.6666666667
S,N,2770.8333333333335
S,O,67229166.66666667
S,S,729.1666666666667
S,Cl,84583.33333333334
S,Br,1750.0
S,Ag,10.9375
S,I,196.875
S,Hg,49.58333333333334
S,Bi,1.2395833333333335
Cl,H,253750.00000000003
Cl,C,12083.333333333334
Cl,N,3443.75
Cl,O,222816666.6666667
Cl,S,84583.33333333334
Cl,Cl,785.4166666666667
Cl,K,1262708.3333333335
Cl,Cu,3625.0000000000005
Cl,As,108.75000000000001
Cl,Br,1885.0
Cl,Ag,4.53125
Cl,Sb,12.083333333333336
Cl,I,163.12500000000003
Cl,Hg,51.35416666666668
Cl,Tl,51.35416666666667
Cl,Pb,845.8333333333334
K,H,12191666.666666668
K,N,165458.33333333334
K,O,4014541666.666667
K,Cl,1262708.3333333335
K,K,8708.333333333334
K,As,15675.000000000002
K,Br,20900.0
Cu,H,35000.0
Cu,O,34575000.0
Cu,F,14625.0
Cu,Cl,3625.0
Cu,Cu,75.0
Cu,Br,180.0
Cu,Pb,700.0
As,H,2100.0
As,N,28.5
As,O,691500.0
As,Cl,108.75
As,K,15675.0
As,As,1.5
As,Br,3.5999999999999996
Br,H,8400.0
Br,C,200.0
Br,N,76.0
Br,O,5532000.0
Br,F,585.0
Br,S,1750.0
Br,Cl,1885.0
Br,K,20900.0
Br,Cu,180.0
Br,As,3.6
Br,Br,19.0
Br,Ag,0.15
Br,Sb,0.2
Br,I,2.7
Br,Hg,0.935
Br,Tl,0.85
Br,Pb,28.0
Br,Bi,0.0085
Ag,S,10.9375
Ag,Cl,4.53125
Ag,Br,0.15
Ag,Ag,0.0625
Ag,I,0.0140625
Ag,Hg,0.00265625
Sb,O,38416.66666666667
Sb,Cl,12.083333333333334
Sb,Br,0.2
Sb,Sb,0.08333333333333334
Sb,Hg,0.007083333333333335
I,H,262.5
I,C,37.5
I,N,3.5625
I,O,345750.0
I,S,196.875
I,Cl,163.125
I,Br,2.6999999999999997
I,Ag,0.014062499999999999
I,I,1.125
I,Hg,0.095625
Hg,H,148.75000000000003
Hg,C,7.083333333333335
Hg,N,1.3458333333333337
Hg,O,114289.58333333334
Hg,S,49.58333333333334
Hg,Cl,51.35416666666668
Hg,Br,0.935
Hg,Ag,0.00265625
Hg,Sb,0.007083333333333335
Hg,I,0.09562500000000002
Hg,Hg,0.3895833333333334
Tl,Cl,51.35416666666667
Tl,Br,0.85
Tl,Tl,0.3541666666666667
Pb,O,5378333.333333334
Pb,Cl,845.8333333333334
Pb,Cu,700.0000000000001
Pb,Br,28.000000000000004
Pb,Pb,11.666666666666668
Bi,S,1.2395833333333335
Bi,Br,0.0085
Bi,Bi,0.003541666666666667
H,H,3500.0
N,H,44333.333333333336
O,H,1613500000.0
F,H,341250.0
S,H,204166.6666666667
Cl,H,253750.00000000003
K,H,12191666.666666668
Cu,H,35000.0
As,H,2100.0
Br,H,8400.0
I,H,262.5
Hg,H,148.75000000000003
C,C,83.33333333333334
O,C,38416666.66666667
Cl,C,12083.333333333334
Br,C,200.00000000000003
I,C,37.50000000000001
Hg,C,7.083333333333335
H,N,44333.333333333336
N,N,31.666666666666668
O,N,14598333.333333334
S,N,2770.8333333333335
Cl,N,3443.75
K,N,165458.33333333334
As,N,28.5
Br,N,76.0
I,N,3.5625
Hg,N,1.3458333333333334
H,O,1613500000.0
C,O,38416666.66666667
N,O,14598333.333333334
O,O,2305000.0
F,O,112368750.0
S,O,67229166.66666667
Cl,O,222816666.6666667
K,O,4014541666.666667
Cu,O,34575000.0
As,O,691500.0
Br,O,5532000.0
Sb,O,38416.66666666667
I,O,345750.0
Hg,O,114289.58333333334
Pb,O,5378333.333333334
H,F,341250.0
O,F,112368750.0
F,F,243.75
Cu,F,14625.0
Br,F,585.0
H,S,204166.6666666667
N,S,2770.8333333333335
O,S,67229166.66666667
S,S,729.1666666666667
