from,to,weight
H,H,2387.0
H,Li,420.0
H,Be,19.599999999999998
H,B,980.0
H,C,477400.0
H,N,3059.0
H,O,1055229000.0
H,F,73710.0
H,Na,11398800.0
H,Mg,9949100.0
H,Al,31685500.0
H,Si,96726000.0
H,P,161700.0
H,S,88200.0
H,Cl,23345.0
H,K,2194500.0
H,Ca,31955000.0
H,Ti,77840.0
H,V,5040.0
H,Cr,3570.0
H,Mn,126350.0
H,Fe,9064300.0
H,Co,700.0
H,Ni,8232.0
H,Cu,16380.0
H,Zn,8330.0
H,Ge,10.5
H,As,50.4
H,Sr,33670.0
H,Y,7161.0
H,Zr,10395.0
H,Nb,560.0
H,Te,0.014
H,Ba,41650.0
H,La,4914.0
H,Ce,10241.0
H,Pr,64.39999999999999
H,Nd,5229.0
H,Sm,148.05
H,Gd,173.6
H,Dy,109.19999999999999
H,Er,24.5
H,Yb,22.400000000000002
H,Ta,14.0
H,W,8.75
H,Hg,1.7850000000000001
H,Pb,2744.0
H,Th,134.4
H,U,774.9000000000001
Li,H,420.0
Li,Li,0.4
Li,C,80.0
Li,O,184400.0
Li,F,117.0
Li,Na,4720.0
Li,Al,8230.0
Li,P,210.0
Li,Ca,4150.0
Li,Y,6.6000000000000005
Li,Zr,16.5
Be,H,19.599999999999998
Be,Be,0.013999999999999999
Be,C,2.8
Be,O,6453.999999999999
Be,Na,330.4
B,H,980.0
B,B,0.7000000000000001
B,C,140.0
B,O,322700.0
B,F,29.25
B,Na,1180.0
B,Mg,8155.0
B,Al,8230.0
B,Si,56400.0
B,Cl,21.75
B,Ca,16600.0
B,Mn,47.5
B,Cu,3.0
B,Y,1.6500000000000001
B,Pb,2.1
C,H,477400.0
C,Li,80.0
C,Be,2.8
C,B,140.0
C,C,471.0
C,N,437.0
C,O,203762000.0
C,F,27495.0
C,Na,2690400.0
C,Mg,1700900.0
C,Al,5020300.0
C,Si,19176000.0
C,P,30450.0
C,S,16450.0
C,Cl,4785.0
C,K,480700.0
C,Ca,6598500.0
C,Ti,33360.0
C,V,840.0
C,Cr,816.0
C,Mn,26600.0
C,Fe,2026800.0
C,Co,125.0
C,Ni,1428.0
C,Cu,2580.0
C,Zn,1330.0
C,Ge,1.5
C,As,7.2
C,Br,2.4
C,Sr,8510.0
C,Y,1188.0
C,Zr,1650.0
C,Nb,100.0
C,Cd,0.15
C,Te,0.004
C,I,0.45
C,Ba,15300.0
C,La,1170.0
C,Ce,3059.0
C,Pr,9.2
C,Nd,954.5
C,Sm,21.15
C,Gd,24.8
C,Dy,15.600000000000001
C,Er,3.5
C,Yb,3.2
C,Ta,6.0
C,W,2.5
C,Hg,0.42500000000000004
C,Pb,490.0
C,Bi,0.025500000000000002
C,Th,28.799999999999997
C,U,118.80000000000001
N,H,3059.0
N,C,437.0
N,N,2.185
N,O,963490.0
N,Na,8968.0
N,Mg,2213.5
N,Al,23455.5
N,Si,53580.0
N,P,399.0
N,S,66.5
N,Cl,41.325
N,V,11.4
N,Co,2.375
N,Ni,7.98
N,Cu,22.8
O,H,1055229000.0
O,Li,184400.0
O,Be,6454.0
O,B,322700.0
O,C,203762000.0
O,N,963490.0
O,O,1018810.0
O,F,63375975.0
O,Na,6201372000.0
O,Mg,3920574500.0
O,Al,11571791500.0
O,Si,43550670000.0
O,P,70187250.0
O,S,37917250.0
O,Cl,11029425.0
O,K,1108013500.0
O,Ca,15209542500.0
O,Ti,64079000.0
O,V,1659600.0
O,Cr,1175550.0
O,Mn,61313000.0
O,Fe,3893145000.0
O,Co,288125.0
O,Ni,2710680.0
O,Cu,5946900.0
O,Zn,3065650.0
