from,to,weight
H,H,35.05060240963856
H,Li,10.120481927710843
H,Be,3.872771084337349
H,B,31.710843373493972
H,C,742.1686746987953
H,N,5.127710843373494
H,O,16158327.710843373
H,F,1894.55421686747
H,Na,235658.79518072287
H,Mg,139126.26506024096
H,Al,955076.6265060242
H,Si,4728086.746987952
H,P,5419.518072289156
H,S,1168.9156626506024
H,Cl,391.3253012048193
H,K,100823.61445783133
H,Ca,1454600.0
H,Sc,3.710843373493976
H,Ti,10878.843373493975
H,V,242.89156626506022
H,Cr,37.850602409638554
H,Mn,5287.951807228916
H,Fe,434934.45783132536
H,Co,3.3734939759036147
H,Ni,11.334939759036144
H,Cu,115.3734939759036
H,Zn,80.28915662650603
H,Ge,0.10120481927710843
H,As,6.9224096385542175
H,Se,0.005060240963855422
H,Sr,611.6144578313254
H,Y,34.51084337349398
H,Zr,222.65060240963857
H,Nb,31.710843373493972
H,Mo,0.3643373493975903
H,Cd,0.005060240963855421
H,Sn,0.5431325301204819
H,Sb,0.04048192771084338
H,Te,0.00020240963855421687
H,I,0.0455421686746988
H,Cs,0.5060240963855421
H,Ba,659.5180722891566
H,La,23.68192771084337
H,Ce,109.92530120481929
H,Nd,15.399999999999999
H,Sm,0.23783132530120482
H,Gd,0.4183132530120482
H,Dy,0.35084337349397593
H,Er,0.11807228915662651
H,Yb,0.10795180722891567
H,Ta,0.20240963855421687
H,W,0.29518072289156627
H,Pb,10.862650602409639
H,Bi,0.0005734939759036145
H,Th,4.533975903614458
H,U,5.556144578313253
Li,H,10.120481927710843
Li,Li,0.010602409638554217
Li,Be,0.008096385542168674
Li,B,0.014457831325301203
Li,C,0.09638554216867469
Li,O,4665.542168674699
Li,F,3.3831325301204815
Li,Na,113.73493975903614
Li,Mg,33.68674698795181
Li,Al,277.6385542168674
Li,Si,1766.7469879518071
Li,P,3.0361445783132526
Li,Cl,0.06987951807228915
Li,K,70.50602409638553
Li,Ca,440.0
Li,Ti,13.397590361445781
Li,Mn,1.8313253012048192
Li,Fe,135.66265060240963
Li,As,0.0008674698795180722
Li,Sr,0.17831325301204817
Li,Y,0.015903614457831325
Li,Zr,0.15903614457831325
Li,Sn,0.0011084337349397588
Li,La,0.018795180722891564
Li,Ce,0.03204819277108434
Li,Nd,0.02
Li,Th,0.004626506024096385
Be,H,3.872771084337349
Be,Li,0.008096385542168672
Be,Be,0.003980722891566264
Be,B,0.004722891566265059
Be,O,1835.1132530120478
Be,F,0.3157590361445783
Be,Na,17.515180722891564
Be,Mg,11.004337349397588
Be,Al,88.84433734939758
Be,Si,703.9807228915661
Be,P,1.3460240963855419
Be,Cl,0.01956626506024096
Be,K,9.870843373493974
Be,Ca,165.19999999999996
Be,Ti,1.5005301204819275
Be,Mn,0.7050602409638553
Be,Fe,49.3812048192771
Be,Zn,0.014168674698795177
Be,As,0.0003643373493975903
Be,Y,0.011132530120481925
Be,Sn,0.00031036144578313246
