from,to,weight
H,H,112000.0
H,O,51632000000.0
H,F,5460000.0
H,Al,768133333.3333334
H,P,19600000.0
H,S,26133333.333333336
H,K,195066666.6666667
H,Ca,387333333.3333334
H,Cu,4480000.0
H,Zn,1960000.0
H,As,50400.0
H,Cd,16800.0
C,C,1333.3333333333335
C,O,614666666.6666667
C,Cd,200.00000000000003
O,H,51632000000.0
O,C,614666666.6666667
O,O,49173333.333333336
O,F,1797900000.0
O,Al,252935333333.33334
O,P,6454000000.0
O,S,8605333333.333334
O,Cl,891266666.6666667
O,K,128465333333.33334
O,Ca,127543333333.33334
O,Cu,1659600000.0
O,Zn,645400000.0
O,As,22128000.0
O,Se,153666.6666666667
O,Cd,7376000.0
O,Pb,43026666.66666667
F,H,5460000.0
F,O,1797900000.0
F,F,3900.0
F,Al,320970000.0
F,P,4095000.0
F,Cu,234000.0
F,Cd,585.0
Al,H,768133333.3333335
Al,O,252935333333.33337
Al,F,320970000.00000006
Al,Al,548666.6666666667
Al,P,576100000.0000001
Al,Cu,32920000.000000004
Al,Cd,82300.00000000001
P,H,19600000.0
P,O,6454000000.0
P,F,4095000.0
P,Al,576100000.0
P,P,14000.0
P,S,2450000.0
P,Cu,840000.0
P,Cd,2100.0
S,H,26133333.333333336
S,O,8605333333.333334
S,P,2450000.0
S,S,46666.66666666667
S,Cl,338333.3333333334
S,Ca,96833333.33333334
S,Mn,2216666.666666667
S,Fe,394100000.0
S,Cu,1400000.0
S,Zn,326666.6666666667
S,Ge,3500.0
S,As,12600.0
S,Ag,525.0
S,Cd,7000.0
S,In,1166.6666666666667
S,Sn,5366.666666666667
S,Sb,933.3333333333335
S,Pb,163333.33333333334
S,Bi,39.66666666666667
Cl,O,891266666.6666667
Cl,S,338333.3333333334
Cl,Cl,2900.0
Cl,K,20203333.333333336
Cl,Cu,58000.00000000001
Cl,As,3480.0000000000005
Cl,Se,48.33333333333334
Cl,Cd,435.0
Cl,Pb,27066.666666666668
Cl,Bi,8.216666666666669
K,H,195066666.6666667
K,O,128465333333.33334
K,Cl,20203333.333333336
K,K,278666.6666666667
K,Cu,16720000.000000002
K,As,250800.00000000003
K,Se,6966.666666666668
K,Cd,41800.0
Ca,H,387333333.3333334
Ca,O,127543333333.33334
Ca,S,96833333.33333334
Ca,Ca,276666.6666666667
Ca,Cu,16600000.000000002
Ca,Zn,19366666.666666668
Ca,Cd,41500.0
Mn,S,2216666.666666667
Mn,Mn,6333.333333333334
Mn,Fe,356566666.6666667
Mn,Ag,475.0
Mn,Cd,950.0
Mn,In,1583.3333333333335
Mn,Sb,1266.666666666667
Mn,Pb,88666.66666666667
Fe,S,394100000.00000006
Fe,Mn,356566666.6666667
Fe,Fe,1126000.0
Fe,Cu,45040000.00000001
Fe,Zn,26273333.333333336
Fe,Ag,28150.000000000004
Fe,Cd,168900.00000000003
Fe,In,93833.33333333334
Fe,Sn,863266.6666666667
Fe,Sb,75066.66666666667
Fe,Pb,10509333.333333334
Cu,H,4480000.0
Cu,O,1659600000.0
Cu,F,234000.0
Cu,Al,32920000.0
Cu,P,840000.0
Cu,S,1400000.0
Cu,Cl,58000.0
Cu,K,16720000.0
Cu,Ca,16600000.0
Cu,Fe,45040000.0
Cu,Cu,6000.0
Cu,Zn,84000.0
Cu,Ge,600.0
Cu,As,2160.0
Cu,Se,40.0
Cu,Ag,30.0
Cu,Cd,900.0
Cu,Sn,919.9999999999999
Cu,Sb,160.0
Cu,Pb,5600.0
Zn,H,1960000.0
Zn,O,645400000.0
Zn,S,326666.6666666667
