from,to,weight
H,H,2168.4210526315787
H,Li,421.05263157894734
H,Be,235.7894736842105
H,B,1473.6842105263156
H,C,92631.57894736841
H,O,999642105.2631578
H,F,246315.7894736842
H,Na,13414736.842105262
H,Mg,5395789.47368421
H,Al,46781052.631578945
H,Si,320589473.68421054
H,P,265263.1578947368
H,S,36842.10526315789
H,Cl,9157.894736842105
H,K,2199999.9999999995
H,Ca,42810526.31578947
H,Ti,2575157.894736842
H,V,5052.631578947368
H,Cr,2147.368421052631
H,Mn,339999.99999999994
H,Fe,33187368.421052627
H,Cu,6315.78947368421
H,Zn,1473.6842105263156
H,As,303.1578947368421
H,Sr,54526.31578947368
H,Y,6947.368421052632
H,Zr,20842.105263157893
H,Nb,4210.526315789473
H,Mo,25.26315789473684
H,Cs,63.157894736842096
H,Ba,98421.05263157893
H,La,15599.999999999998
H,Ce,144199.99999999997
H,Nd,13105.263157894737
H,Sm,148.42105263157893
H,Ta,42.10526315789473
H,W,78.94736842105263
H,Th,808.4210526315788
H,U,284.2105263157895
Li,H,421.05263157894734
Li,Li,0.3007518796992481
Li,Be,0.8421052631578947
Li,B,3.007518796992481
Li,O,138646.61654135337
Li,F,175.93984962406014
Li,Al,24751.87969924812
Li,Si,84812.03007518797
Li,Ca,12481.203007518796
Li,Fe,16932.330827067668
Li,La,11.729323308270676
Li,Ce,20.0
Li,Nd,12.481203007518797
Li,Th,2.887218045112782
Be,H,235.7894736842105
Be,Li,0.8421052631578946
Be,Be,0.2947368421052631
Be,B,1.2631578947368418
Be,O,135873.6842105263
Be,F,73.89473684210526
Be,Na,1987.3684210526312
Be,Al,6930.526315789472
Be,Si,83115.78947368418
Be,Ca,6989.473684210525
Be,Mn,39.99999999999999
Be,Fe,9482.105263157893
Be,Y,1.389473684210526
Be,La,3.284210526315789
Be,Ce,19.599999999999994
Be,Nd,3.4947368421052625
Be,Th,0.4042105263157894
B,H,1473.6842105263156
B,Li,3.007518796992481
B,Be,1.263157894736842
B,B,2.2556390977443606
B,O,1039849.6240601504
B,F,439.84962406015035
B,Na,10646.616541353382
B,Mg,3503.7593984962405
B,Al,49503.75939849624
B,Si,551278.1954887218
B,Ca,74887.21804511278
B,Ti,836.0902255639097
B,Fe,33864.661654135336
B,As,0.5413533834586466
B,Y,14.887218045112782
B,Ba,63.909774436090224
B,La,29.32330827067669
B,Ce,150.0
B,Nd,6.2406015037593985
B,Th,2.887218045112782
C,H,92631.57894736841
C,C,138.34586466165413
C,O,63777443.60902256
C,F,26390.97744360902
C,Na,1277593.9849624059
C,Mg,70075.18796992481
C,Al,247518.7969924812
C,Si,7633082.706766917
C,P,6315.78947368421
C,S,3157.894736842105
C,K,62857.142857142855
C,Ca,1996992.4812030075
C,Ti,50165.41353383458
C,Mn,8571.42857142857
C,Fe,338646.61654135335
C,Cu,180.45112781954887
C,Sr,8902.255639097744
C,Y,496.2406015037594
C,Zr,992.4812030075187
C,Nb,60.150375939849624
C,Ba,16616.541353383458
C,La,1759.3984962406014
C,Ce,9200.0
C,Nd,1248.1203007518795
C,W,3.7593984962406015
C,Th,28.872180451127818
C,U,8.1203007518797
O,H,999642105.2631578
O,Li,138646.61654135337
O,Be,135873.68421052632
O,B,1039849.6240601504
O,C,63777443.60902256
O,O,1240887.2180451127
O,F,182493609.0225564
O,Na,8998165413.533834
O,Mg,3230466165.413533
O,Al,18256986466.165413
O,Si,175942556390.97742
O,P,138300000.0
O,S,14557894.736842103
O,Cl,4020751.879699248
O,K,1014199999.9999999
O,Ca,23303030075.187973
O,Ti,1503206616.5413535
O,V,2495639.097744361
O,Cr,2121293.2330827066
O,Mn,164642857.14285713
O,Fe,18343640601.503757
O,Cu,2079699.2481203007
O,Zn,1941052.6315789472
O,As,149738.34586466165
O,Sr,46169323.30827068
O,Y,3889037.593984962
O,Zr,11438345.864661653
O,Nb,2495639.0977443606
O,Mo,8318.796992481202
O,Cs,20796.992481203008
O,Ba,70709774.43609022
O,La,11084796.992481202
O,Ce,82519000.0
O,Pr,63777.44360902255
O,Nd,6329218.045112782
O,Sm,48872.93233082706
O,Ta,55458.64661654135
O,W,25996.240601503756
O,Pb,97052.63157894736
O,Th,665503.7593984962
O,U,131021.05263157895
F,H,246315.7894736842
F,Li,175.93984962406014
F,Be,73.89473684210526
F,B,439.84962406015035
F,C,26390.977443609023
F,O,182493609.0225564
F,F,413.45864661654133
F,Na,3736962.406015038
F,Mg,1229819.5488721805
F,Al,4343954.887218045
F,Si,52095789.473684214
F,P,27710.526315789473
F,S,6157.894736842105
F,Cl,2551.127819548872
F,Ca,8031654.1353383465
F,Ti,391290.2255639098
F,V,1055.639097744361
F,Cr,897.2932330827068
F,Mn,25071.428571428572
F,Fe,2971624.060150376
F,Zn,615.7894736842105
F,As,31.669172932330827
F,Sr,16274.436090225563
F,Y,2032.1052631578948
F,Nb,527.8195488721805
F,Cs,26.390977443609025
F,Ba,52342.10526315789
F,La,3087.7443609022557
F,Ce,27495.0
F,Nd,730.1503759398496
F,Ta,17.593984962406015
F,Th,253.35338345864662
F,U,23.75187969924812
Na,H,13414736.842105262
Na,Be,1987.3684210526314
Na,B,10646.616541353384
Na,C,1277593.9849624059
Na,O,8998165413.533834
Na,F,3736962.4060150376
Na,Na,19873.684210526317
Na,Mg,16537744.360902255
Na,Al,29207218.04511278
Na,Si,3302580451.1278195
Na,P,3353684.210526316
Na,S,124210.52631578947
Na,Cl,154375.93984962406
Na,K,37085714.28571428
Na,Ca,338739849.62406015
Na,Ti,29597593.984962404
Na,Mn,4382857.142857143
Na,Fe,219781654.13533834
Na,Zn,99368.42105263157
Na,As,638.796992481203
Na,Sr,1969624.0601503758
Na,Y,58556.3909774436
Na,Zr,351338.3458646617
Na,Nb,42586.466165413534
Na,Ba,2413233.0827067667
Na,La,138406.01503759398
Na,Ce,1321600.0
Na,Pr,3264.9624060150372
Na,Nd,58911.27819548872
Na,Ta,709.7744360902255
Na,W,443.609022556391
Na,Pb,4968.421052631579
Na,Th,6813.834586466165
Na,U,958.1954887218045
Mg,H,5395789.47368421
Mg,B,3503.7593984962405
Mg,C,70075.18796992481
Mg,O,3230466165.413533
Mg,F,1229819.5488721805
Mg,Na,16537744.360902255
Mg,Mg,7007.518796992481
Mg,Al,230687518.79699248
Mg,Si,1580896240.6015036
Mg,Cl,50804.51127819549
Mg,Ca,203568421.05263156
Mg,Ti,9740451.127819547
Mg,Cr,71476.6917293233
Mg,Mn,1331428.5714285714
Mg,Fe,157809323.30827066
Mg,Zn,49052.63157894737
Mg,As,1261.3533834586467
Mg,Sr,259278.1954887218
Mg,Y,11562.406015037594
Mg,Zr,57812.03007518797
Mg,Nb,7007.518796992481
Mg,La,95652.63157894736
Mg,Ce,466000.0
Mg,Nd,29081.203007518794
Mg,W,437.96992481203006
Al,H,46781052.631578945
Al,Li,24751.879699248122
Al,Be,6930.526315789473
Al,B,49503.759398496244
Al,C,247518.7969924812
Al,O,18256986466.165413
Al,F,4343954.887218045
Al,Na,29207218.04511278
Al,Mg,230687518.79699248
Al,Al,39603.00751879699
Al,Si,8376036090.225565
Al,P,1299473.6842105263
Al,S,1299473.6842105263
Al,Ca,1078563157.8947368
Al,Ti,34405112.781954885
Al,V,148511.27819548873
Al,Cr,126234.58646616542
Al,Mn,7054285.714285715
Al,Fe,975471578.9473684
Al,As,4455.338345864662
Al,Y,81681.2030075188
Al,Zr,204203.00751879698
Al,Nb,24751.879699248122
Al,La,386129.32330827066
Al,Ce,2633600.0
Al,Nd,154080.45112781954
Al,Th,23761.804511278195
Si,H,320589473.6842105
Si,Li,84812.03007518795
Si,Be,83115.78947368418
Si,B,551278.1954887217
Si,C,7633082.706766916
Si,O,175942556390.97742
Si,F,52095789.47368421
Si,Na,3302580451.127819
Si,Mg,1580896240.6015036
Si,Al,8376036090.225563
Si,Si,381654.13533834583
Si,P,17810526.315789472
Si,S,1484210.5263157892
Si,Cl,1844661.654135338
Si,K,443142857.1428571
Si,Ca,8975233082.706766
Si,Ti,613021353.3834586
Si,V,508872.18045112776
Si,Cr,432541.35338345857
Si,Mn,80571428.57142857
Si,Fe,9072342857.142857
Si,Zn,1187368.4210526315
Si,As,30532.330827067664
Si,Sr,14121203.007518794
Si,Y,839639.0977443608
Si,Zr,4897894.736842105
Si,Nb,593684.2105263157
Si,Cs,12721.804511278195
Si,Ba,16220300.751879698
Si,La,2811518.7969924808
Si,Ce,25379999.999999996
Si,Pr,39013.53383458646
Si,Nd,879924.8120300751
Si,W,10601.503759398494
Si,Th,203548.87218045112
P,H,265263.15789473685
P,C,6315.78947368421
P,O,138300000.0
P,F,27710.526315789473
P,Na,3353684.210526316
P,Al,1299473.6842105263
P,Si,17810526.315789472
P,P,300.0
P,S,5526.315789473684
P,Cl,2289.4736842105262
P,Ca,3276315.7894736845
P,Ti,87789.47368421052
P,Mn,30000.0
P,Fe,888947.3684210526
P,Cu,1894.7368421052631
P,Sr,11684.210526315788
P,Y,521.0526315789474
P,Zr,2605.2631578947367
P,Ba,13421.052631578947
P,La,2463.157894736842
P,Ce,19950.0
P,Pr,145.26315789473682
P,Nd,3276.3157894736837
P,Sm,111.3157894736842
P,Th,303.1578947368421
P,U,127.89473684210527
S,H,36842.10526315789
S,C,3157.894736842105
S,O,14557894.736842103
S,F,6157.894736842105
S,Na,124210.52631578947
S,Al,1299473.6842105263
S,Si,1484210.5263157894
S,P,5526.315789473683
S,S,31.578947368421048
S,Ca,655263.1578947369
S,Cu,315.7894736842105
S,Y,347.36842105263156
S,La,410.52631578947364
S,Ce,2099.9999999999995
S,Nd,436.84210526315786
Cl,H,9157.894736842105
Cl,O,4020751.879699248
Cl,F,2551.127819548872
Cl,Na,154375.93984962406
Cl,Mg,50804.51127819549
Cl,Si,1844661.6541353385
Cl,P,2289.4736842105262
Cl,Cl,8.721804511278195
Cl,Ca,271466.16541353386
Cl,Ti,12123.30827067669
Cl,Mn,4142.857142857143
Cl,Fe,245518.7969924812
Cl,Sr,806.7669172932331
Cl,Zr,719.5488721804511
Cl,Ba,926.6917293233083
Cl,Ce,580.0
K,H,2200000.0
K,C,62857.142857142855
K,O,1014199999.9999999
K,Na,37085714.28571428
K,Si,443142857.1428572
K,K,2200.0
K,Ca,39128571.428571425
K,Ti,6989714.285714285
K,Mn,298571.4285714286
K,Fe,17694285.714285713
K,Sr,116285.71428571429
K,Y,10371.42857142857
K,Zr,51857.142857142855
K,Nb,12571.42857142857
K,Ba,534285.7142857143
K,La,12257.142857142857
K,Ce,146300.0
K,Th,3017.142857142857
Ca,H,42810526.31578947
Ca,Li,12481.203007518796
Ca,Be,6989.473684210525
Ca,B,74887.21804511278
Ca,C,1996992.4812030073
Ca,O,23303030075.187965
Ca,F,8031654.135338345
Ca,Na,338739849.6240601
Ca,Mg,203568421.05263156
Ca,Al,1078563157.8947368
Ca,Si,8975233082.706766
Ca,P,3276315.7894736836
Ca,S,655263.1578947369
Ca,Cl,271466.1654135338
Ca,K,39128571.428571425
Ca,Ca,50548.87218045112
Ca,Ti,55516390.977443606
Ca,Cr,127308.27067669171
Ca,Mn,7114285.714285713
Ca,Fe,878364661.6541352
Ca,Cu,37443.60902255639
Ca,Zn,87368.42105263157
Ca,As,4493.233082706766
Ca,Sr,2539924.8120300747
Ca,Y,164751.8796992481
Ca,Zr,926729.3233082705
Ca,Nb,149774.43609022556
Ca,Cs,1872.1804511278192
Ca,Ba,1591353.3834586465
Ca,La,462428.5714285714
Ca,Ce,3361499.9999999995
Ca,Pr,5741.353383458645
Ca,Nd,129492.4812030075
Ca,Ta,4992.481203007518
Ca,W,780.0751879699247
Ca,Th,41936.84210526315
Ca,U,5054.887218045113
Ti,H,2575157.894736842
Ti,B,836.0902255639097
Ti,C,50165.41353383458
Ti,O,1503206616.541353
Ti,F,391290.22556390974
Ti,Na,29597593.9849624
Ti,Mg,9740451.127819547
Ti,Al,34405112.781954885
Ti,Si,613021353.3834586
Ti,P,87789.47368421052
Ti,Cl,12123.30827067669
Ti,K,6989714.2857142845
Ti,Ca,55516390.977443606
Ti,Ti,3260.7518796992476
Ti,V,10033.082706766916
Ti,Cr,25584.360902255634
Ti,Mn,397142.8571428571
Ti,Fe,98850947.36842103
Ti,Zn,5852.631578947367
Ti,As,150.49624060150376
Ti,Sr,92806.01503759397
Ti,Y,5518.1954887218035
Ti,Zr,55181.95488721804
Ti,Nb,18393.984962406015
Ti,Ba,284270.6766917293
Ti,La,19564.511278195485
Ti,Ce,216839.99999999997
Ti,Nd,6939.54887218045
Ti,Ta,501.6541353383458
Ti,Pb,1170.5263157894735
Ti,Th,2407.93984962406
Ti,U,677.2330827067669
V,H,5052.631578947368
V,O,2495639.097744361
V,F,1055.639097744361
V,Al,148511.2781954887
V,Si,508872.1804511278
V,Ti,10033.082706766916
V,V,5.413533834586466
V,Cr,184.06015037593983
V,Mn,1714.2857142857142
V,Fe,101593.98496240602
V,Y,59.54887218045113
V,Ce,360.0
V,U,4.87218045112782
Cr,H,2147.3684210526317
Cr,O,2121293.2330827066
Cr,F,897.2932330827067
Cr,Mg,71476.6917293233
Cr,Al,126234.5864661654
Cr,Si,432541.3533834586
Cr,Ca,127308.27067669173
Cr,Ti,25584.36090225564
Cr,V,184.06015037593983
Cr,Cr,4.601503759398496
Cr,Fe,259064.66165413533
Cr,Y,50.616541353383454
Cr,Zr,253.08270676691728
Cr,Nb,30.676691729323306
Cr,La,59.81954887218045
Cr,Ce,306.0
Cr,U,4.141353383458647
Mn,H,340000.0
Mn,Be,39.99999999999999
Mn,C,8571.42857142857
Mn,O,164642857.14285713
Mn,F,25071.428571428572
Mn,Na,4382857.142857143
Mn,Mg,1331428.5714285714
Mn,Al,7054285.714285715
Mn,Si,80571428.57142857
Mn,P,29999.999999999996
Mn,Cl,4142.857142857142
Mn,K,298571.4285714285
Mn,Ca,7114285.714285715
Mn,Ti,397142.8571428571
Mn,V,1714.2857142857142
Mn,Mn,357.1428571428571
Mn,Fe,6434285.714285714
Mn,Zn,1999.9999999999998
Mn,As,102.85714285714285
Mn,Sr,26428.571428571428
Mn,Zr,14142.857142857141
Mn,Nb,571.4285714285713
Mn,Ba,6071.428571428571
Mn,La,2785.7142857142853
Mn,Ce,23749.999999999996
Mn,Nd,1185.7142857142856
Mn,W,17.857142857142854
Mn,Pb,200.0
Mn,U,38.57142857142857
Fe,H,33187368.42105263
Fe,Li,16932.330827067668
Fe,Be,9482.105263157895
Fe,B,33864.661654135336
Fe,C,338646.6165413534
Fe,O,18343640601.503757
Fe,F,2971624.060150376
Fe,Na,219781654.13533834
Fe,Mg,157809323.3082707
Fe,Al,975471578.9473685
Fe,Si,9072342857.142857
Fe,P,888947.3684210527
Fe,Cl,245518.7969924812
Fe,K,17694285.714285713
Fe,Ca,878364661.6541353
Fe,Ti,98850947.36842106
Fe,V,101593.98496240602
Fe,Cr,259064.66165413533
Fe,Mn,6434285.714285715
Fe,Fe,39790.97744360902
Fe,As,4571.729323308271
Fe,Sr,1252992.4812030075
Fe,Y,83815.03759398496
Fe,Zr,838150.3759398496
Fe,Nb,84661.65413533834
Fe,Mo,1015.9398496240601
Fe,Ba,1079436.0902255639
Fe,La,462252.63157894736
Fe,Ce,2646100.0
Fe,Nd,140538.34586466165
Fe,W,1058.2706766917292
Fe,Pb,11852.631578947368
Fe,Th,32510.075187969924
Fe,U,4571.729323308271
Cu,H,6315.78947368421
Cu,C,180.45112781954887
Cu,O,2079699.2481203007
Cu,P,1894.7368421052631
Cu,S,315.7894736842105
Cu,Ca,37443.60902255639
Cu,Cu,4.511278195488721
Cu,As,1.6240601503759398
Cu,Y,29.774436090225564
Cu,La,35.18796992481203
Cu,Ce,300.0
Cu,Nd,74.88721804511277
Cu,U,2.43609022556391
Zn,H,1473.6842105263156
Zn,O,1941052.6315789472
Zn,F,615.7894736842105
Zn,Na,99368.42105263157
Zn,Mg,49052.63157894737
Zn,Si,1187368.4210526315
Zn,Ca,87368.42105263157
Zn,Ti,5852.631578947368
Zn,Mn,2000.0
Zn,Zn,4.2105263157894735
Zn,Sr,778.9473684210526
Zn,Ba,894.7368421052631
Zn,La,82.10526315789473
Zn,Ce,280.0
As,H,303.1578947368421
As,B,0.5413533834586466
As,O,149738.34586466168
As,F,31.669172932330827
As,Na,638.796992481203
As,Mg,1261.3533834586467
As,Al,4455.338345864661
As,Si,30532.330827067668
As,Ca,4493.233082706767
As,Ti,150.49624060150376
As,Mn,102.85714285714286
As,Fe,4571.729323308271
As,Cu,1.6240601503759398
As,As,0.324812030075188
As,Y,0.8932330827067669
As,La,4.222556390977443
As,Ce,21.6
As,Nd,3.3699248120300753
As,Th,0.2598496240601504
Sr,H,54526.31578947368
Sr,C,8902.255639097744
Sr,O,46169323.30827068
Sr,F,16274.436090225563
Sr,Na,1969624.0601503758
Sr,Mg,259278.1954887218
Sr,Si,14121203.007518798
Sr,P,11684.21052631579
Sr,Cl,806.7669172932331
Sr,K,116285.71428571429
Sr,Ca,2539924.812030075
Sr,Ti,92806.01503759398
Sr,Mn,26428.571428571428
Sr,Fe,1252992.4812030075
Sr,Zn,778.9473684210526
Sr,Sr,105.71428571428571
Sr,Y,183.60902255639098
Sr,Zr,2754.1353383458645
Sr,Nb,111.2781954887218
Sr,Ba,11823.30827067669
Sr,La,1301.954887218045
Sr,Ce,7030.0
Y,H,6947.368421052632
Y,Be,1.3894736842105262
Y,B,14.887218045112782
Y,C,496.2406015037594
Y,O,3889037.593984962
Y,F,2032.1052631578948
Y,Na,58556.3909774436
Y,Mg,11562.406015037594
Y,Al,81681.2030075188
Y,Si,839639.0977443609
Y,P,521.0526315789473
Y,S,347.36842105263156
Y,K,10371.42857142857
Y,Ca,164751.87969924812
Y,Ti,5518.195488721804
Y,V,59.54887218045113
Y,Cr,50.616541353383454
Y,Fe,83815.03759398496
Y,Cu,29.774436090225564
Y,As,0.8932330827067669
Y,Sr,183.60902255639095
Y,Y,8.436090225563909
Y,Zr,81.87969924812029
Y,Nb,9.924812030075188
Y,Ba,632.7067669172932
