from,to,weight
H,H,2413.793103448276
H,Li,386.2068965517241
H,Be,27.034482758620687
H,B,2896.551724137931
H,C,44413.793103448275
H,N,4586.206896551724
H,O,1090503448.275862
H,F,84724.13793103448
H,Na,12988137.931034483
H,Mg,7873793.1034482755
H,Al,31784827.586206898
H,Si,166088275.86206898
H,P,40551.724137931036
H,S,121655.1724137931
H,Cl,350000.0
H,K,7264551.724137931
H,Ca,32055172.413793102
H,Ti,429462.0689655172
H,V,4634.482758620689
H,Cr,3939.310344827586
H,Mn,293517.2413793103
H,Fe,26092137.931034483
H,Co,482.7586206896552
H,Ni,4866.206896551725
H,Cu,38234.48275862069
H,Zn,8110.3448275862065
H,As,347.58620689655174
H,Se,0.9655172413793104
H,Br,69.51724137931035
H,Sr,39296.551724137935
H,Y,637.2413793103448
H,Zr,33455.1724137931
H,Nb,1737.9310344827586
H,Mo,11.586206896551724
H,Ag,2.1724137931034484
H,Sn,44.41379310344827
H,Sb,5.793103448275862
H,Te,0.06758620689655173
H,I,17.379310344827587
H,Ba,49241.379310344826
H,Ce,1926.2068965517242
H,Gd,59.86206896551724
H,Dy,50.206896551724135
H,W,24.137931034482758
H,Hg,4.924137931034483
H,Tl,16.413793103448274
H,Pb,5947.586206896551
H,Bi,0.16413793103448276
H,U,52.13793103448276
Li,H,386.2068965517241
Li,Li,0.27586206896551724
Li,B,1.3793103448275863
Li,O,127172.41379310345
Li,Mg,3213.793103448276
Li,Al,11351.724137931034
Li,Cl,40.0
Li,Ca,5724.137931034483
Be,H,27.034482758620687
Be,Be,0.05793103448275862
Be,B,0.3862068965517241
Be,O,26706.206896551725
Be,F,11.29655172413793
Be,Na,455.7241379310344
Be,Al,1589.2413793103447
Be,Si,16336.55172413793
Be,Cl,8.399999999999999
Be,K,403.5862068965517
Be,Ca,1602.758620689655
Be,Mn,18.344827586206893
Be,Y,0.6372413793103447
Be,Ba,8.206896551724137
Be,Pb,0.27034482758620687
B,H,2896.551724137931
B,Li,1.3793103448275863
B,Be,0.38620689655172413
B,B,2.689655172413793
B,C,41.37931034482759
B,O,1239931.0344827587
B,F,121.0344827586207
B,Na,6510.3448275862065
B,Mg,20889.655172413793
B,Al,28379.310344827587
B,Si,175034.48275862067
B,S,48.275862068965516
B,Cl,390.0
B,K,7206.896551724139
B,Ca,54379.31034482759
B,Ti,1150.344827586207
B,V,8.275862068965518
B,Mn,262.0689655172414
B,Fe,23296.55172413793
B,Cu,4.137931034482759
B,Zn,4.827586206896552
B,Sr,25.517241379310345
B,Y,2.2758620689655173
B,Ba,117.24137931034483
B,Pb,3.862068965517241
C,H,44413.79310344828
C,B,41.37931034482759
C,C,45.51724137931035
C,N,78.62068965517241
C,O,20983448.27586207
C,F,1613.793103448276
C,Na,325517.2413793104
C,Mg,192827.58620689658
C,Al,794620.6896551724
C,Si,3111724.137931035
C,P,1448.2758620689656
C,S,2896.551724137931
C,Cl,6600.0
C,K,86482.75862068967
C,Ca,686896.551724138
C,Mn,3931.034482758621
C,Fe,77655.1724137931
C,Cu,496.55172413793105
C,Br,3.310344827586207
C,Y,136.55172413793105
C,Te,0.0027586206896551726
C,I,0.6206896551724138
C,Ba,1758.6206896551726
C,Gd,8.551724137931036
C,Dy,7.172413793103449
C,Hg,0.23448275862068968
C,Pb,135.17241379310343
N,H,4586.206896551724
N,C,78.62068965517241
N,N,3.275862068965517
N,O,1208137.9310344825
N,Na,21646.896551724134
N,Mg,6106.206896551724
N,Al,32352.413793103446
N,P,137.58620689655172
N,S,321.0344827586207
N,Cl,474.9999999999999
N,K,16431.724137931033
N,V,15.72413793103448
N,Fe,29508.965517241377
N,Cu,39.3103448275862
N,As,0.9434482758620689
N,Br,0.9434482758620688
N,Mo,0.1572413793103448
N,Sn,0.3013793103448275
N,I,0.05896551724137931
N,Hg,0.044551724137931036
N,Pb,5.503448275862068
N,Bi,0.0011137931034482758
O,H,1090503448.275862
O,Li,127172.41379310345
O,Be,26706.206896551725
O,B,1239931.0344827587
O,C,20983448.275862068
O,N,1208137.9310344828
O,O,1220855.172413793
O,F,50217206.89655172
O,Na,6902918620.689655
O,Mg,3555740689.6551723
O,Al,16484406206.896551
O,Si,85173724137.93103
O,P,43397586.20689655
O,S,73442068.96551724
O,Cl,177024000.0
O,K,4252645517.2413793
O,Ca,14909375862.068964
O,Ti,229800551.7241379
O,V,5722758.620689655
O,Cr,1297158.6206896552
O,Mn,117793448.27586205
O,Fe,11276695862.068964
O,Co,158965.5172413793
O,Ni,1602372.4137931033
O,Cu,18694344.827586204
O,Zn,3560827.586206896
O,As,246078.62068965516
O,Se,2066.551724137931
O,Br,61042.75862068965
O,Rb,286137.9310344827
O,Sr,12939793.103448275
O,Y,419668.96551724133
O,Zr,11016310.344827585
O,Nb,635862.0689655172
O,Mo,15260.689655172413
O,Ag,1192.2413793103447
O,Cd,953.7931034482758
O,Sn,7312.4137931034475
O,Sb,6358.620689655172
O,Te,44.51034482758621
O,I,11445.51724137931
O,Cs,9537.931034482757
O,Ba,27024137.931034483
O,Ce,845696.5517241379
O,Gd,19711.724137931033
O,Dy,16532.41379310345
O,W,15896.551724137931
O,Hg,4594.103448275862
O,Tl,5404.827586206896
O,Pb,3872399.9999999995
O,Bi,162.1448275862069
O,U,17168.275862068967
F,H,84724.13793103448
F,Be,11.29655172413793
F,B,121.0344827586207
F,C,1613.7931034482758
F,O,50217206.89655173
F,F,125.06896551724138
F,Na,1332993.103448276
F,Mg,188006.89655172414
F,Al,1660189.6551724137
F,Si,10239517.24137931
F,P,4236.206896551724
F,S,14120.689655172413
F,Cl,18135.0
F,K,421603.448275862
F,Ca,2009172.4137931033
F,Ti,67295.1724137931
F,Cr,823.0344827586207
F,Mn,11498.275862068964
F,Fe,227141.3793103448
F,Cu,968.2758620689655
F,As,21.786206896551725
F,Sr,1492.7586206896551
F,Y,399.41379310344826
F,Nb,80.6896551724138
F,Ag,0.3025862068965517
F,Ba,10287.931034482757
F,Ce,536.5862068965517
F,Gd,25.013793103448275
F,Dy,20.979310344827585
F,Pb,508.34482758620686
Na,H,12988137.931034483
Na,Be,455.7241379310345
Na,B,6510.3448275862065
Na,C,325517.2413793104
Na,N,21646.896551724138
Na,O,6902918620.689655
Na,F,1332993.103448276
Na,Na,15462.068965517241
Na,Mg,26545931.03448276
Na,Al,375060965.51724136
Na,Si,2157202758.62069
Na,P,683586.2068965518
Na,S,1936827.5862068967
Na,Cl,2242000.0
Na,K,105451310.34482758
Na,Ca,337724137.9310345
Na,Ti,6334565.517241379
Na,V,19531.03448275862
Na,Mn,2473931.0344827585
Na,Fe,238246068.96551725
Na,Co,4068.9655172413795
Na,Cu,136717.24137931035
Na,Zn,11393.103448275862
Na,As,4101.51724137931
Na,Se,8.13793103448276
Na,Sr,541986.2068965518
Na,Y,10742.068965517241
Na,Zr,563958.6206896552
Na,Nb,29296.551724137928
Na,Sb,32.55172413793104
Na,Ba,207517.24137931035
Na,Ce,32470.344827586207
Na,Gd,1009.1034482758621
Na,Dy,846.344827586207
Na,W,406.8965517241379
Na,Pb,6835.862068965518
Na,Bi,1.383448275862069
Na,U,439.448275862069
Mg,H,7873793.1034482755
Mg,Li,3213.7931034482754
Mg,B,20889.65517241379
Mg,C,192827.58620689655
Mg,N,6106.206896551724
Mg,O,3555740689.655172
Mg,F,188006.89655172412
Mg,Na,26545931.034482755
Mg,Mg,7873.793103448275
Mg,Al,132247586.20689654
Mg,Si,498459310.34482753
Mg,S,337448.275862069
