from,to,weight
H,H,2240.0
H,C,44800.0
H,N,1064.0
H,O,1032640000.0
H,Na,3964800.0
H,Mg,3914400.0
H,Al,4608800.0
H,Si,15792000.0
H,P,58800.0
H,S,235200.0
H,Cl,16240.0
H,Ca,9296000.0
H,V,6720.0
H,Mn,106400.0
H,Fe,15764000.0
H,Co,56000.0
H,Ni,32928.0
H,Cu,16800.0
H,As,1814.3999999999999
H,Se,2.8000000000000003
H,Pb,1568.0
H,Bi,1.9040000000000001
H,U,604.8000000000001
C,H,44800.0
C,C,40.0
C,N,152.0
C,O,18440000.0
C,Na,188800.0
C,S,2800.0
C,Co,1000.0
C,Ni,1344.0
C,Cu,480.0
N,H,1064.0
N,C,152.0
N,N,0.76
N,O,350360.0
N,Na,17936.0
N,S,266.0
N,Co,19.0
O,H,1032640000.0
O,C,18440000.0
O,N,350360.0
O,O,811360.0
O,Na,1305552000.0
O,Mg,1288956000.0
O,Al,1517612000.0
O,Si,5200080000.0
O,P,19362000.0
O,S,77448000.0
O,Cl,5347600.0
O,Ca,3061040000.0
O,V,2212800.0
O,Cr,1880880.0
O,Mn,35036000.0
O,Fe,5190860000.0
O,Co,20284000.0
O,Ni,12391680.0
O,Cu,5532000.0
O,As,630648.0
O,Se,922.0
O,Pb,516320.0
O,Bi,626.96
O,U,199152.0
Na,H,3964800.0
Na,C,188800.0
Na,N,17936.0
Na,O,1305552000.0
Na,Na,2832.0
Na,S,991200.0
Na,Cl,136880.0
Na,Co,70800.0
Mg,H,3914400.0
Mg,O,1288956000.0
Mg,Mg,2796.0
Mg,Al,76703600.0
Mg,S,326200.0
Mg,Fe,104943200.0
Mg,Co,69900.0
Mg,Ni,78288.0
Mg,As,3355.2000000000003
Mg,Bi,7.922000000000001
Al,H,4608800.0
Al,O,1517612000.0
Al,Mg,76703600.0
Al,Al,3292.0
Al,S,1152200.0
Al,Co,82300.0
Al,Ni,276528.0
Si,H,15792000.0
Si,O,5200080000.0
Si,Si,11280.0
Si,Co,282000.0
Si,U,30456.000000000004
P,H,58800.0
P,O,19362000.0
P,P,42.0
P,Co,1050.0
S,H,235200.0
S,C,2800.0
S,N,266.0
S,O,77448000.0
S,Na,991200.0
S,Mg,326200.0
S,Al,1152200.0
S,S,378.0
S,Cl,2030.0
S,Mn,13300.0
S,Fe,2364600.0
S,Co,9450.0
S,Ni,8232.0
S,Cu,2520.0
S,As,100.8
S,Sb,11.200000000000001
S,U,75.60000000000001
Cl,H,16240.0
Cl,O,5347600.0
Cl,Na,136880.0
Cl,S,2030.0
Cl,Cl,11.6
Cl,Co,290.0
Cl,Cu,348.0
Ca,H,9296000.0
Ca,O,3061040000.0
Ca,Ca,6640.0
Ca,Co,166000.0
Ca,As,11952.0
V,H,6720.0
V,O,2212800.0
V,V,4.8
V,Co,120.0
Cr,O,1880880.0
Cr,Cr,4.08
Cr,Co,102.0
Mn,H,106400.0
Mn,O,35036000.0
Mn,S,13300.0
Mn,Mn,76.0
Mn,Co,1900.0
Mn,Ni,6384.0
Fe,H,15764000.0
Fe,O,5190860000.0
Fe,Mg,104943200.0
Fe,S,2364600.0
Fe,Fe,31528.0
Fe,Co,788200.0
Fe,Ni,756672.0
