from,to,weight
H,H,645.0980392156862
H,B,549.0196078431372
H,C,13725.49019607843
H,O,297390196.07843137
H,F,40147.05882352941
H,Na,2267450.9803921566
H,Mg,4157450.980392156
H,Al,6777647.05882353
H,Si,50317647.058823526
H,P,43235.294117647056
H,S,28823.529411764706
H,Cl,7960.7843137254895
H,K,860588.2352941176
H,Ca,6265686.274509803
H,Ti,457882.3529411764
H,V,9882.35294117647
H,Cr,65800.0
H,Mn,39117.647058823524
H,Fe,6181960.784313725
H,Ni,1152.941176470588
H,Cu,4117.64705882353
H,Zn,3843.1372549019607
H,As,74.11764705882352
H,Sr,15235.294117647058
H,Y,1811.764705882353
H,Mo,16.470588235294116
H,Te,0.013725490196078431
H,I,12.352941176470587
H,La,535.2941176470588
H,Ce,912.7450980392156
H,Pb,2882.3529411764707
H,Bi,0.11666666666666667
H,U,148.23529411764707
Be,Be,0.08235294117647057
Be,O,37964.70588235294
Be,Ti,305.25490196078425
Be,V,3.294117647058823
Be,Cr,8.399999999999999
B,H,549.0196078431372
B,B,0.49019607843137253
B,O,225980.3921568627
B,Na,9254.901960784313
B,Mg,11421.56862745098
B,Al,8068.6274509803925
B,Si,82941.17647058824
B,K,2049.0196078431372
B,V,11.76470588235294
B,Cr,50.0
C,H,13725.49019607843
C,C,15.686274509803921
C,O,4519607.843137255
C,Mg,45686.27450980392
C,S,686.2745098039215
C,Ca,162745.0980392157
C,Cr,1600.0
C,Fe,220784.31372549018
C,Ni,164.70588235294116
C,Zn,137.2549019607843
C,Sr,725.4901960784314
C,Pb,27.45098039215686
N,N,0.37254901960784315
N,Cr,38.0
O,H,297390196.07843137
O,Be,37964.705882352944
O,B,225980.39215686277
O,C,4519607.843137255
O,O,402245.0980392157
O,F,13219852.941176472
O,Na,1066627450.9803922
O,Mg,2632671568.6274514
O,Al,2975709803.921569
O,Si,24216058823.52941
O,P,14236764.705882352
O,S,12654901.960784314
O,Cl,2621372.549019608
O,K,661218627.4509804
O,Ca,3751274509.8039217
O,Ti,477451372.54901963
O,V,4338823.529411765
O,Cr,41029000.00000001
O,Mn,25761764.705882356
O,Fe,5089078431.372549
O,Co,112990.19607843139
O,Ni,379647.05882352946
O,Cu,1627058.8235294118
O,Zn,1581862.7450980395
O,As,24405.88235294118
O,Sr,11705784.31372549
O,Y,745735.2941176471
O,Zr,2982941.1764705884
O,Nb,90392.1568627451
O,Mo,5423.529411764706
O,Te,4.519607843137256
O,I,4067.6470588235297
O,Ba,7683333.333333334
O,La,352529.4117647059
O,Ce,901661.7647058824
O,Hg,1152.5000000000002
O,Pb,1265490.1960784316
O,Bi,76.83333333333334
O,U,61014.705882352944
F,H,40147.05882352941
F,O,13219852.94117647
F,F,28.676470588235293
F,Al,472014.70588235295
F,Si,1617352.9411764706
F,S,2007.3529411764705
F,Cl,1663.235294117647
F,K,119867.64705882352
F,Ti,63776.470588235294
F,V,1376.4705882352941
F,Cr,2925.0
F,Fe,645794.1176470588
F,Y,378.5294117647059
F,La,223.6764705882353
F,Ce,381.3970588235294
F,Pb,160.58823529411765
F,U,30.97058823529412
Na,H,2267450.9803921566
Na,B,9254.901960784315
Na,O,1066627450.9803921
Na,Na,2545.098039215686
Na,Mg,43127843.1372549
Na,Al,57125882.352941185
Na,Si,456729411.7647059
Na,S,161960.78431372548
Na,K,4835686.274509804
Na,Ca,28805882.352941178
Na,V,27764.70588235294
Na,Cr,259600.0
Na,Mn,219803.92156862744
Na,Fe,13026274.509803921
Na,I,104.11764705882354
Mg,H,4157450.980392157
Mg,B,11421.56862745098
Mg,C,45686.27450980392
Mg,O,2632671568.627451
Mg,Na,43127843.1372549
Mg,Mg,5710.78431372549
Mg,Al,112799411.76470587
Mg,Si,708594117.6470588
Mg,S,79950.98039215687
Mg,Cl,33122.549019607846
Mg,K,19096862.74509804
Mg,Ca,85319117.64705883
Mg,Ti,10160627.450980393
Mg,V,27411.764705882353
Mg,Cr,582500.0
Mg,Mn,217009.80392156864
Mg,Fe,128606862.74509804
Mg,Ni,19188.235294117647
Mg,Sr,253558.82352941178
Mg,Zr,150764.70588235295
Mg,Nb,4568.6274509803925
Mg,I,102.79411764705883
Mg,Ba,194166.66666666666
Mg,La,8908.823529411766
Mg,Ce,30381.37254901961
Al,H,6777647.05882353
Al,B,8068.6274509803925
Al,O,2975709803.921569
Al,F,472014.70588235295
Al,Na,57125882.352941185
Al,Mg,112799411.76470587
Al,Al,6454.901960784314
Al,Si,1137676470.5882354
Al,S,282401.96078431373
Al,K,16863431.37254902
Al,Ca,167424019.60784313
Al,Ti,4486156.862745098
Al,Cr,658400.0
Al,Mn,766519.6078431372
Al,Fe,181705490.19607842
Al,Ni,67776.4705882353
Al,Zr,133132.35294117648
Al,La,31467.64705882353
Al,Ce,53656.37254901961
Si,H,50317647.058823526
Si,B,82941.17647058822
Si,O,24216058823.52941
Si,F,1617352.9411764704
Si,Na,456729411.76470584
