from,to,weight
H,H,7466.666666666666
H,Li,18666.666666666664
H,Be,1306.6666666666665
H,B,4666.666666666666
H,O,3442133333.333333
H,F,1638000.0
H,Na,55066666.66666666
H,Al,76813333.33333333
H,Si,1184399999.9999998
H,P,489999.99999999994
H,K,29259999.999999996
H,Ca,96833333.33333331
H,Ti,7784000.0
H,V,55999.99999999999
H,Mn,443333.3333333333
H,Fe,78820000.0
H,As,840.0
H,Zr,154000.0
H,Nb,18666.666666666664
H,Cs,22400.0
H,Ce,31033.333333333332
H,Nd,19366.666666666664
H,W,583.3333333333333
H,Pb,6533.333333333333
H,U,1260.0
Li,H,18666.666666666664
Li,Li,46.666666666666664
Li,Be,55.99999999999999
Li,O,21513333.333333332
Li,F,15599.999999999998
Li,Na,314666.6666666666
Li,Mg,155333.3333333333
Li,Al,1646000.0
Li,Si,11279999.999999998
Li,P,6999.999999999999
Li,Ti,37066.666666666664
Li,Fe,750666.6666666666
Li,Zr,1100.0
Li,Cs,140.0
Be,H,1306.6666666666665
Be,Li,55.99999999999999
Be,Be,6.533333333333332
Be,B,27.999999999999996
Be,O,3011866.6666666665
Be,F,546.0
Be,Na,66080.0
Be,Mg,21746.666666666664
Be,Al,384066.6666666666
Be,Si,1052800.0
Be,P,979.9999999999999
Be,K,58519.99999999999
Be,Rb,83.99999999999999
Be,Zr,153.99999999999997
Be,Cs,19.599999999999998
B,H,4666.666666666666
B,Be,27.999999999999996
B,B,20.0
B,O,9220000.0
B,F,1949.9999999999998
B,Na,78666.66666666666
B,Mg,77666.66666666666
B,Al,548666.6666666666
B,Si,2819999.9999999995
B,K,139333.3333333333
B,Ca,138333.3333333333
B,Rb,300.0
B,Cs,60.0
O,H,3442133333.333333
O,Li,21513333.333333332
O,Be,3011866.6666666665
O,B,9220000.0
O,O,4610000.0
O,F,988845000.0
O,Na,32638799999.999996
O,Mg,7160866666.666666
O,Al,101174133333.33333
O,Si,780012000000.0
O,P,161350000.0
O,S,53783333.33333333
O,Cl,22281666.666666664
O,K,25693066666.666664
O,Ca,38263000000.0
O,Ti,2563160000.0
O,V,36880000.0
O,Mn,145983333.3333333
O,Fe,34605733333.33333
O,Cu,18440000.0
O,As,553200.0
O,Rb,27660000.0
O,Zr,50710000.0
O,Nb,6146666.666666666
O,Sb,30733.333333333332
O,Cs,13830000.0
O,Ce,10218833.333333332
O,Nd,6377166.666666666
O,Ta,307333.3333333333
O,W,192083.3333333333
O,Pb,6453999.999999999
O,U,414900.0
F,H,1638000.0
F,Li,15600.0
F,Be,546.0
F,B,1950.0
F,O,988845000.0
F,F,2145.0
F,Na,13806000.0
F,Mg,4543500.0
F,Al,48145500.0
F,Si,604890000.0
F,K,4075500.0
F,Ca,32370000.0
F,Ti,2168400.0
F,Mn,185250.0
F,Fe,21957000.0
F,Cs,6435.0
F,Ce,12967.5
F,Nd,8092.5
Na,H,55066666.66666666
Na,Li,314666.6666666666
Na,Be,66080.0
Na,B,78666.66666666666
Na,O,32638799999.999996
Na,F,13806000.0
Na,Na,70800.0
Na,Al,1942280000.0
Na,Si,15528800000.0
Na,P,8259999.999999999
Na,K,328826666.6666666
Na,Ca,652933333.3333333
Na,Ti,87477333.33333333
Na,Mn,7473333.333333333
Na,Zr,2596000.0
Na,Sb,1573.3333333333333
Na,Cs,212400.0
Na,Ta,15733.333333333332
Na,Pb,110133.33333333333
