from,to,weight
H,H,8773.333333333332
H,Li,466.66666666666663
H,B,933.3333333333333
H,C,181999.99999999997
H,N,5763.333333333333
H,O,4033750000.0
H,F,81900.0
H,Na,11013333.333333332
H,Mg,11960666.666666666
H,Al,92176000.0
H,Si,203980000.0
H,P,1053500.0
H,S,784000.0
H,Cl,223299.99999999997
H,K,8290333.333333333
H,Ca,55194999.99999999
H,Ti,259466.66666666666
H,V,36400.0
H,Cr,11900.0
H,Mn,155166.66666666666
H,Fe,43350999.99999999
H,Co,2916.666666666666
H,Ni,17640.0
H,Cu,526400.0
H,Zn,66966.66666666666
H,As,4074.0
H,Se,14.0
H,Br,55.99999999999999
H,Sr,8633.333333333332
H,Y,3080.0
H,Mo,251.99999999999997
H,Ag,3.4999999999999996
H,Cd,27.999999999999996
H,Sn,53.66666666666666
H,Sb,32.66666666666667
H,Te,0.6766666666666666
H,I,42.0
H,Ba,19833.333333333332
H,La,2730.0
H,Ce,7758.333333333332
H,Nd,3873.333333333333
H,Sm,164.5
H,Gd,144.66666666666666
H,W,29.166666666666664
H,Tl,19.833333333333332
H,Pb,20253.333333333332
H,Bi,1.5866666666666667
H,U,1134.0
Li,H,466.66666666666663
Li,Li,0.3333333333333333
Li,O,153666.66666666666
Li,Si,94000.0
Li,K,6966.666666666666
Li,Cu,20.0
B,H,933.3333333333333
B,B,1.0
B,C,33.33333333333333
B,O,461000.0
B,Cl,24.166666666666664
B,Ca,13833.333333333332
B,Fe,9383.333333333332
B,Cu,60.0
C,H,182000.0
C,B,33.333333333333336
C,C,143.33333333333334
C,N,253.33333333333334
C,O,66076666.66666667
C,Na,472000.0
C,Mg,310666.6666666667
C,Al,274333.3333333334
C,Si,1880000.0
C,P,3500.0
C,S,5833.333333333334
C,Cl,2900.0
C,K,69666.66666666667
C,Ca,968333.3333333334
C,Co,83.33333333333334
C,Ni,280.0
C,Cu,8600.0
C,Zn,933.3333333333334
C,As,12.0
C,Sr,1233.3333333333335
C,Y,220.0
C,Te,0.006666666666666667
C,La,260.0
C,Ce,221.66666666666669
C,Nd,276.6666666666667
C,Sm,23.5
C,Gd,20.666666666666668
C,Pb,233.33333333333337
C,U,36.00000000000001
N,H,5763.333333333333
N,C,253.33333333333331
N,N,4.116666666666666
N,O,1751799.9999999998
N,Na,7473.333333333333
N,Al,78185.0
N,S,332.5
N,Cl,229.58333333333331
N,Ni,79.8
N,Cu,247.0
O,H,4033750000.0
O,Li,153666.66666666666
O,B,461000.0
O,C,66076666.66666666
