from,to,weight
H,H,807.6923076923076
H,C,161538.46153846153
H,O,372346153.84615386
H,F,157500.0
H,Na,6353846.153846154
H,Si,75923076.92307693
H,S,94230.76923076923
H,Cl,39038.46153846154
H,Ca,22346153.846153844
H,Y,17769.23076923077
H,Ba,114423.07692307692
H,Nd,11173.076923076924
H,Gd,5007.692307692308
H,Dy,4200.0
H,U,726.9230769230769
C,H,161538.46153846153
C,C,115.38461538461539
C,O,53192307.69230768
C,F,22500.0
C,Na,907692.3076923076
C,Si,10846153.846153846
C,S,13461.538461538461
C,Cl,5576.923076923077
C,Ca,3192307.692307692
C,Y,2538.4615384615386
C,Ba,16346.153846153846
C,Nd,1596.1538461538462
C,Gd,715.3846153846154
C,Dy,600.0
C,U,103.84615384615385
O,H,372346153.8461538
O,C,53192307.69230768
O,O,265961.53846153844
O,F,51862499.99999999
O,Na,2092230769.230769
O,Si,25000384615.384613
O,S,31028846.15384615
O,Cl,12854807.69230769
O,Ca,7358269230.76923
O,Y,5851153.846153845
O,Ba,37677884.61538461
O,Nd,3679134.615384615
O,Gd,1648961.5384615385
O,Dy,1382999.9999999998
O,U,239365.3846153846
F,H,157499.99999999997
F,C,22499.999999999996
F,O,51862499.99999999
F,F,112.49999999999999
F,Na,2654999.9999999995
F,S,39374.99999999999
F,Cl,16312.499999999998
F,Y,3712.4999999999995
F,Ba,47812.49999999999
F,Gd,697.4999999999999
F,Dy,585.0
Na,H,6353846.153846153
Na,C,907692.3076923076
Na,O,2092230769.2307692
Na,F,2655000.0
Na,Na,4538.461538461538
Na,S,1588461.5384615383
Na,Cl,658076.923076923
Na,Y,149769.23076923075
Na,Ba,1928846.1538461538
Na,Gd,28138.461538461535
Na,Dy,23600.0
Si,H,75923076.92307691
Si,C,10846153.846153846
Si,O,25000384615.384613
Si,Si,54230.76923076923
Si,Ca,2250576923.076923
Si,Gd,336230.7692307692
Si,Dy,282000.0
Si,U,146423.07692307694
S,H,94230.76923076923
S,C,13461.538461538461
S,O,31028846.153846152
S,F,39375.0
S,Na,1588461.5384615385
S,S,67.3076923076923
S,Cl,9759.615384615385
S,Y,2221.153846153846
S,Ba,28605.76923076923
S,Gd,417.3076923076923
S,Dy,350.0
Cl,H,39038.46153846154
Cl,C,5576.923076923076
Cl,O,12854807.692307692
Cl,F,16312.5
Cl,Na,658076.923076923
Cl,S,9759.615384615385
Cl,Cl,27.884615384615383
Cl,Y,920.1923076923076
Cl,Ba,11850.961538461537
Cl,Gd,172.8846153846154
Cl,Dy,145.0
Ca,H,22346153.846153844
Ca,C,3192307.692307692
Ca,O,7358269230.769231
Ca,Si,2250576923.076923
Ca,Ca,15961.538461538461
Ca,Y,263365.3846153846
Ca,Nd,331201.92307692306
Ca,Gd,98961.53846153845
Ca,Dy,83000.0
Ca,U,21548.076923076922
Y,H,17769.23076923077
Y,C,2538.461538461538
Y,O,5851153.846153846
Y,F,3712.5
Y,Na,149769.23076923075
Y,S,2221.153846153846
Y,Cl,920.1923076923076
Y,Ca,263365.3846153846
Y,Y,12.692307692307692
Y,Ba,2697.1153846153843
Y,Nd,263.3653846153846
Y,Gd,78.6923076923077
Y,Dy,66.0
Ba,H,114423.07692307692
Ba,C,16346.153846153846
Ba,O,37677884.615384616
Ba,F,47812.5
Ba,Na,1928846.1538461538
Ba,S,28605.76923076923
Ba,Cl,11850.961538461537
Ba,Y,2697.1153846153843
Ba,Ba,81.73076923076923
Ba,Gd,506.7307692307692
Ba,Dy,425.0
Nd,H,11173.076923076922
Nd,C,1596.153846153846
Nd,O,3679134.615384615
Nd,Ca,331201.92307692306
Nd,Y,263.3653846153846
Nd,Nd,7.98076923076923
Nd,Gd,49.480769230769226
Nd,Dy,41.5
Gd,H,5007.692307692308
Gd,C,715.3846153846154
Gd,O,1648961.5384615385
Gd,F,697.5
Gd,Na,28138.46153846154
Gd,Si,336230.76923076925
Gd,S,417.3076923076923
Gd,Cl,172.8846153846154
Gd,Ca,98961.53846153845
Gd,Y,78.6923076923077
Gd,Ba,506.7307692307692
Gd,Nd,49.48076923076923
Gd,Gd,3.5769230769230766
Gd,Dy,18.6
Gd,U,3.2192307692307693
Dy,H,4200.0
Dy,C,600.0
Dy,O,1383000.0
Dy,F,585.0
Dy,Na,23600.0
Dy,Si,282000.0
Dy,S,350.0
Dy,Cl,145.0
Dy,Ca,83000.0
Dy,Y,66.0
Dy,Ba,425.0
Dy,Nd,41.5
Dy,Gd,18.6
Dy,Dy,3.0
Dy,U,2.7
U,H,726.923076923077
U,C,103.84615384615385
U,O,239365.38461538462
U,Si,146423.07692307694
U,Ca,21548.076923076926
U,Gd,3.21923076923077
U,Dy,2.7
U,U,0.5192307692307693
H,H,807.6923076923076
C,H,161538.46153846153
O,H,372346153.84615386
F,H,157500.0
Na,H,6353846.153846154
Si,H,75923076.92307693
S,H,94230.76923076923
Cl,H,39038.46153846154
