from,to,weight
H,H,400.0
H,C,80000.0
H,O,184400000.0
H,Si,112800000.0
H,Ca,16600000.0
H,Y,13200.0
H,Er,1400.0
H,Yb,1280.0
C,H,80000.0
C,C,57.14285714285714
C,O,26342857.14285714
C,Si,16114285.714285713
C,Ca,2371428.5714285714
C,Y,1885.7142857142856
C,Er,200.0
C,Yb,182.85714285714286
O,H,184400000.0
O,C,26342857.14285714
O,O,131714.2857142857
O,Si,37143428571.42857
O,Ca,5466142857.142857
O,Y,4346571.428571428
O,Er,461000.0
O,Yb,421485.7142857143
Si,H,112799999.99999999
Si,C,16114285.714285713
Si,O,37143428571.428566
Si,Si,80571.42857142857
Si,Ca,3343714285.7142854
Si,Y,2658857.1428571427
Si,Er,282000.0
Si,Yb,257828.57142857142
Ca,H,16600000.0
Ca,C,2371428.5714285714
Ca,O,5466142857.142857
Ca,Si,3343714285.714286
Ca,Ca,11857.142857142857
Ca,Y,391285.71428571426
Ca,Er,41500.0
Ca,Yb,37942.857142857145
Y,H,13200.0
Y,C,1885.7142857142858
Y,O,4346571.428571429
Y,Si,2658857.1428571427
Y,Ca,391285.7142857143
Y,Y,9.428571428571429
Y,Er,33.0
Y,Yb,30.171428571428574
Er,H,1400.0
Er,C,200.0
Er,O,461000.0
Er,Si,282000.0
Er,Ca,41500.0
Er,Y,33.0
Er,Er,1.0
Er,Yb,3.2
Yb,H,1280.0
Yb,C,182.85714285714286
Yb,O,421485.71428571426
Yb,Si,257828.57142857142
Yb,Ca,37942.857142857145
Yb,Y,30.17142857142857
Yb,Er,3.1999999999999997
Yb,Yb,0.9142857142857143
H,H,400.0
C,H,80000.0
O,H,184400000.0
Si,H,112800000.0
Ca,H,16600000.0
Y,H,13200.0
Er,H,1400.0
Yb,H,1280.0
H,C,80000.0
C,C,57.14285714285714
O,C,26342857.14285714
Si,C,16114285.714285713
Ca,C,2371428.5714285714
Y,C,1885.7142857142856
Er,C,200.0
Yb,C,182.85714285714286
H,O,184400000.0
C,O,26342857.14285714
O,O,131714.2857142857
Si,O,37143428571.42857
Ca,O,5466142857.142857
Y,O,4346571.428571428
Er,O,461000.0
Yb,O,421485.7142857143
H,Si,112799999.99999999
C,Si,16114285.714285713
O,Si,37143428571.428566
Si,Si,80571.42857142857
Ca,Si,3343714285.7142854
Y,Si,2658857.1428571427
Er,Si,282000.0
Yb,Si,257828.57142857142
H,Ca,16600000.0
C,Ca,2371428.5714285714
O,Ca,5466142857.142857
Si,Ca,3343714285.714286
Ca,Ca,11857.142857142857
Y,Ca,391285.71428571426
Er,Ca,41500.0
Yb,Ca,37942.857142857145
H,Y,13200.0
C,Y,1885.7142857142858
O,Y,4346571.428571429
Si,Y,2658857.1428571427
Ca,Y,391285.7142857143
Y,Y,9.428571428571429
Er,Y,33.0
Yb,Y,30.171428571428574
H,Er,1400.0
C,Er,200.0
O,Er,461000.0
Si,Er,282000.0
Ca,Er,41500.0
Y,Er,33.0
Er,Er,1.0
Yb,Er,3.2
H,Yb,1280.0
C,Yb,182.85714285714286
O,Yb,421485.71428571426
Si,Yb,257828.57142857142
Ca,Yb,37942.857142857145
Y,Yb,30.17142857142857
Er,Yb,3.1999999999999997
Yb,Yb,0.9142857142857143
