from,to,weight
H,H,562.3931623931624
H,Li,765.8119658119658
H,Be,53.6068376068376
H,B,478.63247863247864
H,C,8615.384615384615
H,N,227.35042735042737
H,O,255953504.2735043
H,F,329000.0
H,Na,5704341.88034188
H,Mg,2509230.769230769
H,Al,21074427.35042735
H,Si,82334358.97435898
H,P,115589.74358974358
H,S,23452.99145299145
H,Cl,5205.128205128205
H,K,2100717.9487179485
H,Ca,9534358.974358974
H,Ti,651993.1623931624
H,V,1723.076923076923
H,Cr,1220.5128205128203
H,Mn,90940.17094017094
H,Fe,6467282.05128205
H,Cu,861.5384615384615
H,Zn,502.56410256410254
H,As,12.923076923076923
H,Br,5.743589743589744
H,Rb,215.3846153846154
H,Sr,13282.051282051281
H,Y,1263.5897435897436
H,Zr,1974.3589743589744
H,Nb,1005.1282051282051
H,Ag,0.1794871794871795
H,Cd,0.358974358974359
H,Sb,0.47863247863247865
H,Cs,43.07692307692307
H,Ba,33564.10256410256
H,La,373.3333333333333
H,Ce,3182.9059829059825
H,Nd,397.2649572649573
H,Gd,14.837606837606838
H,Dy,12.444444444444445
H,Ta,4.786324786324786
H,Pb,268.03418803418805
H,Th,91.8974358974359
H,U,64.61538461538461
Li,H,765.8119658119659
Li,Li,1.2307692307692308
Li,Be,0.19145299145299147
Li,B,1.0256410256410255
Li,C,13.675213675213676
Li,O,504341.8803418804
Li,F,720.0000000000001
Li,Na,12102.564102564103
Li,Mg,6372.649572649573
Li,Al,50646.15384615385
Li,Si,250666.66666666672
Li,P,179.4871794871795
Li,K,7145.2991452991455
Li,Ca,17025.641025641027
Li,Ti,1140.5128205128206
Li,Mn,162.3931623931624
Li,Fe,19247.86324786325
Li,As,0.06153846153846155
Li,Rb,6.153846153846154
Li,Y,2.256410256410257
Li,Zr,11.282051282051283
Li,Sn,0.07863247863247863
Li,Cs,0.4102564102564103
Li,La,1.3333333333333335
Li,Ce,2.273504273504274
Li,Nd,1.4188034188034189
Li,Th,0.3282051282051282
Be,H,53.60683760683761
Be,Li,0.19145299145299144
Be,Be,0.06700854700854701
Be,B,0.14358974358974358
Be,O,30890.94017094017
Be,F,39.199999999999996
Be,Na,903.6581196581196
Be,Al,1969.5726495726494
Be,Si,14847.179487179488
Be,P,10.051282051282051
Be,Cl,0.694017094017094
Be,K,300.1025641025641
Be,Ca,1589.059829059829
Be,Mn,9.094017094017094
Be,Fe,538.9401709401709
Be,Y,0.3158974358974359
Be,Cs,0.014358974358974359
Be,Ba,4.068376068376068
Be,La,0.18666666666666668
Be,Ce,0.9548717948717949
Be,Nd,0.19863247863247863
Be,Pb,0.06700854700854701
Be,Th,0.045948717948717945
B,H,478.6324786324787
B,Li,1.0256410256410255
B,Be,0.1435897435897436
B,B,0.6495726495726496
B,C,3.418803418803419
B,N,0.3247863247863248
B,O,267931.62393162394
B,F,380.00000000000006
B,Na,5647.863247863248
B,Mg,4381.196581196582
B,Al,15475.213675213676
B,Si,125333.33333333336
B,P,89.74358974358975
B,S,11.965811965811968
B,Cl,7.435897435897436
B,K,2143.5897435897436
B,Ca,12059.82905982906
B,Ti,190.0854700854701
B,V,4.102564102564103
B,Mn,64.95726495726497
B,Fe,7699.1452991453
B,As,0.15384615384615388
B,Y,5.641025641025642
B,Nb,0.6837606837606838
B,Mo,0.041025641025641026
B,Cs,0.05128205128205129
B,Ba,43.58974358974359
B,La,1.3333333333333335
B,Ce,5.683760683760685
B,Nd,0.7094017094017094
B,W,0.042735042735042736
B,Pb,0.9572649572649574
B,Th,0.3282051282051282
C,H,8615.384615384615
C,Li,13.675213675213676
C,B,3.418803418803419
C,C,16.068376068376068
C,O,7407521.367521368
C,F,9400.0
C,Na,145230.76923076922
C,Mg,23897.4358974359
C,Al,140683.7606837607
C,Si,674871.7948717949
C,P,2153.8461538461543
C,S,358.974358974359
C,Cl,99.14529914529915
C,K,14290.598290598291
C,Ca,326324.7863247863
C,Ti,1900.854700854701
C,V,41.02564102564103
C,Mn,974.3589743589744
C,Fe,19247.86324786325
C,Sr,505.982905982906
C,Y,90.25641025641026
C,Zr,56.41025641025641
C,Ba,2179.487179487179
C,La,106.66666666666667
C,Ce,341.02564102564105
C,Nd,42.56410256410257
C,Gd,2.1196581196581197
C,Dy,1.777777777777778
C,Pb,4.786324786324786
C,Bi,0.0029059829059829064
C,Th,6.564102564102564
C,U,1.8461538461538463
N,H,227.35042735042737
N,B,0.3247863247863248
N,N,0.1623931623931624
N,O,29945.29914529915
N,F,95.0
N,Al,2672.991452991453
N,Si,27476.923076923078
N,S,11.367521367521368
N,Ca,1347.863247863248
O,H,255953504.2735043
