from,to,weight
H,H,19.719360568383657
H,Li,7.460035523978686
H,Be,0.7658969804618116
H,B,4.9733570159857905
H,C,114.38721136767319
H,N,8.97690941385435
H,O,9090625.222024867
H,F,698.2593250444049
H,Na,102112.96625222026
H,Mg,93862.16696269982
H,Al,440005.3285968028
H,Si,1970493.78330373
H,P,5039.253996447602
H,S,1166.252220248668
H,Cl,173.0728241563055
H,K,51971.58081705151
H,Ca,236321.4920071048
H,Sc,0.5470692717584369
H,Ti,11337.264653641207
H,V,86.53641207815275
H,Cr,20.291296625222024
H,Mn,3590.7637655417407
H,Fe,1110200.0
H,Co,3.108348134991119
H,Ni,20.88809946714032
H,Cu,49.236234458259325
H,Zn,107.92184724689164
H,Ge,0.18650088809946713
H,As,4.476021314387212
H,Se,0.0012433392539964476
H,Sr,248.4191829484902
H,Y,8.206039076376554
H,Zr,106.67850799289519
H,Nb,12.930728241563054
H,Mo,0.5371225577264653
H,Ag,0.0018650088809946713
H,Sn,0.5147424511545293
H,Sb,0.03978685612788632
H,Te,0.00039786856127886324
H,Cs,0.22380106571936054
H,Ba,496.71403197158077
H,La,16.486678507992895
H,Ce,46.30195381882771
H,Nd,3.0959147424511544
H,Ta,0.1989342806394316
H,W,0.3419182948490231
H,Tl,0.04227353463587922
H,Pb,16.014209591474245
H,Bi,0.002325044404973357
H,Th,1.1936056838365896
H,U,1.3428063943161632
Li,H,7.460035523978686
Li,Li,0.008880994671403197
Li,Be,0.0009946714031971579
Li,B,0.0035523978685612786
Li,O,4094.138543516873
Li,F,2.078152753108348
Li,Na,142.5222024866785
Li,Mg,57.93960923623446
Li,Al,146.18117229129663
Li,Si,2003.5523978685612
Li,P,1.492007104795737
Li,K,37.12255772646537
Li,Ca,73.71225577264653
Li,Ti,9.875666074600355
Li,V,0.04262877442273534
Li,Mn,1.3499111900532859
Li,Fe,500.0
Li,As,0.0006394316163410302
Li,Cs,0.0021314387211367673
Li,La,0.013854351687388987
Li,Ce,0.023623445825932503
Li,Nd,0.014742451154529306
Li,Th,0.0034103019538188274
Be,H,0.7658969804618116
Be,Li,0.0009946714031971579
Be,Be,0.0012433392539964473
Be,B,0.0014920071047957368
Be,O,573.1793960923623
Be,F,0.05818827708703374
Be,Na,4.694849023090586
Be,Mg,11.58792184724689
Be,Al,49.11687388987566
Be,Si,238.42273534635876
Be,P,0.26110124333925394
Be,S,0.017406749555950264
