from,to,weight
H,H,368.4210526315789
H,O,169842105.26315784
H,Al,12128421.052631577
H,P,77368.42105263157
H,S,25789.473684210523
H,Ga,6999.999999999999
H,Ge,221.05263157894734
H,As,132.6315789473684
H,Pb,2063.1578947368416
O,H,169842105.2631579
O,O,121315.7894736842
O,Al,3993715789.473684
O,P,25476315.789473683
O,S,8492105.263157895
O,Ga,2304999.9999999995
O,Ge,72789.47368421052
O,As,43673.68421052631
O,Pb,679368.4210526315
Al,H,12128421.052631577
Al,O,3993715789.473684
Al,Al,8663.157894736842
Al,P,4548157.894736842
Al,Ga,164600.0
Al,Ge,12994.736842105263
Al,Pb,60642.10526315789
P,H,77368.42105263157
P,O,25476315.789473683
P,Al,4548157.894736842
P,P,55.26315789473684
P,Ga,1050.0
P,Ge,82.89473684210526
P,Pb,773.6842105263158
S,H,25789.473684210523
S,O,8492105.263157893
S,S,92.10526315789473
S,Fe,2074210.5263157892
S,Cu,4421.052631578947
S,Zn,3868.4210526315787
S,Ga,1749.9999999999998
S,Ge,27.631578947368418
S,As,33.1578947368421
S,In,4.605263157894736
S,Pb,257.8947368421052
Fe,S,2074210.5263157894
Fe,Fe,5926.315789473684
Fe,Cu,355578.94736842107
Fe,Zn,414842.10526315786
Fe,Ga,112600.0
Fe,Ge,4444.736842105263
Fe,In,740.7894736842105
Cu,S,4421.0526315789475
Cu,Fe,355578.94736842107
Cu,Cu,12.631578947368421
Cu,Zn,663.1578947368421
Cu,Ga,240.0
Cu,Ge,4.7368421052631575
Cu,In,0.7894736842105263
Zn,S,3868.4210526315787
Zn,Fe,414842.10526315786
Zn,Cu,663.1578947368421
Zn,Zn,11.052631578947368
Zn,Ga,210.0
Zn,Ge,5.526315789473684
Zn,In,0.9210526315789473
Ga,H,7000.0
Ga,O,2305000.0
Ga,Al,164600.0
Ga,P,1050.0
Ga,S,1750.0
Ga,Fe,112600.0
Ga,Cu,240.0
Ga,Zn,210.0
Ga,Ga,9.0
Ga,Ge,4.5
Ga,As,1.8
Ga,In,0.25
Ga,Pb,28.0
Ge,H,221.05263157894737
Ge,O,72789.47368421052
Ge,Al,12994.736842105262
Ge,P,82.89473684210526
Ge,S,27.63157894736842
Ge,Fe,4444.736842105263
Ge,Cu,4.7368421052631575
Ge,Zn,5.526315789473684
Ge,Ga,4.5
Ge,Ge,0.23684210526315788
Ge,Pb,1.1052631578947367
As,H,132.63157894736844
As,O,43673.68421052632
As,S,33.15789473684211
As,Ga,1.8
As,As,0.09473684210526316
As,Pb,1.3263157894736843
In,S,4.605263157894736
In,Fe,740.7894736842105
In,Cu,0.7894736842105263
In,Zn,0.9210526315789473
In,Ga,0.25
In,In,0.013157894736842105
Pb,H,2063.157894736842
Pb,O,679368.4210526316
Pb,Al,60642.10526315789
Pb,P,773.6842105263157
Pb,S,257.89473684210526
Pb,Ga,28.0
Pb,Ge,1.1052631578947367
Pb,As,1.3263157894736841
Pb,Pb,1.4736842105263157
H,H,368.4210526315789
O,H,169842105.26315784
Al,H,12128421.052631577
P,H,77368.42105263157
S,H,25789.473684210523
Ga,H,6999.999999999999
Ge,H,221.05263157894734
As,H,132.6315789473684
Pb,H,2063.1578947368416
H,O,169842105.2631579
O,O,121315.7894736842
Al,O,3993715789.473684
P,O,25476315.789473683
S,O,8492105.263157895
Ga,O,2304999.9999999995
Ge,O,72789.47368421052
As,O,43673.68421052631
Pb,O,679368.4210526315
H,Al,12128421.052631577
O,Al,3993715789.473684
Al,Al,8663.157894736842
P,Al,4548157.894736842
Ga,Al,164600.0
Ge,Al,12994.736842105263
Pb,Al,60642.10526315789
H,P,77368.42105263157
O,P,25476315.789473683
Al,P,4548157.894736842
P,P,55.26315789473684
Ga,P,1050.0
Ge,P,82.89473684210526
Pb,P,773.6842105263158
H,S,25789.473684210523
O,S,8492105.263157893
S,S,92.10526315789473
Fe,S,2074210.5263157892
Cu,S,4421.052631578947
Zn,S,3868.4210526315787
Ga,S,1749.9999999999998
Ge,S,27.631578947368418
As,S,33.1578947368421
In,S,4.605263157894736
Pb,S,257.8947368421052
S,Fe,2074210.5263157894
Fe,Fe,5926.315789473684
Cu,Fe,355578.94736842107
Zn,Fe,414842.10526315786
Ga,Fe,112600.0
Ge,Fe,4444.736842105263
In,Fe,740.7894736842105
S,Cu,4421.0526315789475
Fe,Cu,355578.94736842107
Cu,Cu,12.631578947368421
Zn,Cu,663.1578947368421
Ga,Cu,240.0
Ge,Cu,4.7368421052631575
In,Cu,0.7894736842105263
S,Zn,3868.4210526315787
Fe,Zn,414842.10526315786
Cu,Zn,663.1578947368421
Zn,Zn,11.052631578947368
Ga,Zn,210.0
Ge,Zn,5.526315789473684
In,Zn,0.9210526315789473
H,Ga,7000.0
O,Ga,2305000.0
Al,Ga,164600.0
P,Ga,1050.0
S,Ga,1750.0
Fe,Ga,112600.0
Cu,Ga,240.0
Zn,Ga,210.0
Ga,Ga,9.0
Ge,Ga,4.5
As,Ga,1.8
In,Ga,0.25
Pb,Ga,28.0
H,Ge,221.05263157894737
O,Ge,72789.47368421052
Al,Ge,12994.736842105262
P,Ge,82.89473684210526
S,Ge,27.63157894736842
Fe,Ge,4444.736842105263
Cu,Ge,4.7368421052631575
Zn,Ge,5.526315789473684
Ga,Ge,4.5
Ge,Ge,0.23684210526315788
Pb,Ge,1.1052631578947367
H,As,132.63157894736844
O,As,43673.68421052632
S,As,33.15789473684211
Ga,As,1.8
As,As,0.09473684210526316
Pb,As,1.3263157894736843
S,In,4.605263157894736
Fe,In,740.7894736842105
Cu,In,0.7894736842105263
Zn,In,0.9210526315789473
Ga,In,0.25
In,In,0.013157894736842105
H,Pb,2063.157894736842
O,Pb,679368.4210526316
Al,Pb,60642.10526315789
P,Pb,773.6842105263157
S,Pb,257.89473684210526
Ga,Pb,28.0
Ge,Pb,1.1052631578947367
As,Pb,1.3263157894736841
