from,to,weight
H,H,903.2258064516129
H,C,180645.16129032258
H,O,416387096.7741936
H,F,132096.7741935484
H,Na,5329032.258064516
H,Si,63677419.354838714
H,S,79032.25806451614
H,Cl,32741.93548387097
H,Ca,18741935.48387097
H,Cu,13548.387096774193
H,Y,22354.83870967742
H,Ba,95967.74193548388
H,Nd,18741.93548387097
H,Sm,1591.9354838709678
H,Gd,5600.0
H,Dy,3522.5806451612907
H,Pb,3161.2903225806454
H,U,609.6774193548388
C,H,180645.16129032258
C,C,129.03225806451613
C,O,59483870.96774194
C,F,18870.967741935485
C,Na,761290.3225806452
C,Si,9096774.193548387
C,S,11290.322580645161
C,Cl,4677.419354838709
C,Ca,2677419.35483871
C,Cu,1935.483870967742
C,Y,3193.548387096774
C,Ba,13709.677419354839
C,Nd,2677.4193548387098
C,Sm,227.41935483870967
C,Gd,800.0
C,Dy,503.2258064516129
C,Pb,451.61290322580646
C,U,87.0967741935484
O,H,416387096.7741936
O,C,59483870.96774194
O,O,371774.19354838715
O,F,43497580.64516129
O,Na,1754774193.5483873
O,Si,20968064516.129032
O,P,78072580.6451613
O,S,26024193.5483871
O,Cl,10781451.612903226
O,Ca,6171451612.903226
O,Cu,4461290.322580646
O,Y,7361129.032258065
O,Ba,31600806.451612905
O,Nd,6171451.612903226
O,Sm,524201.6129032258
O,Gd,2305000.0000000005
O,Dy,1159935.4838709678
O,Pb,1040967.7419354839
O,U,200758.06451612906
F,H,132096.7741935484
F,C,18870.967741935485
F,O,43497580.64516129
F,F,94.35483870967742
F,Na,2226774.1935483874
F,S,33024.1935483871
F,Cl,13681.451612903227
F,Y,3113.709677419355
F,Ba,40100.8064516129
F,Gd,585.0
F,Dy,490.6451612903226
Na,H,5329032.258064516
Na,C,761290.3225806452
Na,O,1754774193.548387
Na,F,2226774.193548387
Na,Na,3806.451612903226
Na,S,1332258.064516129
Na,Cl,551935.4838709678
Na,Y,125612.90322580645
Na,Ba,1617741.935483871
Na,Gd,23600.0
Na,Dy,19793.548387096776
Si,H,63677419.35483871
Si,C,9096774.193548387
Si,O,20968064516.129032
Si,Si,45483.87096774193
Si,Ca,1887580645.1612902
Si,Gd,282000.0
Si,Dy,236516.12903225806
Si,U,122806.45161290323
P,O,78072580.64516129
P,P,169.3548387096774
P,Gd,1050.0
S,H,79032.25806451614
S,C,11290.322580645161
S,O,26024193.5483871
S,F,33024.1935483871
S,Na,1332258.064516129
S,S,56.45161290322581
S,Cl,8185.483870967742
S,Y,1862.9032258064517
S,Ba,23991.93548387097
S,Gd,350.0
S,Dy,293.5483870967742
Cl,H,32741.935483870966
Cl,C,4677.419354838709
Cl,O,10781451.612903226
Cl,F,13681.451612903225
Cl,Na,551935.4838709678
Cl,S,8185.4838709677415
Cl,Cl,23.387096774193548
Cl,Y,771.7741935483871
Cl,Ba,9939.516129032258
Cl,Gd,145.0
Cl,Dy,121.61290322580645
Ca,H,18741935.483870964
Ca,C,2677419.3548387093
Ca,O,6171451612.903225
Ca,Si,1887580645.1612902
Ca,Ca,13387.096774193547
Ca,Y,220887.09677419355
Ca,Nd,277782.2580645161
Ca,Gd,83000.0
Ca,Dy,69612.90322580645
Ca,U,18072.58064516129
Cu,H,13548.387096774193
Cu,C,1935.483870967742
Cu,O,4461290.322580645
Cu,Cu,9.67741935483871
Cu,Y,319.35483870967744
Cu,Nd,401.61290322580646
Cu,Sm,68.2258064516129
Cu,Gd,60.0
Cu,Pb,135.48387096774195
Y,H,22354.838709677417
Y,C,3193.548387096774
Y,O,7361129.032258064
Y,F,3113.7096774193546
Y,Na,125612.90322580644
Y,S,1862.9032258064515
Y,Cl,771.7741935483871
Y,Ca,220887.09677419355
Y,Cu,319.3548387096774
Y,Y,15.96774193548387
Y,Ba,2262.0967741935483
Y,Nd,441.7741935483871
Y,Sm,37.524193548387096
Y,Gd,99.0
Y,Dy,55.354838709677416
Y,Pb,74.51612903225806
Ba,H,95967.74193548386
Ba,C,13709.677419354839
Ba,O,31600806.4516129
Ba,F,40100.8064516129
Ba,Na,1617741.935483871
Ba,S,23991.935483870966
Ba,Cl,9939.516129032258
Ba,Y,2262.0967741935483
Ba,Ba,68.54838709677419
Ba,Gd,425.0
Ba,Dy,356.4516129032258
Nd,H,18741.935483870966
Nd,C,2677.4193548387098
Nd,O,6171451.612903225
Nd,Ca,277782.2580645161
Nd,Cu,401.61290322580646
Nd,Y,441.7741935483871
Nd,Nd,13.387096774193548
Nd,Sm,47.189516129032256
Nd,Gd,83.0
Nd,Dy,34.806451612903224
Nd,Pb,93.70967741935483
Sm,H,1591.9354838709676
Sm,C,227.41935483870967
Sm,O,524201.61290322576
Sm,Cu,68.2258064516129
Sm,Y,37.524193548387096
