from,to,weight
H,H,10266.666666666666
H,C,186666.66666666666
H,O,4732933333.333333
H,Al,307253333.3333333
H,Si,263199999.99999997
H,P,979999.9999999999
H,S,1306666.6666666665
H,Ca,77466666.66666666
H,Fe,262733333.3333333
H,Ga,35466.666666666664
H,Ge,15400.0
H,Pb,65333.33333333333
C,H,186666.66666666663
C,C,133.33333333333331
C,O,61466666.66666666
C,S,46666.66666666666
C,Ca,5533333.333333332
C,Ge,199.99999999999997
O,H,4732933333.333333
O,C,61466666.666666664
O,O,4610000.0
O,Al,101174133333.33333
O,Si,86668000000.0
O,P,322700000.0
O,S,430266666.6666666
O,Ca,25508666666.666664
O,Fe,103817199999.99998
O,Ga,11678666.666666666
O,Ge,6915000.0
O,Pb,25815999.999999996
Al,H,307253333.3333333
Al,O,101174133333.33333
Al,Al,219466.66666666666
Al,Si,15472400000.0
Al,P,57610000.0
Al,Fe,6177986666.666666
Al,Ga,2084933.3333333333
Al,Ge,329200.0
Al,Pb,1536266.6666666665
Si,H,263200000.0
Si,O,86668000000.0
Si,Al,15472400000.0
Si,Si,188000.0
Si,Fe,10584400000.0
Si,Ge,282000.0
Si,Pb,2632000.0
P,H,980000.0
P,O,322700000.0
P,Al,57610000.0
P,P,700.0
P,Ga,13300.0
P,Ge,1050.0
P,Pb,9800.0
S,H,1306666.6666666665
S,C,46666.666666666664
S,O,430266666.6666666
S,S,5600.0
S,Ca,19366666.666666664
S,V,27999.999999999996
S,Fe,118230000.0
S,Ni,19600.0
S,Cu,167999.99999999997
S,Zn,81666.66666666666
S,Ga,4433.333333333333
S,Ge,8400.0
S,As,840.0
S,Mo,279.99999999999994
S,Ag,69.99999999999999
S,Cd,34.99999999999999
S,Sn,536.6666666666666
S,Te,0.2333333333333333
S,W,583.3333333333333
S,Pb,16333.333333333332
Ca,H,77466666.66666666
Ca,C,5533333.333333333
Ca,O,25508666666.666664
Ca,S,19366666.666666664
Ca,Ca,55333.33333333333
Ca,Ge,83000.0
V,S,28000.0
V,V,80.0
V,Cu,4800.0
V,Ge,120.0
V,As,144.0
Fe,H,262733333.33333328
Fe,O,103817199999.99998
Fe,Al,6177986666.666666
Fe,Si,10584399999.999998
Fe,S,118229999.99999997
Fe,Fe,562999.9999999999
Fe,Cu,15763999.999999996
Fe,Zn,13136666.666666664
Fe,Ga,713133.3333333333
Fe,Ge,844499.9999999999
Fe,As,67560.0
Fe,Mo,45039.99999999999
Fe,W,46916.66666666666
Fe,Pb,2101866.6666666665
Ni,S,19600.0
Ni,Ni,56.0
Ni,Ge,84.0
Cu,S,168000.0
Cu,V,4800.0
Cu,Fe,15764000.0
Cu,Cu,520.0
Cu,Zn,14000.0
