from,to,weight
H,H,3320.0
H,Li,1320.0
H,Be,207.2
H,B,2060.0
H,C,68200.0
H,N,2546.0
H,O,1519917000.0
H,F,137475.0
H,Na,17464000.0
H,Mg,13420800.0
H,Al,74975300.0
H,Si,302586000.0
H,P,561750.0
H,S,193550.0
H,Cl,36250.0
H,K,7858400.0
H,Ca,43118500.0
H,Sc,176.0
H,Ti,1139800.0
H,V,22920.0
H,Cr,4794.0
H,Mn,456950.0
H,Fe,44645900.0
H,Co,1000.0
H,Ni,5964.0
H,Cu,22560.0
H,Zn,16730.0
H,Ga,95.0
H,Ge,16.5
H,As,730.8000000000001
H,Se,1.3
H,Br,14.399999999999999
H,Rb,180.0
H,Sr,40330.0
H,Y,2541.0
H,Zr,13200.0
H,Nb,2220.0
H,Mo,61.199999999999996
H,Ag,0.3
H,Cd,1.7999999999999998
H,In,0.5
H,Sn,62.099999999999994
H,Sb,7.6000000000000005
H,Te,0.054
H,I,5.8500000000000005
H,Cs,48.0
H,Ba,70550.0
H,La,1872.0
H,Ce,6849.5
H,Pr,9.2
H,Nd,1494.0
H,Sm,35.25
H,Gd,24.8
H,Dy,15.600000000000001
H,Er,3.5
H,Yb,9.600000000000001
H,Ta,28.0
H,W,31.25
H,Hg,1.105
H,Tl,5.95
H,Pb,3458.0
H,Bi,0.374
H,Th,259.2
H,U,764.1
Li,H,1320.0
Li,Li,0.9428571428571428
Li,Be,0.27999999999999997
Li,B,1.4285714285714284
Li,C,8.571428571428571
Li,O,434657.14285714284
Li,F,133.71428571428572
Li,Na,9777.142857142857
Li,Mg,3661.428571428571
Li,Al,38798.57142857143
Li,Si,193371.42857142858
Li,P,195.0
Li,S,5.0
Li,Cl,4.142857142857142
Li,K,3881.428571428571
Li,Ca,8892.857142857143
Li,Ti,556.0
Li,Mn,149.28571428571428
Li,Fe,12064.285714285714
Li,Cu,0.8571428571428571
Li,Rb,1.2857142857142856
Li,Sr,5.285714285714286
Li,Y,0.9428571428571428
Li,Zr,7.071428571428571
Li,Cs,0.08571428571428572
Li,Ba,12.142857142857142
Li,La,0.5571428571428572
Li,Ce,0.95
Li,Nd,0.5928571428571429
Li,Th,0.13714285714285712
Li,U,0.038571428571428576
Be,H,207.20000000000002
Be,Li,0.28
Be,Be,0.148
Be,B,0.1
Be,C,0.4
Be,O,68228.0
Be,F,9.36
Be,Na,849.6
Be,Mg,279.6
Be,Al,2633.6
Be,Si,21432.0
Be,P,58.800000000000004
Be,Cl,0.29
Be,K,250.8
Be,Ca,3403.0
Be,Mn,26.6
Be,Fe,1238.6000000000001
Be,Zn,0.42000000000000004
Be,As,0.0108
Be,Y,0.198
Be,Zr,0.99
Be,Sn,0.0092
Be,Cs,0.006
Be,Ba,3.4
Be,La,0.078
Be,Ce,0.532
Be,Nd,0.166
Be,Yb,0.0064
Be,Pb,0.028
Be,Th,0.0384
Be,U,0.0054
B,H,2060.0
B,Li,1.4285714285714284
B,Be,0.09999999999999998
B,B,1.4714285714285713
B,C,20.0
B,N,0.40714285714285714
B,O,675035.7142857142
B,F,83.57142857142858
B,Na,8765.714285714284
B,Mg,10318.571428571428
B,Al,35271.42857142857
B,Si,167185.7142857143
B,P,22.5
B,S,22.5
B,Cl,31.07142857142857
B,K,1642.142857142857
B,Ca,27864.285714285717
B,Ti,198.57142857142858
B,V,3.4285714285714284
B,Cr,2.914285714285714
B,Mn,115.35714285714286
B,Fe,8042.857142857142
B,Cu,1.7142857142857142
B,As,0.025714285714285714
B,Rb,0.6428571428571428
B,Sr,23.785714285714285
B,Y,0.9428571428571428
B,Zr,2.357142857142857
B,Nb,0.2857142857142857
B,Sn,0.016428571428571428
B,Cs,0.02142857142857143
B,Ba,18.214285714285715
B,La,0.5571428571428572
B,Ce,3.3249999999999997
B,Nd,0.29642857142857143
B,Ta,0.014285714285714285
B,Pb,0.49999999999999994
B,Th,0.13714285714285712
B,U,0.019285714285714288
C,H,68200.0
C,Li,8.57142857142857
C,Be,0.39999999999999997
C,B,19.999999999999996
C,C,48.71428571428571
C,N,62.42857142857142
C,O,21535285.714285713
C,F,1504.2857142857142
C,Na,232628.57142857142
C,Mg,203042.85714285713
C,Al,646642.8571428572
C,Si,1973999.9999999998
C,P,3300.0
C,S,1800.0
C,Cl,476.4285714285714
C,K,44785.71428571428
C,Ca,652142.8571428572
C,Ti,1588.5714285714284
C,V,102.85714285714286
C,Cr,72.85714285714286
C,Mn,2578.571428571428
C,Fe,184985.71428571426
C,Co,14.285714285714285
C,Ni,168.0
C,Cu,334.2857142857143
C,Zn,170.0
C,Ge,0.21428571428571427
C,As,1.0285714285714285
C,Sr,687.1428571428571
C,Y,146.14285714285714
C,Zr,212.1428571428571
C,Nb,11.428571428571427
C,Te,0.0002857142857142857
C,Ba,849.9999999999999
C,La,100.28571428571428
C,Ce,209.0
C,Pr,1.314285714285714
C,Nd,106.71428571428571
C,Sm,3.0214285714285714
C,Gd,3.5428571428571427
C,Dy,2.2285714285714286
C,Er,0.5
C,Yb,0.45714285714285713
C,Ta,0.2857142857142857
C,W,0.17857142857142855
C,Hg,0.03642857142857143
C,Pb,56.0
C,Th,2.7428571428571424
C,U,15.814285714285715
N,H,2546.0
N,B,0.40714285714285714
N,C,62.42857142857143
N,N,1.8185714285714285
N,O,782053.5714285715
N,F,39.69642857142857
N,Na,7366.571428571428
N,Mg,4743.214285714286
N,Al,27923.214285714283
N,Si,38271.428571428565
N,P,299.25
N,S,261.25
N,Cl,49.19642857142857
N,K,5105.5714285714275
N,Ca,4505.714285714285
N,V,13.028571428571428
N,Mn,25.785714285714285
N,Fe,14517.357142857143
N,Co,0.3392857142857143
N,Ni,5.699999999999999
N,Cu,10.585714285714285
N,Zn,0.95
N,As,0.19542857142857142
N,Br,0.13028571428571428
N,Mo,0.03257142857142857
N,Sn,0.031214285714285712
N,Sb,0.0027142857142857142
N,I,0.012214285714285714
N,Hg,0.005767857142857144
N,Pb,0.76
N,Bi,0.00023071428571428573
N,U,0.4397142857142857
O,H,1519917000.0
O,Li,434657.14285714284
O,Be,68227.99999999999
O,B,675035.7142857142
O,C,21535285.714285713
O,N,782053.5714285715
O,O,1085655.0
O,F,44690657.14285714
O,Na,5750645714.285714
O,Mg,4419277714.285714
O,Al,24688295214.285713
O,Si,99451530000.0
O,P,184976250.0
O,S,63733250.0
O,Cl,11697875.0
O,K,2587658857.142857
O,Ca,14198306071.42857
O,Sc,57954.28571428571
O,Ti,375319857.14285713
O,V,7507714.2857142845
O,Cr,1578595.714285714
O,Mn,150467107.14285713
O,Fe,14701257071.42857
O,Co,329285.71428571426
O,Ni,1936200.0
O,Cu,7408928.571428571
O,Zn,5508950.0
O,Ga,31282.14285714286
O,Ge,5433.214285714286
O,As,240641.99999999997
O,Se,428.0714285714286
