from,to,weight
H,H,214117.6470588235
H,C,9882352.94117647
H,N,1564705.882352941
H,O,98708235294.11763
H,Mg,383764705.8823529
H,Al,1355529411.7647057
H,P,17294117.647058822
H,S,23058823.529411763
H,Cl,14329411.764705881
H,Ni,1383529.4117647058
H,Br,118588.23529411762
H,Mo,19764.705882352937
H,Sb,3294.1176470588234
H,I,7411.764705882352
H,Hg,18200.0
C,H,9882352.94117647
C,C,11764.705882352939
C,O,5423529411.764706
C,Mg,54823529.411764696
C,Cl,682352.9411764705
C,Ni,197647.05882352937
C,Br,5647.058823529411
C,I,1058.8235294117646
C,Hg,999.9999999999999
N,H,1564705.882352941
N,N,1117.6470588235293
N,O,515235294.11764693
N,S,312941.1764705882
N,Cl,129647.0588235294
N,Br,1072.941176470588
N,Mo,268.235294117647
N,I,100.58823529411764
N,Hg,95.0
O,H,98708235294.11765
O,C,5423529411.764706
O,N,515235294.11764705
O,O,178976470.5882353
O,Mg,126368235294.11765
O,Al,446356470588.2353
O,Si,1529435294117.647
O,P,5694705882.352941
O,S,13287647058.823528
O,Cl,13369000000.0
O,V,650823529.4117646
O,Cr,1659600000.0
O,Ni,455576470.58823526
O,As,39049411.76470588
O,Br,91115294.11764705
O,Mo,6508235.294117646
O,Ag,813529.4117647058
O,Sb,2169411.7647058824
O,Te,5423.529411764705
O,I,9762352.94117647
O,Hg,15213000.0
Mg,H,383764705.8823529
Mg,C,54823529.411764696
Mg,O,126368235294.11763
Mg,Mg,274117.6470588235
Mg,Ni,23025882.352941174
Mg,Hg,23300.0
Al,H,1355529411.764706
Al,O,446356470588.2353
Al,Al,968235.294117647
Al,P,1016647058.8235294
Al,Hg,82300.0
Si,O,1529435294117.647
Si,Si,3317647.058823529
Si,Hg,282000.0
P,H,17294117.647058822
P,O,5694705882.352941
P,Al,1016647058.8235294
P,P,12352.941176470587
P,Hg,1050.0
S,H,23058823.529411763
S,N,312941.1764705882
S,O,13287647058.823526
S,S,209999.99999999997
S,Cl,6567647.058823529
S,Cr,839999.9999999999
S,Mn,3911764.7058823523
S,Fe,463647058.82352936
S,Ni,345882.35294117645
S,Cu,3705882.352941176
S,Zn,864705.882352941
S,As,111176.47058823529
S,Br,39529.411764705874
S,Mo,4941.176470588234
S,Ag,4632.352941176469
S,Sn,9470.588235294115
S,Sb,11529.411764705881
S,Te,4.117647058823529
S,I,9264.70588235294
S,Cs,12352.941176470587
S,Hg,17850.0
S,Tl,31499.999999999996
S,Pb,288235.29411764705
S,Bi,35.0
Cl,H,14329411.764705881
Cl,C,682352.9411764705
Cl,N,129647.0588235294
Cl,O,13369000000.0
Cl,S,6567647.058823529
Cl,Cl,46058.82352941176
Cl,As,6141.176470588235
Cl,Br,40941.17647058823
Cl,Mo,2047.0588235294115
Cl,Ag,511.76470588235287
Cl,Sb,341.1764705882353
Cl,I,5373.529411764705
Cl,Hg,3915.0
V,O,650823529.4117647
V,V,1411.764705882353
V,As,2541.176470588235
V,Ag,105.88235294117646
V,Hg,120.00000000000001
Cr,O,1659600000.0
Cr,S,840000.0
Cr,Cr,3600.0
Cr,Hg,306.00000000000006
Mn,S,3911764.705882353
Mn,Mn,11176.470588235294
Mn,Sb,2235.294117647059
Mn,Hg,950.0
Mn,Tl,9500.0
Mn,Pb,156470.5882352941
Fe,S,463647058.82352936
Fe,Fe,1324705.882352941
Fe,Cu,79482352.94117646
Fe,Zn,46364705.88235293
Fe,As,1192235.294117647
Fe,Ag,49676.47058823529
Fe,Sb,132470.5882352941
Fe,Hg,112599.99999999999
Fe,Tl,562999.9999999999
Ni,H,1383529.4117647058
Ni,C,197647.0588235294
Ni,O,455576470.58823526
Ni,Mg,23025882.352941174
Ni,S,345882.35294117645
Ni,Ni,1976.470588235294
Ni,Hg,168.0
Cu,S,3705882.352941177
Cu,Fe,79482352.94117647
Cu,Cu,16235.29411764706
Cu,Zn,98823.5294117647
