from,to,weight
H,H,40444.444444444445
H,N,118222.22222222223
H,O,18644888888.88889
H,Na,220266666.6666667
H,Mg,217466666.6666667
H,S,2177777.777777778
H,Cl,1804444.4444444445
H,K,130044444.44444445
H,Ca,387333333.3333334
H,Cr,634666.6666666667
H,Cu,746666.6666666667
H,As,5600.000000000001
H,Se,155.55555555555557
H,Br,7466.666666666667
H,I,18200.000000000004
H,Hg,264.44444444444446
H,Pb,130666.66666666669
C,C,444.44444444444446
C,O,204888888.8888889
C,Cl,64444.444444444445
C,Br,1066.6666666666667
C,I,200.0
C,Hg,37.77777777777778
N,H,118222.22222222222
N,N,84.44444444444444
N,O,38928888.88888889
N,S,14777.777777777777
N,Cl,6122.222222222222
N,As,76.0
N,Br,101.33333333333333
N,I,38.0
N,Hg,3.588888888888889
O,H,18644888888.88889
O,C,204888888.8888889
O,N,38928888.88888889
O,O,19464444.444444444
O,Na,96707555555.55556
O,Mg,71608666666.66667
O,S,1075666666.6666667
O,Cl,1188355555.5555556
O,K,42821777777.77778
O,Ca,170057777777.7778
O,Cr,208986666.6666667
O,Cu,245866666.6666667
O,As,1844000.0000000002
O,Se,51222.222222222226
O,Br,9834666.666666666
O,I,8759000.000000002
O,Hg,348311.1111111112
O,Pb,57368888.888888896
Na,H,220266666.6666667
Na,O,96707555555.55556
Na,Na,209777.77777777778
Na,Mg,3665866666.666667
Na,S,36711111.11111111
Na,K,2192177777.7777777
Na,Ca,2176444444.4444447
Na,Cr,5349333.333333333
Na,Se,2622.2222222222226
Na,I,94400.0
Mg,H,217466666.6666667
Mg,O,71608666666.66667
Mg,Na,3665866666.666667
Mg,Mg,155333.33333333334
Mg,S,18122222.222222224
Mg,K,2164311111.111111
Mg,Ca,2148777777.777778
Mg,Cr,5281333.333333334
Mg,Se,2588.888888888889
Mg,I,69900.00000000001
S,H,2177777.777777778
S,N,14777.77777777778
S,O,1075666666.6666667
S,Na,36711111.11111111
S,Mg,18122222.222222224
S,S,7000.0
S,Cl,563888.8888888889
S,K,16255555.555555556
S,As,1400.0000000000002
S,Br,5600.0
S,Ag,116.66666666666667
S,I,3150.0000000000005
S,Hg,330.55555555555554
S,Pb,10888.88888888889
S,Bi,6.611111111111112
Cl,H,1804444.4444444445
Cl,C,64444.444444444445
Cl,N,6122.222222222223
Cl,O,1188355555.5555556
Cl,S,563888.8888888889
Cl,Cl,3866.666666666667
Cl,Cu,19333.333333333332
Cl,As,580.0
Cl,Br,4640.0
Cl,Ag,24.166666666666668
Cl,I,1740.0
Cl,Hg,191.72222222222226
Cl,Pb,18044.444444444445
K,H,130044444.44444445
K,O,42821777777.77778
K,Na,2192177777.7777777
K,Mg,2164311111.111111
K,S,16255555.555555556
K,K,92888.88888888889
K,Se,2322.222222222222
K,I,41800.0
Ca,H,387333333.3333334
Ca,O,170057777777.7778
Ca,Na,2176444444.4444447
Ca,Mg,2148777777.777778
Ca,Ca,368888.88888888893
Ca,Cr,18813333.333333336
Ca,I,166000.00000000003
Cr,H,634666.6666666667
Cr,O,208986666.6666667
Cr,Na,5349333.333333334
Cr,Mg,5281333.333333334
Cr,Ca,18813333.333333336
Cr,Cr,453.33333333333337
Cr,I,204.00000000000003
Cu,H,746666.6666666667
Cu,O,245866666.6666667
Cu,Cl,19333.333333333336
Cu,Cu,800.0
Cu,Ag,10.0
Cu,I,360.00000000000006
Cu,Pb,1866.6666666666667
As,H,5600.0
As,N,76.0
As,O,1844000.0
As,S,1400.0
As,Cl,580.0
As,As,8.0
As,I,3.6
As,Pb,56.0
Se,H,155.55555555555557
Se,O,51222.222222222226
Se,Na,2622.2222222222226
Se,Mg,2588.888888888889
Se,K,2322.222222222222
Se,Se,0.11111111111111112
Se,I,0.05
Br,H,7466.666666666666
Br,C,1066.6666666666665
Br,N,101.33333333333333
Br,O,9834666.666666666
Br,S,5600.0
Br,Cl,4640.0
Br,Br,32.0
Br,Ag,0.39999999999999997
Br,I,14.399999999999999
Br,Hg,2.72
Ag,S,116.66666666666666
Ag,Cl,24.166666666666664
Ag,Cu,10.0
Ag,Br,0.39999999999999997
Ag,Ag,0.8333333333333333
Ag,I,0.375
Ag,Hg,0.0425
I,H,18200.0
I,C,200.0
I,N,38.0
I,O,8759000.0
I,Na,94400.0
I,Mg,69900.0
I,S,3150.0
I,Cl,1740.0
I,K,41800.0
I,Ca,166000.0
I,Cr,204.0
I,Cu,360.0
I,As,3.6
I,Se,0.05
I,Br,14.399999999999999
I,Ag,0.375
I,I,32.0
I,Hg,0.935
I,Tl,0.85
I,Pb,70.0
I,Bi,0.0085
Hg,H,264.44444444444446
Hg,C,37.777777777777786
Hg,N,3.5888888888888895
Hg,O,348311.1111111112
Hg,S,330.55555555555554
Hg,Cl,191.72222222222226
Hg,Br,2.72
Hg,Ag,0.0425
Hg,I,0.935
Hg,Hg,2.077777777777778
Tl,I,0.85
Tl,Tl,1.8888888888888888
Pb,H,130666.66666666669
Pb,O,57368888.888888896
Pb,S,10888.88888888889
Pb,Cl,18044.444444444445
Pb,Cu,1866.666666666667
Pb,As,56.00000000000001
Pb,I,70.00000000000001
Pb,Pb,155.55555555555557
Bi,S,6.6111111111111125
Bi,I,0.008500000000000002
Bi,Bi,0.018888888888888893
H,H,40444.444444444445
N,H,118222.22222222223
O,H,18644888888.88889
Na,H,220266666.6666667
Mg,H,217466666.6666667
S,H,2177777.777777778
Cl,H,1804444.4444444445
K,H,130044444.44444445
Ca,H,387333333.3333334
Cr,H,634666.6666666667
Cu,H,746666.6666666667
As,H,5600.000000000001
Se,H,155.55555555555557
Br,H,7466.666666666667
I,H,18200.000000000004
Hg,H,264.44444444444446
Pb,H,130666.66666666669
C,C,444.44444444444446
O,C,204888888.8888889
Cl,C,64444.444444444445
Br,C,1066.6666666666667
I,C,200.0
Hg,C,37.77777777777778
H,N,118222.22222222222
N,N,84.44444444444444
O,N,38928888.88888889
S,N,14777.777777777777
Cl,N,6122.222222222222
As,N,76.0
Br,N,101.33333333333333
I,N,38.0
Hg,N,3.588888888888889
H,O,18644888888.88889
C,O,204888888.8888889
N,O,38928888.88888889
O,O,19464444.444444444
Na,O,96707555555.55556
Mg,O,71608666666.66667
S,O,1075666666.6666667
Cl,O,1188355555.5555556
K,O,42821777777.77778
Ca,O,170057777777.7778
Cr,O,208986666.6666667
Cu,O,245866666.6666667
As,O,1844000.0000000002
Se,O,51222.222222222226
Br,O,9834666.666666666
I,O,8759000.000000002
Hg,O,348311.1111111112
Pb,O,57368888.888888896
H,Na,220266666.6666667
O,Na,96707555555.55556
Na,Na,209777.77777777778
Mg,Na,3665866666.666667
S,Na,36711111.11111111
K,Na,2192177777.7777777
Ca,Na,2176444444.4444447
Cr,Na,5349333.333333333
Se,Na,2622.2222222222226
I,Na,94400.0
H,Mg,217466666.6666667
O,Mg,71608666666.66667
Na,Mg,3665866666.666667
Mg,Mg,155333.33333333334
S,Mg,18122222.222222224
K,Mg,2164311111.111111
Ca,Mg,2148777777.777778
Cr,Mg,5281333.333333334
Se,Mg,2588.888888888889
I,Mg,69900.00000000001
H,S,2177777.777777778
N,S,14777.77777777778
O,S,1075666666.6666667
Na,S,36711111.11111111
Mg,S,18122222.222222224
S,S,7000.0
Cl,S,563888.8888888889
K,S,16255555.555555556
As,S,1400.0000000000002
Br,S,5600.0
Ag,S,116.66666666666667
I,S,3150.0000000000005
Hg,S,330.55555555555554
Pb,S,10888.88888888889
Bi,S,6.611111111111112
H,Cl,1804444.4444444445
C,Cl,64444.444444444445
N,Cl,6122.222222222223
O,Cl,1188355555.5555556
S,Cl,563888.8888888889
Cl,Cl,3866.666666666667
Cu,Cl,19333.333333333332
As,Cl,580.0
Br,Cl,4640.0
Ag,Cl,24.166666666666668
I,Cl,1740.0
Hg,Cl,191.72222222222226
Pb,Cl,18044.444444444445
H,K,130044444.44444445
O,K,42821777777.77778
Na,K,2192177777.7777777
Mg,K,2164311111.111111
S,K,16255555.555555556
K,K,92888.88888888889
Se,K,2322.222222222222
I,K,41800.0
H,Ca,387333333.3333334
O,Ca,170057777777.7778
Na,Ca,2176444444.4444447
Mg,Ca,2148777777.777778
Ca,Ca,368888.88888888893
Cr,Ca,18813333.333333336
I,Ca,166000.00000000003
H,Cr,634666.6666666667
O,Cr,208986666.6666667
Na,Cr,5349333.333333334
Mg,Cr,5281333.333333334
Ca,Cr,18813333.333333336
Cr,Cr,453.33333333333337
I,Cr,204.00000000000003
H,Cu,746666.6666666667
O,Cu,245866666.6666667
Cl,Cu,19333.333333333336
Cu,Cu,800.0
Ag,Cu,10.0
I,Cu,360.00000000000006
Pb,Cu,1866.6666666666667
H,As,5600.0
N,As,76.0
O,As,1844000.0
S,As,1400.0
Cl,As,580.0
As,As,8.0
I,As,3.6
Pb,As,56.0
H,Se,155.55555555555557
O,Se,51222.222222222226
Na,Se,2622.2222222222226
Mg,Se,2588.888888888889
K,Se,2322.222222222222
Se,Se,0.11111111111111112
