from,to,weight
H,H,11200.0
H,O,5163200000.0
H,As,10080.0
H,In,2800.0
O,H,5163200000.0
O,O,3688000.0
O,As,3319200.0
O,In,922000.0
S,S,14000.0
S,Mn,1330000.0
S,Fe,394100000.0
S,Cu,336000.0
S,Zn,294000.0
S,Ga,26600.0
S,Ag,315.0
S,Cd,420.0
S,In,3500.0
S,Sn,9659.999999999998
S,Sb,280.0
S,Pb,58800.0
S,Bi,23.8
Mn,S,1330000.0
Mn,Mn,3800.0
Mn,Fe,213940000.0
Mn,Ag,285.0
Mn,Cd,570.0
Mn,In,950.0
Mn,Sb,760.0
Mn,Pb,53200.0
Fe,S,394100000.0
Fe,Mn,213940000.0
Fe,Fe,1126000.0
Fe,Cu,40536000.0
Fe,Zn,47292000.0
Fe,Ga,4278800.0
Fe,Ag,33780.0
Fe,Cd,33780.0
Fe,In,281500.0
Fe,Sn,1035919.9999999999
Fe,Sb,45040.0
Fe,Pb,3152800.0
Cu,S,336000.0
Cu,Fe,40536000.0
Cu,Cu,960.0
Cu,Zn,50400.0
Cu,Ga,4560.0
Cu,Ag,18.0
Cu,In,240.0
Cu,Sn,1104.0
Zn,S,294000.0
Zn,Fe,47292000.0
Zn,Cu,50400.0
Zn,Zn,840.0
Zn,Ga,5320.0
Zn,Ag,21.0
Zn,In,210.0
Zn,Sn,1288.0
Ga,S,26600.0
Ga,Fe,4278800.0
Ga,Cu,4560.0
Ga,Zn,5320.0
Ga,Ga,76.0
Ga,In,19.0
As,H,10080.0
As,O,3319200.0
As,As,14.4
As,Pd,0.108
As,In,3.6
Pd,As,0.108
Pd,Pd,0.06
Pd,In,0.015
Ag,S,315.0
Ag,Mn,285.0
Ag,Fe,33780.0
Ag,Cu,18.0
Ag,Zn,21.0
Ag,Ag,0.8999999999999999
Ag,Cd,0.045
Ag,In,0.22499999999999998
Ag,Sn,0.69
Ag,Sb,0.06
Ag,Pb,4.2
Cd,S,420.0
Cd,Mn,570.0
Cd,Fe,33780.0
Cd,Ag,0.045
Cd,Cd,1.2
Cd,In,0.3
Cd,Sb,0.12
Cd,Pb,8.4
In,H,2800.0
In,O,922000.0
In,S,3500.0
In,Mn,950.0
In,Fe,281500.0
In,Cu,240.0
In,Zn,210.0
In,Ga,19.0
In,As,3.6
In,Pd,0.015
In,Ag,0.22499999999999998
In,Cd,0.3
In,In,16.0
In,Sn,6.8999999999999995
In,Sb,0.2
In,Pt,0.01
In,Pb,42.0
In,Bi,0.017
Sn,S,9659.999999999998
Sn,Fe,1035919.9999999999
Sn,Cu,1104.0
Sn,Zn,1288.0
Sn,Ag,0.69
Sn,In,6.8999999999999995
Sn,Sn,27.599999999999998
Sn,Pb,128.79999999999998
Sn,Bi,0.0782
Sb,S,280.0
Sb,Mn,760.0
Sb,Fe,45040.0
Sb,Ag,0.06
Sb,Cd,0.12
Sb,In,0.2
Sb,Sb,0.8
Sb,Pb,11.200000000000001
Pt,In,0.01
Pt,Pt,0.04
Pb,S,58800.0
Pb,Mn,53200.0
Pb,Fe,3152800.0
Pb,Ag,4.2
Pb,Cd,8.4
Pb,In,42.0
Pb,Sn,128.79999999999998
Pb,Sb,11.200000000000001
Pb,Pb,168.0
Pb,Bi,0.9520000000000001
Bi,S,23.8
Bi,In,0.017
Bi,Sn,0.0782
Bi,Pb,0.9520000000000001
Bi,Bi,0.068
H,H,11200.0
O,H,5163200000.0
As,H,10080.0
In,H,2800.0
H,O,5163200000.0
O,O,3688000.0
As,O,3319200.0
In,O,922000.0
S,S,14000.0
Mn,S,1330000.0
Fe,S,394100000.0
Cu,S,336000.0
Zn,S,294000.0
Ga,S,26600.0
Ag,S,315.0
Cd,S,420.0
In,S,3500.0
Sn,S,9659.999999999998
Sb,S,280.0
Pb,S,58800.0
Bi,S,23.8
S,Mn,1330000.0
Mn,Mn,3800.0
Fe,Mn,213940000.0
Ag,Mn,285.0
Cd,Mn,570.0
In,Mn,950.0
Sb,Mn,760.0
Pb,Mn,53200.0
S,Fe,394100000.0
Mn,Fe,213940000.0
Fe,Fe,1126000.0
Cu,Fe,40536000.0
Zn,Fe,47292000.0
Ga,Fe,4278800.0
Ag,Fe,33780.0
Cd,Fe,33780.0
In,Fe,281500.0
Sn,Fe,1035919.9999999999
Sb,Fe,45040.0
Pb,Fe,3152800.0
S,Cu,336000.0
Fe,Cu,40536000.0
Cu,Cu,960.0
Zn,Cu,50400.0
Ga,Cu,4560.0
Ag,Cu,18.0
In,Cu,240.0
Sn,Cu,1104.0
S,Zn,294000.0
Fe,Zn,47292000.0
Cu,Zn,50400.0
Zn,Zn,840.0
Ga,Zn,5320.0
Ag,Zn,21.0
In,Zn,210.0
Sn,Zn,1288.0
S,Ga,26600.0
Fe,Ga,4278800.0
Cu,Ga,4560.0
Zn,Ga,5320.0
Ga,Ga,76.0
In,Ga,19.0
H,As,10080.0
O,As,3319200.0
As,As,14.4
Pd,As,0.108
In,As,3.6
As,Pd,0.108
Pd,Pd,0.06
In,Pd,0.015
S,Ag,315.0
Mn,Ag,285.0
Fe,Ag,33780.0
Cu,Ag,18.0
Zn,Ag,21.0
Ag,Ag,0.8999999999999999
Cd,Ag,0.045
In,Ag,0.22499999999999998
Sn,Ag,0.69
Sb,Ag,0.06
Pb,Ag,4.2
S,Cd,420.0
Mn,Cd,570.0
Fe,Cd,33780.0
Ag,Cd,0.045
Cd,Cd,1.2
In,Cd,0.3
Sb,Cd,0.12
Pb,Cd,8.4
H,In,2800.0
O,In,922000.0
S,In,3500.0
Mn,In,950.0
Fe,In,281500.0
Cu,In,240.0
Zn,In,210.0
Ga,In,19.0
As,In,3.6
Pd,In,0.015
Ag,In,0.22499999999999998
Cd,In,0.3
In,In,16.0
Sn,In,6.8999999999999995
Sb,In,0.2
Pt,In,0.01
Pb,In,42.0
Bi,In,0.017
S,Sn,9659.999999999998
Fe,Sn,1035919.9999999999
Cu,Sn,1104.0
Zn,Sn,1288.0
Ag,Sn,0.69
In,Sn,6.8999999999999995
Sn,Sn,27.599999999999998
Pb,Sn,128.79999999999998
Bi,Sn,0.0782
S,Sb,280.0
Mn,Sb,760.0
Fe,Sb,45040.0
Ag,Sb,0.06
Cd,Sb,0.12
In,Sb,0.2
Sb,Sb,0.8
Pb,Sb,11.200000000000001
In,Pt,0.01
Pt,Pt,0.04
S,Pb,58800.0
Mn,Pb,53200.0
Fe,Pb,3152800.0
Ag,Pb,4.2
Cd,Pb,8.4
In,Pb,42.0
Sn,Pb,128.79999999999998
Sb,Pb,11.200000000000001
Pb,Pb,168.0
Bi,Pb,0.9520000000000001
S,Bi,23.8
In,Bi,0.017
Sn,Bi,0.0782
Pb,Bi,0.9520000000000001
Bi,Bi,0.068
