from,to,weight
S,S,4200000.0
S,Fe,59115000000.0
S,Ni,58800000.0
S,Cu,105000000.0
S,As,630000.0
S,Ru,350.0
S,Rh,1400.0
S,Sb,70000.0
S,Ir,4200.0
S,Pt,10500.0
S,Pb,9800000.0
S,Bi,2975.0
Fe,S,59115000000.0
Fe,Fe,394100000.0
Fe,Ni,9458400000.0
Fe,Cu,6756000000.0
Fe,Mo,67560000.0
Fe,Ru,112600.0
Fe,Rh,56300.0
Fe,Os,168900.0
Fe,Ir,394100.0
Fe,Pt,281500.0
Ni,S,58800000.0
Ni,Fe,9458400000.0
Ni,Ni,252000.0
Ni,Cu,5040000.0
Ni,Rh,84.0
Ni,Ir,252.0
Ni,Pt,420.0
Cu,S,105000000.0
Cu,Fe,6756000000.0
Cu,Ni,5040000.0
Cu,Cu,360000.0
Cu,Rh,180.0
Cu,Sb,12000.0
Cu,Ir,360.0
Cu,Pt,1200.0
Cu,Pb,1680000.0
As,S,630000.0
As,As,3600.0
As,Ru,3.6
As,Rh,1.8
As,Ir,3.6
As,Pt,9.0
Mo,Fe,67560000.0
Mo,Mo,1200.0
Mo,Ru,1.2
Mo,Os,1.8
Mo,Ir,1.2
Ru,S,350.0
Ru,Fe,112600.0
Ru,As,3.6
Ru,Mo,1.2
Ru,Ru,8.0
Ru,Rh,0.001
Ru,Os,0.0075
Ru,Ir,0.008
Ru,Pt,0.005
Rh,S,1400.0
Rh,Fe,56300.0
Rh,Ni,84.0
Rh,Cu,180.0
Rh,As,1.8
Rh,Ru,0.001
Rh,Rh,5.0
Rh,Sb,0.2
Rh,Ir,0.005
Rh,Pt,0.02
Rh,Pb,14.0
Sb,S,70000.0
Sb,Cu,12000.0
Sb,Rh,0.2
Sb,Sb,400.0
Sb,Ir,0.4
Te,Te,3.0
Te,Ir,0.003
Te,Bi,0.0085
Os,Fe,168900.0
Os,Mo,1.7999999999999998
Os,Ru,0.0075
Os,Os,7.5
Os,Ir,0.0075
Ir,S,4200.0
Ir,Fe,394100.0
Ir,Ni,252.0
Ir,Cu,360.0
Ir,As,3.6
Ir,Mo,1.2
Ir,Ru,0.008
Ir,Rh,0.005
Ir,Sb,0.4
Ir,Te,0.003
Ir,Os,0.0075
Ir,Ir,25.0
Ir,Pt,0.03
Ir,Pb,28.0
Ir,Bi,0.017
Pt,S,10500.0
Pt,Fe,281500.0
Pt,Ni,420.0
Pt,Cu,1200.0
Pt,As,9.0
Pt,Ru,0.005
Pt,Rh,0.02
Pt,Ir,0.03
Pt,Pt,30.0
Pt,Pb,140.0
Pb,S,9800000.0
Pb,Cu,1680000.0
Pb,Rh,14.0
Pb,Ir,28.0
Pb,Pt,140.0
Pb,Pb,28000.0
Bi,S,2975.0
Bi,Te,0.0085
Bi,Ir,0.017
Bi,Bi,17.0
S,S,4200000.0
Fe,S,59115000000.0
Ni,S,58800000.0
Cu,S,105000000.0
As,S,630000.0
Ru,S,350.0
Rh,S,1400.0
Sb,S,70000.0
Ir,S,4200.0
Pt,S,10500.0
Pb,S,9800000.0
Bi,S,2975.0
S,Fe,59115000000.0
Fe,Fe,394100000.0
Ni,Fe,9458400000.0
Cu,Fe,6756000000.0
Mo,Fe,67560000.0
Ru,Fe,112600.0
Rh,Fe,56300.0
Os,Fe,168900.0
Ir,Fe,394100.0
Pt,Fe,281500.0
S,Ni,58800000.0
Fe,Ni,9458400000.0
Ni,Ni,252000.0
Cu,Ni,5040000.0
Rh,Ni,84.0
Ir,Ni,252.0
Pt,Ni,420.0
S,Cu,105000000.0
Fe,Cu,6756000000.0
Ni,Cu,5040000.0
Cu,Cu,360000.0
Rh,Cu,180.0
Sb,Cu,12000.0
Ir,Cu,360.0
Pt,Cu,1200.0
Pb,Cu,1680000.0
S,As,630000.0
As,As,3600.0
Ru,As,3.6
Rh,As,1.8
Ir,As,3.6
Pt,As,9.0
Fe,Mo,67560000.0
Mo,Mo,1200.0
Ru,Mo,1.2
Os,Mo,1.8
Ir,Mo,1.2
S,Ru,350.0
Fe,Ru,112600.0
As,Ru,3.6
Mo,Ru,1.2
Ru,Ru,8.0
Rh,Ru,0.001
Os,Ru,0.0075
Ir,Ru,0.008
Pt,Ru,0.005
S,Rh,1400.0
Fe,Rh,56300.0
Ni,Rh,84.0
Cu,Rh,180.0
As,Rh,1.8
Ru,Rh,0.001
Rh,Rh,5.0
Sb,Rh,0.2
Ir,Rh,0.005
Pt,Rh,0.02
Pb,Rh,14.0
S,Sb,70000.0
Cu,Sb,12000.0
Rh,Sb,0.2
Sb,Sb,400.0
Ir,Sb,0.4
Te,Te,3.0
Ir,Te,0.003
Bi,Te,0.0085
Fe,Os,168900.0
Mo,Os,1.7999999999999998
Ru,Os,0.0075
Os,Os,7.5
Ir,Os,0.0075
S,Ir,4200.0
Fe,Ir,394100.0
Ni,Ir,252.0
Cu,Ir,360.0
As,Ir,3.6
Mo,Ir,1.2
Ru,Ir,0.008
Rh,Ir,0.005
Sb,Ir,0.4
Te,Ir,0.003
Os,Ir,0.0075
Ir,Ir,25.0
Pt,Ir,0.03
Pb,Ir,28.0
Bi,Ir,0.017
S,Pt,10500.0
Fe,Pt,281500.0
Ni,Pt,420.0
