from,to,weight
H,H,25.1866028708134
H,Li,17.416267942583733
H,Be,1.1253588516746411
H,B,7.36842105263158
H,C,200.95693779904306
H,N,22.90909090909091
H,O,11611023.923444977
H,F,1645.8373205741625
H,Na,278231.5789473684
H,Mg,113935.88516746412
H,Al,782834.4497607655
H,Si,4269129.186602871
H,P,2743.0622009569383
H,S,1617.7033492822968
H,Cl,349.665071770335
H,K,526400.0
H,Ca,397526.3157894737
H,Ti,21601.53110047847
H,V,128.61244019138758
H,Cr,20.497607655502392
H,Mn,3309.0909090909095
H,Fe,377129.1866028708
H,Ni,5.626794258373206
H,Cu,68.32535885167465
H,Zn,51.578947368421055
H,As,1.6880382775119618
H,Se,0.003349282296650718
H,Br,0.16076555023923444
H,Rb,6.028708133971292
H,Sr,446.1244019138756
H,Y,11.05263157894737
H,Zr,165.78947368421052
H,Nb,49.569377990430624
H,Mo,0.3215311004784689
H,Ag,0.005023923444976076
H,Cd,0.010047846889952153
H,Sb,0.04019138755980862
H,I,0.060287081339712924
H,Cs,0.6028708133971292
H,Ba,1167.2248803827752
H,Ce,22.272727272727273
H,Ta,0.4019138755980861
H,W,0.08373205741626795
H,Tl,0.11387559808612441
H,Pb,5.626794258373206
H,Bi,0.0005693779904306221
H,Th,1.2861244019138756
H,U,5.244976076555025
Li,H,17.416267942583733
Li,Li,0.031578947368421054
Li,Be,0.010717703349282296
Li,O,14557.894736842107
Li,F,5.598086124401914
Li,Na,316.17224880382776
Li,Mg,89.1866028708134
Li,Al,551.2918660287082
Li,Si,7825.837320574163
Li,P,3.0143540669856463
Li,S,0.3349282296650718
Li,K,660.0
Li,Ca,277.99043062200957
Li,Ti,47.885167464114836
Li,V,0.22966507177033493
Li,Mn,7.272727272727273
Li,Fe,269.37799043062205
Li,Cu,0.05741626794258373
Li,Zn,0.1339712918660287
Li,Rb,0.0861244019138756
Li,Zr,0.47368421052631576
Li,Sn,0.004401913875598086
Li,U,0.0025837320574162684
Be,H,1.1253588516746411
Be,Li,0.010717703349282296
Be,Be,0.0024114832535885164
Be,B,0.0040191387559808615
Be,O,1111.6937799043062
Be,F,0.23511961722488037
Be,Na,31.61722488038277
Be,Mg,9.364593301435406
Be,Al,88.2066985645933
Be,Si,453.3588516746411
Be,P,0.5626794258373206
Be,Cl,0.019425837320574162
Be,K,50.4
Be,Ca,38.91866028708134
Be,Sc,0.0029473684210526313
Be,Ti,1.4897607655502392
Be,Mn,0.12727272727272726
Be,Fe,7.542583732057415
Be,Rb,0.012057416267942583
Be,Y,0.008842105263157894
Be,Zr,0.04421052631578947
Be,Cs,0.0012057416267942582
Be,Ba,0.0569377990430622
Be,Pb,0.0018755980861244017
B,H,7.36842105263158
B,Be,0.0040191387559808615
B,B,0.010526315789473684
B,O,4411.483253588517
B,F,1.6794258373205744
B,Na,79.04306220095694
B,Mg,44.5933014354067
B,Al,275.6459330143541
B,Si,1484.2105263157894
B,S,0.1674641148325359
B,Cl,0.34688995215311
B,K,220.0
B,Ca,138.99521531100478
B,Ti,2.660287081339713
B,Cr,0.048803827751196176
B,Mn,0.4545454545454546
B,Zn,0.03349282296650718
B,Rb,0.0430622009569378
B,Sr,0.17703349282296652
B,Y,0.031578947368421054
B,Nb,0.009569377990430622
B,Cs,0.0028708133971291866
B,Ba,0.8133971291866029
B,Pb,0.020095693779904306
C,H,200.95693779904303
C,C,0.2200956937799043
C,O,101464.11483253587
C,F,11.196172248803828
C,Na,2710.047846889952
C,Mg,668.8995215311005
C,Al,3937.799043062201
C,Si,18889.952153110047
C,P,20.095693779904305
C,S,13.39712918660287
C,Cl,4.16267942583732
C,K,4600.0
C,Ca,5559.808612440191
C,V,1.1483253588516746
C,Fe,538.755980861244
C,Cu,0.5741626794258373
C,Y,0.631578947368421
C,Ba,4.0669856459330145
C,Ce,0.6363636363636364
C,U,0.10334928229665072
N,H,22.90909090909091
N,N,0.017272727272727273
N,O,7962.727272727272
N,Na,193.09090909090907
N,Mg,21.181818181818183
N,Al,299.27272727272725
N,Si,256.3636363636364
N,P,3.8181818181818183
N,S,2.8636363636363638
N,Cl,0.7909090909090908
N,K,361.0
N,Ca,37.72727272727273
N,V,0.10909090909090909
N,Fe,255.9090909090909
N,As,0.004909090909090909
N,Br,0.002181818181818182
N,Sb,0.00018181818181818183
N,Pb,0.012727272727272728
N,Bi,7.727272727272727e-06
O,H,11611023.923444977
O,Li,14557.894736842107
O,Be,1111.6937799043062
O,B,4411.483253588517
O,C,101464.1148325359
O,N,7962.727272727273
O,O,12374.21052631579
O,F,864540.4306220097
O,Na,129618200.9569378
O,Mg,51393779.904306225
O,Al,370326373.20574164
O,Si,2015342009.5693781
O,P,1019052.6315789474
O,S,903251.1961722488
O,Cl,204692.8229665072
O,K,258621000.00000003
O,Ca,173922727.2727273
O,Sc,485.2631578947369
O,Ti,10179056.459330143
O,V,60878.46889952153
O,Cr,15748.995215311004
O,Mn,1341090.9090909092
O,Fe,163921894.73684213
O,Ni,1852.8229665071772
O,Cu,59555.023923444984
O,Zn,32424.4019138756
O,As,1191.1004784688996
O,Se,4.411483253588517
O,Br,52.937799043062206
O,Rb,5955.502392344498
O,Sr,155063.63636363638
O,Y,6551.0526315789475
O,Zr,80068.42105263159
O,Nb,18528.229665071773
O,Mo,158.81339712918663
O,Ag,1.654306220095694
O,Cd,6.617224880382776
O,Sn,152.19617224880383
O,Sb,13.23444976076555
O,Te,0.04411483253588517
O,I,19.85167464114833
O,Cs,529.377990430622
O,Ba,440596.88995215314
O,La,860.2392344497608
O,Ce,10267.727272727274
O,Ta,220.57416267942585
O,W,82.7153110047847
O,Tl,37.49760765550239
O,Pb,4632.057416267943
O,Bi,0.37497607655502396
O,Th,847.0047846889953
O,U,1846.2057416267946
F,H,1645.8373205741625
F,Li,5.598086124401914
F,Be,0.23511961722488037
F,B,1.6794258373205744
F,C,11.196172248803828
F,O,864540.4306220096
F,F,2.099282296650718
F,Na,23780.66985645933
F,Mg,11087.00956937799
F,Al,55286.6985645933
F,Si,513064.59330143535
F,P,88.16985645933015
F,S,68.57655502392345
F,Cl,20.29306220095694
F,K,43875.0
F,Ca,33686.48325358852
F,Ti,2490.028708133971
F,Cr,2.855023923444976
F,Mn,425.45454545454544
F,Fe,29941.363636363636
F,Rb,2.5191387559808613
F,Sr,31.06937799043062
F,Y,2.7710526315789474
F,Zr,13.855263157894736
F,Nb,4.478468899521531
F,Sn,0.064377990430622
F,Cs,0.08397129186602871
F,Ba,130.85526315789474
F,Pb,1.175598086124402
Na,H,278231.5789473684
Na,Li,316.17224880382776
Na,Be,31.617224880382775
Na,B,79.04306220095694
Na,C,2710.0478468899523
Na,N,193.09090909090912
Na,O,129618200.9569378
Na,F,23780.66985645933
