from,to,weight
H,H,1723.076923076923
H,Li,717.948717948718
H,Be,100.51282051282051
H,B,717.948717948718
H,C,129230.76923076923
H,O,794338461.5384614
H,F,84000.0
H,Na,3388717.948717949
H,Mg,2509230.769230769
H,Al,59087179.48717949
H,Si,202461538.4615385
H,P,150769.23076923078
H,S,37692.307692307695
H,Ca,26815384.615384616
H,Ti,798358.9743589744
H,V,8615.384615384615
H,Cr,3661.5384615384614
H,Mn,204615.38461538462
H,Fe,34357435.897435896
H,Cu,6461.538461538461
H,As,387.6923076923077
H,Sr,39846.153846153844
H,Y,3553.8461538461534
H,Nb,717.948717948718
H,Ba,30512.82051282051
H,La,67200.0
H,Ce,45356.41025641026
H,Pr,330.2564102564102
H,Nd,22346.153846153848
H,Sm,253.07692307692307
H,Pb,502.56410256410254
H,Th,689.2307692307692
H,U,193.84615384615387
Li,H,717.9487179487179
Li,Li,0.5128205128205128
Li,Be,1.4358974358974357
Li,B,5.128205128205128
Li,O,236410.25641025638
Li,F,300.0
Li,Al,42205.1282051282
Li,Si,144615.3846153846
Li,Ca,21282.05128205128
Li,Fe,28871.794871794868
Li,La,20.0
Li,Ce,34.1025641025641
Li,Nd,21.28205128205128
Li,Th,4.9230769230769225
Be,H,100.51282051282051
Be,Li,1.4358974358974357
Be,Be,0.14358974358974358
Be,B,0.7179487179487178
Be,O,66194.8717948718
Be,F,42.0
Be,Al,5908.717948717948
Be,Si,40492.30769230769
Be,Ca,2979.487179487179
Be,Fe,8084.1025641025635
Be,Y,2.3692307692307693
Be,La,5.6
Be,Ce,9.548717948717949
Be,Nd,5.958974358974358
Be,Th,0.6892307692307692
B,H,717.9487179487179
B,Li,5.128205128205128
B,Be,0.7179487179487178
B,B,1.282051282051282
B,O,591025.641025641
B,F,300.0
B,Na,12102.564102564102
B,Al,42205.1282051282
B,Si,216923.07692307688
B,Ca,42564.10256410256
B,Fe,28871.794871794868
B,As,0.4615384615384615
B,La,50.0
B,Ce,85.25641025641025
B,Nd,10.64102564102564
B,Th,4.9230769230769225
C,H,129230.76923076922
C,C,153.84615384615384
C,O,70923076.92307693
C,F,23999.999999999996
C,Na,726153.8461538461
C,Mg,119487.17948717947
C,Al,844102.564102564
C,Si,2892307.692307692
C,P,5384.615384615384
C,S,5384.615384615384
C,Ca,1915384.6153846153
C,Mn,4871.794871794871
C,Fe,577435.8974358974
C,Cu,615.3846153846154
C,Sr,9487.179487179486
C,Y,338.46153846153845
C,Ba,6538.461538461537
C,La,5999.999999999999
C,Ce,5115.384615384615
C,Pr,47.17948717948717
C,Nd,2766.666666666666
C,Sm,36.153846153846146
C,Pb,71.7948717948718
C,Th,49.230769230769226
C,U,13.846153846153847
O,H,794338461.5384614
O,Li,236410.2564102564
O,Be,66194.8717948718
O,B,591025.641025641
O,C,70923076.92307693
O,O,1004743.5897435897
O,F,96810000.0
O,Na,5021353846.153846
O,Mg,2203343589.74359
O,Al,22375048717.948715
O,Si,116668461538.46153
O,P,111703846.15384616
O,S,12411538.46153846
O,K,247048717.94871795
O,Ca,16188192307.692308
O,Ti,591498461.5384616
O,V,4255384.615384616
O,Cr,2411384.6153846155
O,Mn,123524358.97435898
O,Fe,18633856410.25641
O,Cu,3546153.846153846
O,Zn,1654871.7948717948
O,As,170215.38461538462
O,Sr,43735897.43589744
O,Y,1560307.6923076923
O,Zr,3900769.2307692305
O,Nb,472820.5128205128
O,Ba,20094871.794871796
O,La,39185000.0
O,Ce,32228628.205128204
O,Pr,217497.43589743588
O,Nd,10301576.923076924
O,Sm,83334.61538461538
O,Pb,165487.1794871795
O,Th,680861.5384615385
O,U,95746.15384615384
F,H,84000.0
F,Li,300.0
F,Be,42.0
F,B,300.0
F,C,24000.0
F,O,96810000.0
F,F,225.0
F,Na,1416000.0
F,Al,1234500.0
F,Si,8460000.0
F,P,31500.0
F,Ca,3735000.0
F,Ti,83400.0
F,V,1800.0
F,Cr,1530.0
F,Fe,2533500.0
F,As,27.0
F,Sr,16650.0
F,Y,495.0
F,Ba,19125.0
F,La,8775.0
F,Ce,8977.5
F,Nd,1245.0
F,Th,432.0
F,U,40.5
Na,H,3388717.9487179485
Na,B,12102.564102564102
Na,C,726153.8461538461
Na,O,5021353846.153846
Na,F,1416000.0
Na,Na,10892.307692307691
Na,Mg,28198974.358974356
Na,Si,1194523076.9230769
Na,P,2541538.4615384615
Na,Ca,200902564.1025641
Na,Ti,3364512.82051282
Na,Mn,1149743.5897435897
Na,Fe,102206153.84615383
Na,Cu,36307.692307692305
Na,Zn,84717.94871794872
Na,As,1089.2307692307693
Na,Sr,1567282.051282051
Na,Y,19969.230769230766
Na,Nb,12102.564102564102
Na,Ba,514358.9743589743
Na,La,424800.0
Na,Ce,402410.2564102564
Na,Pr,5567.179487179486
Na,Nd,75338.46153846153
Na,Th,11618.461538461537
Mg,H,2509230.7692307695
Mg,C,119487.1794871795
Mg,O,2203343589.74359
Mg,Na,28198974.35897436
Mg,Mg,4779.48717948718
Mg,Al,98337948.71794872
Mg,Si,842384615.3846154
Mg,Ca,123967948.71794872
Mg,Ti,6643487.17948718
Mg,Cr,60938.46153846154
Mg,Mn,1702692.307692308
Mg,Fe,134542564.1025641
Mg,Zn,83641.02564102564
Mg,As,1075.3846153846155
Mg,Sr,442102.5641025641
Mg,Zr,98576.92307692308
Mg,La,186400.0
Mg,Ce,278106.41025641025
Mg,Nd,49587.17948717949
Al,H,59087179.48717948
Al,Li,42205.1282051282
Al,Be,5908.717948717948
Al,B,42205.1282051282
Al,C,844102.564102564
Al,O,22375048717.948715
Al,F,1234500.0
Al,Mg,98337948.71794872
Al,Al,48535.89743589744
Al,Si,10116569230.769232
Al,P,2215769.2307692305
Al,S,1477179.487179487
Al,Ca,1138483333.3333333
Al,Ti,46932102.56410256
Al,V,253230.76923076922
Al,Cr,215246.15384615384
Al,Mn,10023717.948717948
Al,Fe,1663304102.5641024
Al,As,7596.923076923077
Al,Y,69638.46153846153
Al,Zr,348192.3076923077
Al,Nb,42205.1282051282
Al,La,1892900.0
Al,Ce,1122656.4102564103
Al,Nd,350302.56410256407
Al,Th,40516.92307692307
Si,H,202461538.46153843
Si,Li,144615.38461538462
Si,Be,40492.30769230769
Si,B,216923.07692307694
Si,C,2892307.692307692
Si,O,116668461538.46153
Si,F,8460000.0
Si,Na,1194523076.9230769
Si,Mg,842384615.3846154
Si,Al,10116569230.769232
Si,Si,253076.92307692306
Si,P,7592307.692307692
Si,K,151123076.92307693
Si,Ca,6601692307.692307
Si,Ti,241218461.5384615
Si,V,867692.3076923076
Si,Mn,61823076.92307692
Si,Fe,9363123076.923077
Si,Cu,433846.1538461538
Si,Zn,1012307.6923076923
Si,As,26030.76923076923
Si,Sr,10701538.461538462
Si,Y,238615.3846153846
Si,Zr,1193076.923076923
Si,Nb,144615.38461538462
Si,Ba,3073076.923076923
Si,La,9870000.0
Si,Ce,8174384.615384615
Si,Pr,66523.07692307692
Si,Nd,1500384.6153846153
Si,Th,347076.92307692306
P,H,150769.23076923078
P,C,5384.615384615385
P,O,111703846.15384616
P,F,31500.0
P,Na,2541538.4615384615
P,Al,2215769.230769231
P,Si,7592307.692307692
P,P,242.30769230769232
P,Ca,2234615.3846153845
P,Cu,1615.3846153846155
P,Sr,19923.076923076922
P,Ba,11442.307692307693
P,La,9450.0
P,Ce,7161.538461538462
P,Pr,247.69230769230768
P,Nd,2234.6153846153848
P,Th,258.46153846153845
S,H,37692.307692307695
S,C,5384.615384615385
S,O,12411538.46153846
S,Al,1477179.4871794872
S,S,26.923076923076923
S,Y,296.15384615384613
S,La,1050.0
S,Ce,1193.5897435897436
S,Nd,1117.3076923076924
K,O,247048717.94871795
K,Si,151123076.92307693
K,K,535.8974358974359
K,Ca,22239743.58974359
K,La,20900.0
K,Ce,35637.179487179485
K,Th,5144.615384615385
Ca,H,26815384.615384612
Ca,Li,21282.05128205128
Ca,Be,2979.4871794871788
Ca,B,42564.10256410256
Ca,C,1915384.615384615
Ca,O,16188192307.692307
Ca,F,3734999.999999999
Ca,Na,200902564.10256407
Ca,Mg,123967948.7179487
Ca,Al,1138483333.333333
Ca,Si,6601692307.6923065
Ca,P,2234615.3846153845
Ca,K,22239743.589743588
Ca,Ca,35115.38461538461
Ca,Ti,17749230.769230768
Ca,V,127692.30769230767
Ca,Cr,108538.46153846153
Ca,Mn,6065384.615384614
Ca,Fe,958543589.7435896
Ca,Cu,127692.30769230767
Ca,Zn,148974.35897435897
Ca,As,1915.3846153846152
Ca,Sr,2362307.692307692
Ca,Zr,351153.8461538461
Ca,Ba,904487.1794871794
Ca,La,1369499.9999999998
Ca,Ce,1344493.5897435895
Ca,Pr,9789.743589743588
Ca,Nd,220801.28205128203
Ca,Th,40861.538461538454
Ti,H,798358.9743589744
Ti,O,591498461.5384616
Ti,F,83400.0
Ti,Na,3364512.8205128205
Ti,Mg,6643487.17948718
Ti,Al,46932102.56410257
Ti,Si,241218461.53846157
Ti,Ca,17749230.76923077
Ti,Ti,1283.076923076923
Ti,V,17107.69230769231
Ti,Cr,29083.076923076926
Ti,Mn,135435.89743589744
Ti,Fe,72237230.76923077
Ti,As,256.61538461538464
Ti,Sr,52748.71794871795
Ti,Y,4704.615384615385
Ti,Zr,47046.15384615385
Ti,Nb,2851.2820512820513
Ti,Ba,60589.74358974359
Ti,La,50040.0
Ti,Ce,56883.07692307692
Ti,Nd,5916.410256410257
Ti,Th,1368.6153846153845
Ti,U,769.8461538461539
V,H,8615.384615384615
V,O,4255384.615384615
V,F,1799.9999999999998
V,Al,253230.76923076922
V,Si,867692.3076923076
V,Ca,127692.30769230769
V,Ti,17107.692307692305
V,V,9.23076923076923
V,Cr,313.8461538461538
V,Fe,346461.53846153844
V,Y,101.53846153846153
V,La,359.99999999999994
V,U,8.307692307692308
Cr,H,3661.5384615384614
Cr,O,2411384.6153846155
Cr,F,1530.0
Cr,Mg,60938.46153846154
Cr,Al,215246.15384615384
Cr,Ca,108538.46153846155
Cr,Ti,29083.076923076922
Cr,V,313.84615384615387
Cr,Cr,5.230769230769231
Cr,Fe,294492.3076923077
Cr,Y,86.3076923076923
Cr,Zr,431.53846153846155
Cr,La,204.0
Cr,Ce,173.92307692307693
Cr,U,7.061538461538462
Mn,H,204615.38461538462
Mn,C,4871.794871794871
Mn,O,123524358.97435896
Mn,Na,1149743.5897435897
Mn,Mg,1702692.3076923075
Mn,Al,10023717.948717948
Mn,Si,61823076.92307692
Mn,Ca,6065384.615384615
Mn,Ti,135435.89743589744
Mn,Mn,267.94871794871796
Mn,Fe,5485641.025641025
Mn,Cu,1461.5384615384614
Mn,Zn,3410.25641025641
Mn,As,87.6923076923077
Mn,Sr,18025.641025641024
Mn,La,10450.0
Mn,Ce,8099.358974358974
Mn,Nd,3032.6923076923076
Fe,H,34357435.897435896
Fe,Li,28871.794871794875
Fe,Be,8084.1025641025635
Fe,B,28871.794871794875
Fe,C,577435.8974358975
Fe,O,18633856410.25641
Fe,F,2533500.0
Fe,Na,102206153.84615386
Fe,Mg,134542564.1025641
Fe,Al,1663304102.5641026
Fe,Si,9363123076.923077
Fe,Ca,958543589.7435898
Fe,Ti,72237230.76923077
Fe,V,346461.5384615385
Fe,Cr,294492.3076923077
Fe,Mn,5485641.025641026
Fe,Fe,40420.51282051282
Fe,Cu,86615.38461538462
Fe,As,7795.384615384615
Fe,Sr,1068256.4102564103
Fe,Y,95276.92307692308
Fe,Zr,476384.6153846154
Fe,Nb,28871.794871794875
Fe,Ba,613525.641025641
Fe,La,1576400.0
Fe,Ce,1343982.0512820513
Fe,Nd,299544.8717948718
Fe,Th,41575.38461538462
Fe,U,7795.384615384616
Cu,H,6461.538461538461
Cu,C,615.3846153846154
Cu,O,3546153.8461538455
Cu,Na,36307.692307692305
Cu,Si,433846.1538461538
Cu,P,1615.3846153846152
Cu,Ca,127692.30769230769
Cu,Mn,1461.5384615384614
Cu,Fe,86615.38461538461
Cu,Cu,7.692307692307692
Cu,As,2.769230769230769
Cu,Sr,569.2307692307692
Cu,La,299.99999999999994
Cu,Ce,102.30769230769229
Cu,Nd,127.69230769230768
Cu,U,4.153846153846154
Zn,O,1654871.7948717948
Zn,Na,84717.9487179487
Zn,Mg,83641.02564102564
Zn,Si,1012307.6923076923
Zn,Ca,148974.35897435897
Zn,Mn,3410.25641025641
Zn,Zn,3.5897435897435894
Zn,Sr,1328.2051282051282
Zn,La,140.0
Zn,Ce,238.7179487179487
As,H,387.6923076923077
As,B,0.46153846153846156
As,O,170215.38461538462
As,F,27.0
As,Na,1089.2307692307693
As,Mg,1075.3846153846155
As,Al,7596.923076923077
As,Si,26030.76923076923
As,Ca,1915.3846153846155
As,Ti,256.61538461538464
As,Mn,87.6923076923077
As,Fe,7795.384615384615
As,Cu,2.769230769230769
As,As,0.36923076923076925
As,La,14.4
As,Ce,12.276923076923078
As,Nd,5.746153846153846
As,Th,0.4430769230769231
Sr,H,39846.153846153844
Sr,C,9487.179487179488
Sr,O,43735897.43589744
Sr,F,16650.0
Sr,Na,1567282.0512820513
Sr,Mg,442102.5641025641
Sr,Si,10701538.461538462
Sr,P,19923.076923076922
Sr,Ca,2362307.6923076925
Sr,Ti,52748.717948717946
Sr,Mn,18025.641025641027
Sr,Fe,1068256.4102564103
Sr,Cu,569.2307692307693
Sr,Zn,1328.2051282051282
Sr,Sr,94.87179487179488
Sr,Y,313.0769230769231
Sr,Zr,1565.3846153846155
Sr,Ba,8064.102564102564
Sr,La,3700.0
Sr,Ce,3785.3846153846152
Y,H,3553.8461538461534
Y,Be,2.3692307692307693
Y,C,338.46153846153845
Y,O,1560307.6923076923
Y,F,495.0
Y,Na,19969.23076923077
Y,Al,69638.46153846153
Y,Si,238615.38461538462
Y,S,296.15384615384613
Y,Ti,4704.615384615385
Y,V,101.53846153846153
Y,Cr,86.3076923076923
Y,Fe,95276.92307692308
Y,Sr,313.0769230769231
Y,Y,3.3846153846153846
Y,La,132.0
Y,Ce,56.26923076923077
Y,Nd,70.23076923076923
Y,U,2.284615384615385
Zr,O,3900769.230769231
Zr,Mg,98576.92307692308
Zr,Al,348192.3076923077
Zr,Si,1193076.923076923
Zr,Ca,351153.8461538462
Zr,Ti,47046.153846153844
Zr,Cr,431.53846153846155
Zr,Fe,476384.6153846154
Zr,Sr,1565.3846153846155
Zr,Zr,8.461538461538462
Zr,La,330.0
Zr,Ce,562.6923076923077
Nb,H,717.9487179487179
Nb,O,472820.51282051275
Nb,Na,12102.564102564102
Nb,Al,42205.1282051282
Nb,Si,144615.3846153846
Nb,Ti,2851.282051282051
Nb,Fe,28871.794871794868
Nb,Nb,1.0256410256410255
Nb,La,40.0
Nb,Ce,34.1025641025641
Nb,Th,4.9230769230769225
Ba,H,30512.820512820515
Ba,C,6538.461538461539
Ba,O,20094871.794871796
Ba,F,19125.0
Ba,Na,514358.9743589744
Ba,Si,3073076.923076923
Ba,P,11442.307692307693
Ba,Ca,904487.1794871795
Ba,Ti,60589.74358974359
Ba,Fe,613525.641025641
Ba,Sr,8064.102564102564
Ba,Ba,43.58974358974359
Ba,La,1700.0
Ba,Ce,2174.0384615384614
Ba,Th,104.61538461538461
La,H,67200.0
La,Li,20.0
La,Be,5.6
La,B,50.0
La,C,6000.0
La,O,39185000.0
La,F,8775.0
La,Na,424800.0
La,Mg,186400.0
La,Al,1892900.0
La,Si,9870000.0
La,P,9450.0
La,S,1050.0
La,K,20900.0
La,Ca,1369500.0
La,Ti,50040.0
La,V,360.0
La,Cr,204.0
La,Mn,10450.0
La,Fe,1576400.0
La,Cu,300.0
La,Zn,140.0
La,As,14.4
La,Sr,3700.0
La,Y,132.0
La,Zr,330.0
La,Nb,40.0
La,Ba,1700.0
La,La,86.0
La,Ce,2726.5
La,Pr,18.4
La,Nd,871.5
La,Sm,7.05
La,Pb,14.0
La,Th,57.599999999999994
La,U,8.100000000000001
Ce,H,45356.41025641026
Ce,Li,34.1025641025641
Ce,Be,9.548717948717949
Ce,B,85.25641025641025
Ce,C,5115.384615384615
Ce,O,32228628.205128204
Ce,F,8977.5
Ce,Na,402410.2564102564
Ce,Mg,278106.41025641025
Ce,Al,1122656.4102564103
Ce,Si,8174384.615384615
Ce,P,7161.538461538461
Ce,S,1193.5897435897436
Ce,K,35637.179487179485
Ce,Ca,1344493.5897435897
Ce,Ti,56883.07692307692
Ce,Cr,173.9230769230769
Ce,Mn,8099.358974358975
Ce,Fe,1343982.051282051
Ce,Cu,102.3076923076923
Ce,Zn,238.7179487179487
Ce,As,12.276923076923076
Ce,Sr,3785.3846153846152
Ce,Y,56.26923076923077
Ce,Zr,562.6923076923076
Ce,Nb,34.1025641025641
Ce,Ba,2174.0384615384614
Ce,La,2726.5
Ce,Ce,69.91025641025641
Ce,Pr,15.687179487179485
Ce,Nd,1132.2051282051282
Ce,Th,98.21538461538461
Ce,U,4.603846153846154
Pr,H,330.2564102564102
Pr,C,47.179487179487175
Pr,O,217497.43589743588
Pr,Na,5567.179487179486
Pr,Si,66523.07692307691
Pr,P,247.69230769230765
Pr,Ca,9789.743589743588
Pr,La,18.4
Pr,Ce,15.687179487179485
Pr,Pr,0.47179487179487173
Pr,Nd,19.579487179487177
Pr,Sm,1.663076923076923
Pr,Th,2.264615384615384
Nd,H,22346.153846153848
Nd,Li,21.28205128205128
Nd,Be,5.958974358974358
Nd,B,10.64102564102564
Nd,C,2766.6666666666665
Nd,O,10301576.923076924
Nd,F,1245.0
Nd,Na,75338.46153846153
Nd,Mg,49587.179487179485
Nd,Al,350302.5641025641
Nd,Si,1500384.6153846153
Nd,P,2234.6153846153848
Nd,S,1117.3076923076924
Nd,Ca,220801.28205128203
Nd,Ti,5916.410256410257
Nd,Mn,3032.6923076923076
Nd,Fe,299544.8717948718
Nd,Cu,127.6923076923077
Nd,As,5.746153846153846
Nd,Y,70.23076923076923
Nd,La,871.5
Nd,Ce,1132.2051282051282
Nd,Pr,19.579487179487177
Nd,Nd,22.346153846153847
Nd,Sm,7.5019230769230765
Nd,Th,20.43076923076923
Nd,U,2.873076923076923
Sm,H,253.07692307692307
