from,to,weight
H,H,4620.0
H,Li,92400.0
H,Be,1372.0
H,B,7000.0
H,C,42000.0
H,O,2129820000.0
H,F,655200.0
H,Na,47908000.0
H,Mg,17941000.0
H,Al,190113000.0
H,Si,947520000.0
H,P,955500.0
H,S,24500.0
H,Cl,20300.0
H,K,19019000.0
H,Ca,43575000.0
H,Ti,2724400.0
H,Mn,731500.0
H,Fe,59115000.0
H,Cu,4200.0
H,Rb,6300.0
H,Sr,25900.0
H,Y,4620.0
H,Zr,34650.0
H,Cs,420.0
H,Ba,59500.0
H,La,2730.0
H,Ce,4655.0
H,Nd,2905.0
H,Th,672.0
H,U,189.0
Li,H,92400.0
Li,Li,121.0
Li,Be,33.599999999999994
Li,B,100.0
Li,C,800.0
Li,O,53937000.0
Li,F,21060.0
Li,Na,1203600.0
Li,Mg,442700.0
Li,Al,4032700.0
Li,Si,24534000.0
Li,P,21000.0
Li,S,350.0
Li,Cl,290.0
Li,K,689700.0
Li,Ca,913000.0
Li,Ti,88960.0
Li,V,240.0
Li,Mn,18050.0
Li,Fe,1407500.0
Li,Cu,60.0
Li,Zn,140.0
Li,As,1.8
Li,Rb,180.0
Li,Sr,370.0
Li,Y,66.0
Li,Zr,990.0
Li,Sn,4.6
Li,Cs,21.0
Li,Ba,850.0
Li,La,39.0
Li,Ce,66.5
Li,Nd,41.5
Li,Ta,4.0
Li,Th,9.6
Li,U,2.7
Be,H,1371.9999999999998
Be,Li,33.599999999999994
Be,Be,1.6799999999999997
Be,B,1.4
Be,O,774479.9999999999
Be,F,163.79999999999998
Be,Na,16519.999999999996
Be,Al,46087.99999999999
Be,Si,276359.99999999994
Be,P,734.9999999999999
Be,K,11703.999999999998
Be,Ca,34859.99999999999
Be,Ti,778.3999999999999
Be,Fe,7881.999999999999
Be,Zr,46.199999999999996
Be,Cs,1.2599999999999998
Be,Ba,59.49999999999999
Be,La,5.459999999999999
Be,Ce,9.309999999999999
Be,Nd,5.81
Be,Th,1.3439999999999999
B,H,7000.0
B,Li,100.0
B,Be,1.4
B,B,5.0
B,O,2305000.0
B,F,877.5
B,Na,47200.0
B,Mg,11650.0
B,Al,329200.0
B,Si,1269000.0
B,Cl,72.5
B,Ca,62250.0
B,Fe,28150.0
B,La,19.5
B,Ce,33.25
B,Nd,20.75
B,Th,4.8
C,H,42000.0
C,Li,800.0
C,C,40.0
C,O,18440000.0
C,F,11700.0
C,Na,472000.0
C,Al,823000.0
C,P,21000.0
C,Ca,415000.0
C,Y,660.0
C,Zr,1650.0
O,H,2129820000.0
O,Li,53937000.0
O,Be,774479.9999999999
O,B,2305000.0
O,C,18440000.0
O,O,2696850.0
O,F,431496000.0
O,Na,26655020000.0
O,Mg,10204235000.0
O,Al,87262690000.0
O,Si,565508700000.0
O,P,484050000.0
O,S,8067500.0
O,Cl,6684500.0
