from,to,weight
H,H,708.8421052631578
H,Li,324.2105263157895
H,Be,57.768421052631574
H,B,250.52631578947367
H,C,5599.999999999999
H,N,56.0
H,O,326776210.5263158
H,F,34484.21052631579
H,Na,4277810.52631579
H,Mg,3090315.7894736836
H,Al,12128421.05263158
H,Si,96829894.7368421
H,P,171757.89473684208
H,S,14442.105263157895
H,Cl,6837.894736842105
H,K,1601600.0
H,Ca,10091052.631578946
H,Sc,32.421052631578945
H,Ti,417877.8947368421
H,V,4774.736842105263
H,Cr,450.9473684210526
H,Mn,673400.0
H,Fe,12611200.0
H,Co,73.68421052631578
H,Ni,371.36842105263156
H,Cu,618.9473684210526
H,Zn,4332.631578947368
H,As,185.68421052631578
H,Rb,132.6315789473684
H,Sr,11450.526315789471
H,Y,194.52631578947367
H,Zr,5592.631578947368
H,Nb,1002.1052631578947
H,Mo,1.768421052631579
H,Sn,13.557894736842103
H,Sb,0.8842105263157893
H,Te,0.004421052631578947
H,Cs,4.421052631578947
H,Ba,21921.052631578947
H,La,344.8421052631579
H,Ce,1666.0
H,Nd,122.3157894736842
H,Ta,2.9473684210526314
H,W,7.368421052631579
H,Pb,412.63157894736844
H,Th,28.294736842105262
H,U,23.873684210526314
Li,H,324.2105263157895
Li,Li,0.39999999999999997
Li,O,184400.0
Li,F,61.578947368421055
Li,Na,4968.421052631578
Li,Mg,1471.578947368421
Li,Al,8663.157894736842
Li,Si,89052.63157894736
Li,P,66.3157894736842
Li,K,3520.0
Li,Ca,3494.736842105263
Li,Ti,351.1578947368421
Li,V,2.526315789473684
Li,Mn,380.0
Li,Fe,4741.0526315789475
Li,Zn,2.9473684210526314
Li,Rb,1.894736842105263
Be,H,57.768421052631574
Be,Be,0.053052631578947365
Be,B,0.05894736842105262
Be,O,24457.263157894733
Be,F,3.4484210526315784
Be,Na,278.2315789473684
Be,Mg,274.6947368421052
Be,Al,485.1368421052631
Be,Si,9973.894736842103
Be,P,15.473684210526315
Be,S,1.031578947368421
Be,Cl,0.4273684210526315
Be,K,61.599999999999994
Be,Ca,1345.473684210526
Be,Mn,50.4
Be,Fe,497.8105263157894
Be,Zn,0.20631578947368417
Be,As,0.0053052631578947365
Be,Y,0.19452631578947366
Be,Sn,0.006778947368421051
Be,Ce,0.19599999999999998
B,H,250.52631578947367
B,Be,0.05894736842105262
B,B,0.34736842105263155
B,C,2.1052631578947367
B,O,160136.84210526315
B,F,24.63157894736842
B,Na,1738.9473684210525
B,Mg,2697.8947368421054
B,Al,6930.526315789473
B,Si,47494.73684210526
B,P,33.1578947368421
B,Cl,6.105263157894736
B,K,220.0
B,Ca,4368.421052631578
B,Ti,58.526315789473685
B,Mn,330.0
B,Fe,4741.0526315789475
B,Y,1.3894736842105262
B,Nb,0.21052631578947367
B,Sn,0.04842105263157894
B,Sb,0.00631578947368421
B,Ba,4.473684210526316
B,Pb,0.14736842105263157
C,H,5599.999999999999
C,B,2.1052631578947367
C,C,5.894736842105263
C,O,2717473.684210526
C,F,369.4736842105263
C,Na,54652.63157894736
C,Mg,29431.57894736842
C,Al,34652.63157894737
C,Si,356210.52631578944
C,P,663.1578947368421
C,S,515.7894736842104
C,Cl,91.57894736842104
C,Ca,87368.42105263157
C,V,25.263157894736842
C,Mn,5600.0
C,Fe,23705.263157894737
C,Zn,29.473684210526315
C,As,0.7578947368421053
C,Sr,77.89473684210526
C,Y,6.947368421052631
C,Zr,138.94736842105263
C,Nb,12.631578947368421
C,La,8.210526315789473
C,Ce,42.0
C,W,0.2631578947368421
C,Pb,5.894736842105263
N,H,56.0
N,N,0.04
N,O,18440.0
N,Mg,466.0
N,P,21.0
N,S,7.0
N,Mn,38.0
N,U,0.054000000000000006
O,H,326776210.5263158
O,Li,184400.0
O,Be,24457.263157894737
O,B,160136.84210526315
O,C,2717473.684210526
O,N,18440.0
O,O,326582.10526315786
O,F,15045584.210526317
O,Na,2049945684.2105265
O,Mg,1435942210.5263157
O,Al,4832396105.263158
O,Si,41874328421.05263
O,P,73881315.78947368
O,S,5774631.578947368
O,Cl,2744163.1578947366
O,K,649088000.0
O,Ca,4430452631.578947
O,Sc,10675.78947368421
O,Ti,196958610.52631578
O,V,1921642.1052631577
O,Cr,296981.05263157893
O,Mn,310253000.0
O,Fe,5955828842.105263
O,Co,24263.15789473684
O,Ni,122286.31578947368
O,Cu,320273.6842105263
O,Zn,1834294.7368421054
O,As,69877.8947368421
O,Rb,43673.68421052631
O,Sr,4847778.947368421
O,Y,176150.52631578947
O,Zr,2562189.4736842103
O,Nb,407621.05263157893
O,Mo,1164.6315789473683
O,Sn,6696.631578947367
O,Sb,1649.8947368421052
O,Te,2.911578947368421
O,Cs,1455.7894736842104
O,Ba,8249473.684210526
