from,to,weight
H,H,59500.00000000001
H,N,44333.333333333336
H,O,27429500000.000004
H,Na,192733333.33333334
H,Mg,135916666.6666667
H,Al,384066666.6666667
H,P,8575000.0
H,S,2858333.3333333335
H,Cl,169166.6666666667
H,K,97533333.33333334
H,Ca,435750000.00000006
H,Cr,119000.00000000001
H,Mn,1108333.3333333335
H,Fe,1182300000.0
H,Cu,630000.0
H,As,23100.0
H,Zr,192500.0
H,Nb,70000.0
H,Mo,71400.0
H,Ba,495833.3333333334
H,Ce,77583.33333333334
H,W,1458.3333333333335
H,Hg,99.16666666666669
H,Pb,16333.333333333334
H,Bi,29.750000000000004
H,Th,22400.0
H,U,28350.000000000004
B,B,16.666666666666668
B,O,7683333.333333334
B,F,9750.0
B,Mg,388333.3333333334
B,P,8750.0
B,V,1000.0000000000001
B,As,15.000000000000002
B,Mo,20.0
B,W,10.416666666666668
N,H,44333.333333333336
N,N,31.666666666666668
N,O,14598333.333333334
N,S,11083.333333333334
N,Cl,2295.8333333333335
N,Mo,38.0
N,Hg,1.3458333333333334
O,H,27429500000.000004
O,B,7683333.333333334
O,N,14598333.333333334
O,O,28044166.666666668
O,F,449475000.0
O,Na,81597000000.0
O,Mg,71608666666.66667
O,Al,126467666666.66667
O,Si,216670000000.0
O,P,3630375000.0
O,S,1210125000.0
O,Cl,222816666.6666667
O,K,48174500000.0
O,Ca,159429166666.6667
O,V,138300000.0
O,Cr,39185000.0
O,Mn,729916666.6666667
O,Fe,410943083333.3334
O,Cu,253550000.0
O,As,11064000.0
O,Zr,63387500.0
O,Nb,23050000.0
O,Mo,33653000.0
O,Sb,76833.33333333334
O,Te,384.1666666666667
O,Ba,163270833.33333334
O,Ce,25547083.333333336
O,W,960416.6666666667
O,Hg,32654.16666666667
O,Pb,26891666.66666667
O,Bi,22857.916666666668
O,Th,7376000.0
O,U,10372500.000000002
F,B,9750.0
F,O,449475000.0
F,F,975.0
F,Mg,22717500.0
F,P,511875.0
F,V,58500.0
F,As,877.5
F,Mo,1170.0
F,W,609.375
Na,H,192733333.33333334
Na,O,81597000000.0
Na,Na,177000.0
Na,P,41300000.0
Na,S,6883333.333333334
Na,K,411033333.3333334
Na,Ca,1632333333.3333335
Na,Fe,6643400000.000001
Na,Cu,2360000.0
Na,As,141600.0
Na,Mo,212400.0
Na,Bi,167.16666666666669
Na,U,53100.00000000001
Mg,H,135916666.6666667
Mg,B,388333.3333333334
Mg,O,71608666666.66667
Mg,F,22717500.0
Mg,Mg,155333.33333333334
Mg,Al,3195983333.3333335
Mg,P,20387500.0
Mg,S,13591666.666666668
Mg,Ca,1611583333.3333335
Mg,V,2330000.0
Mg,Fe,2186316666.666667
Mg,As,104850.0
Mg,Nb,776666.6666666667
Mg,Mo,186400.0
Mg,W,48541.66666666667
Mg,U,52425.00000000001
Al,H,384066666.66666675
Al,O,126467666666.66669
Al,Mg,3195983333.333334
Al,Al,274333.3333333334
Al,P,72012500.00000001
Al,S,72012500.00000001
Al,K,1433391666.666667
Al,Mn,65154166.66666668
Al,Fe,3861241666.666667
Al,Nb,4115000.000000001
Al,Mo,329200.00000000006
Al,W,85729.16666666669
Si,O,216670000000.0
Si,Si,470000.0
Si,Cl,68150000.0
Si,V,56400000.0
Si,As,846000.0
Si,Mo,564000.0
Si,Pb,6580000.0
P,H,8575000.0
P,B,8750.0
P,O,3630375000.0
P,F,511875.0
P,Na,41300000.0
P,Mg,20387500.0
P,Al,72012500.0
P,P,11375.0
P,K,54862500.0
P,Ca,108937500.0
P,V,105000.0
P,Cr,89250.0
P,Fe,344837500.0
P,Ni,220500.0
P,Cu,105000.0
P,As,3150.0
P,Mo,13650.0
P,W,1093.75
P,Pb,12250.0
S,H,2858333.3333333335
S,N,11083.333333333334
S,O,1210125000.0
S,Na,6883333.333333334
S,Mg,13591666.666666668
S,Al,72012500.0
S,S,4375.0
S,Cl,42291.66666666667
S,K,12191666.666666668
S,V,35000.0
S,Mn,277083.3333333334
S,Fe,32841666.666666668
S,Cu,70000.0
S,Ge,437.5
S,Nb,17500.0
S,Mo,5250.0
S,Sn,670.8333333333334
S,Sb,58.33333333333334
S,W,364.58333333333337
S,Re,0.2041666666666667
S,Hg,24.79166666666667
S,Pb,4083.3333333333335
Cl,H,169166.6666666667
Cl,N,2295.8333333333335
Cl,O,222816666.6666667
Cl,Si,68150000.0
Cl,S,42291.66666666667
Cl,Cl,483.33333333333337
Cl,V,29000.000000000004
Cl,As,435.00000000000006
Cl,Mo,580.0
Cl,Hg,10.270833333333336
Cl,Pb,5075.0
K,H,97533333.33333334
K,O,48174500000.0
K,Na,411033333.3333334
K,Al,1433391666.6666667
K,P,54862500.0
K,S,12191666.666666668
K,K,104500.0
K,Ca,722791666.6666667
K,Fe,2941675000.0
K,Cu,1045000.0000000001
K,As,31350.000000000004
K,Mo,125400.0
Ca,H,435750000.00000006
Ca,O,159429166666.6667
Ca,Na,1632333333.3333335
Ca,Mg,1611583333.3333335
Ca,P,108937500.0
Ca,K,722791666.6666667
Ca,Ca,345833.3333333334
Ca,Fe,13629291666.666668
Ca,As,249000.00000000003
Ca,Mo,415000.0
Ca,U,186750.00000000003
V,B,1000.0
V,O,138300000.0
V,F,58500.0
V,Mg,2330000.0
V,Si,56400000.0
V,P,105000.0
V,S,35000.0
V,Cl,29000.0
V,V,400.0
V,As,540.0
V,Mo,480.0
V,Sb,20.0
V,W,125.0
V,Pb,4200.0
Cr,H,119000.0
Cr,O,39185000.0
Cr,P,89250.0
Cr,Cr,85.0
Cr,Cu,5100.0
Cr,As,153.0
Cr,Mo,102.0
Cr,Pb,1190.0
Mn,H,1108333.3333333335
Mn,O,729916666.6666667
Mn,Al,65154166.66666667
Mn,S,277083.3333333334
Mn,Mn,1583.3333333333335
Mn,Nb,15833.333333333336
Mn,Mo,1900.0
Fe,H,1182300000.0000002
Fe,O,410943083333.3334
Fe,Na,6643400000.000001
Fe,Mg,2186316666.666667
Fe,Al,3861241666.666667
Fe,P,344837500.00000006
Fe,S,32841666.66666667
Fe,K,2941675000.0000005
Fe,Ca,13629291666.666668
Fe,Fe,1079083.3333333335
Fe,Cu,14075000.000000002
Fe,Ge,70375.0
Fe,As,760050.0000000001
Fe,Mo,1294900.0000000002
Fe,Ru,46.91666666666667
Fe,Ce,3119958.3333333335
Fe,Re,32.84166666666667
Fe,Os,70.37500000000001
Fe,Ir,46.91666666666667
Ni,P,220500.0
Ni,Ni,210.0
Ni,Mo,252.0
Cu,H,630000.0
Cu,O,253550000.0
Cu,Na,2360000.0
Cu,P,105000.0
Cu,S,70000.0
Cu,K,1045000.0
Cu,Cr,5100.0
Cu,Fe,14075000.0
Cu,Cu,700.0
Cu,Ge,75.0
Cu,As,270.0
Cu,Mo,840.0
Cu,Sn,114.99999999999999
Cu,Re,0.034999999999999996
Cu,Pb,700.0
Cu,U,135.0
Ge,S,437.5
Ge,Fe,70375.0
Ge,Cu,75.0
Ge,Ge,1.25
Ge,Mo,1.5
As,H,23100.0
As,B,15.0
As,O,11064000.0
As,F,877.5
As,Na,141600.0
As,Mg,104850.0
As,Si,846000.0
As,P,3150.0
As,Cl,435.0
As,K,31350.0
As,Ca,249000.0
As,V,540.0
As,Cr,153.0
As,Fe,760050.0
As,Cu,270.0
As,As,24.0
As,Mo,28.799999999999997
As,Sb,0.30000000000000004
As,W,1.875
As,Pb,63.0
As,Bi,0.012750000000000001
Se,Se,0.04166666666666667
Se,Mo,0.05
Zr,H,192500.0
Zr,O,63387500.0
Zr,Zr,137.5
Zr,Mo,165.0
Nb,H,70000.0
Nb,O,23050000.0
Nb,Mg,776666.6666666667
Nb,Al,4115000.0
Nb,S,17500.0
Nb,Mn,15833.333333333334
Nb,Nb,50.0
Nb,Mo,60.0
Nb,W,20.833333333333336
Mo,H,71400.0
Mo,B,20.0
Mo,N,38.0
Mo,O,33653000.0
Mo,F,1170.0
Mo,Na,212400.0
Mo,Mg,186400.0
Mo,Al,329200.0
Mo,Si,564000.0
Mo,P,13650.0
Mo,S,5250.0
Mo,Cl,580.0
Mo,K,125400.0
Mo,Ca,415000.0
Mo,V,480.0
Mo,Cr,102.0
Mo,Mn,1900.0
Mo,Fe,1294900.0
Mo,Ni,252.0
Mo,Cu,840.0
Mo,Ge,1.5
Mo,As,28.8
Mo,Se,0.05
Mo,Zr,165.0
Mo,Nb,60.0
Mo,Mo,85.0
Mo,Ru,0.001
Mo,Sn,2.3
Mo,Sb,0.4
Mo,Te,0.001
Mo,Ba,425.0
Mo,Ce,66.5
Mo,W,2.5
Mo,Re,0.0007
Mo,Os,0.0015
Mo,Ir,0.001
Mo,Hg,0.085
Mo,Pb,84.0
Mo,Bi,0.059500000000000004
Mo,Th,19.2
Mo,U,27.0
Ru,Fe,46.91666666666667
Ru,Mo,0.001
Ru,Ru,0.0008333333333333334
Ru,Os,1.25e-06
Ru,Ir,8.333333333333334e-07
Sn,S,670.8333333333333
Sn,Cu,114.99999999999999
Sn,Mo,2.3
Sn,Sn,1.9166666666666665
Sb,O,76833.33333333334
Sb,S,58.33333333333334
Sb,V,20.000000000000004
Sb,As,0.30000000000000004
Sb,Mo,0.4
Sb,Sb,0.33333333333333337
Sb,Pb,2.3333333333333335
Te,O,384.1666666666667
Te,Mo,0.001
Te,Te,0.0008333333333333334
Te,Bi,7.083333333333335e-06
Ba,H,495833.3333333334
Ba,O,163270833.33333334
Ba,Mo,425.0
Ba,Ba,354.1666666666667
Ba,U,956.2500000000001
Ce,H,77583.33333333334
Ce,O,25547083.333333336
Ce,Fe,3119958.3333333335
Ce,Mo,66.5
Ce,Ce,55.41666666666667
