from,to,weight
H,H,9873.684210526315
H,B,2210.5263157894733
H,C,338947.3684210526
H,N,187599.99999999997
H,O,4246052631.5789466
H,F,215526.31578947365
H,Na,39995789.47368421
H,Mg,25752631.578947365
H,Al,151605263.15789473
H,Si,207789473.6842105
H,P,1624736.842105263
H,S,1418421.0526315789
H,Cl,267105.2631578947
H,K,27719999.999999996
H,Ca,24463157.894736838
H,V,70736.84210526315
H,Mn,139999.99999999997
H,Fe,78819999.99999999
H,Co,1842.1052631578946
H,Ni,30947.36842105263
H,Cu,57473.684210526306
H,Zn,5157.894736842105
H,As,1061.0526315789473
H,Br,707.3684210526314
H,Mo,176.84210526315786
H,Sn,169.47368421052627
H,Sb,14.736842105263158
H,I,66.3157894736842
H,Hg,31.31578947368421
H,Pb,4126.315789473683
H,Bi,1.2526315789473683
H,U,2387.3684210526317
B,H,2210.5263157894733
B,B,2.1052631578947367
B,N,40.0
B,O,485263.1578947368
B,F,307.89473684210526
C,H,338947.3684210526
C,C,242.1052631578947
C,N,4599.999999999999
C,O,106757894.7368421
C,Na,993684.2105263157
C,Mg,245263.15789473683
C,Al,2598947.3684210526
C,Si,5936842.105263158
C,P,44210.526315789466
C,S,7368.421052631578
C,Cl,4578.9473684210525
C,V,1263.157894736842
C,Co,263.1578947368421
C,Ni,884.2105263157894
C,Cu,2526.315789473684
N,H,187600.0
N,B,40.0
N,C,4600.0
N,N,147.0
N,O,59469000.0
N,F,2925.0
N,Na,566400.0
N,Mg,349500.0
N,Al,2057500.0
N,Si,3384000.0
N,P,22050.0
N,S,19250.0
N,Cl,3625.0
N,K,397100.0
N,Ca,332000.0
N,Ti,5560.0
N,V,1080.0
N,Cr,204.0
N,Mn,1900.0
N,Fe,1182300.0
N,Co,25.0
N,Ni,504.0
N,Cu,780.0
N,Zn,70.0
N,As,14.4
N,Br,9.6
N,Mo,2.4
N,Sn,2.3
N,Sb,0.2
N,I,0.9
N,Ba,425.0
N,Hg,0.42500000000000004
N,Pb,56.0
N,Bi,0.017
N,U,32.400000000000006
O,H,4246052631.5789475
O,B,485263.1578947368
O,C,106757894.7368421
O,N,59468999.99999999
O,O,3129947.368421052
O,F,28387894.736842103
O,Na,13742652631.578947
O,Mg,8479973684.2105255
O,Al,49921447368.42105
O,Si,61579894736.8421
O,P,535002631.5789473
O,S,467065789.4736842
O,Cl,70363157.89473684
O,K,9634899999.999998
O,Ca,8055368421.05263
O,V,23292631.578947365
O,Mn,46099999.99999999
O,Fe,25954299999.999996
O,Co,606578.947368421
O,Ni,8152421.052631578
O,Cu,17469473.684210524
O,Zn,1698421.0526315789
O,As,349389.4736842105
O,Br,232926.31578947365
O,Mo,58231.57894736841
O,Sb,4852.631578947368
O,I,21836.842105263157
O,Ba,10311842.105263157
O,Hg,10311.842105263158
O,Pb,1019052.6315789472
O,Bi,206.23684210526315
O,U,786126.3157894737
F,H,215526.31578947365
F,B,307.89473684210526
F,N,2925.0
F,O,28387894.736842103
F,F,153.94736842105263
F,Al,2533973.6842105263
F,Si,26047894.736842103
F,S,10776.315789473683
F,Ca,1277763.1578947369
Na,H,39995789.47368421
Na,C,993684.2105263156
Na,N,566399.9999999999
Na,O,13742652631.578945
Na,Na,29810.52631578947
Na,Mg,57882105.26315789
Na,Al,204450526.31578943
Na,P,3912631.5789473676
Na,S,6955789.473684209
Na,Cl,1260736.842105263
Na,K,233639999.99999997
Na,Ca,51547368.42105263
Na,V,447157.8947368421
Na,Fe,279722105.26315784
Na,Co,31052.631578947363
Na,Cu,74526.31578947368
Na,As,4471.578947368421
Na,Pb,17389.473684210523
Na,Bi,10.557894736842105
Na,U,10061.052631578947
Mg,H,25752631.578947365
Mg,C,245263.15789473683
Mg,N,349500.0
Mg,O,8479973684.2105255
Mg,Na,57882105.26315789
Mg,Mg,18394.736842105263
Mg,Al,201851578.9473684
Mg,Si,345821052.6315789
Mg,P,7725789.47368421
Mg,S,1716842.1052631577
Mg,Cl,355631.5789473684
Mg,K,25630000.0
Mg,V,147157.8947368421
Mg,Mn,1165000.0
Mg,Fe,69041578.94736841
Mg,As,2207.3684210526317
Al,H,151605263.15789473
Al,C,2598947.3684210526
Al,N,2057500.0
Al,O,49921447368.42105
Al,F,2533973.6842105263
Al,Na,204450526.31578946
Al,Mg,201851578.9473684
Al,Al,108289.47368421052
Al,Si,7329031578.947368
Al,P,22740789.47368421
Al,S,18192631.578947365
Al,Cl,1884236.842105263
Al,K,362120000.0
Al,Fe,1219339473.6842105
Al,Ni,1091557.894736842
Al,Cu,779684.2105263157
Al,Pb,60642.10526315789
Si,H,207789473.6842105
Si,C,5936842.105263157
Si,N,3384000.0
Si,O,61579894736.8421
Si,F,26047894.736842103
Si,Mg,345821052.6315789
Si,Al,7329031578.947368
Si,Si,178105.26315789472
Si,K,310199999.99999994
Si,Ca,615947368.4210526
Si,Fe,835610526.3157893
P,H,1624736.842105263
P,C,44210.52631578947
P,N,22050.0
P,O,535002631.5789473
P,Na,3912631.578947368
P,Mg,7725789.473684211
P,Al,22740789.47368421
P,P,1160.5263157894738
P,Cl,8013.1578947368425
P,K,4620000.0
P,Ca,4586842.105263158
P,V,13263.157894736842
P,Mn,52500.0
P,Fe,3111315.789473684
P,As,99.47368421052632
P,U,298.42105263157896
S,H,1418421.0526315789
S,C,7368.421052631578
S,N,19249.999999999996
S,O,467065789.47368413
S,F,10776.315789473683
S,Na,6955789.473684209
S,Mg,1716842.1052631577
S,Al,18192631.578947365
S,S,1013.157894736842
S,Cl,18697.36842105263
S,K,3464999.9999999995
S,Ca,1528947.3684210523
S,V,2210.5263157894733
S,Mn,17499.999999999996
S,Fe,16593684.210526314
S,Co,460.52631578947364
S,Ni,6189.473684210526
S,Cu,3315.78947368421
S,Zn,1289.4736842105262
S,As,33.1578947368421
S,Br,44.210526315789465
S,Mo,44.210526315789465
S,Sb,3.6842105263157894
S,I,8.289473684210526
S,Hg,6.263157894736842
S,Pb,257.8947368421052
S,Bi,0.15657894736842104
S,U,447.63157894736844
Cl,H,267105.2631578947
Cl,C,4578.9473684210525
Cl,N,3625.0
Cl,O,70363157.89473684
Cl,Na,1260736.842105263
Cl,Mg,355631.57894736837
Cl,Al,1884236.842105263
Cl,P,8013.157894736842
Cl,S,18697.36842105263
Cl,Cl,190.78947368421052
Cl,K,956999.9999999998
Cl,V,915.7894736842104
Cl,Fe,1718631.5789473683
Cl,Cu,2289.473684210526
Cl,As,54.94736842105263
Cl,Br,54.94736842105263
Cl,Mo,9.157894736842104
Cl,Sn,17.552631578947366
Cl,I,3.4342105263157894
Cl,Hg,2.594736842105263
Cl,Pb,320.52631578947364
Cl,Bi,0.06486842105263158
K,H,27720000.0
K,N,397100.0
K,O,9634900000.0
K,Na,233640000.0
K,Mg,25630000.0
K,Al,362120000.0
K,Si,310200000.0
K,P,4620000.0
K,S,3465000.0
K,Cl,957000.0
K,K,20900.0
K,Ca,45650000.0
K,V,132000.0
K,Fe,309650000.0
K,As,5940.0
K,Br,2640.0
K,Sb,220.0
K,Pb,15400.0
K,Bi,9.350000000000001
Ca,H,24463157.894736838
Ca,N,331999.99999999994
Ca,O,8055368421.05263
Ca,F,1277763.1578947366
Ca,Na,51547368.42105263
Ca,Si,615947368.4210526
Ca,P,4586842.105263157
Ca,S,1528947.3684210523
Ca,K,45649999.99999999
Ca,Ca,17473.684210526313
Ca,V,524210.5263157894
Ti,N,5559.999999999999
Ti,Ti,292.6315789473684
V,H,70736.84210526316
V,C,1263.157894736842
V,N,1080.0
V,O,23292631.57894737
V,Na,447157.8947368421
V,Mg,147157.8947368421
V,P,13263.157894736842
V,S,2210.5263157894738
V,Cl,915.7894736842105
V,K,132000.0
V,Ca,524210.5263157895
V,V,56.8421052631579
