from,to,weight
H,H,7770.0
H,B,1400.0
H,C,56000.0
H,O,3581970000.0
H,F,859950.0
H,Na,97468000.0
H,Mg,11417000.0
H,Al,34566000.0
H,Si,1460760000.0
H,P,441000.0
H,S,73500.0
H,Cl,91350.0
H,K,54131000.0
H,Ca,136535000.0
H,Ti,28022400.0
H,V,8400.0
H,Mn,2261000.0
H,Fe,102466000.0
H,Zn,29400.0
H,Sr,284900.0
H,Y,16170.0
H,Zr,173250.0
H,Nb,155400.0
H,Mo,252.0
H,Cs,420.0
H,Ba,654500.0
H,La,2730.0
H,Ce,46550.0
H,Nd,2905.0
H,Ta,980.0
H,W,87.5
H,Pb,980.0
H,Th,4032.0
H,U,756.0
B,H,1400.0
B,B,2.5
B,O,1152500.0
B,F,585.0
B,Na,11800.0
B,Al,41150.0
B,Si,423000.0
B,P,525.0
B,K,10450.0
B,Ca,41500.0
B,Ti,5560.0
B,Mn,475.0
B,Y,16.5
B,Nb,50.0
B,Ba,425.0
B,Ta,2.0
C,H,56000.0
C,C,50.0
C,O,18440000.0
C,Na,944000.0
C,Si,11280000.0
C,Ca,1660000.0
C,V,1200.0
C,Mn,28500.0
C,Fe,563000.0
C,Sr,3700.0
C,Zr,6600.0
C,Nb,1000.0
C,Ce,665.0
C,Ta,20.0
O,H,3581970000.0
O,B,1152500.0
O,C,18440000.0
O,O,4149000.0
O,F,431496000.0
O,Na,41886460000.0
O,Mg,5370650000.0
O,Al,17073135000.0
O,Si,572008800000.0
O,P,145215000.0
O,S,24202500.0
O,Cl,33422500.0
O,K,20233290000.0
O,Ca,65047100000.0
O,Sc,1014200.0
O,Ti,12046852000.0
O,V,2766000.0
O,Cr,2351100.0
O,Mn,919695000.0
O,Fe,59694890000.0
O,Zn,9681000.0
O,As,41490.0
O,Sr,93813500.0
O,Y,12170400.0
O,Zr,76065000.0
O,Nb,82980000.0
O,Mo,82980.0
O,Sn,106029.99999999999
O,Sb,13830.0
O,Cs,138300.0
O,Ba,244906250.0
O,La,1797900.0
O,Ce,27590850.0
O,Nd,1913150.0
O,Yb,73760.0
O,Ta,1613500.0
O,W,144062.5
O,Pb,1613500.0
O,Bi,391.85
O,Th,1770240.0
O,U,746820.0000000001
F,H,859950.0
F,B,585.0
F,O,431496000.0
F,F,936.0
F,Na,18638100.0
F,Si,206212500.0
F,P,92137.5
F,Cl,4241.25
F,K,4890600.0
F,Ca,23063625.0
F,Ti,3903120.0
F,Mn,305662.5
F,Fe,9880650.0
F,Zn,4095.0
F,Sr,21645.0
F,Y,2895.75
F,Zr,19305.0
F,Nb,18720.0
F,Ba,111881.25
F,Ce,5835.375
F,Ta,175.5
F,Pb,409.5
F,U,157.95000000000002
Na,H,97468000.0
Na,B,11800.0
Na,C,944000.0
Na,O,41886460000.0
Na,F,18638100.0
Na,Na,90860.0
Na,Mg,82482000.0
Na,Al,291342000.0
Na,Si,19300080000.0
Na,P,3717000.0
Na,Cl,1539900.0
Na,K,616550000.0
Na,Ca,1860860000.0
Na,Ti,301796800.0
Na,V,141600.0
Na,Mn,25783000.0
Na,Fe,1195812000.0
Na,Zn,247800.0
Na,As,2124.0
Na,Sr,4366000.0
Na,Y,77880.0
Na,Zr,3115200.0
Na,Nb,1817200.0
Na,Ba,8525500.0
Na,La,46020.0
Na,Ce,470820.0
Na,Ta,16520.0
Na,Pb,33040.0
Na,Th,11328.0
Na,U,9558.0
Mg,H,11417000.0
Mg,O,5370650000.0
Mg,Na,82482000.0
Mg,Mg,11650.0
Mg,Al,191759000.0
Mg,Si,985590000.0
Mg,S,815500.0
Mg,K,24348500.0
Mg,Ca,145042500.0
Mg,Ti,19432200.0
Mg,Cr,118830.0
Mg,Mn,1106750.0
Mg,Fe,196768500.0
Mg,Zr,192225.0
Mg,Nb,233000.0
Mg,Mo,2796.0
Mg,Ba,1485375.0
Mg,Ce,77472.5
Mg,Ta,4660.0
Mg,W,1456.25
Al,H,34566000.0
Al,B,41150.0
Al,O,17073135000.0
Al,Na,291342000.0
Al,Mg,191759000.0
Al,Al,37035.0
Al,Si,4641720000.0
Al,S,4320750.0
Al,K,172007000.0
Al,Ca,341545000.0
Al,Ti,45758800.0
Al,Mn,3909250.0
Al,Fe,231674500.0
Al,Sr,1522550.0
