from,to,weight
H,H,1214.4578313253012
H,Li,674.6987951807229
H,Be,188.9156626506024
H,B,337.34939759036143
H,C,121445.78313253012
H,O,559865060.2409639
H,F,78939.75903614458
H,Na,796144.578313253
H,Mg,786024.0963855422
H,Al,19434698.795180723
H,Si,66592771.084337346
H,P,177108.43373493975
H,S,59036.14457831325
H,Ca,15400000.0
H,Ti,375132.5301204819
H,Mn,64096.385542168675
H,Fe,5697831.325301205
H,Cu,8096.385542168675
H,As,242.89156626506025
H,Y,7792.77108433735
H,Nb,674.6987951807229
H,Cs,101.20481927710844
H,La,19734.939759036144
H,Ce,33650.60240963856
H,Pr,310.3614457831325
H,Nd,50400.0
H,Sm,951.3253012048193
H,Gd,418.3132530120482
H,Dy,175.42168674698797
H,W,42.16867469879518
H,Pb,944.5783132530121
H,Th,323.855421686747
H,U,546.5060240963855
Li,H,674.6987951807229
Li,Li,0.4819277108433735
Li,Be,1.3493975903614457
Li,B,4.8192771084337345
Li,O,222168.6746987952
Li,F,281.9277108433735
Li,Al,39662.65060240964
Li,Si,135903.6144578313
Li,Ca,20000.0
Li,Fe,27132.530120481926
Li,La,18.795180722891565
Li,Ce,32.04819277108434
Li,Nd,20.0
Li,Th,4.626506024096385
Be,H,188.9156626506024
Be,Li,1.3493975903614457
Be,Be,0.26987951807228916
Be,B,0.6746987951807228
Be,O,124414.4578313253
Be,F,39.46987951807229
Be,Al,5552.77108433735
Be,Si,76106.02409638555
Be,Ca,2800.0
Be,Fe,11395.662650602411
Be,Y,2.2265060240963854
Be,La,5.2626506024096384
Be,Ce,8.973493975903615
Be,Nd,11.2
Be,Th,0.6477108433734939
B,H,337.34939759036143
B,Li,4.8192771084337345
B,Be,0.6746987951807228
B,B,0.24096385542168675
B,O,111084.3373493976
B,F,140.96385542168676
B,Al,19831.32530120482
B,Si,67951.80722891566
B,Ca,10000.0
B,Fe,13566.265060240963
B,La,9.397590361445783
B,Ce,16.02409638554217
B,Nd,10.0
B,Th,2.3132530120481927
C,H,121445.78313253012
C,C,110.84337349397592
C,O,51098795.18072289
C,F,8457.831325301206
C,Na,227469.8795180723
C,Mg,112289.15662650604
C,Al,793253.0120481928
C,Si,2718072.289156627
C,S,5060.240963855422
C,Ca,1200000.0000000002
C,Ti,26795.180722891568
C,Fe,271325.3012048193
C,Cu,578.3132530120482
C,Y,795.1807228915663
C,La,2443.373493975904
C,Ce,3204.819277108434
C,Pr,44.33734939759036
C,Nd,4600.000000000001
C,Sm,101.9277108433735
C,Gd,59.75903614457832
C,Dy,25.060240963855424
C,Pb,134.93975903614458
C,U,39.036144578313255
O,H,559865060.2409639
O,Li,222168.6746987952
O,Be,124414.4578313253
O,B,111084.3373493976
O,C,51098795.18072289
O,O,566530.1204819278
O,F,45489036.144578315
O,Na,1572954216.8674698
O,Mg,517653012.0481928
O,Al,7313792771.084337
O,Si,40723518072.28916
O,P,104974698.79518074
O,S,19439759.03614458
O,Ca,6915000000.0
O,Ti,185288674.6987952
O,V,1333012.0481927712
O,Mn,42212048.192771085
O,Fe,5003238554.216867
O,Cu,3332530.120481928
O,As,79980.72289156627
O,Y,2932626.5060240966
O,Nb,444337.3493975904
O,Cs,33325.301204819276
O,La,9097807.228915663
O,Ce,16251638.554216867
O,Pr,204395.18072289156
O,Nd,23511000.0
O,Sm,313257.8313253012
O,Gd,137744.578313253
O,Dy,57763.85542168675
O,W,13885.5421686747
O,Pb,311036.1445783133
O,Th,213281.92771084336
O,U,179956.62650602413
F,H,78939.75903614459
F,Li,281.9277108433735
F,Be,39.46987951807229
F,B,140.96385542168676
F,C,8457.831325301206
F,O,45489036.144578315
F,F,98.67469879518073
F,Na,332674.69879518077
F,Al,2320265.060240964
F,Si,7950361.445783134
F,P,14801.204819277109
F,S,4933.734939759037
F,Ca,2925000.0
F,Fe,793626.5060240965
F,Cs,42.28915662650603
F,La,1099.5180722891566
F,Ce,1874.8192771084339
F,Nd,4095.0
F,Th,135.32530120481928
Na,H,796144.5783132531
Na,C,227469.87951807232
Na,O,1572954216.86747
Na,F,332674.69879518077
Na,Na,3412.048192771085
Na,Si,320732530.12048197
Na,P,1791325.3012048197
Na,S,199036.14457831328
Na,Ca,47200000.00000001
Na,Ti,3161831.3253012053
Na,La,66534.93975903616
Na,Ce,151267.4698795181
Na,Pr,5231.807228915663
Na,Nd,141600.00000000003
Na,Th,5459.2771084337355
Mg,H,786024.0963855422
Mg,C,112289.15662650602
Mg,O,517653012.04819274
Mg,Mg,1122.8915662650602
Mg,Mn,533373.4939759036
Mg,Fe,31609397.590361446
Mg,As,1010.6024096385541
Mg,La,43792.77108433735
Mg,Ce,74672.2891566265
Mg,Nd,46600.0
Al,H,19434698.795180723
Al,Li,39662.65060240964
Al,Be,5552.771084337349
Al,B,19831.32530120482
Al,C,793253.0120481928
Al,O,7313792771.084337
Al,F,2320265.060240964
Al,Al,15865.060240963856
Al,Si,2236973493.9759035
Al,P,2082289.156626506
Al,S,2082289.1566265062
Al,Ca,246900000.0
Al,Ti,11026216.86746988
Al,Mn,1883975.903614458
Al,Fe,446601445.78313255
Al,As,3569.6385542168678
Al,Y,65443.37349397591
Al,La,309368.6746987952
Al,Ce,395634.9397590362
Al,Nd,658400.0
Al,Th,19038.072289156626
Si,H,66592771.08433736
Si,Li,135903.61445783134
Si,Be,76106.02409638555
Si,B,67951.80722891567
Si,C,2718072.289156627
Si,O,40723518072.28916
Si,F,7950361.445783134
Si,Na,320732530.12048197
Si,Al,2236973493.975904
Si,Si,88337.34939759037
Si,P,7134939.759036145
Si,Ca,1410000000.0
Si,Ti,75562409.63855422
Si,Mn,12910843.373493977
Si,Fe,2677980722.8915663
Si,Cu,407710.843373494
Si,As,12231.32530120482
Si,Y,224240.9638554217
Si,Cs,20385.5421686747
Si,La,1325060.2409638555
Si,Ce,2259397.590361446
Si,Pr,62515.66265060241
Si,Nd,3666000.0
Si,Th,130467.46987951807
Si,U,36693.97590361446
P,H,177108.43373493978
P,O,104974698.79518074
P,F,14801.204819277109
P,Na,1791325.3012048192
P,Al,2082289.1566265062
P,Si,7134939.759036145
P,P,227.710843373494
P,Ca,3150000.0
P,Cu,1518.0722891566265
P,Y,834.9397590361447
P,La,1973.4939759036147
P,Ce,8412.65060240964
P,Pr,232.7710843373494
P,Nd,9450.0
P,Sm,178.3734939759036
P,Th,242.89156626506025
P,U,136.62650602409641
S,H,59036.14457831325
S,C,5060.240963855422
S,O,19439759.03614458
S,F,4933.734939759036
S,Na,199036.14457831325
S,Al,2082289.1566265058
S,S,42.16867469879518
S,Ca,350000.0
S,Y,278.3132530120482
S,La,986.7469879518073
S,Ce,1121.686746987952
S,Nd,1750.0
Ca,H,15400000.0
Ca,Li,20000.0
Ca,Be,2800.0
Ca,B,10000.0
Ca,C,1200000.0
Ca,O,6915000000.0
Ca,F,2925000.0
Ca,Na,47200000.0
Ca,Al,246900000.0
Ca,Si,1410000000.0
Ca,P,3150000.0
Ca,S,350000.0
Ca,Ca,15000.0
Ca,Ti,5560000.0
Ca,Mn,950000.0
Ca,Fe,168900000.0
Ca,Cu,60000.0
Ca,Y,99000.0
Ca,Nb,20000.0
Ca,Cs,3000.0
Ca,La,195000.0
Ca,Ce,332500.0
Ca,Pr,9200.0
Ca,Nd,622500.0
Ca,Sm,7050.0
Ca,Gd,6200.0
Ca,Dy,5200.0
Ca,Th,19200.0
Ca,U,5400.0
Ti,H,375132.53012048197
Ti,C,26795.18072289157
Ti,O,185288674.6987952
Ti,Na,3161831.3253012053
Ti,Al,11026216.86746988
Ti,Si,75562409.63855423
Ti,Ca,5560000.000000001
Ti,Ti,401.9277108433736
Ti,Fe,7542843.373493977
Ti,As,241.15662650602414
Ti,Nb,2679.518072289157
Ti,La,5225.060240963856
Ti,Ce,17818.795180722893
Ti,Nd,16680.000000000004
V,O,1333012.0481927712
V,V,2.891566265060241
V,Nd,120.0
Mn,H,64096.385542168675
Mn,O,42212048.192771085
Mn,Mg,533373.4939759036
Mn,Al,1883975.903614458
Mn,Si,12910843.373493977
Mn,Ca,950000.0
Mn,Mn,91.56626506024097
Mn,Fe,2577590.361445783
Mn,Cu,1373.4939759036145
Mn,As,82.40963855421687
Mn,La,2678.3132530120483
Mn,Ce,3044.5783132530123
