from,to,weight
H,H,1183.3333333333333
H,C,46666.666666666664
H,N,1583.333333333333
H,O,537833333.3333333
H,Na,786666.6666666665
H,Mg,3883333.3333333326
H,Al,15088333.333333332
H,Si,37599999.99999999
H,P,34999.99999999999
H,S,122499.99999999997
H,Cl,14500.0
H,K,348333.33333333326
H,Ca,2766666.666666666
H,V,5999.999999999999
H,Cr,1699.9999999999998
H,Mn,47499.99999999999
H,Fe,9383333.333333332
H,Co,2916.6666666666665
H,Ni,99399.99999999999
H,Cu,8999.999999999998
H,Zn,3499.9999999999995
H,As,329.99999999999994
H,Se,0.8333333333333333
H,Sb,6.666666666666666
H,Te,0.033333333333333326
H,Hg,1.4166666666666665
H,Pb,233.33333333333331
H,Bi,0.14166666666666666
H,U,180.0
B,B,0.11904761904761904
B,O,54880.952380952374
B,Fe,6702.380952380952
B,Ni,10.0
C,H,46666.66666666667
C,C,40.476190476190474
C,N,45.23809523809524
C,O,15366666.666666666
C,Na,56190.47619047619
C,Mg,55476.19047619047
C,Al,195952.38095238095
C,S,833.3333333333334
C,Cr,242.85714285714286
C,Fe,402142.85714285716
C,Co,119.04761904761905
C,Ni,3400.0
C,Cu,142.85714285714286
C,Hg,0.20238095238095238
N,H,1583.333333333333
N,C,45.238095238095234
N,N,1.357142857142857
N,O,417095.23809523805
N,Al,55846.428571428565
N,S,316.66666666666663
N,Fe,12734.523809523807
N,Ni,113.99999999999997
N,Cu,40.71428571428571
O,H,537833333.3333333
O,B,54880.952380952374
O,C,15366666.666666666
O,N,417095.23809523805
O,O,493928.57142857136
O,Na,259038095.23809522
O,Mg,1278726190.4761903
O,Al,5420042857.142857
O,Si,13928785714.285713
O,P,51862499.99999999
O,S,40337500.0
O,Cl,4774642.857142856
O,K,114701190.47619046
O,Ca,1822047619.0476189
O,V,1975714.2857142854
O,Cr,559785.7142857142
O,Mn,15641071.428571427
O,Fe,4634696428.571427
O,Co,1097619.0476190476
O,Ni,41489999.99999999
O,Cu,2963571.428571428
O,Zn,1152500.0
O,As,167935.71428571426
O,Se,274.40476190476187
O,Sb,3292.857142857142
O,Te,10.976190476190476
O,Hg,466.48809523809524
O,Pb,76833.33333333333
O,Bi,93.29761904761905
O,U,59271.42857142857
Na,H,786666.6666666667
Na,C,56190.47619047619
Na,O,259038095.23809525
Na,Na,561.9047619047619
Na,Mg,6546190.476190477
Na,S,98333.33333333334
Na,Ni,47200.0
Mg,H,3883333.333333333
Mg,C,55476.19047619047
Mg,O,1278726190.4761903
Mg,Na,6546190.476190476
Mg,Mg,2773.8095238095234
Mg,Al,68485357.14285713
Mg,Si,234664285.7142857
Mg,S,388333.3333333333
Mg,Cr,28292.85714285714
Mg,Fe,46849642.85714285
Mg,Co,6934.523809523809
Mg,Ni,232999.99999999997
Mg,Te,0.5547619047619047
Mg,Hg,23.577380952380953
Al,H,15088333.333333332
Al,C,195952.38095238095
Al,N,55846.42857142857
Al,O,5420042857.142857
Al,Mg,68485357.14285713
Al,Al,14696.42857142857
Al,Si,828878571.4285715
Al,S,2057499.9999999998
Al,V,235142.85714285713
Al,Cr,99935.71428571428
Al,Fe,220642380.95238093
Al,Co,24494.04761904762
Al,Ni,1234500.0
Al,Cu,235142.85714285713
Al,Zn,137166.66666666666
Si,H,37600000.0
Si,O,13928785714.285713
Si,Mg,234664285.7142857
Si,Al,828878571.4285715
Si,Si,40285.71428571428
Si,P,3524999.9999999995
Si,V,402857.14285714284
Si,Fe,378014285.7142857
Si,Ni,3384000.0
Si,Cu,201428.57142857142
Si,Zn,234999.99999999997
P,H,35000.0
P,O,51862500.0
P,Si,3525000.0
P,P,300.0
P,Ca,2593750.0
P,V,1500.0
P,Fe,6333750.0
P,Ni,25200.0
P,Mo,45.0
S,H,122499.99999999997
S,C,833.3333333333333
S,N,316.66666666666663
S,O,40337499.99999999
S,Na,98333.33333333331
S,Mg,388333.33333333326
S,Al,2057499.9999999998
S,S,295.8333333333333
S,Cl,1208.3333333333333
S,K,261249.99999999994
S,Cr,424.99999999999994
S,Mn,3958.3333333333326
S,Fe,5395416.666666666
S,Co,729.1666666666666
S,Ni,24849.999999999996
S,Cu,4749.999999999999
S,Ge,6.249999999999999
S,As,52.49999999999999
S,Rh,0.012499999999999997
S,Ag,0.31249999999999994
S,Sn,9.58333333333333
S,Sb,7.499999999999999
S,Te,0.004166666666666666
S,Ba,3541.666666666666
S,Ir,0.008333333333333331
S,Pt,0.041666666666666664
S,Hg,0.35416666666666663
S,Tl,3.541666666666666
S,Pb,291.66666666666663
S,Bi,0.2125
S,U,11.25
Cl,H,14500.0
Cl,O,4774642.857142856
Cl,S,1208.3333333333333
Cl,Cl,15.535714285714285
Cl,K,36077.38095238095
Cl,Fe,485922.619047619
Cl,Ni,1305.0
Cl,Cu,414.2857142857143
Cl,Tl,1.4672619047619047
K,H,348333.3333333333
K,O,114701190.47619046
K,S,261250.0
K,Cl,36077.38095238095
K,K,746.4285714285713
K,Fe,28015952.38095238
K,Ni,62700.0
K,Cu,29857.142857142855
K,Ba,105744.04761904762
Ca,H,2766666.6666666665
Ca,O,1822047619.047619
Ca,P,2593750.0
Ca,Ca,3952.3809523809523
Ca,Fe,55629761.9047619
Ca,Ni,332000.0
Ca,As,2667.857142857143
V,H,5999.999999999999
V,O,1975714.2857142854
V,Al,235142.8571428571
V,Si,402857.1428571428
V,P,1499.9999999999998
V,V,5.7142857142857135
V,Ni,479.99999999999994
V,Cu,85.71428571428571
V,Zn,299.99999999999994
Cr,H,1699.9999999999998
Cr,C,242.85714285714283
Cr,O,559785.7142857142
Cr,Mg,28292.85714285714
Cr,Al,99935.71428571428
Cr,S,424.99999999999994
Cr,Cr,2.4285714285714284
Cr,Fe,136728.57142857142
Cr,Ni,203.99999999999997
Mn,H,47500.0
Mn,O,15641071.428571427
Mn,S,3958.333333333333
Mn,Mn,33.92857142857142
Mn,Co,565.4761904761904
Mn,Ni,2849.9999999999995
Fe,H,9383333.333333332
Fe,B,6702.380952380952
Fe,C,402142.85714285704
Fe,N,12734.52380952381
Fe,O,4634696428.571427
Fe,Mg,46849642.85714285
Fe,Al,220642380.95238093
Fe,Si,378014285.7142857
Fe,P,6333750.0
Fe,S,5395416.666666666
Fe,Cl,485922.619047619
Fe,K,28015952.380952377
Fe,Ca,55629761.9047619
Fe,Cr,136728.57142857142
Fe,Fe,38873.80952380952
Fe,Co,67023.80952380951
Fe,Ni,3265399.9999999995
Fe,Cu,402142.8571428571
Fe,As,7238.5714285714275
Fe,Rh,0.6702380952380952
Fe,Ag,50.26785714285714
Fe,Sb,268.0952380952381
Fe,Te,0.6702380952380952
Fe,Ba,569702.380952381
Fe,Ir,1.3404761904761904
Fe,Pt,10.053571428571427
Fe,Tl,569.7023809523808
Fe,Pb,28149.999999999996
Co,H,2916.666666666667
Co,C,119.04761904761905
Co,O,1097619.0476190476
Co,Mg,6934.523809523809
Co,Al,24494.04761904762
Co,S,729.1666666666667
Co,Mn,565.4761904761905
Co,Fe,67023.80952380953
Co,Co,5.059523809523809
Co,Ni,425.0
Co,Cu,71.42857142857143
Co,As,3.2142857142857144
Co,Se,0.029761904761904764
Co,Sb,0.05952380952380953
Ni,H,99400.0
Ni,B,10.0
Ni,C,3400.0
Ni,N,114.0
Ni,O,41490000.0
Ni,Na,47200.0
Ni,Mg,233000.0
Ni,Al,1234500.0
Ni,Si,3384000.0
Ni,P,25200.0
Ni,S,24850.0
Ni,Cl,1305.0
Ni,K,62700.0
Ni,Ca,332000.0
Ni,V,480.0
Ni,Cr,204.0
Ni,Mn,2850.0
Ni,Fe,3265400.0
Ni,Co,425.0
Ni,Ni,206.0
Ni,Cu,1680.0
Ni,Zn,210.0
Ni,Ge,1.5
Ni,As,75.60000000000001
Ni,Se,0.55
Ni,Mo,3.5999999999999996
Ni,Ru,0.001
Ni,Rh,0.004
Ni,Pd,0.06
Ni,Ag,0.075
Ni,Sn,4.6
Ni,Sb,3.4000000000000004
Ni,Te,0.008
Ni,Ba,850.0
Ni,Ir,0.003
Ni,Pt,0.015
Ni,Hg,0.17
Ni,Tl,0.85
Ni,Pb,84.0
Ni,Bi,0.07650000000000001
Ni,U,10.8
Cu,H,8999.999999999998
Cu,C,142.85714285714283
Cu,N,40.71428571428571
Cu,O,2963571.428571428
Cu,Al,235142.8571428571
Cu,Si,201428.5714285714
Cu,S,4749.999999999999
Cu,Cl,414.2857142857142
Cu,K,29857.14285714285
Cu,V,85.71428571428571
Cu,Fe,402142.8571428571
Cu,Co,71.42857142857142
Cu,Ni,1679.9999999999998
Cu,Cu,19.999999999999996
Cu,Zn,49.99999999999999
Cu,As,2.571428571428571
Cu,Se,0.10714285714285714
Cu,Rh,0.0007142857142857142
Cu,Sb,0.5714285714285714
Cu,Ba,607.1428571428571
Cu,Ir,0.0007142857142857142
Cu,Pt,0.007142857142857142
Cu,Tl,0.6071428571428571
Cu,Pb,19.999999999999996
Cu,Bi,0.006071428571428571
Zn,H,3499.9999999999995
Zn,O,1152500.0
Zn,Al,137166.66666666666
Zn,Si,234999.99999999997
Zn,V,299.99999999999994
Zn,Ni,210.0
Zn,Cu,49.99999999999999
Zn,Zn,2.5
Ge,S,6.25
Ge,Ni,1.5
Ge,Ge,0.017857142857142856
As,H,330.0
As,O,167935.7142857143
As,S,52.5
As,Ca,2667.857142857143
As,Fe,7238.5714285714275
As,Co,3.2142857142857144
As,Ni,75.60000000000001
As,Cu,2.5714285714285716
As,As,0.9
As,Se,0.0010714285714285715
As,Ru,2.1428571428571428e-05
As,Rh,2.1428571428571428e-05
As,Pd,0.0009642857142857142
As,Sb,0.012857142857142859
As,Pb,0.3
As,Bi,0.0005464285714285714
As,U,0.1735714285714286
Se,H,0.8333333333333334
Se,O,274.4047619047619
Se,Co,0.029761904761904764
Se,Ni,0.55
Se,Cu,0.10714285714285715
Se,As,0.0010714285714285715
Se,Se,0.006547619047619049
Se,Te,5.952380952380953e-07
Mo,P,44.99999999999999
Mo,Ni,3.599999999999999
Mo,Mo,0.04285714285714285
Ru,Ni,0.001
Ru,As,2.1428571428571428e-05
Ru,Ru,1.1904761904761905e-05
Rh,S,0.0125
Rh,Fe,0.6702380952380953
Rh,Ni,0.004
Rh,Cu,0.0007142857142857143
Rh,As,2.1428571428571428e-05
Rh,Rh,4.761904761904762e-05
Rh,Ir,1.1904761904761905e-08
Rh,Pt,5.952380952380953e-08
Pd,Ni,0.05999999999999999
Pd,As,0.0009642857142857142
Pd,Pd,0.0007142857142857142
Pd,Te,1.7857142857142855e-07
Ag,S,0.31249999999999994
Ag,Fe,50.26785714285713
Ag,Ni,0.07499999999999998
