from,to,weight
S,S,700000.0
S,As,840000.0
S,Ru,466.66666666666663
S,Os,1050.0
Fe,Fe,75066666.66666666
Fe,Mo,45039999.99999999
Fe,Ru,75066.66666666666
Fe,Os,112599.99999999999
Fe,Ir,75066.66666666666
As,S,840000.0
As,As,4800.0
As,Ru,4.8
As,Os,7.2
Mo,Fe,45039999.99999999
Mo,Mo,799.9999999999999
Mo,Ru,0.7999999999999999
Mo,Os,1.2
Mo,Ir,0.7999999999999999
Ru,S,466.66666666666663
Ru,Fe,75066.66666666666
Ru,As,4.8
Ru,Mo,0.7999999999999999
Ru,Ru,6.0
Ru,Os,0.009000000000000001
Ru,Ir,0.003333333333333333
Os,S,1050.0
Os,Fe,112600.0
Os,As,7.2
Os,Mo,1.2
Os,Ru,0.009000000000000001
Os,Os,10.0
Os,Ir,0.005
Ir,Fe,75066.66666666666
Ir,Mo,0.7999999999999999
Ir,Ru,0.003333333333333333
Ir,Os,0.005
Ir,Ir,3.333333333333333
S,S,700000.0
As,S,840000.0
Ru,S,466.66666666666663
Os,S,1050.0
Fe,Fe,75066666.66666666
Mo,Fe,45039999.99999999
Ru,Fe,75066.66666666666
Os,Fe,112599.99999999999
Ir,Fe,75066.66666666666
S,As,840000.0
As,As,4800.0
Ru,As,4.8
Os,As,7.2
Fe,Mo,45039999.99999999
Mo,Mo,799.9999999999999
Ru,Mo,0.7999999999999999
Os,Mo,1.2
Ir,Mo,0.7999999999999999
S,Ru,466.66666666666663
Fe,Ru,75066.66666666666
As,Ru,4.8
Mo,Ru,0.7999999999999999
Ru,Ru,6.0
Os,Ru,0.009000000000000001
Ir,Ru,0.003333333333333333
S,Os,1050.0
Fe,Os,112600.0
As,Os,7.2
Mo,Os,1.2
Ru,Os,0.009000000000000001
Os,Os,10.0
Ir,Os,0.005
Fe,Ir,75066.66666666666
Mo,Ir,0.7999999999999999
Ru,Ir,0.003333333333333333
Os,Ir,0.005
Ir,Ir,3.333333333333333
