from,to,weight
H,H,713.3333333333333
H,Li,346.66666666666663
H,Be,104.53333333333332
H,B,40.0
H,C,5866.666666666666
H,N,532.0
H,O,328846666.6666666
H,F,35880.0
H,Na,3115199.9999999995
H,Mg,3106666.6666666665
H,Al,19861733.333333332
H,Si,6768000.0
H,P,749000.0
H,S,12599.999999999998
H,Cl,773.3333333333333
H,K,1086800.0
H,Ca,8466000.0
H,Sc,88.0
H,Ti,81546.66666666666
H,V,2880.0
H,Cr,408.0
H,Mn,140599.99999999997
H,Fe,14487866.666666664
H,Co,33.33333333333333
H,Ni,224.0
H,Cu,3440.0
H,Zn,4200.0
H,Ga,25.333333333333332
H,Ge,2.0
H,As,28.799999999999997
H,Sr,8386.666666666666
H,Y,352.0
H,Zr,1980.0
H,Nb,160.0
H,Mo,11.2
H,Cd,0.39999999999999997
H,Cs,4.0
H,Ba,20400.0
H,La,208.0
H,Ce,1064.0
H,Nd,276.66666666666663
H,Sm,18.799999999999997
H,Ta,5.333333333333333
H,W,1.6666666666666665
H,Hg,0.11333333333333334
H,Pb,578.6666666666666
H,Bi,0.12466666666666668
H,Th,102.39999999999999
H,U,187.20000000000002
Li,H,346.6666666666667
Li,Li,0.380952380952381
Li,Be,0.26666666666666666
Li,C,7.6190476190476195
Li,O,175619.04761904763
Li,F,55.71428571428572
Li,Na,4944.7619047619055
Li,Mg,887.6190476190477
Li,Al,9405.714285714286
Li,P,400.00000000000006
Li,K,1194.2857142857144
Li,Ca,4742.857142857143
Li,Mn,54.28571428571429
Li,Fe,4289.52380952381
Li,Sr,7.047619047619048
Li,Y,1.2571428571428573
Li,Zr,9.42857142857143
Li,Cs,0.05714285714285715
Li,Ba,8.095238095238097
Be,H,104.53333333333333
Be,Li,0.26666666666666666
Be,Be,0.088
Be,O,40568.0
Be,F,3.12
Be,Na,314.66666666666663
Be,Mg,186.4
Be,Al,658.4
Be,P,92.39999999999999
Be,K,222.93333333333334
Be,Ca,2102.6666666666665
Be,Mn,12.666666666666666
Be,Fe,750.6666666666666
Be,Zn,0.3733333333333333
Be,Sr,0.9866666666666666
Be,Zr,1.32
Be,Cs,0.008
Be,Ba,5.666666666666666
B,H,40.0
B,B,0.06666666666666668
B,O,30733.333333333336
B,F,27.85714285714286
B,Na,224.7619047619048
B,Mg,665.7142857142858
B,Si,8057.142857142857
B,P,70.00000000000001
B,Ca,1185.7142857142858
B,Ti,52.952380952380956
B,V,2.285714285714286
B,Mn,27.142857142857146
B,Fe,1072.3809523809525
B,As,0.03428571428571429
B,Y,0.9428571428571431
B,Nb,0.1904761904761905
B,Mo,0.011428571428571429
