from,to,weight
H,H,24700.0
H,Be,280.0
H,B,5000.0
H,C,560000.0
H,N,7600.0
H,O,11340600000.0
H,F,468000.0
H,Na,11800000.0
H,Mg,23300000.0
H,Al,263360000.0
H,Si,958800000.0
H,P,3255000.0
H,S,1995000.0
H,Cl,638000.0
H,K,12540000.0
H,Ca,95450000.0
H,Ti,1668000.0
H,V,180000.0
H,Cr,153000.0
H,Mn,1900000.0
H,Fe,258980000.0
H,Co,5000.0
H,Ni,8400.0
H,Cu,372000.0
H,Zn,203000.0
H,Ga,3800.0
H,Ge,750.0
H,As,8820.0
H,Se,40.0
H,Sr,37000.0
H,Y,9900.0
H,Zr,16500.0
H,Nb,2000.0
H,Mo,120.0
H,Ag,22.5
H,Sb,80.0
H,Te,1.7000000000000002
H,I,135.0
H,Cs,300.0
H,Ba,170000.0
H,La,3900.0
H,Nd,8300.0
H,Sm,705.0
H,Gd,620.0
H,Ta,200.0
H,W,625.0
H,Pb,345800.0
H,Bi,4.25
H,Th,960.0
H,U,8910.0
Be,H,280.0
Be,Be,0.39999999999999997
Be,B,1.9999999999999998
Be,O,184399.99999999997
Be,F,116.99999999999999
Be,Mg,4660.0
Be,Si,112799.99999999999
Be,Cl,28.999999999999996
Be,K,4180.0
Be,Ca,16600.0
Be,Fe,11259.999999999998
Be,Y,6.6
Be,Ba,85.0
Be,Pb,5.6
B,H,4999.999999999999
B,Be,1.9999999999999996
B,B,5.7142857142857135
B,C,428.5714285714285
B,O,2634285.714285714
B,F,1671.428571428571
B,Mg,33285.71428571428
B,Si,1007142.8571428569
B,Cl,414.2857142857142
B,K,44785.714285714275
B,Ca,88928.57142857142
B,Mn,678.5714285714284
B,Y,47.14285714285714
B,Ba,910.7142857142857
B,Pb,79.99999999999999
C,H,560000.0
C,B,428.5714285714285
C,C,499.99999999999994
C,O,230500000.0
C,F,8357.142857142857
C,Na,674285.7142857142
C,Mg,1664285.714285714
C,Al,4702857.142857143
C,Si,32228571.428571425
C,S,40000.0
C,Cl,14499.999999999998
C,Ca,1778571.4285714286
C,Cr,1457.142857142857
C,Mn,27142.85714285714
C,Fe,1608571.4285714284
C,Cu,4285.714285714285
C,Y,471.4285714285714
C,Te,0.04285714285714286
C,La,557.1428571428571
C,Nd,1185.7142857142856
C,Sm,100.71428571428571
C,Gd,88.57142857142857
C,Pb,7000.0
C,U,38.57142857142857
N,H,7599.999999999999
N,N,5.428571428571428
N,O,1876928.5714285711
N,Na,32028.571428571424
N,Al,111692.85714285713
N,S,474.99999999999994
N,Cl,590.3571428571428
N,K,28364.28571428571
N,Fe,76407.14285714286
N,Pb,75.99999999999999
O,H,11340600000.0
O,Be,184399.99999999997
O,B,2634285.714285714
O,C,230500000.0
O,N,1876928.5714285714
O,O,12545785.714285715
O,F,346737857.1428571
O,Na,10102485714.285715
O,Mg,9206828571.428572
O,Al,94850749999.99998
O,Si,492150428571.4286
O,P,1279275000.0
O,S,922000000.0
O,Cl,415393928.5714286
O,K,10323107142.857141
O,Ca,53294892857.14285
O,Ti,1830828571.4285712
O,V,102737142.85714285
O,Cr,67174285.7142857
O,Mn,1157439285.7142856
O,Fe,126063742857.14285
O,Co,1646428.5714285714
O,Ni,2766000.0
O,Cu,150154285.7142857
O,Zn,85285000.0
O,Ga,1251285.7142857143
O,Ge,296357.14285714284
O,As,3911914.285714286
O,Se,23050.0
O,Br,158057.14285714284
O,Rb,2963571.4285714286
O,Sr,48734285.71428572
O,Y,8693142.857142856
O,Zr,5433214.285714285
O,Nb,3292857.1428571427
O,Mo,197571.42857142855
O,Ag,12348.214285714284
O,Cd,4939.285714285714
O,Sn,75735.71428571428
O,Sb,105371.42857142858
O,Te,1218.357142857143
O,I,59271.42857142857
O,Cs,296357.14285714284
O,Ba,97962500.0
O,La,1284214.2857142857
O,Ce,2189750.0
O,Nd,2733071.4285714286
O,Sm,232146.42857142855
O,Gd,204157.14285714287
O,Ta,263428.5714285714
O,W,329285.71428571426
O,Pb,175641000.0
O,Bi,1679.3571428571431
O,Th,316114.2857142857
O,U,3556285.714285714
F,H,468000.0
F,Be,116.99999999999999
F,B,1671.4285714285713
F,C,8357.142857142857
F,O,346737857.1428571
F,F,961.0714285714286
F,Na,986142.8571428572
F,Mg,973607.1428571428
F,Al,13755857.142857142
F,Si,47134285.71428572
F,P,87750.0
F,S,43875.0
F,Cl,54530.357142857145
F,K,2619964.2857142854
F,Ca,12138750.0
F,V,5014.285714285714
F,Cr,8524.285714285714
F,Fe,2352535.714285714
F,Y,2757.8571428571427
F,Nb,835.7142857142857
F,Ag,3.133928571428571
F,Ba,53276.78571428572
F,Pb,13455.0
F,U,112.82142857142857
Na,H,11800000.0
Na,C,674285.7142857142
Na,N,32028.571428571424
Na,O,10102485714.285713
Na,F,986142.857142857
Na,Na,21914.285714285714
Na,Mg,39277142.85714285
Na,Al,277468571.4285714
Na,P,1769999.9999999998
Na,S,1770000.0
Na,Cl,733285.7142857142
Na,K,105694285.7142857
Na,Ca,419742857.1428571
Na,Ti,18745142.857142854
Na,Mn,3202857.1428571427
Na,Fe,379622857.14285713
Na,Cu,202285.71428571426
Na,As,9102.857142857143
Na,Nb,67428.57142857142
Na,Sb,337.1428571428571
Na,Cs,5057.142857142857
Na,Ce,112099.99999999999
Na,Ta,6742.857142857142
Na,Pb,306799.99999999994
Na,U,13654.285714285714
Mg,H,23300000.0
Mg,Be,4659.999999999999
Mg,B,33285.71428571428
Mg,C,1664285.714285714
Mg,O,9206828571.428572
Mg,F,973607.1428571428
Mg,Na,39277142.85714286
Mg,Mg,19971.428571428572
Mg,Al,273941428.57142854
Mg,Si,2815971428.5714283
Mg,S,1165000.0
Mg,Cl,723964.2857142857
Mg,K,34783571.428571425
Mg,Ca,207203571.4285714
Mg,Mn,6324285.714285714
Mg,Fe,562195714.2857143
Mg,Cu,99857.14285714286
Mg,Zn,116500.0
Mg,As,5991.428571428572
Mg,Pb,279600.0
Mg,U,4493.571428571428
Al,H,263360000.0
Al,C,4702857.142857143
Al,N,111692.85714285714
Al,O,94850749999.99998
Al,F,13755857.142857142
Al,Na,277468571.4285714
Al,Mg,273941428.57142854
Al,Al,217507.14285714284
Al,Si,21550842857.142857
Al,P,49380000.0
Al,S,18517500.0
Al,Cl,3409571.4285714286
Al,K,122862142.85714285
Al,Ca,2683567857.142857
Al,V,705428.5714285714
Al,Mn,11169285.714285715
Al,Fe,2978672142.8571424
Al,Cu,2469000.0
Al,Ga,111692.85714285714
Al,Ge,17635.714285714286
Al,As,42325.71428571428
Al,Sb,1175.7142857142858
Al,Te,11.757142857142858
Al,W,7348.214285714285
Al,Pb,3045100.0
Al,U,15872.142857142859
Si,H,958799999.9999999
Si,Be,112799.99999999999
Si,B,1007142.857142857
Si,C,32228571.428571425
Si,O,492150428571.4285
Si,F,47134285.71428571
Si,Mg,2815971428.5714283
Si,Al,21550842857.142857
Si,Si,1067571.4285714284
Si,S,49349999.99999999
Si,Cl,32127857.14285714
Si,K,1262957142.857143
Si,Ca,15882642857.142855
Si,V,4834285.714285714
Si,Cr,6163714.285714285
Si,Mn,172221428.57142854
Si,Fe,12474471428.571428
Si,Cu,8459999.999999998
Si,Zn,8460000.0
Si,Ge,30214.28571428571
Si,As,108771.42857142857
Si,Y,1329428.5714285714
Si,Zr,3323571.428571428
Si,Mo,48342.85714285714
Si,Te,20.142857142857142
Si,Ba,34242857.14285714
Si,Pb,14946000.0
Si,U,108771.42857142857
P,H,3255000.0
P,O,1279275000.0
P,F,87750.0
P,Na,1770000.0
P,Al,49380000.0
P,P,2775.0
P,S,78750.0
P,Cl,21750.0
P,Ca,12450000.0
P,V,18000.0
P,Cr,22950.0
P,Mn,71250.0
P,Fe,42225000.0
P,Cu,31500.0
P,Zn,26250.0
P,Ga,1425.0
P,Ge,112.5
P,As,540.0
P,Mo,90.0
P,Te,0.075
P,Pb,38850.0
P,Bi,1.2750000000000001
P,Th,720.0
P,U,1417.5
S,H,1995000.0
S,C,40000.0
S,N,475.0
S,O,922000000.0
S,F,43875.0
S,Na,1770000.0
S,Mg,1165000.0
S,Al,18517500.0
S,Si,49350000.0
S,P,78750.0
S,S,6825.0
S,Cl,76125.0
S,K,2612500.0
S,Ca,4150000.0
S,V,3000.0
S,Cr,2550.0
S,Mn,237500.0
S,Fe,38002500.0
S,Ni,10500.0
S,Cu,121500.0
S,Zn,17500.0
S,Ga,475.0
S,Ge,187.5
S,As,3015.0
S,Se,15.0
S,Mo,30.0
S,Rh,0.05
S,Pd,0.75
S,Ag,123.75
S,Cd,18.75
S,In,18.75
S,Sn,574.9999999999999
S,Sb,465.0
S,Te,0.45
S,I,11.25
S,Ba,10625.0
S,Ir,0.05
S,Pt,0.5
S,Au,0.30000000000000004
S,Hg,10.625
S,Tl,488.75
S,Pb,95550.0
S,Bi,15.725000000000001
Cl,H,637999.9999999999
Cl,Be,28.999999999999993
Cl,B,414.2857142857142
Cl,C,14499.999999999998
Cl,N,590.3571428571428
Cl,O,415393928.5714285
Cl,F,54530.35714285714
Cl,Na,733285.7142857142
Cl,Mg,723964.2857142857
Cl,Al,3409571.428571428
Cl,Si,32127857.14285714
Cl,P,21749.999999999996
Cl,S,76124.99999999999
Cl,Cl,1066.7857142857142
Cl,K,1515249.9999999998
Cl,Ca,2578928.571428571
Cl,V,8699.999999999998
Cl,Cr,3169.2857142857138
Cl,Mn,39357.142857142855
Cl,Fe,4664857.142857143
Cl,Cu,13671.428571428569
Cl,Zn,2174.9999999999995
Cl,As,391.5
Cl,Se,2.071428571428571
Cl,Br,24.857142857142854
Cl,Rb,932.142857142857
Cl,Y,341.7857142857142
Cl,Mo,37.28571428571428
Cl,Ag,3.1071428571428568
Cl,Cd,3.1071428571428568
Cl,Sn,23.821428571428566
Cl,Sb,18.64285714285714
Cl,Te,0.11392857142857142
Cl,I,18.642857142857142
Cl,Cs,31.07142857142857
Cl,Ba,8803.571428571428
Cl,W,12.94642857142857
Cl,Tl,8.803571428571427
Cl,Pb,14934.999999999996
Cl,Bi,0.2641071428571429
K,H,12539999.999999998
K,Be,4179.999999999999
K,B,44785.71428571428
K,N,28364.28571428571
K,O,10323107142.857141
K,F,2619964.2857142854
K,Na,105694285.7142857
K,Mg,34783571.428571425
K,Al,122862142.85714284
K,Si,1262957142.8571427
K,S,2612499.9999999995
K,Cl,1515249.9999999998
K,K,26871.42857142857
K,Ca,371721428.57142854
