from,to,weight
O,O,30733333.333333336
O,Pd,461000.0
Si,Si,18800000.0
Si,Pd,282000.0
S,S,280000.0
S,Fe,1313666666.6666667
S,Cu,4200000.000000001
S,As,42000.00000000001
S,Rh,23.333333333333336
S,Pd,4200.0
S,Ag,7000.000000000001
S,Sn,53666.66666666667
S,Te,46.66666666666667
S,Pt,350.00000000000006
S,Pb,653333.3333333334
S,Bi,595.0000000000001
Fe,S,1313666666.6666667
Fe,Fe,3753333.3333333335
Fe,Cu,225200000.0
Fe,Pd,56300.0
Fe,Sn,8632666.666666666
Fe,Te,3753.3333333333335
Fe,Pt,18766.666666666668
Ni,Ni,22400.0
Ni,As,30240.0
Ni,Pd,336.0
Ni,Te,5.6000000000000005
Cu,S,4200000.000000001
Cu,Fe,225200000.00000003
Cu,Cu,48000.00000000001
Cu,Zn,280000.00000000006
Cu,Se,400.00000000000006
Cu,Pd,720.0000000000001
Cu,Sn,46000.0
Cu,Te,8.000000000000002
Cu,Pt,60.000000000000014
Cu,Bi,68.00000000000001
Zn,Cu,280000.0
Zn,Zn,4666.666666666667
Zn,Pd,70.0
Ge,Ge,200.0
Ge,Pd,3.0
As,S,42000.00000000001
As,Ni,30240.000000000007
As,As,2280.0000000000005
As,Se,6.000000000000001
As,Rh,0.3600000000000001
As,Pd,34.2
As,In,30.000000000000004
As,Sn,276.0
As,Sb,96.00000000000001
As,Te,0.12000000000000002
As,Pt,0.6000000000000001
As,Hg,10.200000000000001
As,Bi,1.0200000000000002
Se,Cu,400.00000000000006
Se,As,6.000000000000001
Se,Se,36.66666666666667
Se,Pd,0.5500000000000002
Se,Ag,0.25000000000000006
Se,Sb,0.6666666666666669
Se,Te,0.003333333333333334
Se,Hg,0.5666666666666668
Se,Bi,0.05666666666666668
Rh,S,23.33333333333334
Rh,As,0.3600000000000001
Rh,Rh,0.20000000000000004
Rh,Pd,0.003000000000000001
Rh,Pt,0.00033333333333333343
Pd,O,461000.0
Pd,Si,282000.0
Pd,S,4200.0
Pd,Fe,56300.0
Pd,Ni,336.0
Pd,Cu,720.0
Pd,Zn,70.0
Pd,Ge,3.0
Pd,As,34.2
Pd,Se,0.55
Pd,Rh,0.003
Pd,Pd,82.0
Pd,Ag,0.6749999999999999
Pd,In,0.25
Pd,Sn,25.299999999999997
Pd,Sb,2.2
Pd,Te,0.017
Pd,Pt,0.035
Pd,Hg,0.42500000000000004
Pd,Tl,0.85
Pd,Pb,112.0
Pd,Bi,0.11050000000000001
Ag,S,7000.0
Ag,Se,0.25
Ag,Pd,0.6749999999999999
Ag,Ag,45.0
Ag,Te,0.015
Ag,Pb,140.0
Ag,Bi,0.085
In,As,30.000000000000004
In,Pd,0.25
In,In,16.666666666666668
Sn,S,53666.66666666667
Sn,Fe,8632666.666666668
Sn,Cu,46000.0
Sn,As,276.0
Sn,Pd,25.300000000000004
