from,to,weight
H,H,152.17391304347828
H,C,30434.782608695656
H,O,70152173.91304348
H,La,5934.782608695653
H,Pr,1400.0
H,Nd,6315.217391304349
H,Sm,1072.8260869565217
C,H,30434.782608695652
C,C,21.73913043478261
C,O,10021739.130434783
C,La,847.8260869565217
C,Pr,200.0
C,Nd,902.1739130434783
C,Sm,153.2608695652174
O,H,70152173.91304348
O,C,10021739.130434783
O,O,100217.39130434784
O,Na,1182565217.3913045
O,Si,14130652173.913046
O,P,52614130.43478262
O,Ca,2079510869.5652177
O,La,3908478.260869566
O,Ce,3332228.2608695654
O,Pr,922000.0
O,Nd,4159021.7391304355
O,Sm,353266.3043478261
O,Th,481043.4782608696
Na,O,1182565217.3913045
Na,Na,2565.217391304348
Na,Si,723391304.3478261
Na,P,2693478.2608695654
Na,Ca,106456521.73913044
Na,La,100043.47826086957
Na,Ce,170586.95652173914
Na,Pr,23600.0
Na,Nd,106456.52173913045
Na,Th,24626.08695652174
Si,O,14130652173.913044
Si,Na,723391304.3478261
Si,Si,30652.17391304348
Si,P,32184782.608695652
Si,Ca,1272065217.3913045
Si,La,1195434.7826086958
Si,Ce,2038369.5652173914
Si,Pr,282000.0
Si,Nd,1272065.2173913044
Si,Th,294260.8695652174
P,O,52614130.43478261
P,Na,2693478.2608695654
P,Si,32184782.608695652
P,P,114.1304347826087
P,Ca,4736413.043478261
P,La,4451.086956521739
P,Ce,7589.673913043479
P,Pr,1050.0
P,Nd,4736.413043478261
P,Th,1095.6521739130435
Ca,O,2079510869.5652177
Ca,Na,106456521.73913045
Ca,Si,1272065217.3913045
Ca,P,4736413.043478262
Ca,Ca,4510.869565217392
Ca,La,175923.91304347827
Ca,Ce,299972.82608695654
Ca,Pr,41500.0
Ca,Nd,187201.08695652176
Ca,Th,43304.34782608696
La,H,5934.782608695653
La,C,847.8260869565219
La,O,3908478.260869566
La,Na,100043.47826086958
La,Si,1195434.7826086958
La,P,4451.08695652174
La,Ca,175923.9130434783
La,La,8.478260869565219
La,Ce,281.9021739130435
