from,to,weight
S,S,1190000.0
S,Fe,11823000000.0
S,Ni,11760000.0
S,Cu,37800000.0
S,As,504000.0
S,Se,3500.0
S,Ru,70.0
S,Rh,420.0
S,Pd,3150.0
S,Sn,322000.0
S,Te,70.0
S,Ir,420.0
S,Pt,5950.0
S,Pb,3920000.0
S,Bi,1190.0
Fe,S,11823000000.0
Fe,Fe,90080000.0
Fe,Ni,2837520000.0
Fe,Cu,2702400000.0
Fe,Rh,11260.0
Fe,Pd,168900.0
Fe,Sn,25897999.999999996
Fe,Te,11260.0
Fe,Ir,11260.0
Fe,Pt,450400.0
Fe,Pb,157640000.0
Ni,S,11760000.0
Ni,Fe,2837520000.0
Ni,Ni,50400.0
Ni,Cu,2016000.0
Ni,Rh,16.8
Ni,Ir,16.8
Ni,Pt,252.0
Ni,Pb,235200.0
Cu,S,37800000.0
Cu,Fe,2702400000.0
Cu,Ni,2016000.0
Cu,Cu,192000.0
Cu,As,21600.0
Cu,Rh,36.0
Cu,Pd,540.0
Cu,Sn,82799.99999999999
Cu,Te,12.0
Cu,Ir,48.0
Cu,Pt,960.0
Cu,Pb,504000.0
Cu,Bi,102.00000000000001
As,S,504000.0
As,Cu,21600.0
As,As,1800.0
As,Ru,0.36
As,Rh,0.72
As,Pd,5.3999999999999995
As,Ir,0.36
As,Pt,9.0
Se,S,3500.0
Se,Se,40.0
Se,Pt,0.2
Se,Hg,0.8500000000000001
Se,Pb,140.0
Se,Bi,0.085
Ru,S,70.0
Ru,As,0.36000000000000004
Ru,Ru,0.2
Ru,Rh,0.0002
Ru,Ir,0.0002
Ru,Pt,0.001
Rh,S,420.0
Rh,Fe,11260.0
Rh,Ni,16.8
Rh,Cu,36.0
Rh,As,0.7200000000000001
Rh,Ru,0.0002
Rh,Rh,1.4000000000000001
Rh,Pd,0.003
Rh,Ir,0.0008
Rh,Pt,0.007
Rh,Pb,2.8000000000000003
Pd,S,3150.0
Pd,Fe,168900.0
Pd,Cu,540.0
Pd,As,5.4
Pd,Rh,0.003
Pd,Pd,21.0
Pd,Sn,27.599999999999998
Pd,Te,0.003
Pd,Pt,0.105
In,In,100.0
In,Pt,0.5
Sn,S,321999.99999999994
Sn,Fe,25897999.999999996
Sn,Cu,82799.99999999999
Sn,Pd,27.599999999999994
Sn,Sn,2759.9999999999995
Sn,Te,0.45999999999999996
Sn,Pt,13.799999999999999
Sb,Sb,160.0
Sb,Pt,0.8
Sb,Bi,0.34
Te,S,70.0
Te,Fe,11260.0
Te,Cu,12.0
Te,Pd,0.003
Te,Sn,0.45999999999999996
Te,Te,0.8
Te,Pt,0.004
Te,Bi,0.0034000000000000002
Ir,S,420.0
Ir,Fe,11260.0
Ir,Ni,16.8
Ir,Cu,48.0
Ir,As,0.36000000000000004
Ir,Ru,0.0002
Ir,Rh,0.0008
Ir,Ir,1.2000000000000002
Ir,Pt,0.006
Ir,Pb,5.6000000000000005
Pt,S,5950.0
Pt,Fe,450400.0
Pt,Ni,252.0
Pt,Cu,960.0
Pt,As,9.0
Pt,Se,0.2
Pt,Ru,0.001
Pt,Rh,0.007
Pt,Pd,0.105
Pt,In,0.5
Pt,Sn,13.799999999999999
Pt,Sb,0.8
Pt,Te,0.004
Pt,Ir,0.006
Pt,Pt,48.0
Pt,Hg,0.085
Pt,Pb,70.0
Pt,Bi,0.051000000000000004
Hg,Se,0.8500000000000001
Hg,Pt,0.085
Hg,Hg,17.0
Pb,S,3920000.0
Pb,Fe,157640000.0
Pb,Ni,235200.0
Pb,Cu,504000.0
Pb,Se,140.0
Pb,Rh,2.8000000000000003
Pb,Ir,5.6000000000000005
Pb,Pt,70.0
Pb,Pb,14000.0
Pb,Bi,23.8
Bi,S,1190.0000000000002
Bi,Cu,102.00000000000001
Bi,Se,0.08500000000000002
Bi,Sb,0.3400000000000001
Bi,Te,0.0034000000000000002
Bi,Pt,0.051000000000000004
Bi,Pb,23.800000000000004
Bi,Bi,10.200000000000001
S,S,1190000.0
Fe,S,11823000000.0
Ni,S,11760000.0
Cu,S,37800000.0
As,S,504000.0
Se,S,3500.0
Ru,S,70.0
Rh,S,420.0
Pd,S,3150.0
Sn,S,322000.0
Te,S,70.0
Ir,S,420.0
Pt,S,5950.0
Pb,S,3920000.0
Bi,S,1190.0
S,Fe,11823000000.0
Fe,Fe,90080000.0
Ni,Fe,2837520000.0
Cu,Fe,2702400000.0
Rh,Fe,11260.0
Pd,Fe,168900.0
Sn,Fe,25897999.999999996
Te,Fe,11260.0
Ir,Fe,11260.0
Pt,Fe,450400.0
Pb,Fe,157640000.0
S,Ni,11760000.0
Fe,Ni,2837520000.0
Ni,Ni,50400.0
Cu,Ni,2016000.0
Rh,Ni,16.8
Ir,Ni,16.8
Pt,Ni,252.0
Pb,Ni,235200.0
S,Cu,37800000.0
Fe,Cu,2702400000.0
Ni,Cu,2016000.0
Cu,Cu,192000.0
As,Cu,21600.0
Rh,Cu,36.0
Pd,Cu,540.0
Sn,Cu,82799.99999999999
Te,Cu,12.0
Ir,Cu,48.0
Pt,Cu,960.0
Pb,Cu,504000.0
Bi,Cu,102.00000000000001
S,As,504000.0
Cu,As,21600.0
As,As,1800.0
Ru,As,0.36
Rh,As,0.72
Pd,As,5.3999999999999995
Ir,As,0.36
Pt,As,9.0
S,Se,3500.0
Se,Se,40.0
Pt,Se,0.2
Hg,Se,0.8500000000000001
Pb,Se,140.0
Bi,Se,0.085
S,Ru,70.0
As,Ru,0.36000000000000004
Ru,Ru,0.2
Rh,Ru,0.0002
Ir,Ru,0.0002
Pt,Ru,0.001
S,Rh,420.0
Fe,Rh,11260.0
Ni,Rh,16.8
Cu,Rh,36.0
As,Rh,0.7200000000000001
Ru,Rh,0.0002
Rh,Rh,1.4000000000000001
Pd,Rh,0.003
Ir,Rh,0.0008
Pt,Rh,0.007
Pb,Rh,2.8000000000000003
S,Pd,3150.0
Fe,Pd,168900.0
Cu,Pd,540.0
As,Pd,5.4
Rh,Pd,0.003
Pd,Pd,21.0
Sn,Pd,27.599999999999998
Te,Pd,0.003
Pt,Pd,0.105
In,In,100.0
Pt,In,0.5
S,Sn,321999.99999999994
Fe,Sn,25897999.999999996
Cu,Sn,82799.99999999999
Pd,Sn,27.599999999999994
Sn,Sn,2759.9999999999995
Te,Sn,0.45999999999999996
Pt,Sn,13.799999999999999
Sb,Sb,160.0
Pt,Sb,0.8
Bi,Sb,0.34
S,Te,70.0
Fe,Te,11260.0
Cu,Te,12.0
Pd,Te,0.003
Sn,Te,0.45999999999999996
Te,Te,0.8
Pt,Te,0.004
Bi,Te,0.0034000000000000002
S,Ir,420.0
Fe,Ir,11260.0
Ni,Ir,16.8
Cu,Ir,48.0
As,Ir,0.36000000000000004
Ru,Ir,0.0002
Rh,Ir,0.0008
Ir,Ir,1.2000000000000002
Pt,Ir,0.006
Pb,Ir,5.6000000000000005
S,Pt,5950.0
Fe,Pt,450400.0
Ni,Pt,252.0
Cu,Pt,960.0
As,Pt,9.0
Se,Pt,0.2
Ru,Pt,0.001
Rh,Pt,0.007
Pd,Pt,0.105
In,Pt,0.5
Sn,Pt,13.799999999999999
Sb,Pt,0.8
Te,Pt,0.004
Ir,Pt,0.006
Pt,Pt,48.0
Hg,Pt,0.085
Pb,Pt,70.0
Bi,Pt,0.051000000000000004
Se,Hg,0.8500000000000001
Pt,Hg,0.085
Hg,Hg,17.0
S,Pb,3920000.0
Fe,Pb,157640000.0
Ni,Pb,235200.0
Cu,Pb,504000.0
Se,Pb,140.0
Rh,Pb,2.8000000000000003
Ir,Pb,5.6000000000000005
Pt,Pb,70.0
Pb,Pb,14000.0
Bi,Pb,23.8
S,Bi,1190.0000000000002
Cu,Bi,102.00000000000001
Se,Bi,0.08500000000000002
Sb,Bi,0.3400000000000001
Te,Bi,0.0034000000000000002
Pt,Bi,0.051000000000000004
Pb,Bi,23.800000000000004
Bi,Bi,10.200000000000001
