from,to,weight
H,H,31.11111111111111
H,Li,311.1111111111111
H,B,155.55555555555554
H,O,14342222.222222222
H,F,9100.0
H,Al,1280222.2222222222
H,Si,4386666.666666667
H,K,325111.1111111111
H,Mn,14777.777777777777
H,Rb,2800.0
Li,H,311.11111111111114
Li,Li,0.4444444444444445
Li,O,204888.8888888889
Li,F,260.0
Li,Al,36577.77777777778
Li,Si,125333.33333333334
Li,K,4644.444444444444
Li,Mn,211.11111111111111
Li,Rb,40.0
Be,Be,0.03111111111111111
Be,B,0.3111111111111111
Be,O,14342.222222222223
Be,Al,2560.4444444444443
Be,K,650.2222222222222
Be,Rb,2.8
Be,Cs,0.09333333333333332
B,H,155.55555555555557
B,Be,0.3111111111111111
B,B,0.22222222222222224
B,O,102444.44444444445
B,Al,9144.444444444445
B,K,2322.222222222222
B,Rb,20.0
B,Cs,0.33333333333333337
O,H,14342222.222222224
O,Li,204888.8888888889
O,Be,14342.222222222223
O,B,102444.44444444445
O,O,30733.333333333336
O,F,5993000.000000001
O,Al,1686235555.5555556
O,Si,4333400000.0
O,Cl,742722.2222222222
O,K,321163333.3333334
O,V,614666.6666666667
O,Mn,4866111.111111112
O,Cu,307333.3333333334
O,As,9220.000000000002
O,Rb,2766000.0000000005
O,Cs,30733.333333333336
O,Pb,71711.11111111112
F,H,9100.0
F,Li,260.0
F,O,5993000.0
F,F,13.0
F,Al,1069900.0
F,Si,3666000.0
F,K,135850.0
F,Mn,6175.0
F,Rb,1170.0
Al,H,1280222.2222222222
Al,Li,36577.77777777778
Al,Be,2560.4444444444443
Al,B,9144.444444444445
Al,O,1686235555.5555556
Al,F,1069900.0
Al,Al,3657.777777777778
Al,Si,773620000.0
Al,K,38223777.777777776
Al,Mn,868722.2222222222
Al,Rb,329200.0
Al,Cs,2743.3333333333335
Si,H,4386666.666666667
Si,Li,125333.33333333334
Si,O,4333400000.0
Si,F,3666000.0
Si,Al,773620000.0
Si,Si,9400.0
Si,K,65486666.66666667
Si,Mn,2976666.666666667
Si,Rb,846000.0
Cl,O,742722.2222222222
Cl,Cl,1.6111111111111112
Cl,K,33672.222222222226
Cl,V,193.33333333333334
Cl,Cu,96.66666666666667
Cl,As,2.9000000000000004
Cl,Rb,145.0
Cl,Cs,4.833333333333334
Cl,Pb,22.555555555555557
K,H,325111.1111111111
K,Li,4644.444444444444
K,Be,650.2222222222222
K,B,2322.222222222222
K,O,321163333.3333334
K,F,135850.0
K,Al,38223777.777777776
K,Si,65486666.66666667
K,Cl,33672.222222222226
K,K,696.6666666666667
K,V,27866.666666666668
K,Mn,220611.11111111112
K,Cu,13933.333333333334
K,As,418.0
K,Rb,62700.0
K,Cs,1393.3333333333335
K,Pb,3251.1111111111113
V,O,614666.6666666667
V,Cl,193.33333333333334
V,K,27866.66666666667
V,V,1.3333333333333335
V,Cu,80.00000000000001
V,As,2.4000000000000004
V,Rb,120.00000000000001
V,Cs,4.0
V,Pb,18.666666666666668
Mn,H,14777.777777777777
Mn,Li,211.11111111111111
Mn,O,4866111.111111111
Mn,F,6175.0
Mn,Al,868722.2222222222
Mn,Si,2976666.6666666665
Mn,K,220611.1111111111
Mn,Mn,10.555555555555555
Mn,Rb,950.0
Cu,O,307333.3333333334
Cu,Cl,96.66666666666667
Cu,K,13933.333333333336
Cu,V,80.00000000000001
Cu,Cu,0.6666666666666667
Cu,As,1.2000000000000002
Cu,Rb,60.00000000000001
Cu,Cs,2.0
Cu,Pb,9.333333333333334
As,O,9220.0
As,Cl,2.9
As,K,418.0
As,V,2.4
As,Cu,1.2
As,As,0.02
As,Rb,1.8
As,Cs,0.06
As,Pb,0.28
Rb,H,2800.0
Rb,Li,40.0
Rb,Be,2.8
