from,to,weight
S,S,1000000.0000000001
S,Fe,28150000000.000004
S,Cu,30000000.000000004
S,Mo,600000.0
S,Re,700.0000000000001
Fe,S,28150000000.0
Fe,Fe,80428571.42857143
Fe,Cu,4825714285.714286
Fe,Mo,96514285.71428572
Fe,Re,56300.0
Cu,S,30000000.000000004
Cu,Fe,4825714285.714286
Cu,Cu,85714.28571428572
Cu,Mo,102857.14285714287
Cu,Re,60.00000000000001
Mo,S,600000.0
Mo,Fe,96514285.71428572
Mo,Cu,102857.14285714287
Mo,Mo,1714.2857142857144
Mo,Re,1.2000000000000002
Re,S,700.0
Re,Fe,56300.0
Re,Cu,60.0
Re,Mo,1.2
Re,Re,2.0
S,S,1000000.0000000001
Fe,S,28150000000.000004
Cu,S,30000000.000000004
Mo,S,600000.0
Re,S,700.0000000000001
S,Fe,28150000000.0
Fe,Fe,80428571.42857143
Cu,Fe,4825714285.714286
Mo,Fe,96514285.71428572
Re,Fe,56300.0
S,Cu,30000000.000000004
Fe,Cu,4825714285.714286
Cu,Cu,85714.28571428572
Mo,Cu,102857.14285714287
Re,Cu,60.00000000000001
S,Mo,600000.0
Fe,Mo,96514285.71428572
Cu,Mo,102857.14285714287
Mo,Mo,1714.2857142857144
Re,Mo,1.2000000000000002
S,Re,700.0
Fe,Re,56300.0
Cu,Re,60.0
Mo,Re,1.2
Re,Re,2.0
