from,to,weight
S,S,4900000.0
S,Fe,59115000000.0
S,Ni,88200000.0
S,Cu,84000000.0
S,As,1260000.0
S,Ru,350.0
S,Rh,4900.0
S,Pd,5250.0
S,Sb,70000.0
S,Ir,1400.0
S,Pt,10500.0
S,Pb,9800000.0
Fe,S,59115000000.0
Fe,Fe,168900000.0
Fe,Ni,4729200000.0
Fe,Cu,6756000000.0
Fe,Rh,168900.0
Fe,Ir,56300.0
Fe,Pt,281500.0
Ni,S,88200000.0
Ni,Fe,4729200000.0
Ni,Ni,336000.0
Ni,Cu,5040000.0
Ni,As,151200.0
Ni,Rh,336.0
Ni,Ir,84.0
Ni,Pt,420.0
Cu,S,84000000.0
Cu,Fe,6756000000.0
Cu,Ni,5040000.0
Cu,Cu,360000.0
Cu,Ge,90000.0
Cu,Rh,360.0
Cu,Sb,12000.0
Cu,Ir,180.0
Cu,Pt,900.0
Cu,Pb,840000.0
Ge,Cu,90000.0
Ge,Ge,1500.0
Ge,Rh,1.5
As,S,1260000.0
As,Ni,151200.0
As,As,12600.0
As,Ru,1.8
As,Rh,12.6
As,Pd,81.0
As,Ir,1.8
As,Pt,18.0
Se,Se,50.0
Se,Rh,0.05
Ru,S,350.0
Ru,As,1.8
Ru,Ru,1.0
Ru,Rh,0.001
Ru,Ir,0.001
Ru,Pt,0.005
Rh,S,4900.0
Rh,Fe,168900.0
Rh,Ni,336.0
Rh,Cu,360.0
Rh,Ge,1.5
Rh,As,12.6
Rh,Se,0.05
Rh,Ru,0.001
Rh,Rh,24.0
Rh,Pd,0.045
Rh,Sb,0.6000000000000001
Rh,Ir,0.005
Rh,Pt,0.035
Rh,Pb,28.0
Pd,S,5250.0
Pd,As,81.0
Pd,Rh,0.045
Pd,Pd,45.0
Pd,Pt,0.075
Sb,S,70000.0
Sb,Cu,12000.0
Sb,Rh,0.6000000000000001
Sb,Sb,600.0
Sb,Ir,0.2
Ir,S,1400.0
Ir,Fe,56300.0
Ir,Ni,84.0
Ir,Cu,180.0
Ir,As,1.8
Ir,Ru,0.001
Ir,Rh,0.005
Ir,Sb,0.2
Ir,Ir,5.0
Ir,Pt,0.02
Ir,Pb,14.0
Pt,S,10500.0
Pt,Fe,281500.0
Pt,Ni,420.0
Pt,Cu,900.0
Pt,As,18.0
Pt,Ru,0.005
Pt,Rh,0.035
Pt,Pd,0.075
Pt,Ir,0.02
Pt,Pt,35.0
Pt,Pb,70.0
Pb,S,9800000.0
Pb,Cu,840000.0
Pb,Rh,28.0
Pb,Ir,14.0
Pb,Pt,70.0
Pb,Pb,28000.0
S,S,4900000.0
Fe,S,59115000000.0
Ni,S,88200000.0
Cu,S,84000000.0
As,S,1260000.0
Ru,S,350.0
Rh,S,4900.0
Pd,S,5250.0
Sb,S,70000.0
Ir,S,1400.0
Pt,S,10500.0
Pb,S,9800000.0
S,Fe,59115000000.0
Fe,Fe,168900000.0
Ni,Fe,4729200000.0
Cu,Fe,6756000000.0
Rh,Fe,168900.0
Ir,Fe,56300.0
Pt,Fe,281500.0
S,Ni,88200000.0
Fe,Ni,4729200000.0
Ni,Ni,336000.0
Cu,Ni,5040000.0
As,Ni,151200.0
Rh,Ni,336.0
Ir,Ni,84.0
Pt,Ni,420.0
S,Cu,84000000.0
Fe,Cu,6756000000.0
Ni,Cu,5040000.0
Cu,Cu,360000.0
Ge,Cu,90000.0
Rh,Cu,360.0
Sb,Cu,12000.0
Ir,Cu,180.0
Pt,Cu,900.0
Pb,Cu,840000.0
Cu,Ge,90000.0
Ge,Ge,1500.0
Rh,Ge,1.5
S,As,1260000.0
Ni,As,151200.0
As,As,12600.0
Ru,As,1.8
Rh,As,12.6
Pd,As,81.0
Ir,As,1.8
Pt,As,18.0
Se,Se,50.0
Rh,Se,0.05
S,Ru,350.0
As,Ru,1.8
Ru,Ru,1.0
Rh,Ru,0.001
Ir,Ru,0.001
Pt,Ru,0.005
S,Rh,4900.0
Fe,Rh,168900.0
Ni,Rh,336.0
Cu,Rh,360.0
Ge,Rh,1.5
As,Rh,12.6
Se,Rh,0.05
Ru,Rh,0.001
Rh,Rh,24.0
Pd,Rh,0.045
Sb,Rh,0.6000000000000001
Ir,Rh,0.005
Pt,Rh,0.035
Pb,Rh,28.0
S,Pd,5250.0
As,Pd,81.0
Rh,Pd,0.045
Pd,Pd,45.0
Pt,Pd,0.075
S,Sb,70000.0
Cu,Sb,12000.0
Rh,Sb,0.6000000000000001
Sb,Sb,600.0
Ir,Sb,0.2
S,Ir,1400.0
Fe,Ir,56300.0
Ni,Ir,84.0
Cu,Ir,180.0
As,Ir,1.8
Ru,Ir,0.001
Rh,Ir,0.005
Sb,Ir,0.2
Ir,Ir,5.0
Pt,Ir,0.02
Pb,Ir,14.0
S,Pt,10500.0
Fe,Pt,281500.0
Ni,Pt,420.0
Cu,Pt,900.0
As,Pt,18.0
Ru,Pt,0.005
Rh,Pt,0.035
Pd,Pt,0.075
Ir,Pt,0.02
Pt,Pt,35.0
Pb,Pt,70.0
S,Pb,9800000.0
Cu,Pb,840000.0
Rh,Pb,28.0
Ir,Pb,14.0
Pt,Pb,70.0
Pb,Pb,28000.0
