from,to,weight
S,S,1400000.0
S,As,1890000.0
S,Ru,1400.0
S,Rh,350.0
S,Os,1050.0
S,Ir,350.0
S,Pt,1750.0
Fe,Fe,112600000.0
Fe,Mo,67560000.0
Fe,Ru,112600.0
Fe,Os,168900.0
Fe,Ir,112600.0
Ni,Ni,84000.0
Ni,As,151200.0
Ni,Ru,84.0
As,S,1890000.0
As,Ni,151200.0
As,As,12600.0
As,Ru,12.6
As,Rh,1.8
As,Os,10.8
As,Ir,3.6
As,Pt,9.0
Se,Se,50.0
Se,Ru,0.05
Mo,Fe,67560000.0
Mo,Mo,1200.0
Mo,Ru,1.2
Mo,Os,1.8
Mo,Ir,1.2
Ru,S,1400.0
Ru,Fe,112600.0
Ru,Ni,84.0
Ru,As,12.6
Ru,Se,0.05
Ru,Mo,1.2
Ru,Ru,15.0
Ru,Rh,0.001
Ru,Os,0.0135
Ru,Ir,0.008
Ru,Pt,0.005
Rh,S,350.0
Rh,As,1.8
Rh,Ru,0.001
Rh,Rh,1.0
Rh,Ir,0.001
Rh,Pt,0.005
Os,S,1050.0
Os,Fe,168900.0
Os,As,10.8
Os,Mo,1.7999999999999998
Os,Ru,0.0135
Os,Os,13.5
Os,Ir,0.0075
Ir,S,350.0
Ir,Fe,112600.0
Ir,As,3.6
Ir,Mo,1.2
Ir,Ru,0.008
Ir,Rh,0.001
Ir,Os,0.0075
Ir,Ir,8.0
Ir,Pt,0.005
Pt,S,1750.0
Pt,As,9.0
Pt,Ru,0.005
Pt,Rh,0.005
Pt,Ir,0.005
Pt,Pt,5.0
S,S,1400000.0
As,S,1890000.0
Ru,S,1400.0
Rh,S,350.0
Os,S,1050.0
Ir,S,350.0
Pt,S,1750.0
Fe,Fe,112600000.0
Mo,Fe,67560000.0
Ru,Fe,112600.0
Os,Fe,168900.0
Ir,Fe,112600.0
Ni,Ni,84000.0
As,Ni,151200.0
Ru,Ni,84.0
S,As,1890000.0
Ni,As,151200.0
As,As,12600.0
Ru,As,12.6
Rh,As,1.8
Os,As,10.8
Ir,As,3.6
Pt,As,9.0
Se,Se,50.0
Ru,Se,0.05
Fe,Mo,67560000.0
Mo,Mo,1200.0
Ru,Mo,1.2
Os,Mo,1.8
Ir,Mo,1.2
S,Ru,1400.0
Fe,Ru,112600.0
Ni,Ru,84.0
As,Ru,12.6
Se,Ru,0.05
Mo,Ru,1.2
Ru,Ru,15.0
Rh,Ru,0.001
Os,Ru,0.0135
Ir,Ru,0.008
Pt,Ru,0.005
S,Rh,350.0
As,Rh,1.8
Ru,Rh,0.001
Rh,Rh,1.0
Ir,Rh,0.001
Pt,Rh,0.005
S,Os,1050.0
Fe,Os,168900.0
As,Os,10.8
Mo,Os,1.7999999999999998
Ru,Os,0.0135
Os,Os,13.5
Ir,Os,0.0075
S,Ir,350.0
Fe,Ir,112600.0
As,Ir,3.6
Mo,Ir,1.2
Ru,Ir,0.008
Rh,Ir,0.001
Os,Ir,0.0075
Ir,Ir,8.0
Pt,Ir,0.005
S,Pt,1750.0
As,Pt,9.0
Ru,Pt,0.005
Rh,Pt,0.005
Ir,Pt,0.005
Pt,Pt,5.0
