from,to,weight
H,H,2212.0
H,Li,80.0
H,B,360.0
H,C,28800.0
H,N,4180.0
H,O,1019732000.0
H,F,65520.0
H,Na,10289600.0
H,Mg,6337600.0
H,Al,49709200.0
H,Si,48504000.0
H,P,113400.0
H,S,774200.0
H,Cl,20880.0
H,K,5768400.0
H,Ca,16434000.0
H,Ti,66720.0
H,V,5760.0
H,Cr,2448.0
H,Mn,106400.0
H,Fe,30176800.0
H,Co,1200.0
H,Ni,7056.0
H,Cu,23040.0
H,Zn,16240.0
H,Ga,76.0
H,Ge,24.0
H,As,165.6
H,Se,0.6000000000000001
H,Br,9.6
H,Sr,7400.0
H,Y,1056.0
H,Zr,660.0
H,Nb,240.0
H,Mo,33.6
H,Ag,0.3
H,Cd,4.8
H,Sn,9.2
H,Sb,8.0
H,Te,0.036000000000000004
H,I,3.6
H,Ba,10200.0
H,La,468.0
H,Ce,1330.0
H,Nd,830.0
H,Gd,24.8
H,Dy,20.8
H,W,5.0
H,Hg,1.36
H,Tl,13.6
H,Pb,3192.0
H,Bi,0.136
H,Th,38.4
H,U,669.6
Li,H,80.0
Li,Li,0.05714285714285714
Li,O,26342.85714285714
Li,Na,1348.5714285714284
Li,S,20.0
Li,K,1194.2857142857142
Li,U,0.1542857142857143
Be,Be,0.024
Be,O,11064.0
Be,Si,6768.0
Be,S,8.4
Be,Mn,7.6000000000000005
Be,Fe,450.40000000000003
Be,Zn,0.56
B,H,360.0
B,B,0.2571428571428571
B,O,118542.85714285713
B,F,33.42857142857143
B,Na,2022.8571428571427
B,Mg,665.7142857142857
B,Al,7054.285714285715
B,Si,24171.428571428572
B,S,90.0
B,Cl,8.285714285714285
B,K,597.1428571428571
B,Ca,9485.714285714286
B,Fe,3217.142857142857
B,Sr,10.571428571428571
C,H,28800.0
C,C,26.857142857142854
C,N,21.71428571428571
C,O,12381142.857142856
C,F,1002.8571428571429
C,Na,229257.14285714284
C,Mg,106514.28571428571
C,Al,564342.8571428572
C,Si,1772571.4285714284
C,P,1200.0
C,S,9400.0
C,Cl,497.1428571428571
C,K,47771.428571428565
C,Ca,332000.0
C,Cr,58.285714285714285
C,Mn,3799.9999999999995
C,Fe,128685.71428571428
C,Co,14.285714285714285
C,Ni,48.0
C,Cu,171.42857142857142
C,Zn,160.0
C,Ge,0.8571428571428571
C,As,1.0285714285714285
C,Sr,211.42857142857142
C,Y,56.57142857142857
C,Ba,242.85714285714283
C,La,66.85714285714286
C,Ce,114.0
C,Nd,71.14285714285714
C,Gd,3.5428571428571427
C,Dy,2.9714285714285715
C,Pb,64.0
C,U,3.085714285714286
N,H,4180.0
N,C,21.714285714285715
N,N,2.9857142857142858
N,O,1376414.2857142857
N,F,31.757142857142856
N,Na,20498.285714285714
N,Mg,5059.428571428572
N,Al,53612.57142857142
N,S,1045.0
N,Cl,55.099999999999994
N,K,10211.142857142855
N,Ca,4505.714285714285
N,V,6.514285714285714
N,Mn,51.57142857142857
N,Fe,48900.57142857143
N,Co,1.3571428571428572
N,Ni,18.24
N,Cu,9.771428571428572
N,Zn,3.8
N,As,0.09771428571428571
N,Br,0.13028571428571428
N,Mo,0.13028571428571428
N,Sb,0.010857142857142857
N,I,0.024428571428571428
N,Hg,0.01845714285714286
N,Pb,0.76
N,Bi,0.00046142857142857145
N,U,1.3191428571428572
O,H,1019732000.0
O,Li,26342.85714285714
O,Be,11063.999999999998
O,B,118542.85714285713
O,C,12381142.857142856
O,N,1376414.2857142857
O,O,910145.7142857143
O,F,32362199.999999996
O,Na,5160038857.142858
O,Mg,2455154285.714286
O,Al,18536546571.42857
O,Si,25257531428.57143
O,P,41490000.0
O,S,318551000.0
O,Cl,12605057.142857144
O,K,3220809428.5714283
O,Ca,7051324285.714285
O,Ti,36616571.428571425
O,V,2212800.0
O,Cr,1074788.5714285714
O,Mn,42543714.28571428
O,Fe,11049116285.714285
O,Co,395142.85714285716
O,Ni,2323440.0
O,Cu,9957599.999999998
O,Zn,5993000.0
O,Ga,25025.714285714286
O,Ge,7902.857142857143
O,As,59271.428571428565
