from,to,weight
H,H,266000.0
H,N,133000.0
H,O,122626000000.0
H,F,4095000.0
H,Na,1156400000.0
H,Mg,326200000.0
H,Al,3456600000.0
H,Si,5922000000.0
H,S,24500000.0
H,Cl,3045000.0
H,K,438900000.0
H,Ca,1743000000.0
H,Ti,155680000.0
H,V,840000.0
H,Mn,19950000.0
H,Fe,3152800000.0
H,Ni,1176000.0
H,Cu,2940000.0
H,Zn,2450000.0
H,As,176400.0
H,Sb,53200.0
H,Te,7.0
H,Ta,14000.0
H,Hg,595.0
H,Pb,392000.0
Be,Be,28.0
Be,O,12908000.0
Be,Na,330400.0
Be,Mg,326200.0
Be,Al,1152200.0
Be,Si,3948000.0
Be,Ca,581000.0
Be,Fe,788200.0
Be,Sb,5.6000000000000005
B,B,150.0
B,O,69150000.0
B,Mg,3495000.0
B,Al,4115000.0
B,Mn,142500.0
B,Fe,5630000.0
B,Sb,30.0
N,H,133000.0
N,N,95.0
N,O,43795000.0
N,S,33250.0
N,K,1985500.0
N,As,171.0
N,Sb,19.0
O,H,122626000000.0
O,Be,12908000.0
O,B,69150000.0
O,N,43795000.0
O,O,228195000.0
O,F,1348425000.0
O,Na,598378000000.0
O,Mg,483358500000.0
O,Al,1897015000000.0
O,Si,5200080000000.0
O,S,16135000000.0
O,Cl,3342250000.0
O,K,144523500000.0
O,Ca,1721835000000.0
O,Ti,64079000000.0
O,V,553200000.0
O,Mn,37225750000.0
O,Fe,3244287500000.0
O,Ni,580860000.0
O,Cu,1383000000.0
O,Zn,1129450000.0
O,As,87129000.0
O,Br,5532000.0
O,Zr,760650000.0
O,Nb,138300000.0
O,Mo,2766000.0
O,Ag,345750.0
O,Sn,10603000.0
O,Sb,45639000.0
O,Te,4610.0
O,Cs,6915000.0
O,Ta,23050000.0
O,W,5762500.0
O,Hg,391850.0
O,Pb,516320000.0
O,Bi,19592.5
F,H,4095000.0
F,O,1348425000.0
F,F,2925.0
F,Na,69030000.0
F,Ca,121387500.0
F,Sb,585.0
Na,H,1156400000.0
Na,Be,330400.0
Na,O,598378000000.0
Na,F,69030000.0
Na,Na,1298000.0
Na,S,123900000.0
Na,Cl,17110000.0
Na,K,4932400000.0
Na,Ca,4897000000.0
Na,Ti,656080000.0
Na,Cu,7080000.0
Na,As,637200.0
Na,Sb,259600.0
Na,Cs,354000.0
Na,Ta,472000.0
Na,Pb,1652000.0
Mg,H,326200000.0
Mg,Be,326200.0
Mg,B,3495000.0
Mg,O,483358500000.0
Mg,Mg,1048500.0
Mg,Al,28763850000.0
Mg,Si,65706000000.0
Mg,Ca,4834750000.0
Mg,Mn,553375000.0
Mg,Fe,32794750000.0
Mg,Zn,8155000.0
Mg,Sb,209700.0
Al,H,3456600000.0
Al,Be,1152200.0
Al,B,4115000.0
Al,O,1897015000000.0
Al,Mg,28763850000.0
Al,Al,4115000.0
Al,Si,232086000000.0
Al,S,288050000.0
Al,Cl,59667500.0
Al,Ca,34154500000.0
Al,Ti,2287940000.0
Al,V,49380000.0
Al,Mn,781850000.0
Al,Fe,92669800000.0
Al,Cu,74070000.0
Al,Zn,28805000.0
Al,As,740700.0
Al,Sn,946449.9999999999
Al,Sb,823000.0
Al,Pb,5761000.0
Si,H,5922000000.0
Si,Be,3947999.9999999995
Si,O,5200080000000.0
Si,Mg,65706000000.0
Si,Al,232086000000.0
Si,Si,11280000.0
Si,Ca,58515000000.0
Si,Mn,8037000000.0
Si,Fe,317532000000.0
Si,Zn,98700000.0
Si,As,2538000.0
Si,Sb,2256000.0
S,H,24500000.0
S,N,33250.0
S,O,16135000000.0
S,Na,123900000.0
S,Al,288050000.0
S,S,336000.0
S,Cl,1522500.0
S,K,146300000.0
S,Ca,145250000.0
S,V,630000.0
S,Cr,178500.0
S,Mn,18287500.0
S,Fe,1970500000.0
S,Co,175000.0
S,Ni,1323000.0
S,Cu,5565000.0
S,Zn,857500.0
S,As,198450.0
S,Se,87.5
S,Mo,2100.0
S,Rh,1.75
S,Ag,8925.0
S,Cd,525.0
S,In,437.5
S,Sn,32199.999999999996
S,Sb,67200.0
S,Te,8.75
S,Ir,1.75
S,Au,28.0
S,Hg,2082.5
S,Tl,50575.0
S,Pb,2278500.0
S,Bi,267.75000000000006
Cl,H,3045000.0
Cl,O,3342250000.0
Cl,Na,17110000.0
Cl,Al,59667500.0
Cl,S,1522500.0
Cl,Cl,9425.0
Cl,Ca,60175000.0
Cl,Cu,174000.0
Cl,As,5220.0
Cl,Br,1740.0
Cl,Ag,54.375
Cl,Sb,1885.0
Cl,Te,0.725
Cl,Hg,61.62500000000001
Cl,Pb,91350.0
K,H,438900000.0
K,N,1985500.0
K,O,144523500000.0
K,Na,4932400000.0
K,S,146300000.0
K,K,418000.0
K,Cu,6270000.0
K,As,188100.0
K,Sb,83600.0
K,Tl,88825.0
K,Pb,1463000.0
Ca,H,1743000000.0
Ca,Be,581000.0
Ca,O,1721835000000.0
Ca,F,121387500.0
Ca,Na,4897000000.0
Ca,Mg,4834750000.0
Ca,Al,34154500000.0
Ca,Si,58515000000.0
Ca,S,145250000.0
Ca,Cl,60175000.0
Ca,Ca,3735000.0
Ca,Ti,2307400000.0
Ca,Mn,394250000.0
Ca,Fe,58411250000.0
Ca,Cu,24900000.0
Ca,As,1494000.0
Ca,Zr,68475000.0
Ca,Sn,954499.9999999999
Ca,Sb,747000.0
Ca,Te,207.5
Ca,Ta,415000.0
Ca,Pb,2905000.0
Ti,H,155680000.0
Ti,O,64079000000.0
Ti,Na,656080000.0
Ti,Al,2287940000.0
Ti,Ca,2307400000.0
Ti,Ti,139000.0
Ti,V,3336000.0
Ti,Mn,26410000.0
Ti,Fe,3130280000.0
Ti,Cu,1668000.0
Ti,As,100080.0
Ti,Zr,4587000.0
Ti,Sb,27800.0
V,H,840000.0
V,O,553200000.0
V,Al,49380000.0
V,S,630000.0
V,Ti,3336000.0
V,V,3000.0
V,Fe,33780000.0
V,Cu,72000.0
V,As,3240.0
V,Mo,720.0
V,Sn,2760.0
V,Sb,600.0
V,Pb,8400.0
Cr,S,178500.0
Cr,Cr,510.0
Cr,Cu,30600.0
Cr,Zn,35700.0
Cr,Sb,102.0
Mn,H,19950000.0
Mn,B,142500.0
Mn,O,37225750000.0
Mn,Mg,553375000.0
Mn,Al,781850000.0
Mn,Si,8037000000.0
Mn,S,18287500.0
Mn,Ca,394250000.0
Mn,Ti,26410000.0
Mn,Mn,133000.0
Mn,Fe,2406825000.0
Mn,Cu,285000.0
Mn,Zn,332500.0
Mn,As,59850.0
Mn,Zr,783750.0
Mn,Ag,1781.25
Mn,Cd,712.5
Mn,In,1187.5
Mn,Sn,10925.0
Mn,Sb,26600.0
Mn,Hg,403.75000000000006
Mn,Tl,4037.5
Mn,Pb,465500.0
Fe,H,3152800000.0
Fe,Be,788200.0
Fe,B,5630000.0
Fe,O,3244287500000.0
Fe,Mg,32794750000.0
Fe,Al,92669800000.0
Fe,Si,317532000000.0
Fe,S,1970500000.0
Fe,Ca,58411250000.0
Fe,Ti,3130280000.0
Fe,V,33780000.0
Fe,Mn,2406825000.0
Fe,Fe,12667500.0
Fe,Ni,47292000.0
Fe,Cu,135120000.0
Fe,Zn,39410000.0
Fe,As,4560300.0
Fe,Se,14075.0
Fe,Zr,46447500.0
Fe,Ag,168900.0
Fe,Cd,42225.0
Fe,In,70375.0
Fe,Sn,3237250.0
Fe,Sb,2533500.0
