from,to,weight
H,H,509.0909090909091
H,O,234690909.0909091
H,Na,1501818.1818181819
H,Mg,4448181.818181818
H,Si,71781818.18181819
H,P,200454.54545454547
H,Ca,13204545.454545457
H,Sc,11200.0
H,Mn,60454.545454545456
H,Fe,3582727.272727273
H,As,114.54545454545456
H,Sn,146.36363636363637
H,Ba,27045.454545454548
Be,Be,0.2545454545454545
Be,O,117345.45454545453
Be,Si,71781.81818181818
Be,K,2659.9999999999995
Be,Sc,5.6
O,H,234690909.0909091
O,Be,117345.45454545454
O,O,461000.0
O,Na,989054545.4545455
O,Mg,1952963636.3636365
O,Al,5173677272.727273
O,Si,59091818181.81819
O,P,88009090.90909092
O,K,437950000.0
O,Ca,7826522727.272727
O,Sc,10142000.0
O,Ti,116507272.72727273
O,Mn,19906818.181818184
O,Fe,1179740909.0909092
O,As,37718.18181818182
O,Y,691500.0
O,Zr,6915000.0
O,Nb,838181.8181818182
O,Sn,48195.454545454544
O,Ba,8905681.818181818
O,Ta,41909.09090909091
Na,H,1501818.1818181819
Na,O,989054545.4545455
Na,Na,2145.4545454545455
Na,Mg,24994545.454545453
Na,Si,605018181.8181819
Na,Ca,44518181.81818182
Na,Sc,47200.0
Mg,H,4448181.818181818
Mg,O,1952963636.3636363
Mg,Na,24994545.454545453
Mg,Mg,4236.363636363636
Mg,Al,87163181.81818181
Mg,Si,298663636.3636363
Mg,P,2224090.9090909087
Mg,Ca,131856818.18181819
Mg,Sc,93200.0
Mg,Ti,5888545.454545454
Mg,Zr,174750.0
Mg,Ba,450113.63636363635
Al,O,5173677272.727273
Al,Mg,87163181.81818181
Al,Al,11222.727272727272
Al,Si,1054936363.6363636
Al,Ca,465743181.8181819
Al,Sc,246900.0
Al,Ti,20799454.545454547
Al,Zr,617250.0
Si,H,71781818.18181819
Si,Be,71781.81818181818
Si,O,59091818181.81818
Si,Na,605018181.8181818
Si,Mg,298663636.3636364
Si,Al,1054936363.6363636
Si,Si,128181.81818181818
Si,K,267900000.0
Si,Ca,3191727272.7272725
Si,Sc,2820000.0
Si,Mn,12177272.727272727
Si,Fe,721663636.3636364
Si,Sn,29481.81818181818
P,H,200454.54545454547
P,O,88009090.9090909
P,Mg,2224090.909090909
P,P,190.9090909090909
P,Ca,1980681.8181818181
P,Sc,4200.0
P,Ba,20284.090909090908
K,Be,2660.0
K,O,437950000.0
K,Si,267900000.0
K,K,950.0
K,Sc,20900.0
Ca,H,13204545.454545457
Ca,O,7826522727.272727
Ca,Na,44518181.81818182
Ca,Mg,131856818.18181819
Ca,Al,465743181.8181819
Ca,Si,3191727272.727273
Ca,P,1980681.8181818184
Ca,Ca,16977.272727272728
Ca,Sc,373500.0
Ca,Ti,10488181.818181818
Ca,Mn,1792045.4545454546
Ca,Fe,106202272.72727273
Ca,Zr,311250.0
Ca,Sn,4338.636363636364
Sc,H,11200.0
Sc,Be,5.6
Sc,O,10142000.0
Sc,Na,47200.0
Sc,Mg,93200.0
Sc,Al,246900.0
Sc,Si,2820000.0
Sc,P,4200.0
Sc,K,20900.0
Sc,Ca,373500.0
Sc,Sc,22.0
Sc,Ti,5560.0
Sc,Mn,950.0
Sc,Fe,56300.0
Sc,As,1.8
Sc,Y,33.0
Sc,Zr,330.0
Sc,Nb,40.0
Sc,Sn,2.3
Sc,Ba,425.0
Sc,Ta,2.0
Ti,O,116507272.72727273
Ti,Mg,5888545.454545455
Ti,Al,20799454.545454547
Ti,Ca,10488181.818181818
Ti,Sc,5560.0
Ti,Ti,252.72727272727275
Ti,Zr,41700.0
Mn,H,60454.54545454545
Mn,O,19906818.18181818
Mn,Si,12177272.727272727
Mn,Ca,1792045.4545454544
Mn,Sc,950.0
Mn,Mn,43.18181818181818
Mn,Fe,2431136.3636363633
Fe,H,3582727.2727272725
Fe,O,1179740909.090909
Fe,Si,721663636.3636364
Fe,Ca,106202272.72727272
Fe,Sc,56300.0
Fe,Mn,2431136.3636363638
Fe,Fe,2559.090909090909
As,H,114.54545454545455
As,O,37718.181818181816
As,Sc,1.8
As,As,0.08181818181818182
Y,O,691500.0
Y,Sc,33.0
Y,Y,1.5
Y,Nb,30.0
Zr,O,6915000.0
Zr,Mg,174750.0
Zr,Al,617250.0
Zr,Ca,311250.0
Zr,Sc,330.0
Zr,Ti,41700.0
Zr,Zr,15.0
Nb,O,838181.8181818182
Nb,Sc,40.0
Nb,Y,30.000000000000004
Nb,Nb,1.8181818181818183
Sn,H,146.36363636363635
Sn,O,48195.454545454544
Sn,Si,29481.81818181818
Sn,Ca,4338.636363636363
Sn,Sc,2.3
Sn,Sn,0.10454545454545454
Ba,H,27045.454545454548
Ba,O,8905681.818181818
Ba,Mg,450113.6363636364
Ba,P,20284.09090909091
Ba,Sc,425.00000000000006
Ba,Ba,19.31818181818182
Ta,O,41909.09090909091
Ta,Sc,2.0
Ta,Ta,0.09090909090909091
H,H,509.0909090909091
O,H,234690909.0909091
Na,H,1501818.1818181819
Mg,H,4448181.818181818
Si,H,71781818.18181819
P,H,200454.54545454547
Ca,H,13204545.454545457
Sc,H,11200.0
Mn,H,60454.545454545456
Fe,H,3582727.272727273
As,H,114.54545454545456
Sn,H,146.36363636363637
Ba,H,27045.454545454548
Be,Be,0.2545454545454545
O,Be,117345.45454545453
Si,Be,71781.81818181818
K,Be,2659.9999999999995
Sc,Be,5.6
H,O,234690909.0909091
Be,O,117345.45454545454
O,O,461000.0
Na,O,989054545.4545455
Mg,O,1952963636.3636365
Al,O,5173677272.727273
Si,O,59091818181.81819
P,O,88009090.90909092
K,O,437950000.0
Ca,O,7826522727.272727
Sc,O,10142000.0
Ti,O,116507272.72727273
Mn,O,19906818.181818184
Fe,O,1179740909.0909092
As,O,37718.18181818182
Y,O,691500.0
Zr,O,6915000.0
Nb,O,838181.8181818182
Sn,O,48195.454545454544
Ba,O,8905681.818181818
Ta,O,41909.09090909091
H,Na,1501818.1818181819
O,Na,989054545.4545455
Na,Na,2145.4545454545455
Mg,Na,24994545.454545453
Si,Na,605018181.8181819
Ca,Na,44518181.81818182
Sc,Na,47200.0
H,Mg,4448181.818181818
O,Mg,1952963636.3636363
Na,Mg,24994545.454545453
Mg,Mg,4236.363636363636
Al,Mg,87163181.81818181
Si,Mg,298663636.3636363
P,Mg,2224090.9090909087
Ca,Mg,131856818.18181819
Sc,Mg,93200.0
Ti,Mg,5888545.454545454
Zr,Mg,174750.0
Ba,Mg,450113.63636363635
O,Al,5173677272.727273
Mg,Al,87163181.81818181
Al,Al,11222.727272727272
Si,Al,1054936363.6363636
Ca,Al,465743181.8181819
Sc,Al,246900.0
Ti,Al,20799454.545454547
Zr,Al,617250.0
H,Si,71781818.18181819
Be,Si,71781.81818181818
O,Si,59091818181.81818
Na,Si,605018181.8181818
Mg,Si,298663636.3636364
Al,Si,1054936363.6363636
Si,Si,128181.81818181818
K,Si,267900000.0
Ca,Si,3191727272.7272725
Sc,Si,2820000.0
