from,to,weight
H,H,728000.0
H,O,335608000000.0
H,Na,1321600000.0
H,Mg,652400000.0
H,Al,9217600000.0
H,Si,7896000000.0
H,S,29400000.0
H,Cl,8120000.0
H,K,585200000.0
H,Ca,3486000000.0
H,Fe,1576400000.0
H,Co,700000.0
H,Ni,2352000.0
H,Cu,20160000.0
H,Se,36400.0
H,Te,28.0
H,I,12600.0
H,Ba,11900000.0
H,Pb,3136000.0
H,Bi,238.00000000000003
H,U,604800.0
O,H,335608000000.0
O,O,387240000.0
O,Na,652776000000.0
O,Mg,214826000000.0
O,Al,3035224000000.0
O,Si,2600040000000.0
O,S,12908000000.0
O,Cl,17379700000.0
O,K,770792000000.0
O,Ca,1147890000000.0
O,Fe,519086000000.0
O,Co,230500000.0
O,Ni,774480000.0
O,Cu,12170400000.0
O,Zn,1936200000.0
O,Se,19362000.0
O,Cd,1383000.0
O,Te,9220.0
O,I,4149000.0
O,Ba,3918500000.0
O,Pb,1807120000.0
O,Bi,156740.0
O,U,199152000.0
Na,H,1321600000.0
Na,O,652776000000.0
Na,Na,1416000.0
Na,Mg,10997600000.0
Na,Cl,68440000.0
Na,K,19729600000.0
Na,Cu,28320000.0
Na,Se,70800.0
Na,I,212400.0
Na,U,1274400.0
Mg,H,652400000.0
Mg,O,214826000000.0
Mg,Na,10997600000.0
Mg,Mg,466000.0
Mg,K,9739400000.0
Mg,Se,23300.0
Mg,I,209700.0
Al,H,9217600000.0
Al,O,3035224000000.0
Al,Al,6584000.0
Al,Si,464172000000.0
Al,Cl,238670000.0
Al,Cu,98760000.0
Al,Se,329200.0
Si,H,7896000000.0
Si,O,2600040000000.0
Si,Al,464172000000.0
Si,Si,5640000.0
Si,Se,282000.0
S,H,29400000.0
S,O,12908000000.0
S,S,147000.0
S,Ca,290500000.0
S,Fe,788200000.0
S,Cu,5040000.0
S,As,25200.0
S,Se,7350.0
S,Ag,2100.0
S,Sb,1400.0
S,Te,21.0
S,Pt,35.0
S,Au,28.0
S,Pb,1176000.0
S,Bi,714.0000000000001
Cl,H,8120000.0
Cl,O,17379700000.0
Cl,Na,68440000.0
Cl,Al,238670000.0
Cl,Cl,37700.0
Cl,K,181830000.0
Cl,Cu,1914000.0
Cl,Zn,406000.0
Cl,Se,1885.0
Cl,Cd,435.0
Cl,Pb,162400.0
Cl,Bi,24.650000000000002
K,H,585200000.0
K,O,770792000000.0
K,Na,19729600000.0
K,Mg,9739400000.0
K,Cl,181830000.0
K,K,1672000.0
K,Cu,75240000.0
K,Zn,29260000.0
K,Se,83600.0
K,Cd,62700.0
K,I,188100.0
K,Pb,5852000.0
Ca,H,3486000000.0
Ca,O,1147890000000.0
Ca,S,290500000.0
Ca,Ca,2490000.0
Ca,Cu,49800000.0
Ca,Se,124500.0
Ca,Te,830.0
Ca,Pb,11620000.0
Ca,U,2241000.0
Fe,H,1576400000.0
Fe,O,519086000000.0
Fe,S,788200000.0
Fe,Fe,10134000.0
Fe,Cu,337800000.0
Fe,As,2026800.0
Fe,Se,506700.0
Fe,Ag,84450.0
Fe,Sb,225200.0
Fe,Tl,957100.0
Co,H,700000.0
Co,O,230500000.0
Co,Co,3000.0
Co,Ni,84000.0
Co,Cu,60000.0
Co,Se,150.0
Ni,H,2352000.0
Ni,O,774480000.0
Ni,Co,84000.0
Ni,Ni,18480.0
Ni,Cu,302400.0
Ni,As,3024.0
Ni,Se,924.0
Ni,Te,1.68
Cu,H,20160000.0
Cu,O,12170400000.0
Cu,Na,28320000.0
Cu,Al,98760000.0
Cu,S,5040000.0
Cu,Cl,1914000.0
Cu,K,75240000.0
Cu,Ca,49800000.0
Cu,Fe,337800000.0
Cu,Co,60000.0
Cu,Ni,302400.0
Cu,Cu,85200.0
Cu,Zn,252000.0
Cu,As,8640.0
Cu,Se,4260.0
Cu,Pd,36.0
Cu,Ag,630.0
Cu,Cd,360.0
Cu,Sn,2760.0
Cu,Sb,2400.0
Cu,Te,4.8
Cu,Au,4.8
Cu,Hg,612.0000000000001
Cu,Tl,3060.0
Cu,Pb,336000.0
Cu,Bi,163.20000000000002
Cu,U,9720.0
Zn,O,1936200000.0
Zn,Cl,406000.0
Zn,K,29260000.0
Zn,Cu,252000.0
Zn,Zn,8400.0
Zn,As,2520.0
Zn,Se,420.0
Zn,Sb,280.0
Zn,Pb,19600.0
As,S,25200.0
As,Fe,2026800.0
As,Ni,3024.0
As,Cu,8640.0
As,Zn,2520.0
As,As,252.0
