from,to,weight
H,H,5.326950354609929
H,Li,4.76595744680851
H,Be,0.5282269503546099
H,B,4.120567375886525
H,C,48.65248226950355
H,N,0.9432624113475176
H,O,2451146.8085106383
H,F,354.3191489361702
H,Na,50614.46808510639
H,Mg,25795.248226950356
H,Al,192850.4964539007
H,Si,1502200.0
H,P,93.82978723404256
H,S,74.71631205673759
H,Cl,43.9113475177305
H,K,23449.50354609929
H,Ca,102396.09929078014
H,Sc,0.4368794326241135
H,Ti,4057.617021276596
H,V,17.872340425531913
H,Cr,6.582978723404256
H,Mn,1098.9007092198583
H,Fe,78540.49645390072
H,Co,0.12411347517730498
H,Ni,3.336170212765958
H,Cu,9.23404255319149
H,Zn,12.858156028368795
H,Ge,0.007446808510638298
H,As,0.1697872340425532
H,Se,0.00024822695035460994
H,Rb,0.4468085106382979
H,Sr,93.68085106382979
H,Y,4.4234042553191495
H,Zr,55.70212765957447
H,Nb,7.347517730496454
H,Sn,0.09134751773049644
H,Sb,0.0029787234042553193
H,Cs,0.13404255319148936
H,Ba,204.6631205673759
H,La,3.872340425531915
H,Ce,17.827659574468086
H,Nd,1.4421985815602838
H,Gd,0.030780141843971633
H,Dy,0.025815602836879434
H,Er,0.017375886524822696
H,Yb,0.04765957446808511
H,Ta,0.009929078014184398
H,W,0.031028368794326244
H,Pb,2.3631205673758866
H,Bi,4.219858156028369e-05
H,Th,0.4765957446808511
H,U,0.2814893617021277
Li,H,4.76595744680851
Li,Li,0.006170212765957446
Li,Be,0.0013900709219858156
Li,B,0.006382978723404255
Li,O,2844.4680851063827
Li,F,1.078723404255319
Li,Na,60.25531914893617
Li,Mg,24.78723404255319
Li,Al,210.12765957446808
Li,Si,1740.0
Li,K,42.98581560283688
Li,Ca,38.26241134751773
Li,Ti,6.309219858156029
Li,V,0.01702127659574468
Li,Mn,1.0106382978723405
Li,Fe,79.8581560283688
Li,Cu,0.00425531914893617
Li,Zn,0.009929078014184398
Li,Rb,0.01276595744680851
Li,Zr,0.0351063829787234
Li,Sn,0.000326241134751773
Li,Cs,0.001276595744680851
Li,Ba,0.030141843971631204
Li,La,0.0027659574468085106
Li,Ce,0.004716312056737589
Li,Nd,0.0029432624113475176
Li,Th,0.0006808510638297872
Be,H,0.5282269503546099
Be,Li,0.0013900709219858154
Be,Be,0.0007744680851063829
Be,B,0.0007943262411347516
Be,O,357.02978723404254
Be,F,0.06389361702127659
Be,Na,5.623829787234042
Be,Mg,2.313475177304964
Be,Al,22.880567375886525
Be,Si,218.39999999999998
Be,S,0.010425531914893616
Be,Cl,0.004319148936170213
Be,K,2.4902127659574465
Be,Ca,15.24609929078014
Be,Sc,0.00043687943262411344
Be,Ti,0.22082269503546098
Be,Mn,0.11319148936170212
Be,Fe,9.503120567375884
Be,Zn,0.0013900709219858154
Be,As,1.7872340425531915e-05
Be,Y,0.002948936170212766
Be,Sn,6.851063829787233e-05
Be,Sb,1.9858156028368793e-06
Be,Cs,0.00011914893617021275
Be,Ba,0.008439716312056736
Be,La,0.0007744680851063829
Be,Ce,0.0046219858156028365
Be,Nd,0.0016482269503546097
Be,Yb,3.177304964539007e-05
Be,Pb,0.0002780141843971631
Be,Th,0.0001906382978723404
Be,U,2.6808510638297873e-05
B,H,4.120567375886525
B,Li,0.006382978723404255
B,Be,0.0007943262411347517
B,B,0.00450354609929078
B,C,0.028368794326241134
B,O,2059.787234042553
B,F,0.5393617021276595
B,Na,35.98581560283688
B,Mg,28.918439716312058
B,Al,198.45390070921985
B,Si,1270.0
B,P,0.11170212765957446
B,S,0.03723404255319149
B,Cl,0.04627659574468085
B,K,8.152482269503546
B,Ca,75.0531914893617
B,Ti,1.774468085106383
B,V,0.01702127659574468
B,Cr,0.010851063829787235
B,Mn,0.5390070921985816
B,Fe,61.89007092198582
B,As,0.00019148936170212765
B,Sr,0.039361702127659576
B,Y,0.015212765957446809
B,Zr,0.011702127659574468
B,Nb,0.0021276595744680847
B,Sn,8.156028368794325e-05
B,Cs,0.00031914893617021275
B,Ba,0.22606382978723402
B,La,0.004148936170212766
B,Ce,0.030656028368794327
B,Nd,0.0014716312056737588
B,Ta,7.092198581560284e-05
B,Pb,0.0024822695035460994
B,Th,0.0010212765957446808
B,U,9.574468085106384e-05
C,H,48.65248226950355
C,B,0.028368794326241138
C,C,0.04822695035460993
C,N,0.02695035460992908
C,O,21905.67375886525
C,F,2.9042553191489366
C,Na,418.43971631205676
C,Mg,99.14893617021276
C,Al,1225.7446808510638
C,Si,13600.0
C,P,4.468085106382979
C,S,2.7304964539007095
C,Cl,0.822695035460993
C,K,103.75886524822695
C,Ca,1118.4397163120568
C,Ti,15.773049645390072
C,V,0.17021276595744683
C,Mn,4.042553191489362
C,Fe,399.290780141844
C,Cu,0.08510638297872342
C,Sr,0.2624113475177305
C,Y,0.09361702127659575
C,Zr,0.7021276595744681
C,Nb,0.056737588652482275
C,Ba,2.411347517730497
C,La,0.055319148936170216
C,Ce,0.424468085106383
C,Nd,0.058865248226950356
C,Gd,0.004397163120567376
C,Dy,0.003687943262411348
C,Er,0.0024822695035460994
C,Yb,0.002269503546099291
C,W,0.0008865248226950355
C,Pb,0.07943262411347518
C,U,0.003829787234042554
N,H,0.9432624113475176
N,C,0.02695035460992908
N,N,0.0008085106382978724
N,O,279.54255319148933
N,F,0.11824468085106382
N,Mg,1.5698581560283686
N,Al,33.270212765957446
N,Si,228.0
N,K,1.4081560283687944
N,Ca,2.7960992907801416
N,Fe,3.7932624113475177
O,H,2451146.8085106383
O,Li,2844.4680851063836
O,Be,357.02978723404254
O,B,2059.7872340425533
O,C,21905.67375886525
O,N,279.5425531914894
O,O,2636.854609929078
O,F,213261.54255319148
O,Na,23340985.81560284
O,Mg,12760054.964539008
O,Al,85029324.82269503
O,Si,743593000.0
O,P,68659.5744680851
O,S,38907.092198581566
O,Cl,22518.70567375887
O,K,11069885.10638298
O,Ca,49864015.957446806
O,Sc,359.64539007092196
O,Ti,2181412.7659574472
O,V,9023.829787234043
O,Cr,3168.148936170213
O,Mn,475222.34042553196
O,Fe,38563303.90070922
O,Co,40.86879432624114
O,Ni,1235.872340425532
O,Cu,4021.4893617021276
O,Zn,6179.3617021276605
O,Ge,2.4521276595744683
O,As,82.39148936170213
O,Se,0.08173758865248228
O,Rb,441.3829787234042
O,Sr,42944.92907801419
O,Y,3182.8617021276596
O,Zr,27512.872340425532
O,Nb,2877.163120567376
O,Mo,3.923404255319149
O,Sn,56.398936170212764
O,Sb,2.615602836879433
O,Te,0.0016347517730496456
O,Cs,88.27659574468086
O,Ba,104910.195035461
O,La,2231.4361702127662
O,Ce,9783.989361702128
O,Pr,15.039716312056736
O,Nd,881.9485815602836
O,Gd,10.135460992907802
O,Dy,8.500709219858157
O,Er,5.721631205673759
O,Yb,20.924822695035463
O,Hf,4.904255319148937
O,Ta,6.539007092198582
O,W,12.260638297872342
O,Hg,0.13895390070921987
O,Pb,1212.985815602837
O,Bi,0.041686170212765966
O,Th,282.48510638297876
O,U,101.51808510638298
F,H,354.3191489361703
F,Li,1.0787234042553193
F,Be,0.06389361702127659
F,B,0.5393617021276597
F,C,2.9042553191489366
F,N,0.11824468085106385
F,O,213261.5425531915
F,F,0.4771276595744681
F,Na,6168.638297872341
F,Mg,2513.425531914894
F,Al,10243.723404255321
F,Si,134550.00000000003
F,P,34.851063829787236
F,S,5.808510638297873
F,Cl,2.7071808510638298
F,K,2818.164893617022
F,Ca,10330.851063829788
F,Ti,784.3148936170213
F,V,0.49787234042553197
F,Cr,0.21159574468085107
F,Mn,78.82978723404256
F,Fe,7007.553191489363
F,Zn,0.2904255319148936
F,As,0.01120212765957447
F,Rb,0.373404255319149
F,Sr,5.372872340425532
F,Y,1.6429787234042557
F,Zr,5.818882978723405
F,Nb,1.0372340425531916
F,Sn,0.004771276595744681
F,Cs,0.06845744680851065
F,Ba,34.384308510638306
F,La,0.16180851063829788
F,Ce,2.8969946808510643
F,Nd,0.1721808510638298
F,Pb,0.11617021276595746
F,Th,0.05974468085106383
Na,H,50614.46808510638
Na,Li,60.25531914893617
Na,Be,5.623829787234042
Na,B,35.98581560283688
Na,C,418.43971631205676
Na,O,23340985.815602835
Na,F,6168.63829787234
Na,Na,50.8822695035461
Na,Mg,226191.7730496454
Na,Al,1597904.1134751772
Na,Si,14348800.0
Na,P,1669.5744680851064
Na,S,1025.177304964539
Na,Cl,570.3333333333334
Na,K,323579.43262411345
Na,Ca,955088.6524822696
Na,Sc,3.6822695035460993
Na,Ti,69795.74468085106
Na,V,100.42553191489361
