from,to,weight
H,H,992.9078014184398
H,C,119148.93617021278
H,O,457730496.4539008
H,Al,16343262.41134752
H,P,417021.2765957447
H,Ca,8241134.75177305
H,Cu,11914.893617021278
H,Y,13106.382978723406
H,La,7744.68085106383
H,Ce,13205.67375886525
H,Pr,1826.950354609929
H,Nd,32964.5390070922
H,Sm,7000.0
H,Gd,1231.2056737588655
H,Pb,2780.1418439716317
H,U,1072.3404255319151
C,H,119148.93617021276
C,C,85.10638297872342
C,O,39234042.5531915
C,Ca,1177304.9645390073
C,Cu,1702.1276595744682
C,Y,1872.3404255319151
C,La,1106.3829787234042
C,Pr,260.9929078014184
C,Nd,3531.9148936170213
C,Sm,600.0
C,Gd,175.88652482269507
C,Pb,397.1631205673759
C,U,76.59574468085107
O,H,457730496.4539007
O,C,39234042.55319149
O,O,392340.4255319149
O,Al,5381602836.879433
O,P,205978723.40425533
O,Ca,2713687943.2624116
O,Cu,3923404.2553191492
O,Y,4315744.680851064
O,La,2550212.765957447
O,Ce,4348439.716312057
O,Pr,601588.6524822694
O,Nd,10854751.773049645
O,Sm,2766000.0
O,Gd,405418.4397163121
O,Pb,915460.9929078014
O,U,353106.38297872344
Al,H,16343262.41134752
Al,O,5381602836.879434
Al,Al,11673.758865248228
Al,P,12257446.808510639
Al,Sm,82300.0
P,H,417021.2765957447
P,O,205978723.40425533
P,Al,12257446.808510639
P,P,446.8085106382979
P,Ce,9904.255319148937
P,Nd,6180.851063829788
P,Sm,3150.0
P,U,402.12765957446817
Ca,H,8241134.751773051
Ca,C,1177304.9645390073
Ca,O,2713687943.2624116
Ca,Ca,5886.524822695036
Ca,Y,194255.3191489362
Ca,Nd,244290.780141844
Ca,Sm,41500.00000000001
Ca,U,15893.6170212766
Cu,H,11914.893617021276
Cu,C,1702.127659574468
Cu,O,3923404.255319149
Cu,Cu,8.51063829787234
Cu,Y,280.8510638297872
Cu,Nd,353.1914893617021
Cu,Sm,60.0
Cu,Gd,52.765957446808514
Cu,Pb,119.14893617021276
Y,H,13106.382978723404
Y,C,1872.340425531915
Y,O,4315744.680851064
Y,Ca,194255.31914893616
Y,Cu,280.8510638297872
Y,Y,9.361702127659575
Y,Nd,388.51063829787233
Y,Sm,66.0
Y,Gd,29.02127659574468
Y,Pb,65.53191489361703
Y,U,12.638297872340427
La,H,7744.68085106383
La,C,1106.3829787234044
La,O,2550212.7659574472
La,La,5.531914893617022
La,Pr,50.8936170212766
La,Nd,229.5744680851064
La,Sm,39.0
Ce,H,13205.67375886525
Ce,O,4348439.716312057
Ce,P,9904.255319148937
Ce,Ce,9.432624113475178
Ce,Nd,391.4539007092199
Ce,Sm,66.5
Ce,U,25.468085106382983
Pr,H,1826.9503546099288
Pr,C,260.9929078014184
Pr,O,601588.6524822694
Pr,La,50.89361702127659
Pr,Pr,1.304964539007092
Pr,Nd,54.156028368794324
Pr,Sm,9.2
Nd,H,32964.5390070922
Nd,C,3531.9148936170213
Nd,O,10854751.773049647
Nd,P,6180.851063829788
Nd,Ca,244290.780141844
Nd,Cu,353.19148936170217
Nd,Y,388.5106382978724
Nd,La,229.57446808510642
Nd,Ce,391.4539007092199
Nd,Pr,54.15602836879433
Nd,Nd,23.546099290780145
Nd,Sm,166.00000000000003
Nd,Gd,36.49645390070923
Nd,Pb,82.4113475177305
Nd,U,31.787234042553198
Sm,H,7000.0
Sm,C,600.0
Sm,O,2766000.0
Sm,Al,82300.0
Sm,P,3150.0
Sm,Ca,41500.0
Sm,Cu,60.0
Sm,Y,66.0
Sm,La,39.0
Sm,Ce,66.5
Sm,Pr,9.2
Sm,Nd,166.0
Sm,Sm,6.0
Sm,Gd,6.2
Sm,Pb,14.0
Sm,U,5.4
Gd,H,1231.2056737588653
Gd,C,175.88652482269504
Gd,O,405418.4397163121
Gd,Cu,52.765957446808514
Gd,Y,29.021276595744684
Gd,Nd,36.49645390070922
Gd,Sm,6.2
Gd,Gd,0.8794326241134752
Gd,Pb,12.312056737588653
Pb,H,2780.1418439716317
Pb,C,397.1631205673759
Pb,O,915460.9929078015
Pb,Cu,119.14893617021278
Pb,Y,65.53191489361703
Pb,Nd,82.4113475177305
Pb,Sm,14.000000000000002
Pb,Gd,12.312056737588653
Pb,Pb,1.9858156028368796
U,H,1072.3404255319151
U,C,76.59574468085107
U,O,353106.38297872344
U,P,402.12765957446817
U,Ca,15893.617021276597
U,Y,12.638297872340427
U,Ce,25.468085106382983
U,Nd,31.787234042553195
U,Sm,5.4
U,U,0.7659574468085107
H,H,992.9078014184398
C,H,119148.93617021278
O,H,457730496.4539008
Al,H,16343262.41134752
P,H,417021.2765957447
Ca,H,8241134.75177305
Cu,H,11914.893617021278
Y,H,13106.382978723406
La,H,7744.68085106383
Ce,H,13205.67375886525
Pr,H,1826.950354609929
Nd,H,32964.5390070922
Sm,H,7000.0
Gd,H,1231.2056737588655
Pb,H,2780.1418439716317
U,H,1072.3404255319151
H,C,119148.93617021276
C,C,85.10638297872342
O,C,39234042.5531915
Ca,C,1177304.9645390073
Cu,C,1702.1276595744682
Y,C,1872.3404255319151
La,C,1106.3829787234042
Pr,C,260.9929078014184
Nd,C,3531.9148936170213
Sm,C,600.0
Gd,C,175.88652482269507
Pb,C,397.1631205673759
U,C,76.59574468085107
H,O,457730496.4539007
C,O,39234042.55319149
O,O,392340.4255319149
Al,O,5381602836.879433
P,O,205978723.40425533
Ca,O,2713687943.2624116
Cu,O,3923404.2553191492
Y,O,4315744.680851064
La,O,2550212.765957447
Ce,O,4348439.716312057
Pr,O,601588.6524822694
Nd,O,10854751.773049645
Sm,O,2766000.0
Gd,O,405418.4397163121
Pb,O,915460.9929078014
U,O,353106.38297872344
H,Al,16343262.41134752
O,Al,5381602836.879434
Al,Al,11673.758865248228
P,Al,12257446.808510639
Sm,Al,82300.0
H,P,417021.2765957447
O,P,205978723.40425533
Al,P,12257446.808510639
P,P,446.8085106382979
Ce,P,9904.255319148937
Nd,P,6180.851063829788
Sm,P,3150.0
U,P,402.12765957446817
H,Ca,8241134.751773051
C,Ca,1177304.9645390073
O,Ca,2713687943.2624116
Ca,Ca,5886.524822695036
Y,Ca,194255.3191489362
Nd,Ca,244290.780141844
Sm,Ca,41500.00000000001
U,Ca,15893.6170212766
H,Cu,11914.893617021276
C,Cu,1702.127659574468
O,Cu,3923404.255319149
Cu,Cu,8.51063829787234
Y,Cu,280.8510638297872
Nd,Cu,353.1914893617021
Sm,Cu,60.0
Gd,Cu,52.765957446808514
Pb,Cu,119.14893617021276
H,Y,13106.382978723404
C,Y,1872.340425531915
O,Y,4315744.680851064
Ca,Y,194255.31914893616
Cu,Y,280.8510638297872
Y,Y,9.361702127659575
Nd,Y,388.51063829787233
Sm,Y,66.0
Gd,Y,29.02127659574468
Pb,Y,65.53191489361703
U,Y,12.638297872340427
H,La,7744.68085106383
C,La,1106.3829787234044
O,La,2550212.7659574472
La,La,5.531914893617022
Pr,La,50.8936170212766
Nd,La,229.5744680851064
Sm,La,39.0
H,Ce,13205.67375886525
O,Ce,4348439.716312057
P,Ce,9904.255319148937
Ce,Ce,9.432624113475178
Nd,Ce,391.4539007092199
Sm,Ce,66.5
U,Ce,25.468085106382983
H,Pr,1826.9503546099288
C,Pr,260.9929078014184
O,Pr,601588.6524822694
La,Pr,50.89361702127659
Pr,Pr,1.304964539007092
Nd,Pr,54.156028368794324
Sm,Pr,9.2
H,Nd,32964.5390070922
C,Nd,3531.9148936170213
O,Nd,10854751.773049647
P,Nd,6180.851063829788
Ca,Nd,244290.780141844
Cu,Nd,353.19148936170217
Y,Nd,388.5106382978724
La,Nd,229.57446808510642
Ce,Nd,391.4539007092199
Pr,Nd,54.15602836879433
Nd,Nd,23.546099290780145
Sm,Nd,166.00000000000003
Gd,Nd,36.49645390070923
Pb,Nd,82.4113475177305
U,Nd,31.787234042553198
H,Sm,7000.0
C,Sm,600.0
O,Sm,2766000.0
Al,Sm,82300.0
P,Sm,3150.0
Ca,Sm,41500.0
Cu,Sm,60.0
Y,Sm,66.0
La,Sm,39.0
Ce,Sm,66.5
Pr,Sm,9.2
Nd,Sm,166.0
Sm,Sm,6.0
Gd,Sm,6.2
Pb,Sm,14.0
U,Sm,5.4
H,Gd,1231.2056737588653
C,Gd,175.88652482269504
O,Gd,405418.4397163121
Cu,Gd,52.765957446808514
Y,Gd,29.021276595744684
Nd,Gd,36.49645390070922
Sm,Gd,6.2
Gd,Gd,0.8794326241134752
Pb,Gd,12.312056737588653
H,Pb,2780.1418439716317
C,Pb,397.1631205673759
O,Pb,915460.9929078015
Cu,Pb,119.14893617021278
Y,Pb,65.53191489361703
Nd,Pb,82.4113475177305
Sm,Pb,14.000000000000002
Gd,Pb,12.312056737588653
Pb,Pb,1.9858156028368796
H,U,1072.3404255319151
C,U,76.59574468085107
O,U,353106.38297872344
P,U,402.12765957446817
Ca,U,15893.617021276597
Y,U,12.638297872340427
Ce,U,25.468085106382983
Nd,U,31.787234042553195
Sm,U,5.4
U,U,0.7659574468085107
