from,to,weight
H,H,16434.782608695656
H,Be,3408.6956521739135
H,B,6086.956521739131
H,N,11565.21739130435
H,O,7295826086.956522
H,Na,28730434.7826087
H,Mg,70913043.47826087
H,Al,350669565.2173913
H,Si,1373217391.304348
H,S,213043.4782608696
H,Cl,176521.7391304348
H,Ca,176826086.95652175
H,Sc,13391.304347826088
H,Mn,2313043.4782608696
H,Fe,308426086.9565218
H,Cu,36521.739130434784
H,Zn,340869.56521739135
H,Sn,37800.0
Li,Li,17.39130434782609
Li,O,8017391.304347827
Li,F,5086.956521739131
Li,Si,4904347.826086957
Li,K,363478.26086956525
Li,Ca,360869.56521739135
Li,Sn,40.0
Be,H,3408.6956521739135
Be,Be,4.869565217391305
Be,B,12.173913043478262
Be,O,2244869.5652173916
Be,Na,86191.30434782608
Be,Mg,56730.434782608696
Be,Al,100191.3043478261
Be,Si,1029913.043478261
Be,Ca,101043.47826086957
Be,Ti,6768.695652173914
Be,Mn,1156.5217391304348
Be,Fe,68539.13043478261
Be,As,2.191304347826087
Be,Sn,11.2
B,H,6086.956521739131
B,Be,12.173913043478262
B,B,30.434782608695656
B,O,14030434.782608697
B,Na,102608.69565217393
B,Mg,405217.3913043479
B,Al,715652.1739130436
B,Si,1226086.9565217393
B,Ca,360869.56521739135
B,Mn,8260.869565217392
B,Fe,979130.4347826089
B,Sn,70.0
N,H,11565.21739130435
N,N,8.260869565217392
N,Cl,1197.826086956522
N,Sn,19.0
O,H,7295826086.956522
O,Li,8017391.304347827
O,Be,2244869.5652173916
O,B,14030434.782608697
O,O,10222173.91304348
O,F,117254347.82608697
O,Na,14190782608.695654
O,Mg,42031173913.04348
O,Al,181453608695.6522
O,Si,847839130434.7827
O,S,70152173.91304348
O,Cl,29063043.478260875
O,K,12567260869.565218
O,Ca,149724782608.69568
O,Sc,4409565.217391305
O,Ti,4457669565.217392
O,Mn,1142478260.8695655
O,Fe,180551652173.91306
O,Cu,12026086.95652174
O,Zn,112243478.26086958
O,As,721565.2173913044
O,Zr,33071739.130434785
O,Nb,8017391.304347827
O,Sn,23511000.0
O,Sb,80173.91304347827
O,Ba,85184782.60869566
