from,to,weight
H,H,412.4324324324325
H,Li,75.67567567567568
H,B,340.5405405405405
H,C,9837.83783783784
H,O,190131351.35135138
H,F,33202.70270270271
H,Na,4286270.270270271
H,Mg,1057945.945945946
H,Al,12767621.621621624
H,Si,54418378.37837839
H,P,67540.54054054055
H,S,6621.621621621622
H,Cl,6035.135135135137
H,K,1423459.4594594596
H,Ca,7694324.324324325
H,Ti,399718.91891891893
H,V,3632.432432432433
H,Cr,1157.837837837838
H,Mn,75486.4864864865
H,Fe,5751729.72972973
H,Cu,227.02702702702706
H,Zn,529.7297297297298
H,As,40.86486486486487
H,Sr,152600.00000000003
H,Y,499.45945945945954
H,Zr,8116.216216216217
H,Nb,832.4324324324325
H,Ba,27337.83783783784
H,La,442.7027027027027
H,Ce,1761.3513513513515
H,W,9.45945945945946
H,Pb,52.97297297297298
H,Th,36.32432432432433
H,U,40.86486486486487
Li,H,75.67567567567568
Li,Li,0.05405405405405406
Li,O,24918.91891891892
Li,Na,1275.6756756756758
Li,Al,4448.648648648649
Li,P,56.75675675675676
Li,Ca,2243.2432432432433
Li,Sr,20.0
Be,Be,0.0075675675675675675
Be,O,3488.6486486486488
Be,P,7.945945945945946
Be,Sr,2.8
B,H,340.5405405405405
B,B,0.2702702702702703
B,O,124594.5945945946
B,Na,1913.5135135135138
B,Si,22864.864864864867
B,S,9.45945945945946
B,Cl,3.9189189189189193
B,K,564.8648648648649
B,Ca,4486.486486486487
B,Sr,100.0
B,Zr,8.91891891891892
B,Ba,11.486486486486488
C,H,9837.837837837838
C,C,12.432432432432433
C,O,5731351.3513513515
C,F,1264.864864864865
C,Na,165837.83783783784
C,Mg,12594.594594594595
C,Al,177945.94594594595
C,Si,152432.43243243246
C,P,1135.1351351351352
C,S,189.1891891891892
C,Ca,269189.18918918923
C,Cr,55.13513513513514
C,Mn,513.5135135135135
C,Cu,32.432432432432435
C,Sr,4600.0
C,Y,53.513513513513516
C,Zr,178.3783783783784
C,Nb,10.81081081081081
C,Ba,1608.1081081081081
C,La,105.4054054054054
C,Ce,287.5675675675676
O,H,190131351.35135138
O,Li,24918.91891891892
O,Be,3488.6486486486488
O,B,124594.5945945946
O,C,5731351.3513513515
O,O,200597.2972972973
O,F,20408594.594594598
O,Na,2117111351.3513517
O,Mg,551580270.2702703
O,Al,4716902162.162163
O,Si,24946329729.729733
O,P,40555540.540540546
O,S,3052567.567567568
O,Cl,1987283.7837837841
O,K,494765135.1351352
O,Ca,3464352702.702703
O,Ti,221678702.70270273
O,V,1345621.6216216218
O,Cr,889605.4054054054
O,Mn,31958513.513513517
O,Fe,2735723513.513514
O,Cu,224270.2702702703
O,Zn,348864.8648648649
O,As,13456.216216216217
O,Sr,74221000.00000001
O,Y,287813.51351351355
O,Zr,3700459.45945946
O,Nb,274108.1081081081
O,Ba,15356283.783783786
O,La,485918.91891891893
O,Ce,1491397.2972972975
O,W,3114.864864864865
O,Pb,69772.97297297297
O,Th,11961.081081081082
O,U,20184.324324324327
F,H,33202.70270270271
F,C,1264.864864864865
F,O,20408594.594594598
F,F,49.013513513513516
F,Na,708956.7567567568
F,Mg,110517.56756756757
F,Al,1561475.6756756757
F,Si,3121054.0540540544
F,P,19921.621621621623
F,Cl,229.25675675675677
F,K,99133.78378378379
F,Ca,787378.3783783785
F,Ti,52744.86486486487
F,Mn,4506.081081081082
F,Fe,356059.45945945947
F,Sr,18135.0
F,Nb,63.24324324324324
F,Ba,6047.635135135135
F,La,184.98648648648648
F,Ce,525.7094594594595
Na,H,4286270.270270271
Na,Li,1275.6756756756758
Na,B,1913.5135135135138
Na,C,165837.83783783787
Na,O,2117111351.3513517
Na,F,708956.7567567568
Na,Na,4720.0
Na,Mg,14861621.621621624
Na,Al,104988108.10810812
Na,Si,773442162.1621623
Na,P,870648.6486486486
Na,S,22324.324324324327
Na,Cl,83237.83783783785
Na,K,19996216.216216218
Na,Ca,103234054.05405407
Na,Ti,5319567.567567568
Na,V,7654.054054054055
Na,Mn,848324.3243243244
Na,Fe,64638486.48648649
Na,Cu,3827.0270270270275
Na,Zn,13394.594594594595
Na,Sr,1746400.0000000002
Na,Y,6314.594594594595
Na,Zr,136816.2162162162
Na,Nb,12756.756756756758
Na,Ba,515054.0540540541
Na,La,17412.972972972977
Na,Ce,63624.32432432433
Na,W,159.45945945945948
Na,Th,612.3243243243244
Mg,H,1057945.945945946
Mg,C,12594.594594594595
Mg,O,551580270.2702703
Mg,F,110517.56756756757
Mg,Na,14861621.621621622
Mg,Mg,1196.4864864864865
Mg,Al,46644081.081081085
Mg,Si,124308648.64864866
Mg,P,330608.10810810816
Mg,K,3948405.4054054054
Mg,Ca,23520405.40540541
Mg,Ti,1750648.6486486488
Mg,V,7556.756756756757
Mg,Cr,19269.72972972973
Mg,Mn,358945.945945946
Mg,Fe,28363027.02702703
Mg,Zn,8816.216216216217
Mg,Sr,442700.0
Mg,Zr,20781.081081081084
Mg,Ba,133817.56756756757
Mg,La,4911.891891891892
Mg,Ce,8375.405405405405
Al,H,12767621.621621624
Al,Li,4448.648648648649
Al,C,177945.94594594595
Al,O,4716902162.162163
Al,F,1561475.6756756757
Al,Na,104988108.10810812
Al,Mg,46644081.081081085
Al,Al,10454.324324324325
Al,Si,1254518918.918919
Al,P,2569094.594594595
Al,S,155702.70270270272
Al,Cl,32252.702702702703
Al,K,27893027.027027033
Al,Ca,184618918.91891894
Al,Ti,1236724.3243243245
Al,V,26691.891891891893
Al,Mn,1056554.0540540542
Al,Fe,75137675.67567568
Al,Cu,13345.945945945947
Al,As,1201.1351351351354
Al,Sr,3868100.0
Al,Nb,4448.648648648649
Al,Ba,850804.0540540541
Si,H,54418378.37837838
Si,B,22864.864864864867
Si,C,152432.43243243243
Si,O,24946329729.729733
Si,F,3121054.054054054
Si,Na,773442162.1621621
Si,Mg,124308648.64864866
Si,Al,1254518918.918919
Si,Si,54113.51351351351
Si,P,800270.2702702703
Si,Cl,1105135.1351351351
Si,K,238937837.83783785
Si,Ca,1043781081.0810812
Si,Ti,93227675.67567568
Si,V,91459.45945945947
Si,Mn,13032972.972972974
Si,Fe,944014054.0540541
Si,Cu,91459.45945945947
Si,Zn,160054.05405405405
Si,Sr,20022000.0
Si,Zr,1886351.3513513515
Si,Nb,167675.67567567568
Si,Ba,4210945.9459459465
