from,to,weight
H,H,9800.0
H,B,7000.0
H,C,140000.0
H,O,4517800000.0
H,F,409500.0
H,Na,49560000.0
H,Al,172830000.0
H,Si,197400000.0
H,P,1470000.0
H,K,43890000.0
H,Ca,87150000.0
H,Ti,11676000.0
H,Mn,665000.0
H,Fe,157640000.0
H,Y,69300.0
H,Nb,98000.0
H,Sb,140.0
H,Ce,46550.0
H,Ta,19600.0
H,Pb,9800.0
H,Th,6720.0
H,U,1890.0000000000002
Li,Li,20.0
Li,O,9220000.0
Li,Ta,40.0
B,H,7000.0
B,B,15.0
B,O,6915000.0
B,Al,411500.0
B,Si,1410000.0
B,Nb,200.0
B,Ta,30.0
C,H,140000.0
C,C,300.0
C,O,46100000.0
C,Nb,2000.0
C,Ta,600.0
O,H,4517800000.0
O,Li,9220000.0
O,B,6915000.0
O,C,46100000.0
O,O,16135000.0
O,F,539370000.0
O,Na,59837800000.0
O,Mg,10741300000.0
O,Al,113820900000.0
O,Si,130002000000.0
O,P,484050000.0
O,K,24087250000.0
O,Ca,133920500000.0
O,Sc,5071000.0
O,Ti,16660540000.0
O,Mn,2408725000.0
O,Fe,233588700000.0
O,As,414900.0
O,Y,68458500.0
O,Zr,38032500.0
O,Nb,161350000.0
O,Sn,2650750.0
O,Sb,230500.0
O,Cs,691500.0
O,Ce,61313000.0
O,Yb,737600.0
O,Ta,32270000.0
O,W,576250.0
O,Pb,12908000.0
O,Bi,7837.000000000001
O,Th,4425600.0
O,U,3734100.0
F,H,409500.0
F,O,539370000.0
F,F,1170.0
F,Na,27612000.0
F,Ca,36416250.0
F,Ti,1626300.0
F,Nb,17550.0
F,Ce,19451.25
F,Ta,2340.0
F,Bi,2.48625
F,U,789.75
Na,H,49560000.0
Na,O,59837800000.0
Na,F,27612000.0
Na,Na,129800.0
Na,Al,1942280000.0
Na,K,739860000.0
Na,Ca,1469100000.0
Na,Ti,131216000.0
Na,As,21240.0
Na,Nb,1652000.0
Na,Sb,4720.0
Na,Cs,35400.0
Na,Ce,784700.0
Na,Ta,259600.0
Na,Pb,330400.0
Na,Bi,100.30000000000001
Na,U,31860.000000000004
Mg,O,10741300000.0
Mg,Mg,23300.0
Mg,Mn,11067500.0
Mg,Fe,1311790000.0
Mg,Nb,466000.0
Mg,Ta,46600.0
Al,H,172830000.0
