from,to,weight
H,H,75600000.0
H,C,560000000.0
H,O,34851600000000.0
H,Mg,293580000000.0
H,Al,115220000000.0
H,S,4410000000.0
H,Cl,1421000000.0
H,Ca,348600000000.0
H,Cr,142800000.0
H,Mn,3990000000.0
H,Fe,1261120000000.0
H,Ni,235200000.0
H,Cu,2436000000.0
H,Zn,686000000.0
H,As,7560000.0
H,Se,70000.0
H,Ag,105000.0
H,Sb,280000.0
H,Te,75600.0
H,Pb,333200000.0
H,Bi,23800.0
C,H,560000000.0
C,C,800000.0
C,O,368800000000.0
C,Cl,58000000.0
C,Ca,8300000000.0
C,Cu,24000000.0
C,Te,800.0
C,Pb,8400000.0
O,H,34851600000000.0
O,C,368800000000.0
O,O,46561000000.0
O,Mg,96671700000000.0
O,Al,113820900000000.0
O,Si,130002000000000.0
O,P,484050000000.0
O,S,2420250000000.0
O,Cl,935830000000.0
O,K,19269800000000.0
O,Ca,210446500000000.0
O,Ti,2563160000000.0
O,V,55320000000.0
O,Cr,47022000000.0
O,Mn,2627700000000.0
O,Fe,570994600000000.0
O,Ni,77448000000.0
O,Cu,968100000000.0
O,Zn,451780000000.0
O,As,3319200000.0
O,Se,23050000.0
O,Mo,553200000.0
O,Ag,34575000.0
O,Sb,184400000.0
O,Te,46561000.0
O,W,576250000.0
O,Hg,39185000.0
O,Tl,391850000.0
O,Pb,238798000000.0
O,Bi,27429500.000000004
O,U,4978800000.0
Mg,H,293580000000.0
Mg,O,96671700000000.0
Mg,Mg,209700000.0
Mg,Mn,44270000000.0
Mg,Fe,3935370000000.0
Mg,Ni,3914400000.0
Mg,Cu,5592000000.0
Mg,Zn,4893000000.0
Mg,Te,209700.0
Al,H,115220000000.0
Al,O,113820900000000.0
Al,Al,246900000.0
Al,Si,23208600000000.0
Al,S,28805000000.0
Al,Cl,11933500000.0
Al,Fe,4633490000000.0
Al,Te,246900.0
Al,Pb,2304400000.0
Si,O,130002000000000.0
Si,Al,23208600000000.0
Si,Si,282000000.0
Si,Fe,15876600000000.0
Si,Te,282000.0
Si,Pb,3948000000.0
P,O,484050000000.0
P,P,1050000.0
P,Zn,73500000.0
P,Te,1050.0
P,Pb,14700000.0
S,H,4410000000.0
S,O,2420250000000.0
S,Al,28805000000.0
S,S,15400000.0
S,Cl,152250000.0
S,K,7315000000.0
S,Ca,29050000000.0
S,Fe,137935000000.0
S,Ni,29400000.0
S,Cu,252000000.0
S,Ge,525000.0
S,As,1890000.0
S,Se,52500.0
S,Pd,10500.0
S,Ag,183750.0
S,Sn,804999.9999999999
S,Sb,350000.0
S,Te,15400.0
S,Pt,1750.0
S,Au,5600.0
S,Hg,29750.000000000004
S,Pb,88200000.0
S,Bi,41650.0
Cl,H,1421000000.0
Cl,C,58000000.0
Cl,O,935830000000.0
Cl,Al,11933500000.0
Cl,S,152250000.0
Cl,Cl,2320000.0
Cl,K,3030500000.0
Cl,Ca,6017500000.0
Cl,Fe,24490500000.0
Cl,Cu,69600000.0
Cl,Zn,30450000.0
Cl,As,261000.0
Cl,Ag,10875.0
Cl,Sb,29000.0
Cl,Te,2320.0
Cl,Pb,22330000.0
K,O,19269800000000.0
K,S,7315000000.0
K,Cl,3030500000.0
K,K,41800000.0
K,Cu,1254000000.0
K,Te,41800.0
K,W,26125000.0
Ca,H,348600000000.0
Ca,C,8300000000.0
Ca,O,210446500000000.0
Ca,S,29050000000.0
Ca,Cl,6017500000.0
Ca,Ca,456500000.0
Ca,Mn,78850000000.0
Ca,Fe,2336450000000.0
Ca,Cu,12450000000.0
Ca,Zn,5810000000.0
Ca,As,74700000.0
Ca,Se,2075000.0
Ca,Sb,8300000.0
Ca,Te,456500.0
Ca,Pb,2324000000.0
Ti,O,2563160000000.0
Ti,Ti,5560000.0
Ti,Te,5560.0
V,O,55320000000.0
V,V,120000.0
V,Zn,8400000.0
V,Te,120.0
V,Pb,1680000.0
Cr,H,142800000.0
Cr,O,47022000000.0
Cr,Cr,102000.0
Cr,Te,102.0
Cr,Pb,1428000.0
Mn,H,3990000000.0
Mn,O,2627700000000.0
Mn,Mg,44270000000.0
Mn,Ca,78850000000.0
Mn,Mn,5700000.0
Mn,Fe,53485000000.0
Mn,Zn,133000000.0
Mn,Te,5700.0
Mn,Pb,13300000.0
Fe,H,1261120000000.0
Fe,O,570994600000000.0
Fe,Mg,3935370000000.0
Fe,Al,4633490000000.0
Fe,Si,15876600000000.0
Fe,S,137935000000.0
Fe,Cl,24490500000.0
Fe,Ca,2336450000000.0
Fe,Mn,53485000000.0
Fe,Fe,1520100000.0
Fe,Ni,4729200000.0
Fe,Cu,6756000000.0
Fe,Zn,3941000000.0
Fe,Pd,844500.0
Fe,Ag,8445000.0
Fe,Sn,129489999.99999999
Fe,Te,1520100.0
Fe,Pt,281500.0
Fe,Au,225200.0
Fe,Pb,3152800000.0
Fe,Bi,478550.00000000006
Co,Co,25000.0
Co,Te,25.0
Ni,H,235200000.0
Ni,O,77448000000.0
Ni,Mg,3914400000.0
Ni,S,29400000.0
Ni,Fe,4729200000.0
Ni,Ni,672000.0
Ni,Se,4200.0
Ni,Pd,1260.0
Ni,Sb,16800.0
Ni,Te,672.0
Ni,Bi,1428.0
Cu,H,2436000000.0
Cu,C,24000000.0
Cu,O,968100000000.0
Cu,Mg,5592000000.0
Cu,S,252000000.0
Cu,Cl,69600000.0
Cu,K,1254000000.0
Cu,Ca,12450000000.0
Cu,Fe,6756000000.0
Cu,Cu,3240000.0
Cu,Zn,16800000.0
Cu,As,432000.0
Cu,Se,12000.0
Cu,Pd,1800.0
Cu,Ag,27000.0
Cu,Sn,138000.0
Cu,Sb,48000.0
Cu,Te,3240.0
Cu,Pt,300.0
Cu,Au,960.0
Cu,Pb,15960000.0
Cu,Bi,510.00000000000006
Zn,H,686000000.0
Zn,O,451780000000.0
Zn,Mg,4893000000.0
Zn,P,73500000.0
Zn,Cl,30450000.0
Zn,Ca,5810000000.0
Zn,V,8400000.0
Zn,Mn,133000000.0
Zn,Fe,3941000000.0
Zn,Cu,16800000.0
Zn,Zn,980000.0
Zn,As,378000.0
Zn,Ag,5250.0
Zn,Sb,14000.0
Zn,Te,980.0
Zn,Pb,4900000.0
Ge,S,525000.0
Ge,Ge,1500.0
Ge,Ag,112.5
Ge,Te,1.5
As,H,7560000.0
As,O,3319200000.0
As,S,1890000.0
As,Cl,261000.0
As,Ca,74700000.0
As,Cu,432000.0
As,Zn,378000.0
As,As,16200.0
As,Pd,27.0
As,Ag,270.0
As,Sb,720.0
As,Te,16.2
As,Hg,153.0
As,Pb,50400.0
Se,H,70000.0
Se,O,23050000.0
Se,S,52500.0
Se,Ca,2075000.0
Se,Ni,4200.0
Se,Cu,12000.0
Se,Se,700.0
Se,Pd,0.75
Se,Ag,3.75
Se,Sb,10.0
Se,Te,0.7000000000000001
Se,Au,0.4
Se,Pb,2100.0
Se,Bi,2.5500000000000003
Mo,O,553200000.0
Mo,Mo,1200.0
Mo,Te,1.2
Mo,Bi,10.200000000000001
Pd,S,10500.0
Pd,Fe,844500.0
Pd,Ni,1260.0
Pd,Cu,1800.0
Pd,As,27.0
Pd,Se,0.75
Pd,Pd,255.0
Pd,Ag,3.375
Pd,Sn,69.0
Pd,Sb,3.0
Pd,Te,0.255
Pd,Pt,0.075
Pd,Hg,1.2750000000000001
Pd,Pb,210.0
Pd,Bi,0.3825
Ag,H,105000.0
Ag,O,34575000.0
Ag,S,183750.0
Ag,Cl,10875.0
Ag,Fe,8445000.0
Ag,Cu,27000.0
Ag,Zn,5250.0
Ag,Ge,112.5
Ag,As,270.0
Ag,Se,3.75
Ag,Pd,3.375
Ag,Ag,2025.0
Ag,Sb,60.0
Ag,Te,2.025
Ag,Au,1.7999999999999998
Ag,Hg,12.750000000000002
Ag,Pb,4200.0
Ag,Bi,1.9125
Sn,S,805000.0
Sn,Fe,129490000.0
Sn,Cu,138000.0
Sn,Pd,69.0
Sn,Sn,4600.0
Sn,Te,4.6000000000000005
Sn,Pt,11.5
Sb,H,280000.0
Sb,O,184400000.0
Sb,S,350000.0
Sb,Cl,29000.0
Sb,Ca,8300000.0
Sb,Ni,16800.0
Sb,Cu,48000.0
Sb,Zn,14000.0
Sb,As,720.0
Sb,Se,10.0
Sb,Pd,3.0
Sb,Ag,60.0
Sb,Sb,2800.0
Sb,Te,2.8000000000000003
Sb,Au,3.2
Sb,Hg,17.0
Sb,Pb,16800.0
Sb,Bi,1.7000000000000002
Te,H,75600.0
Te,C,800.0
Te,O,46561000.0
Te,Mg,209700.0
Te,Al,246900.0
Te,Si,282000.0
Te,P,1050.0
Te,S,15400.0
Te,Cl,2320.0
Te,K,41800.0
Te,Ca,456500.0
Te,Ti,5560.0
Te,V,120.0
Te,Cr,102.0
