from,to,weight
H,H,3937.5000000000005
H,Li,2916.666666666667
H,Be,816.6666666666666
H,B,2916.666666666667
H,C,58333.333333333336
H,O,1815187500.0000002
H,F,341250.0
H,Na,17208333.333333336
H,Al,84014583.33333334
H,Si,411250000.0
H,P,1225000.0
H,S,51041.66666666667
H,K,6095833.333333334
H,Ca,84729166.66666667
H,Ti,5675833.333333334
H,Mn,277083.3333333334
H,Fe,41052083.333333336
H,As,262.5
H,Sr,53958.333333333336
H,Y,14437.5
H,Nb,17500.0
H,Mo,350.0
H,Ba,123958.33333333334
H,La,11375.0
H,Ce,38791.66666666667
H,Nd,6052.083333333334
H,Ta,291.6666666666667
H,Pb,2041.6666666666667
H,Th,37800.0
H,U,1575.0000000000002
Li,H,2916.666666666667
Li,Li,2.0833333333333335
Li,Be,5.833333333333333
Li,B,20.833333333333336
Li,O,960416.6666666667
Li,F,1218.75
Li,Al,171458.33333333334
Li,Si,587500.0
Li,Ca,86458.33333333334
Li,Fe,117291.66666666667
Li,La,81.25
Li,Ce,138.54166666666669
Li,Nd,86.45833333333334
Li,Th,20.0
Be,H,816.6666666666667
Be,Li,5.833333333333334
Be,Be,0.5833333333333334
Be,B,5.833333333333334
Be,O,268916.6666666667
Be,F,170.625
Be,Al,48008.333333333336
Be,Si,164500.0
Be,Ca,24208.333333333336
Be,Fe,16420.833333333336
Be,La,11.375
Be,Ce,19.395833333333336
Be,Nd,12.104166666666668
Be,Th,5.6000000000000005
Be,U,0.7875000000000001
B,H,2916.666666666667
B,Li,20.833333333333336
B,Be,5.833333333333333
B,B,3.125
B,O,1440625.0
B,F,1218.75
B,Na,24583.333333333336
B,Al,171458.33333333334
B,Si,881250.0
B,Ca,129687.50000000001
B,Fe,117291.66666666667
B,As,1.8750000000000002
B,La,81.25
B,Ce,138.54166666666669
B,Nd,43.22916666666667
B,Th,30.0
B,U,2.8125000000000004
C,H,58333.33333333334
C,C,62.50000000000001
C,O,28812500.000000004
C,F,24375.000000000004
C,Na,491666.66666666674
C,Ca,864583.3333333335
C,Ba,17708.333333333336
C,La,812.5000000000001
C,Ce,1385.4166666666667
C,Th,600.0000000000001
O,H,1815187500.0000002
O,Li,960416.6666666667
O,Be,268916.6666666667
O,B,1440625.0
O,C,28812500.000000004
O,O,1968854.1666666667
O,F,168553125.0
O,Na,9066333333.333334
O,Al,27664802083.333336
O,Si,243753750000.0
O,P,504218750.0
O,S,16807291.666666668
O,K,4014541666.666667
O,Ca,41850156250.0
O,Ti,2135966666.6666667
O,Mn,91239583.33333334
O,Fe,18925010416.666668
O,As,172875.0
O,Sr,17767708.333333336
O,Y,7923437.5
O,Nb,7683333.333333334
O,Mo,115250.0
O,Ba,61226562.5
O,La,11236875.0
O,Ce,31933854.16666667
O,Pr,441791.6666666666
O,Nd,3985729.166666667
O,Ta,192083.33333333334
O,Pb,672291.6666666667
O,Th,18901000.0
O,U,648281.2500000001
F,H,341250.0
F,Li,1218.75
F,Be,170.625
F,B,1218.75
F,C,24375.0
F,O,168553125.0
F,F,365.625
F,Na,1438125.0
F,Al,5015156.25
F,Si,51553125.0
F,Ca,10115625.0
F,Mn,57890.625
F,Fe,6861562.5
F,As,109.6875
F,Ba,25898.4375
F,La,7129.6875
F,Ce,12157.03125
F,Nd,2528.90625
F,Th,3510.0
Na,H,17208333.333333336
Na,B,24583.333333333336
Na,C,491666.6666666667
Na,O,9066333333.333334
Na,F,1438125.0
Na,Na,19666.666666666668
Na,Si,4159500000.0
Na,P,2581250.0
Na,K,154137500.0
Na,Ca,510104166.66666675
Na,Ti,13668333.333333334
Na,Mn,2335416.666666667
Na,Fe,138404166.6666667
Na,As,4425.0
Na,Sr,909583.3333333334
Na,Nb,49166.66666666667
Na,Ba,1044791.6666666667
Na,La,191750.0
Na,Ce,326958.3333333334
Na,Pr,22616.666666666668
Na,Nd,102020.83333333334
Na,Th,188800.0
Al,H,84014583.33333334
Al,Li,171458.33333333337
Al,Be,48008.333333333336
Al,B,171458.33333333337
Al,O,27664802083.333336
Al,F,5015156.250000001
Al,Al,60010.41666666667
Al,Si,12087812500.000002
Al,P,36006250.00000001
Al,S,3000520.833333334
Al,Ca,1067328125.0000002
Al,Ti,47665416.66666667
Al,Fe,965310416.6666667
Al,Y,282906.25000000006
Al,Nb,171458.33333333337
Al,La,668687.5000000001
Al,Ce,1140197.9166666667
Al,Nd,355776.04166666674
Al,Th,576100.0000000001
Al,U,46293.75000000001
Si,H,411250000.0
Si,Li,587500.0
Si,Be,164500.0
Si,B,881250.0
Si,O,243753750000.0
Si,F,51553125.0
Si,Na,4159500000.0
Si,Al,12087812500.0
Si,Si,528750.0
Si,P,92531250.0
Si,S,10281250.0
Si,K,2455750000.0
Si,Ca,12190625000.0
Si,Ti,163325000.0
Si,Mn,27906250.0
Si,Fe,4961437500.0
Si,As,52875.0
Si,Sr,10868750.0
Si,Y,1938750.0
Si,Nb,587500.0
Si,Ba,12484375.0
Si,La,5728125.0
Si,Ce,9767187.5
Si,Pr,270250.0
Si,Nd,2438125.0
Si,Th,5076000.0
Si,U,158625.0
P,H,1225000.0
P,O,504218750.0
P,Na,2581250.0
P,Al,36006250.0
P,Si,92531250.0
P,P,1093.75
P,S,38281.25
P,Ca,27234375.0
P,As,196.875
P,Y,3609.375
P,La,4265.625
P,Ce,14546.875
P,Pr,1006.2499999999999
P,Nd,4539.0625
P,Pb,1531.25
P,Th,10500.0
P,U,295.3125
S,H,51041.66666666667
S,O,16807291.666666668
S,Al,3000520.8333333335
S,Si,10281250.0
S,P,38281.25
S,S,36.458333333333336
S,Ca,1513020.8333333335
S,Y,1203.125
S,Th,350.0
K,H,6095833.333333334
K,O,4014541666.666667
K,Na,154137500.0
K,Si,2455750000.0
K,K,8708.333333333334
K,Ca,271046875.0
K,La,84906.25
K,Ce,144776.0416666667
K,Th,83600.0
Ca,H,84729166.66666667
Ca,Li,86458.33333333334
Ca,Be,24208.333333333332
Ca,B,129687.50000000001
Ca,C,864583.3333333334
Ca,O,41850156250.0
Ca,F,10115625.0
Ca,Na,510104166.66666675
Ca,Al,1067328125.0
Ca,Si,12190625000.0
Ca,P,27234375.0
Ca,S,1513020.8333333335
Ca,K,271046875.0
Ca,Ca,90781.25
Ca,Ti,144212500.0
Ca,Mn,8213541.666666667
Ca,Fe,973520833.3333334
Ca,As,7781.250000000001
Ca,Y,570625.0
Ca,Nb,432291.66666666674
Ca,La,674375.0
Ca,Ce,2012317.7083333335
Ca,Pr,39770.833333333336
Ca,Nd,358802.0833333334
Ca,Ta,17291.666666666668
Ca,Pb,60520.833333333336
Ca,Th,871500.0
Ca,U,35015.62500000001
Ti,H,5675833.333333334
Ti,O,2135966666.666667
Ti,Na,13668333.333333336
Ti,Al,47665416.66666667
