from,to,weight
H,H,11529.411764705881
H,O,5315058823.529412
H,Al,135552941.17647058
H,S,2305882.3529411764
H,Cl,477647.0588235294
H,K,68847058.8235294
H,V,395294.1176470588
H,Fe,185458823.52941176
H,Cu,98823.5294117647
H,As,2964.705882352941
H,Tl,9800.0
O,H,5315058823.529412
O,O,5965882.352941177
O,Al,44635647058.82353
O,S,949117647.0588236
O,Cl,157282352.94117647
O,K,22670352941.17647
O,V,130164705.88235295
O,Mn,515235294.11764705
O,Fe,61068941176.47059
O,Cu,65082352.941176474
O,As,976235.2941176471
O,Te,542.3529411764706
O,Tl,5071000.0
O,Bi,4610.0
Al,H,135552941.1764706
Al,O,44635647058.82353
Al,Al,96823.52941176471
Al,S,33888235.29411765
Al,Tl,82300.0
S,H,2305882.3529411764
S,O,949117647.0588236
S,Al,33888235.294117644
S,S,29235.29411764706
S,Cl,59705.882352941175
S,K,8605882.352941176
S,V,98823.5294117647
S,Mn,1173529.411764706
S,Fe,231823529.4117647
S,Ni,34588.23529411764
S,Cu,321176.4705882353
S,Zn,86470.58823529413
S,As,37800.0
S,Ag,525.0
S,Sn,947.0588235294117
S,Sb,2800.0
S,Au,3.2941176470588234
S,Hg,315.0
S,Tl,24850.0
S,Pb,132588.23529411762
S,Bi,3.5
Cl,H,477647.0588235294
Cl,O,157282352.94117647
Cl,S,59705.882352941175
Cl,Cl,1023.5294117647059
Cl,K,7130588.235294118
Cl,Fe,9604117.647058824
Cl,Ni,14329.411764705883
Cl,Cu,20470.58823529412
Cl,Br,409.4117647058824
Cl,Tl,870.0
Cl,Pb,2388.2352941176473
Cl,Bi,1.4500000000000002
K,H,68847058.8235294
K,O,22670352941.17647
K,S,8605882.352941176
K,Cl,7130588.235294118
K,K,73764.70588235294
K,Cu,2950588.2352941176
K,Sb,4917.64705882353
K,Tl,62700.0
K,Pb,344235.29411764705
V,H,395294.11764705885
V,O,130164705.88235295
V,S,98823.52941176471
V,V,282.3529411764706
V,Tl,240.0
