from,to,weight
H,H,146740.74074074073
H,Li,10370.370370370369
H,Be,1451.8518518518517
H,B,5185.185185185184
H,C,4251851.851851852
H,N,118222.2222222222
H,O,67647481481.481476
H,F,3033333.333333333
H,Na,440533333.33333325
H,Mg,314118518.5185185
H,Al,981503703.7037035
H,Si,3070666666.6666665
H,P,28311111.11111111
H,S,11251851.85185185
H,Cl,150370.37037037036
H,K,314274074.07407403
H,Ca,1312629629.6296294
H,Ti,28829629.629629627
H,V,1306666.6666666665
H,Cr,211555.55555555553
H,Mn,2955555.555555555
H,Fe,583851851.8518518
H,Co,51851.85185185185
H,Ni,174222.22222222222
H,Cu,560000.0
H,Zn,217777.77777777775
H,As,33600.0
H,Se,207.4074074074074
H,Sr,767407.4074074073
H,Y,205333.3333333333
H,Nb,41481.481481481474
H,Mo,5600.0
H,Cs,1555.5555555555554
H,Ba,3305555.5555555555
H,La,40444.44444444444
H,Ce,172407.40740740742
H,Nd,129111.11111111111
H,Sm,7311.11111111111
H,Gd,3214.814814814815
H,Dy,2696.296296296296
H,Ta,1037.037037037037
H,W,648.148148148148
H,Pb,239555.55555555556
H,Bi,30.85185185185185
H,Th,19911.11111111111
H,U,396200.0
Li,H,10370.370370370369
Li,Li,7.4074074074074066
Li,O,3414814.8148148144
Li,Na,174814.8148148148
Li,S,2592.592592592592
Li,K,154814.8148148148
Li,U,20.0
Be,H,1451.8518518518517
Be,Be,1.037037037037037
Be,B,10.37037037037037
Be,O,478074.07407407404
Be,Al,85348.14814814815
Be,Si,292444.44444444444
Be,Ca,43037.03703703704
Be,Th,9.955555555555554
Be,U,2.8
B,H,5185.185185185184
B,Be,10.370370370370368
B,B,3.7037037037037033
B,O,1707407.4074074072
B,Al,304814.8148148148
B,Si,1044444.4444444444
B,Ca,153703.70370370368
B,Th,35.55555555555555
B,U,10.0
C,H,4251851.851851852
C,C,3259.259259259259
C,O,1502518518.5185184
C,F,86666.66666666667
C,Na,12237037.037037037
C,Mg,13807407.407407409
C,Al,6096296.296296297
C,Si,41777777.777777776
C,S,51851.851851851854
C,K,6192592.592592592
C,Ca,76851851.85185185
C,Cu,17777.777777777777
C,Zn,5185.185185185185
C,Y,9777.777777777777
C,La,2888.888888888889
C,Ce,4925.925925925926
C,Nd,9222.222222222223
C,Sm,522.2222222222222
C,Gd,459.2592592592593
C,Dy,385.1851851851852
C,Pb,1037.037037037037
C,U,8800.000000000002
