from,to,weight
H,H,2228.333333333333
H,B,466.66666666666663
H,C,13999.999999999998
H,N,1773.3333333333333
H,O,1021883333.3333333
H,F,40950.0
H,Na,7984666.666666666
H,Mg,7883166.666666666
H,Al,36486333.33333333
H,Si,98700000.0
H,P,220500.0
H,S,49000.0
H,Cl,6766.666666666666
H,K,3901333.333333333
H,Ca,29049999.999999996
H,Ti,648666.6666666666
H,V,267400.0
H,Cr,7140.0
H,Mn,299249.99999999994
H,Fe,19048166.666666664
H,Co,291.66666666666663
H,Ni,2940.0
H,Cu,9100.0
H,Zn,5716.666666666666
H,As,273.0
H,Sr,34533.33333333333
H,Y,1925.0
H,Zr,1925.0
H,Nb,233.33333333333331
H,Sb,2.3333333333333335
H,Cs,35.0
H,Ba,64458.33333333333
H,La,910.0
H,Ce,1551.6666666666665
H,W,14.583333333333332
H,Tl,19.833333333333332
H,Pb,2449.9999999999995
H,Bi,0.49583333333333335
H,U,661.5
Li,Li,0.3333333333333333
Li,O,153666.66666666666
Li,Na,3933.333333333333
Li,Si,94000.0
Li,K,6966.666666666666
Li,V,40.0
Li,Mn,158.33333333333331
Li,Fe,9383.333333333332
Be,Be,0.02333333333333333
Be,O,10756.666666666666
Be,Ti,129.73333333333332
Be,V,2.8
Be,Cr,2.38
B,H,466.66666666666663
B,B,0.5
B,O,230500.0
B,F,97.5
B,Na,5900.0
B,Mg,9708.333333333332
B,Al,6858.333333333333
B,Si,94000.0
B,P,175.0
B,Cl,12.083333333333332
B,Ti,463.3333333333333
B,V,60.0
B,Cr,8.5
B,As,0.3
B,Mo,0.09999999999999999
B,Ba,35.416666666666664
B,W,0.20833333333333331
C,H,14000.0
C,C,11.666666666666668
C,N,31.666666666666668
C,O,4610000.0
C,F,975.0
C,Na,39333.333333333336
C,Mg,38833.333333333336
C,Al,137166.6666666667
C,Si,940000.0
C,P,3500.0
C,K,34833.333333333336
C,Ca,276666.6666666667
C,Ti,9266.666666666668
C,V,1400.0
C,Mn,1583.3333333333335
C,Fe,93833.33333333334
C,Zr,275.0
C,Nb,33.333333333333336
C,Ba,708.3333333333334
N,H,1773.3333333333333
N,C,31.666666666666664
N,N,1.4249999999999998
N,O,583933.3333333333
N,Na,11210.0
N,Mg,3689.1666666666665
N,P,332.5
N,S,55.416666666666664
N,Cl,22.958333333333332
N,K,3309.1666666666665
N,Ca,13141.666666666666
N,V,171.0
N,As,0.285
N,U,0.4275
O,H,1021883333.3333333
O,Li,153666.66666666666
O,Be,10756.666666666666
O,B,230500.0
O,C,4610000.0
O,N,583933.3333333333
O,O,1048775.0
O,F,26968500.0
O,Na,3354543333.333333
O,Mg,3311900833.333333
O,Al,13279104999.999998
O,Si,49834100000.0
O,P,80675000.0
O,S,18824166.666666664
O,Cl,8355624.999999999
O,K,1846689166.6666665
O,Ca,11478900000.0
O,Ti,384473999.99999994
O,V,125853000.0
O,Cr,3134800.0
O,Mn,120436249.99999999
O,Fe,8867719166.666666
O,Co,96041.66666666666
O,Ni,968100.0
O,Cu,7376000.0
O,Zn,2151333.333333333
O,As,152130.0
O,Rb,345750.0
O,Sr,12792749.999999998
O,Y,760650.0
O,Zr,633875.0
O,Nb,76833.33333333333
O,Mo,13830.0
O,Ag,288.125
O,Sb,1536.6666666666667
O,Te,3.841666666666667
O,Cs,23050.0
O,Ba,35919583.33333333
O,La,449475.0
O,Ce,766412.5
O,Nd,159429.16666666666
O,W,14406.25
O,Hg,326.5416666666667
O,Tl,6530.833333333333
O,Pb,1398366.6666666665
O,Bi,261.23333333333335
O,U,217822.5
F,H,40950.0
F,B,97.5
F,C,975.0
F,O,26968500.0
F,F,58.5
F,Mg,340762.5
F,Al,1203637.5
F,Si,2749500.0
F,P,20475.0
F,Ca,809250.0
F,Ti,81315.0
F,V,7020.0
F,Cr,994.5
F,Fe,823387.5
F,Cu,585.0
F,As,26.325000000000003
F,Y,321.75
F,Mo,5.85
F,Ba,6215.625
F,La,190.125
F,Ce,324.1875
F,W,12.1875
F,Pb,68.25
F,U,26.325000000000003
Na,H,7984666.666666666
Na,Li,3933.333333333333
Na,B,5900.0
Na,C,39333.33333333333
Na,N,11210.0
Na,O,3354543333.333333
Na,Na,7276.666666666666
Na,Mg,64152666.666666664
Na,Al,113299666.66666666
Na,Si,554600000.0
Na,P,413000.0
Na,S,68833.33333333333
Na,Cl,28516.666666666664
Na,K,24662000.0
Na,Ca,114263333.33333333
Na,Ti,1093466.6666666665
Na,V,873200.0
Na,Cr,20060.0
Na,Mn,1121000.0
Na,Fe,44289333.33333333
Na,Cu,11800.0
Na,As,1062.0
Na,Sr,72766.66666666666
Na,Zr,32450.0
Na,Nb,3933.333333333333
Na,Ba,83583.33333333333
Na,U,531.0
Mg,H,7883166.666666666
Mg,B,9708.333333333332
Mg,C,38833.33333333333
Mg,N,3689.1666666666665
Mg,O,3311900833.333333
Mg,F,340762.5
Mg,Na,64152666.666666664
Mg,Mg,7184.166666666666
Mg,Al,159799166.66666666
Mg,Si,602305000.0
Mg,P,815500.0
Mg,S,67958.33333333333
