from,to,weight
H,H,28000.0
H,C,224000.0
H,O,12908000000.0
H,Na,132160000.0
H,Mg,104384000.0
H,Al,368704000.0
H,Si,1579200000.0
H,P,1176000.0
H,S,392000.0
H,Cl,324800.0
H,K,23408000.0
H,Ca,325360000.0
H,V,134400.0
H,Mn,4256000.0
H,Fe,693616000.0
H,Cu,67200.0
H,Zn,78400.0
H,As,4032.0
H,Sr,828800.0
H,Y,73920.0
H,Zr,554400.0
H,Nb,22400.0
H,Mo,1344.0
H,Cs,3360.0
H,Ba,476000.0
H,Ce,223440.0
H,Nd,46480.0
H,W,35000.0
H,Pb,78400.0
H,U,3024.0
B,B,16.0
B,O,7376000.0
B,F,9360.0
B,Mg,372800.0
B,P,16800.0
B,V,1920.0
B,As,28.8
B,Mo,9.6
B,W,20.0
C,H,224000.0
C,C,320.0
C,O,73760000.0
C,Na,3776000.0
C,Si,45120000.0
C,Ca,6640000.0
C,Mn,152000.0
C,Zr,26400.0
C,Ce,10640.0
C,W,400.0
O,H,12908000000.0
O,B,7376000.0
O,C,73760000.0
O,O,16596000.0
O,F,431496000.0
O,Na,43518400000.0
O,Mg,60151280000.0
O,Al,151761200000.0
O,Si,624009600000.0
O,P,1161720000.0
O,S,129080000.0
O,Cl,213904000.0
O,K,23123760000.0
O,Ca,137746800000.0
O,Ti,4101056000.0
O,V,132768000.0
O,Mn,2452520000.0
O,Fe,311451600000.0
O,Cu,22128000.0
O,Zn,51632000.0
O,As,3319200.0
O,Sr,272912000.0
O,Y,36511200.0
O,Zr,182556000.0
O,Nb,36880000.0
O,Mo,885120.0
O,Sb,147520.0
O,Te,368.8
O,Cs,1106400.0
O,Ba,313480000.0
O,Ce,73575600.0
O,Nd,15305200.0
O,Ta,1475200.0
O,W,20745000.0
O,Pb,41305600.0
O,Bi,3134.8
O,U,995760.0000000001
F,B,9360.0
F,O,431496000.0
F,F,936.0
F,Mg,21808800.0
F,P,982800.0
F,V,112320.0
F,As,1684.8
F,Mo,561.6
F,W,1170.0
Na,H,132160000.0
Na,C,3776000.0
Na,O,43518400000.0
Na,Na,94400.0
Na,Si,15972480000.0
Na,P,19824000.0
Na,Cl,5475200.0
Na,Ca,2350560000.0
Na,Mn,35872000.0
Na,Fe,3188832000.0
Na,As,33984.0
Na,Sr,13971200.0
Na,Zr,9345600.0
Na,Ce,1255520.0
Na,W,118000.0
Mg,H,104384000.0
Mg,B,372800.0
Mg,O,60151280000.0
Mg,F,21808800.0
Mg,Mg,130480.0
Mg,Al,1534072000.0
Mg,Si,10512960000.0
Mg,P,39144000.0
Mg,S,6524000.0
