from,to,weight
H,H,3266.6666666666665
H,Li,1696.969696969697
H,Be,356.3636363636363
H,B,1696.969696969697
H,C,263030.303030303
H,O,1505933333.3333333
H,F,397090.90909090906
H,Na,23027878.78787879
H,Mg,988484.8484848484
H,Al,48881212.12121212
H,Si,323018181.8181818
H,P,356363.63636363635
H,S,118787.87878787878
H,Cl,12303.030303030302
H,K,4433333.333333333
H,Ca,54578787.878787875
H,Ti,3302303.0303030303
H,V,25454.545454545456
H,Cr,17309.090909090908
H,Mn,161212.12121212122
H,Fe,23884848.48484848
H,Cu,10181.818181818182
H,Zn,8909.090909090908
H,As,76.36363636363636
H,Sr,62787.878787878784
H,Y,107800.0
H,Zr,14000.0
H,Nb,5939.39393939394
H,Ba,90151.51515151514
H,La,4963.636363636364
H,Ce,28212.12121212121
H,Nd,12324.242424242424
H,Sm,598.1818181818181
H,Gd,789.090909090909
H,Dy,441.2121212121212
H,Er,148.48484848484847
H,Yb,407.27272727272725
H,Ta,254.54545454545453
H,W,106.06060606060606
H,Pb,1781.8181818181815
H,Th,1221.8181818181818
H,U,1374.5454545454545
Li,H,1696.969696969697
Li,Li,1.2121212121212122
Li,C,242.42424242424244
Li,O,558787.8787878788
Li,F,709.0909090909091
Li,Na,28606.060606060608
Li,P,1272.7272727272727
Li,Ca,25151.515151515152
Li,Y,40.0
Li,Zr,100.0
Be,H,356.3636363636364
Be,Be,0.7636363636363636
Be,B,1.6969696969696968
Be,O,352036.3636363636
Be,F,99.27272727272727
Be,Na,2002.4242424242423
Be,Al,6983.030303030302
Be,Si,215345.45454545453
Be,Cl,12.303030303030301
Be,K,3546.6666666666665
Be,Ca,17606.060606060604
Be,Mn,161.2121212121212
Be,Fe,14330.909090909088
Be,Y,25.2
Be,Ba,36.060606060606055
Be,La,3.3090909090909086
Be,Ce,5.642424242424242
Be,Nd,3.521212121212121
Be,Yb,0.2715151515151515
Be,Pb,1.1878787878787878
B,H,1696.969696969697
B,Be,1.696969696969697
B,B,4.242424242424242
B,C,60.60606060606061
B,O,1955757.5757575757
B,F,1772.7272727272727
B,Na,21454.545454545456
B,Mg,7060.606060606061
B,Al,74818.18181818182
B,Si,1110909.0909090908
B,P,954.5454545454545
B,Cl,43.93939393939394
B,K,12666.666666666668
B,Ca,113181.81818181818
B,Ti,1684.848484848485
B,Mn,1151.5151515151515
B,Fe,68242.42424242424
B,As,1.090909090909091
B,Y,140.0
B,Nb,6.0606060606060606
B,Ba,515.1515151515151
B,Ce,60.45454545454545
B,Pb,8.484848484848484
C,H,263030.303030303
C,Li,242.42424242424244
C,B,60.60606060606061
C,C,218.1818181818182
C,O,100581818.18181819
C,F,28363.636363636364
C,Na,2288484.8484848486
C,Mg,141212.12121212122
C,Al,1995151.5151515151
C,Si,6836363.636363637
C,P,19090.909090909092
C,S,6363.636363636363
C,Cl,2636.363636363636
C,K,253333.33333333334
C,Ca,3521212.121212121
C,Mn,5757.575757575758
C,Cu,727.2727272727273
C,Sr,6727.272727272728
C,Y,7200.0
C,Zr,1000.0
C,Ba,10303.030303030302
C,La,472.72727272727275
C,Ce,2015.151515151515
C,Nd,1257.5757575757575
C,Sm,85.45454545454545
C,Gd,112.72727272727273
C,Dy,63.03030303030303
C,Er,21.21212121212121
C,Yb,19.393939393939394
C,Pb,84.84848484848484
C,U,65.45454545454545
O,H,1505933333.3333333
O,Li,558787.8787878788
O,Be,352036.3636363636
O,B,1955757.5757575757
O,C,100581818.18181819
O,O,1885909.090909091
O,F,302374090.90909094
O,Na,11209284848.484848
O,Mg,1301975757.5757575
O,Al,20694709090.909092
O,Si,232427818181.81818
O,P,176018181.8181818
O,S,44004545.45454545
O,Cl,8102424.242424242
O,K,2627700000.0
O,Ca,31306090909.090908
O,Sc,307333.3333333333
O,Ti,2097130909.0909092
O,V,10058181.818181818
O,Cr,7124545.454545454
O,Mn,145983333.33333334
O,Fe,18875854545.454544
O,Cu,3352727.272727273
O,Zn,2933636.3636363633
O,As,125727.27272727274
O,Sr,36181515.151515156
O,Y,62235000.0
O,Zr,11525000.0
O,Nb,4470303.03030303
O,Ba,47496969.696969695
O,La,2179272.7272727275
O,Ce,15792742.424242424
O,Nd,4637939.393939394
O,Sm,196972.72727272726
O,Gd,259836.36363636365
O,Dy,145284.84848484848
O,Er,48893.93939393939
O,Yb,134109.0909090909
O,Ta,251454.54545454547
O,W,52386.36363636363
O,Pb,1564606.0606060605
O,Th,670545.4545454546
O,U,603490.9090909092
F,H,397090.90909090906
F,Li,709.090909090909
F,Be,99.27272727272727
F,B,1772.7272727272725
F,C,28363.636363636364
F,O,302374090.9090909
F,F,709.090909090909
F,Na,6693818.181818182
F,Mg,826090.9090909091
F,Al,10212681.818181818
F,Si,119978181.81818181
F,P,93068.18181818182
F,S,24818.181818181816
F,Cl,7711.363636363636
F,K,1111500.0
F,Ca,16184999.999999998
F,Ti,788509.0909090908
F,V,4254.545454545454
F,Cr,3616.363636363636
F,Mn,67363.63636363637
F,Fe,7984363.636363636
F,Zn,1240.9090909090908
F,As,63.81818181818182
F,Y,23400.0
F,Zr,2925.0
F,Nb,1063.6363636363635
F,Ba,37670.454545454544
F,La,691.3636363636364
F,Ce,8252.045454545454
F,Gd,109.9090909090909
F,Dy,92.18181818181819
F,Pb,496.3636363636364
F,U,95.72727272727273
Na,H,23027878.78787879
Na,Li,28606.060606060604
Na,Be,2002.4242424242423
Na,B,21454.545454545452
Na,C,2288484.8484848486
Na,O,11209284848.484848
Na,F,6693818.181818182
Na,Na,25745.454545454544
Na,Al,58856969.696969695
Na,Si,3428436363.636363
Na,P,2252727.272727273
Na,S,750909.0909090909
Na,Cl,207393.9393939394
Na,K,74733333.33333333
Na,Ca,563896969.6969697
Na,Ti,23857454.545454547
Na,Mn,2038181.818181818
Na,Fe,120789090.9090909
Na,Zn,50060.60606060606
Na,As,1287.2727272727273
Na,Sr,793818.1818181819
Na,Y,849600.0
Na,Zr,236000.0
Na,Nb,28606.060606060604
Na,Ba,1215757.5757575757
Na,La,27890.90909090909
Na,Ce,237787.87878787876
Na,Gd,4433.939393939394
Na,Dy,3718.787878787879
Mg,H,988484.8484848485
Mg,B,7060.606060606061
Mg,C,141212.12121212122
Mg,O,1301975757.5757577
Mg,F,826090.9090909092
Mg,Mg,2824.2424242424245
Mg,Al,58108787.87878788
Mg,Si,597327272.7272727
Mg,Ca,58603030.303030305
Mg,Fe,39751212.121212125
Mg,As,1270.909090909091
Mg,Y,93200.00000000001
Mg,Ce,46953.030303030304
Mg,U,1906.3636363636367
Al,H,48881212.12121212
Al,Be,6983.030303030303
Al,B,74818.18181818182
Al,C,1995151.5151515151
Al,O,20694709090.909092
Al,F,10212681.818181818
Al,Na,58856969.696969695
Al,Mg,58108787.87878788
Al,Al,44890.90909090909
Al,Si,7736200000.0
Al,P,5237272.7272727275
Al,S,3491515.1515151514
Al,Ca,1034984848.4848485
Al,V,299272.7272727273
Al,Mn,2369242.4242424243
Al,Fe,280817575.75757575
Al,As,4489.090909090909
Al,Y,1481400.0
Al,Zr,411500.0
Al,La,97263.63636363637
Al,Ce,331693.9393939394
Al,Nd,103498.48484848485
Al,Yb,7980.606060606061
Al,Th,23941.81818181818
Al,U,6733.636363636364
Si,H,323018181.8181819
Si,Be,215345.45454545456
Si,B,1110909.0909090908
Si,C,6836363.636363637
Si,O,232427818181.81818
Si,F,119978181.81818181
Si,Na,3428436363.636364
Si,Mg,597327272.7272727
Si,Al,7736200000.0
Si,Si,504181.81818181823
Si,P,35890909.09090909
Si,S,2990909.0909090913
Si,Cl,1239090.9090909092
Si,K,1428800000.0
Si,Ca,12057636363.636366
Si,Ti,475127272.72727275
Si,V,1025454.5454545455
Si,Mn,48709090.90909091
